Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&ConditionProtectedFromEnergyFireDescription	Resistance to fire damage
Rules/&ConditionProtectedFromEnergyLightningTitle	Protected from Lightning
Rules/&ConditionProtectedFromEnergyLightningDescription	Resistance to lightning damage
Rules/&ConditionProtectedFromEnergyThunderTitle	Protected from Thunder
Rules/&ConditionProtectedFromEnergyThunderDescription	Resistance to thunder damage
Rules/&AlterationFormDissipateSpellFormat	Dissipates spells on objects
Rules/&ConditionMindControlledByConjureAnimalTitle	Conjured Animal
Rules/&ConditionMindControlledByConjureAnimalDescription	This animal has been conjured by another creature.
Rules/&ConditionSilencedTitle	Silenced
Rules/&ConditionWardedByWardingBondTitle	Warded by Warding Bond
Rules/&ConditionWardedByWardingBondDescription	Temp
Rules/&ConditionWaterWalkTitle	Water Walking
Rules/&ConditionWaterWalkDescription	Temp
Rules/&ConditionWaterBreathingTitle	Water Breathing
Rules/&ConditionWaterBreathingDescription	Temp
Rules/&ConditionRestrictedInsideMagicCircleDescription	Temp
Rules/&ConditionProtectedInsideMagicCircleDescription	Temp
Rules/&ConditionComprehendLanguagesTitle	Comprehending Languages
Rules/&ConditionComprehendLanguagesDescription	Can read and speak any language.
Rules/&ConditionStaffOfMetisTitle	Elemental Resistance
Rules/&ConditionStaffOfMetisDescription	Resistance to Cold, Fire, and Lightning damage.
Rules/&ConditionFlying6Description	The target creature gains a flying speed of 6 cells per move action.
Rules/&AlterationFormAbilityScoreIncreaseValueFormat	Increases {0} score by {1}.
Rules/&AlterationFormAbilityScoreIncreaseMaximumFormat	Increases {0} maximum by {1}.
Rules/&ConditionHeavyArmorOverloadDescription	Insufficient STR for this heavy armor. Speed is reduced by 2.
Rules/&ConditionHeavyArmorOverloadTitle	Heavy Armor Overload
Rules/&MoveModeWalkTitle	Walk
Rules/&MoveModeClimbTitle	Climb
Rules/&MoveModeFlyTitle	Fly
Rules/&MoveModeIncorporealTitle	Incorporeal
Rules/&MoveModeSwimTitle	Swim
Rules/&MoveModeBurrowTitle	Burrow
Rules/&ConditionCloakOfDisplacementDescription	Attacks on this creature have disadvantage as long as it is conscious and able to move. Ceases to function until the next turn if damaged.
Rules/&ConditionCloakOfDisplacementTitle	Displaced
Rules/&ConditionHeavilyObscuredDescription	Creature's vision is heavily obscured; disadvantage on attack rolls; attack rolls against creature have disadvantage.
Rules/&ConditionConjuredCreatureDescription	This creature has been conjured by a magical effect
Rules/&ConditionConjuredCreatureTitle	Conjured Creature
Rules/&ConditionBleedingDescription	The creatures takes 1D6 necrotic damage at the beginning of its turn.
Rules/&ConditionBleedingTitle	Doomblade Cut
Rules/&ConditionSilencedDescription	The creature does not emit any sound and cannot speak or cast spells with a verbal component.
Rules/&ConditionProtectedFromEvilDescription	Aberrations, celestials, elementals, feys, fiends, and undead have disadvantage to attack the target, and cannot charm, frighten, or possess it. If the target is already charmed, frightened, or possessed by such a creature, the target has advantage on any new saving throw against the relevant effect.
Rules/&ConditionMarkedByFateDescription	Receives additional damage when hit.
Rules/&ConditionMarkedByFateTitle	Mark of Fate
Rules/&ConditionStepbackDescription	Advantage on the next attack with a bow this turn.
Rules/&ConditionStepbackTitle	Step Back Advantage
Rules/&ConditionInvisibleGreaterDescription	Cannot be seen without magic; the creature has advantage on attacks; attackers have disadvantage. The creature remains invisible even when attacking and casting spells.
Rules/&ConditionInvisibleGreaterTitle	Invisible (Greater)
Rules/&ConditionStoneskinDescription	Resistance to non-magical bludgeoning, slashing, and piercing damage.
Rules/&ConditionStoneskinTitle	Stoneskin
Rules/&ConditionFrightenedPhantasmalKillerDescription	The creature is frightened and receives psychic damage each turn until it succeeds on a saving throw.
Rules/&ConditionFrightenedPhantasmalKillerTitle	Frightened by Phantasm
Rules/&ConditionFireShieldWarmDescription	Resistant to cold and retaliates with fire damage against melee attackers.
Rules/&ConditionFireShieldColdDescription	Resistant to fire and retaliates with cold damage against melee attackers.
Rules/&ConditionDeathWardedTitle	Death Warded
Rules/&ConditionDeathWardedDescription	When reduced to 0 hit points, HP is set to 1 instead, preventing instant death from massive damage or effects.
Rules/&ConditionConfusedTitle	Confused
Rules/&ConditionConfusedDescription	At the start of this turn, the creature can move away, not act at all, melee attack a target within reach, or act normally.
Rules/&ConditionBanishedTitle	Banished
Rules/&ConditionBanishedDescription	The creature is removed from the game for the duration of the spell, unless the spell is broken before then. If the spell remains unbroken for its entire duration, the creature is permanently banished if it is extraplanar (celestial, fiend, elemental).
Rules/&SpecialBehaviourConditionDuringTurnFormat	{3} is affected during the turn.
Rules/&SpecialBehaviourNoneFormat	{3} acts normally.
Rules/&ConditionConfusedAttackTitle	Randomly Attacking
Rules/&ConditionConfusedAttackDescription	The creature must use its action to randomly attack a creature within its reach if possible.
Rules/&ConditionConfusedMoveTitle	Randomly Moving
Rules/&ConditionConfusedMoveDescription	The creature must move in a random direction.
Rules/&ConditionConfusedIncapacitatedTitle	Incapacitated
Rules/&ConditionConfusedIncapacitatedDescription	The creature cannot do anything due to its confusion.
Rules/&ConditionFeatRaiseShieldDescription	You get +3 AC until the end of the attacker's turn.
Rules/&ConditionFeatRaiseShieldTitle	Raised Shield
Rules/&ConditionFeatTwinBladeDescription	You get +3 AC until the end of the attacker's turn.
Rules/&ConditionFeatTwinBladeTitle	Twin Blade Block
Rules/&DurationTurnSingleFormat	{0} turn
Rules/&DurationTurnPluralFormat	{0} turns
Rules/&ConditionFeatTakeAimDescription	Your ranged weapon attacks have no disadvantage or advantage, no matter the conditions.
Rules/&ConditionFeatTakeAimTitle	Taking Aim
Rules/&ConditionFeatRushToBattleDescription	Your movement speed is increased by 3 cells and your AC is reduced by 2 until the start of your turn. 
Rules/&ConditionFeatRushToBattleTitle	Rushing to Battle
Rules/&ConditionDispellingEvilAndGoodTitle	Dispelling Evil and Good
Rules/&ConditionDispellingEvilAndGoodDescription	Celestial, elementals, feys, fiends, and undead have disadvantage on attacks against you. You can also cancel a hostile enchantment or dismiss an extraplanar creature hit by one of your attacks.
Rules/&ConditionMindControlledDescription	The creature is joining the controlling caster.
Rules/&ConditionMindDominatedDescription	The creature's actions are totally controlled by the caster.
Rules/&ConditionMindDominatedTitle	Mind Dominated
Rules/&ConditionOnAcidTitle	Burned by Acid
Rules/&ConditionPheromonedTitle	Pheromone Stink
Rules/&ConditionPheromonedDescription	-3 to Charisma ability checks.
Rules/&ConditionOnAcidDescription	Take 1d3 acid damage at the end of your turn for 3 turns.
Rules/&ActivationTypePermanentTitle	Permanent
Rules/&MonsterSpellcastingTitle	Spellcasting
Rules/&MonsterSpellcastingDescription	The creature has the ability to cast spells.
Rules/&ConditionCalmedByCalmEmotionsEnemyTitle	Calmed Enemy
Rules/&ConditionCalmedByCalmEmotionsEnemyDescription	The creature is indifferent towards enemies unless it is wounded.
Rules/&ConditionCalmedByCalmEmotionsAllyTitle	Calmed Ally
Rules/&ConditionCalmedByCalmEmotionsAllyDescription	The creature cannot be charmed or frightened.
Rules/&ConditionArcaneShockedTitle	Arcane Shocked
Rules/&ConditionArcaneShockedDescription	Your attack spells dice deal at least average damage.
Rules/&ConditionHidingInPlainSightTitle	Hiding in Plain Sight
Rules/&ConditionHidingInPlainSightDescription	+10 DEX (Stealth) while you are standing against a wall.
Rules/&KillFormAlwaysFormat	Target creature is killed.
Rules/&KillFormUnderChallengeRatingFormat	Target creature is killed if its challenge rating is {0} or lower.
Rules/&KillFormUnderHitPointsFormat	Target creature is killed if its remaining hit points are equal to {0} or lower.
Rules/&ConditionSwallowedTitle	Swallowed
Rules/&ConditionSwallowedRemorhazDescription	Cannot act and takes 6d6 acid damage each turn. A single attack of 30 damage can force the swallower to regurgitate.
Rules/&AlterationFormLightUpFormat	Ignites light sources.
Rules/&ReviveFormFormat	Revives a dead character
Rules/&ConditionHeroismDescription	Cannot be frightened and regains temporary hit points every turn
Rules/&RateD6_56FormatTitle	on 5 or 6 on 1d6
Rules/&ConditionOnFire_Elemental_Title	On Fire from Fire Elemental
Rules/&ConditionOnFire_Spider_Title	On Fire from Fire Spider
Rules/&ConditionOnFire_Osprey_Title	On Fire from Fire Osprey
Rules/&OrientationNorthTitle	North
Rules/&OrientationEastTitle	East
Rules/&OrientationSouthTitle	South
Rules/&OrientationWestTitle	West
Rules/&ConditionSwallowedShamblingMoundDescription	Cannot act, and take 2d6+8 bludgeoning damage each turn. A single attack of 15 damage can force the swallower to regurgitate.
Rules/&ApplySelfFormat	{0} (self)
Rules/&OnSpecificCreatureTriggerFormat	On {0}:
Rules/&ConditionLifeDrainedClayGolemDescription	Hit Points are reduced until healed by a Greater Restoration spell from a cleric.
Rules/&ConditionSlowedStoneGolemTitle	Slowed
Rules/&ConditionSlowedStoneGolemDescription	Stone golems can slow nearby enemies.
Rules/&SpellSlotFormCreateSpellSlotFormat	Create a spell slot
Rules/&SpellSlotFormCreateSorceryPointFormat	Creates sorcery points
Rules/&MetamagicOptionCarefulSpellTitle	Careful Spell
Rules/&MetamagicOptionCarefulSpellDescription	Allied creatures affected by the spell automatically succeed their saving throw
Rules/&MetamagicOptionDistantSpellTitle	Distant Spell
Rules/&MetamagicOptionDistantSpellDescription	Doubles the range of a spell or change the range of a touch spell to 30 feet
Rules/&MetamagicOptionEmpoweredSpellTitle	Empowered Spell
Rules/&MetamagicOptionEmpoweredSpellDescription	All damage dice rolls of 1 or 2 are rerolled, keeping the new result
Rules/&MetamagicOptionExtendedSpellTitle	Extended Spell
Rules/&MetamagicOptionExtendedSpellDescription	Doubles the duration of spell lasting 1 minute or more, to a maximum of 24 hours
Rules/&MetamagicOptionHeightenedSpellTitle	Heightened Spell
Rules/&MetamagicOptionHeightenedSpellDescription	Can force a creature to roll the saving throw with disadvantage
Rules/&MetamagicOptionQuickenedSpellTitle	Quickened Spell
Rules/&MetamagicOptionQuickenedSpellDescription	Can cast a main action spell with a bonus action instead, though you can't cast another spell during the same turn, except for cantrips.
Rules/&MetamagicOptionTwinnedSpellTitle	Twinned Spell
Rules/&MetamagicOptionTwinnedSpellDescription	If the source spell targets one creature only, this adds another target
Rules/&RateSorceryPointsFormatTitle	sorcery points
Rules/&SpellSlotFormRecoverSorceryHalfLevelUpFormat	Recover sorcery points up to half your sorcerer level, rounded up
Rules/&ConditionSorcererChildRiftDeflectionTitle	Rift Deflection
Rules/&ConditionSorcererChildRiftDeflectionDescription	Enemies have disadvantage on attack rolls made against you and you gain advantage on saving throws, until the beginning of your next turn
Rules/&RateHitPointsFormatTitle	sacrifice max hp
Rules/&ConditionDisintegratedTitle	Disintegrated
Rules/&ConditionDisintegratedDescription	The creature requires a Resurrection or similar effect to be revived
Rules/&ConditionDiseasedHarmTitle	Harmed
Rules/&ConditionDiseasedHarmDescription	Maximum hit points reduced for an hour or until an effect which cures diseases affects the target
Rules/&AlterationFormFeastFormatSingle	The party feasts for {0} hour
Rules/&AlterationFormFeastFormatPlural	The party feasts for {0} hours
Rules/&ConditionHeroesFeastTitle	Well Fed
Rules/&ConditionHeroesFeastDescription	Immune to poison and being frightened, advantage to WIS saves and current and max hit points increased by 10
Rules/&EffectTargetArcFromIndividualTitle	1{0}+ {1}{2}({3}{4})
Rules/&ConditionEyebiteSickenedTitle	Sickened
Rules/&ConditionEyebiteSickenedDescription	Disadvantage to attack rolls and ability checks
Rules/&ConditionFrightenedEyebitePanickedTitle	Pannicked
Rules/&ConditionFrightenedEyebitePanickedDescription	Must run away from the source of the effect
Rules/&ConditionRagingTitle	Raging
Rules/&RateRagePointsFormatTitle	rage points
Rules/&DurationHourHalfClassLevelFormat	½ class level (hours)
Rules/&ConditionSpiritBearTitle	Bonded with Spirit Bear
Rules/&ConditionSpiritBearDescription	+1 HP per level
Rules/&ConditionSpiritWolfTitle	Bonded with Spirit Wolf
Rules/&ConditionSpiritWolfDescription	+1 AC
Rules/&ConditionSpiritApeTitle	Bonded with Spirit Ape
Rules/&ConditionSpiritApeDescription	Proficiency with DEX saving throws
Rules/&ConditionSpiritViperTitle	Bonded with Spirit Viper
Rules/&ConditionSpiritViperDescription	+1 cell movement
Rules/&ConditionSpiritSpiderTitle	Bonded with Spirit Spider
Rules/&ConditionSpiritSpiderDescription	Spider Climb
Rules/&ConditionSpiritEagleTitle	Bonded with Spirit Eagle
Rules/&ConditionSpiritEagleDescription	Initiative +3
Rules/&EffectTargetFreeSlotTitle	Free Slot
Rules/&ConditionHeatMetalDescription	Disadvantage to attack rolls and ability checks, and can receive further fire damage.
Rules/&ConditionShapeChangedTitle	Changed Shape
Rules/&ConditionMindControlledByCasterDescription	This creature is controlled by the caster of the spell that summoned it.
Rules/&ConditionRagingDescription	Fighting with primal ferocity, you gain damage and resistance.
Rules/&ProficiencyBonusDoubleFormat	+ Proficiency bonus x2
Rules/&ConditionGuidingWindsDescription	The next attack on the target has advantage.
Rules/&ConditionRecklessTitle	Reckless
Rules/&ConditionRecklessDescription	The creature performs melee attacks with advantage on its turn.
Rules/&ConditionRecklessVulnerabilityTitle	Reckless Vulnerability
Rules/&ConditionRecklessVulnerabilityDescription	Attacks against the creature have advantage until the start of its next turn.
Rules/&ConditionDreadfulGlareImmunityTitle	Immune to Mummies' Dreadful Glare
Rules/&ConditionDreadfulGlareImmunityDescription	You are immune to the dreadful glare of mummies and mummy lords for 24 hours.
Rules/&ConditionNegativeEnergyTitle	Touched by Negative Energy
Rules/&ConditionNegativeEnergyDescription	Cannot regain hit points.
Rules/&ConditionRousingShoutTitle	Bolstered by Rousing Shout
Rules/&ConditionRousingShoutDescription	Advantage on your next attack.
Rules/&ConditionMenacedTargetTitle	Menaced
Rules/&ConditionMenacedTargetDescription	The target has disadvantage on attacks on the source of the menace.
Rules/&ConditionBorrowedLuckTitle	Borrowed Luck
Rules/&ConditionBorrowedLuckDescription	You have disadvantage on your next saving throw.
Rules/&ConditionFormAddRandomFormat	Inflicts one of these random conditions: {0}
Rules/&ConditionFormNothingTitle	Nothing
Rules/&ConditionRangerSwiftBladeBattleFocusTitle	Battle Focused
Rules/&ConditionRangerSwiftBladeBattleFocusDescription	All your melee weapon attacks deal an additional 1d8 weapon damage of the weapon's damage type until the start of your next turn.
Rules/&ConditionOathOfJugementWeightOfJusticeTitle	Weight of Justice
Rules/&ConditionOathOfJugementWeightOfJusticeDescription	The next time you hit a creature with a melee weapon attack, they must make a charisma saving throw or they will be restrained for up to 1 minute.
Rules/&ConditionOathOfJugementAuraOfRighteousnessTitle	Aura of Righteousness
Rules/&ConditionOathOfJugementAuraOfRighteousnessDescription	You add damage to your attacks equal to the proficiency bonus of the paladin originating the aura.
Rules/&SpellSlotFormRechargePowerFormat	Recharges the {0} power.
Rules/&ConditionCircleBalanceGiftOfLifeTitle	Gift of Life
Rules/&ConditionCircleBalanceGiftOfLifeDescription	Regain hit points at the start of the caster's next turn.
Rules/&ConditionCircleBalanceEmbracedByColdTitle	Embraced by Cold
Rules/&ConditionCircleBalanceEmbracedByColdDescription	The creature cannot regain hit points.
Rules/&HeightFormatInches	
