AttributeModifier/&AncientForestAttributeModifierBarkskinDescription Класс Доспеха устанавливается на	16.
Reaction/&SpendSpellSlotEldritchSmiteDescription {0} может потратить ячейку заклинания, чтобы нанести цели 1к8 силового урона и дополнительно 1к8 урона за уровень	ячейки.
Reaction/&SpendSpellSlotEldritchSmiteReactDescription Нажмите, чтобы потратить ячейку заклинания и увеличить урон	цели.
Reaction/&SpendSpellSlotEldritchSmiteReactTitle	Порази
Reaction/&SpendSpellSlotEldritchSmiteTitle Жуткий	удар
Reaction/&SubitemSelectEldritchSmiteDescription Выберите уровень слота для вашего Eldritch	Smite.
Reaction/&SubitemSelectEldritchSmiteTitle Уровень	слота
Requirement/&WarlockMissingEldritchBlast Колдовство "Жуткий	взрыв"
Requirement/&WarlockRequiresNoMoonLit Не лунный	покровитель
Requirement/&WarlockRequiresOneWithShadows «Единство с тенями» Жуткое	заклинание
Requirement/&WarlockRequiresPactOfBlade Пакт	клинка
Requirement/&WarlockRequiresPactOfChain Пакт	цепей
Requirement/&WarlockRequiresPactOfTome Пакт	Тома
Rules/&CounterFormDismissCreatureFormat Отклонить конструкцию	Tinkerer
Spell/&AHPactMarkAdditionalDamageDescription Существо, помеченное пактом, получает дополнительный урон 1d6 того же типа, когда оно поражено оружием или атакой заклинанием	маркера.
Spell/&AHPactMarkAdditionalDamageTitle Урон от знака	договора
Spell/&AHPactMarkMarkedByPactConditionDescription Это существо было помечено пактом и получает дополнительный урон 1d6 того же типа при ударе маркером оружием или	заклинанием.
Spell/&AHPactMarkMarkedByPactConditionTitle Договор	отмечен
Spell/&AHPactMarkPactMarkConditionDescription Вы можете пометить других существ меткой договора и нанести им дополнительный урон 1d6 атаками оружием или	заклинаниями.
Spell/&AHPactMarkPactMarkConditionTitle Знак	договора
Spell/&AHPactMarkSpellDescription Вы помещаете метку из своего договора на существо, которое видите в пределах 90 футов. Он становится уязвимым для вас и получает дополнительный урон 1d6 каждый раз, когда вы наносите ему удар оружием или атакой заклинанием. Этот урон того же типа, что и атака, которая	попадает.
Spell/&AHPactMarkSpellTitle Знак	договора
Spell/&AirBlastDescription Выстрелите в цель потоком сфокусированного	воздуха.
Spell/&AirBlastTitle Поток	воздуха
Spell/&EldritchBlastDescription Луч потрескивающей энергии устремляется к существу в пределах досягаемости. Совершите дальнобойную атаку заклинанием по цели. При попадании цель получает силовой урон 1d10.\nЗаклинание создает более одного луча, когда вы достигаете более высоких уровней: два луча на 5-м уровне, три луча на 11-м уровне и четыре луча на 17-м уровне. Вы можете направлять лучи на одну и ту же цель или на разные. Сделайте отдельный бросок атаки для каждого	луча.
Spell/&EldritchBlastGraspingHandDescription Луч потрескивающей энергии устремляется к существу в пределах досягаемости. Совершите дальнобойную атаку заклинанием по цели. При попадании цель получает силовой урон 1d10.\n(Когда вы попадаете в существо своим сверхъестественным взрывом, вы можете переместить это существо по прямой линии на 10 футов ближе к	себе.)
Spell/&EldritchBlastGraspingHandTitle Жуткий взрыв	(захват)
Spell/&EldritchBlastRepellingBlastDescription Луч потрескивающей энергии устремляется к существу в пределах досягаемости. Совершите дальнобойную атаку заклинанием по цели. При попадании цель получает силовой урон 1d10.\n(Когда вы попадаете в существо сверхъестественным взрывом, вы можете оттолкнуть его на расстояние до 10 футов от себя по прямой	линии.)
Spell/&EldritchBlastRepellingBlastTitle Жуткий взрыв	(отталкивающий)
Spell/&EldritchBlastTitle Жуткий	взрыв
Spell/&EldritchOrbDescription Вы бросаете шар сверхъестественной энергии в существо или объект в пределах досягаемости и наносите силовой урон в небольшом	радиусе.
Spell/&EldritchOrbTitle Жуткая	сфера
Spell/&HinderingBlastDescription Луч потрескивающей энергии устремляется к существу в пределах досягаемости. Совершите дальнобойную атаку заклинанием по цели. При попадании цель получает силовой урон 1d10.\n(когда вы попадаете в существо своим сверхъестественным взрывом, вы можете уменьшить скорость этого существа на 10 футов до конца вашего следующего	хода).
Spell/&HinderingBlastTitle Жуткий взрыв	(препятствие)
SpellList/&ClassWarlockSpellListDescription Список заклинаний	чернокнижника.
SpellList/&ClassWarlockSpellListTitle Список заклинаний	чернокнижника
SpellList/&RiftWalkerSpellsListDescription Список заклинаний	RiftWalker.
SpellList/&RiftWalkerSpellsListTitle Список заклинаний Rift	Walker
Stage/&SubclassSelectionStagePatronDescription Чернокнижник определяется договором с потусторонним существом. Иногда отношения между Чернокнижником и покровителем подобны отношениям Клерика и божества, хотя существа, служащие покровителями, не являются	богами.
Stage/&SubclassSelectionStagePatronFeatures Потусторонние покровители	Особенности
Stage/&SubclassSelectionStagePatronHeader Чернокнижник Потусторонние	покровители
Stage/&SubclassSelectionStagePatronTitle Потусторонние	покровители
Subclass/&AHWarlockSubclassSoulBladePactDescription Вы заключили сделку с разумным оружием, которому вы кормите души в обмен на	силу.
Subclass/&AHWarlockSubclassSoulBladePactTitle Пакт клинка	души
Subclass/&ClassWarlockPatronDescription Чернокнижник определяется договором с потусторонним существом. Иногда отношения между Чернокнижником и покровителем подобны отношениям Клерика и божества, хотя существа, служащие покровителями, не являются	богами.
Subclass/&ClassWarlockPatronTitle Потусторонний	покровитель
Subclass/&DHWarlockSubclassElementalPatronDescription Вы заключили договор и были изменены первородными, обитающими в стихийных бесплодных землях. Стихийный хаос покровителя наполнил вашу душу, позволив вам использовать силу разных стихийных	типов.
Subclass/&DHWarlockSubclassElementalPatronTitle Пакт	элементалиста
Subclass/&DHWarlockSubclassRiftWalkerDescription Ваш покровитель — одно из редких существ, называющих пустоту между мирами своим домом. Они легко скользят между планами, и знания, которые вы получили от взаимодействия с ними, позволяют вам использовать затянувшиеся энергии разлома в свою пользу в соласте. Иногда вас может наполнять тоска по далекому царству вашего покровителя, желание бродить между измерениями до конца своих дней или высматривать признаки другого события Разлома, чтобы предотвратить или поощрить	его.
Subclass/&DHWarlockSubclassRiftWalkerTitle Пакт Путника	Разлома
Subclass/&WarlockAncientForestDescription Вы установили отношения с могущественной природной сущностью: древними дриадами, архидруидами, проявлениями Страны Фей, истекающими кровью в материальный план, забытыми богами из первобытной эпохи. Ваш покровитель может желать, чтобы вы защищали мир природы, путешествовали в дальние страны, куда он не может, или у него может быть другой мотив, который кажется непостижимым для недолговечных	смертных.
Subclass/&WarlockAncientForestTitle Пакт Древнего	Леса
Subclass/&WarlockMoonLitDescription Ваш покровитель — дух луны, сущность, воплощающая циклическую природу света и тьмы. Эти духи стремятся сохранить власть луны над ночным небом, одновременно сдерживая нечестивые силы, преследующие тьму, и поручают им своих колдунов, предоставляя им власть над силами луны и ее	эффектами.
Subclass/&WarlockMoonLitTitle Лунный	пакт
Subclass/&WarlockToadKingDescription Фей, демон или аберрация, вызванная Катаклизмом, истинная природа Короля-жабы неизвестна, но известно, что Король-жаба правит большой территорией болот и болот в Бесплодных землях и предлагает силу тем, кто готов	служить.
Subclass/&WarlockToadKingTitle Пакт короля	жаб
Subclass/&WarlockUrPriestDescription В то время как подавляющее большинство божественных заклинателей получают свои силы от божества, есть и те, кто презирает богов. Те, кто называет себя Ур-жрецами, научились выкачивать божественную энергию, дарованную богами своим божественным заклинателям, используя ее для своих собственных нужд, не оказывая даже на словах никакого внимания какому-либо богу. Как Ур-жрец, вы отличаетесь от большинства чернокнижников тем, что у вас нет покровителя, который наделяет вас силой. Жуткие заклинания, которые вы обнаружите, представляют собой искаженные формы магии, которые боги могут даровать своим покровителям, в то время как Дары Договора, скорее всего, являются божественными артефактами, которые вам удалось	украсть.
Subclass/&WarlockUrPriestTitle Ур-Жрец	Пакт
