Modal/&AssertionFailedTtitle	Assertion Failed
Modal/&SpellSlotRecoverButtonTitle	Recover
Modal/&SpellSlotRecoverButtonDescription	Confirm to recover the selected spell slots.
Modal/&MultiplayerRoomCreationErrorTitle	Room Creation Error
Modal/&MultiplayerRoomCreationErrorDuplicateDescription	A room with this name already exists. Please try another one.
Modal/&MultiplayerRoomCreationErrorUnknownDescriptionFormat	Room could not be created: code {0}.
Modal/&MultiplayerConnexionErrorTitle	Connection Failed
Modal/&MultiplayerConnexionErrorDescription	Could not connect to the Photon multiplayer services. Please ensure that you have a stable connection and try again.
Modal/&MultiplayerRoomJoinErrorTitle	Join Room Failed
Modal/&MultiplayerRoomJoinErrorFullDescription	The room is full.
Modal/&MultiplayerRoomJoinErrorClosedDescription	The room is closed.
Modal/&MultiplayerRoomJoinErrorInexistantDescription	The room does not exist.
Modal/&MultiplayerRoomJoinErrorUnknownDescriptionFormat	The room could not be joined: code {0}.
Modal/&MultiplayerRoomJoinErrorNotFoundDescription	The room could not be found. Check the name and try again.
Modal/&MultiplayerRoomJoinErrorWrongPasswordDescription	The password is incorrect.
Modal/&MultiplayerDisconnectedTitle	Cannot Connect to Photon
Modal/&MultiplayerDisconnectedDescription	Sorry, Photon Cloud is currently not available. Please check your internet connection and try again later.
Modal/&MultiplayerDisconnectedReturnToMenuDescription	Sorry, Photon Cloud is currently not available. You can either keep playing offline or return to the main menu to try again later.
Modal/&SessionPasswordInputTitle	Game Session Password
Modal/&SessionPasswordInputDescription	You must input a valid password to enter the "{0}" game session.
Modal/&MultiplayerRoomJoinErrorGameAlreadyStartedDescription	The session has already started and cannot be joined.
Modal/&NewSavedGameTitle	New Saved Game
Modal/&ShortcutConfigATitle	Switch to Config A
Modal/&ShortcutConfigBTitle	Switch to Config B
Modal/&ShortcutConfigCTitle	Switch to Config C
Modal/&ShortcutCastLightingSpellTitle	Cast Light Spell
Modal/&ShortcutStopConcentratingTitle	Dismiss Concentration
Modal/&LoadingProceedButtonConsoleTitle	Press any button to continue
Modal/&GamepadControlsTitle	Controller Mappings
Modal/&GamepadControlsShortTitle	Controller
Modal/&GamepadControlsDescription	Displays a screen showing how the controller inputs are bound to in-game actions.
Modal/&GamepadControlsToggleExplorationTitle	Exploration
Modal/&GamepadControlsToggleBattleTitle	Battle
Modal/&GamepadControlsToggleMenusTitle	Menus
