ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lanzar hechizos.
Equipment/&Enchanted_StuddedLeather_Sturdiness_Title	Cuero tachonado de robustez
Equipment/&Enchanted_StuddedLeather_Survival_Description	Esta armadura encantada fue creada usando el antiguo conocimiento de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_StuddedLeather_Survival_Title	Cuero tachonado de supervivencia
Equipment/&Enchanted_Warhammer_Acuteness_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Warhammer_Acuteness_Title	Warhammer de la agudeza
Equipment/&Enchanted_Warhammer_Bearclaw_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Manacalon. Las puntas afiladas de la garra del oso destrozan la armadura para infligir daño adicional. La primera arma de este tipo fue diseñada por Ildurial Stronghand.
Equipment/&Enchanted_Warhammer_Bearclaw_Title	Martillo de guerra garra de oso
Equipment/&Enchanted_Warhammer_Lightbringer_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Colthannin. Fue diseñado por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Warhammer_Lightbringer_Title	Martillo de guerra Iluminado
Equipment/&Enchanted_Warhammer_Power_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Manacalon. Algunas criaturas solo respetan las fuerzas físicas. Los arcanistas de Manacalon crearon este Warhammer para dar a los campeones de las Legiones de Hierro la fuerza que sus cuerpos élficos no les proporcionaban.
Equipment/&Enchanted_Warhammer_Power_Title	Martillo de guerra de poder
Equipment/&Enchanted_Warhammer_Punisher_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. La combinación del mejor metal y Slavestone le dio a este hacha un increíble poder de perforación.
Equipment/&Enchanted_Warhammer_Punisher_Title	Martillo de guerra castigador
Equipment/&HerbalBrewDamageAffinityAcidResistanceDescription	Gana resistencia al daño por ácido durante 1 hora.
Equipment/&HerbalBrewDamageAffinityAcidResistanceTitle	Brebaje de protección ácida
Equipment/&HerbalBrewDamageAffinityLightningResistanceDescription	Obtienes resistencia al daño por rayos durante 1 hora.
Equipment/&HerbalBrewDamageAffinityLightningResistanceTitle	Brebaje de protección contra rayos
Equipment/&HerbalBrewDamageAffinityNecroticResistanceDescription	Gana resistencia al daño necrótico durante 1 hora.
Equipment/&HerbalBrewDamageAffinityNecroticResistanceTitle	Brebaje de protección necrótica
Equipment/&HerbalBrewDamageAffinityPoisonResistanceDescription	Gana resistencia al daño por veneno durante 1 hora.
Equipment/&HerbalBrewDamageAffinityPoisonResistanceTitle	Brebaje de protección contra el veneno
Equipment/&HerbalBrewDamageAffinityRadiantResistanceDescription	Obtienes resistencia al daño radiante durante 1 hora.
Equipment/&HerbalBrewDamageAffinityRadiantResistanceTitle	Brebaje de protección radiante
Equipment/&HerbalBrewHealingTitle	Brebaje de aceleración
Equipment/&HerbalBrewToxifyingTitle	Brebaje de intoxicación
Equipment/&ImprovedLightningSpearDescription	Inflige 1d6 de daño de rayo con 1d6 de daño de rayo adicional una vez por turno.\nPuede crear ventajas para los aliados y desventajas para los enemigos con un solo ataque.
Equipment/&ImprovedLightningSpearTitle	Lanza relámpago mejorada
Equipment/&ImprovedThunderPunchDescription	Inflige 1d8 de daño de trueno al impactar e impone una desventaja en las tiradas de ataque contra los aliados.\nAtrae a los enemigos hasta 30 pies con una acción adicional y luego inflige 1d8 de daño de trueno.
Equipment/&ImprovedThunderPunchTitle	Golpe de trueno mejorado
Equipment/&LightningSpearDescription	Inflige 1d6 de daño de rayo con 1d6 de daño de rayo adicional una vez por turno.
Equipment/&LightningSpearTitle	Lanza relámpago
Equipment/&LivewoodClubDescription	Este club está compuesto de madera viva completa con hojas que brotan y quizás flores de temporada. Se puede utilizar como foco para el lanzamiento de hechizos druídicos.
Equipment/&LivewoodClubTitle	Club de madera viva
Equipment/&LivewoodStaffDescription	Este bastón está compuesto de madera viva completa con hojas que brotan y quizás flores de temporada. Se puede utilizar como foco para el lanzamiento de hechizos druídicos.
Equipment/&LivewoodStaffTitle	Bastón de madera viva
Equipment/&ThunderPunchDescription	Inflige 1d8 de daño de trueno al impactar e impone una desventaja en las tiradas de ataque contra los aliados.
Equipment/&ThunderPunchTitle	Golpe de trueno
Equipment/&WandIdentifyDescription	Lanza el hechizo Identificar gastando una carga. La varita tiene 3 cargas y recupera 1d3 cargas cada amanecer.
Equipment/&WandIdentifyTitle	Varita de identificación
Failure/&FailureFlagTargetMeleeWeaponError	No se puede realizar un ataque cuerpo a cuerpo en este objetivo con el arma actual
Feat/&AddConstructCantripsDescription	Agrega cantrips para sanar y descartar tus construcciones.
Feat/&AddConstructCantripsTitle	Construir trucos
Feat/&AddProtectorConstructCantripDescription	Agrega cantrips Mending Construct y Dismiss Construct para aumentar la flexibilidad de sus construcciones.
Feat/&AddProtectorConstructCantripTitle	Cantrips adicionales de construcción
Feat/&AlchemistSubclassElixirsDescription	Aprende a hacer elixires experimentales: Curación, Rapidez, Resiliencia, Audacia, Vuelo.
Feat/&AlchemistSubclassElixirsTitle	Elixires Experimentales
Feat/&AlchemistSubclassSpellsDescription	{0}.
Feat/&AlchemistSubclassSpellsTitle	Aprende hechizos para hacer pociones
Feat/&ArmorModePoolDescription	Te permite activar los modos de armadura una vez por breve descanso.
Feat/&ArmorModePoolTitle	Modo de armadura
Feat/&ArtificerAlchemistAlchemicalSavantDescription	Cuando sanas, sanas PS adicionales iguales a 1d4 + tu nivel.
Feat/&ArtificerAlchemistAlchemicalSavantTitle	Elixir aprendido
Feat/&ArtificerAlchemistBoldnessElixirDescription	Puede lanzar un d4 y agregar el número obtenido a cada tirada de ataque y tirada de salvación que haga durante 1 minuto.
Feat/&ArtificerAlchemistBoldnessElixirTitle	Elixir de audacia
Feat/&ArtificerAlchemistFlyElixirDescription	Gana una velocidad de vuelo de 10 pies durante 10 minutos.
Feat/&ArtificerAlchemistFlyElixirTitle	Fly Elixir
Feat/&ArtificerAlchemistHealElixirDescription	Cura al objetivo por 2d4 + modificador de Inteligencia.
Feat/&ArtificerAlchemistHealElixirTitle	Elixir curativo
Feat/&ArtificerAlchemistResilienceElixirDescription	Aumenta la CA objetivo en +1 durante 10 minutos.
Feat/&ArtificerAlchemistResilienceElixirTitle	Elixir de resiliencia
Feat/&ArtificerAlchemistSwiftnessElixirDescription	Aumenta la velocidad de movimiento del objetivo en 10 pies durante 1 hora.
Feat/&ArtificerAlchemistSwiftnessElixirTitle	Elixir de rapidez
Feat/&ArtificerArtilleristArcaneFirearmDescription	Al lanzar hechizos de evocación, inflige 1d8 de daño adicional una vez por turno.
Feat/&ArtificerArtilleristArcaneFirearmTitle	Mejora de voladura
Feat/&ArtificerArtillerstDetonationSpellPreparedDescription	Ganas la habilidad de detonar uno de tus dispositivos causando daño a aquellos cerca del objetivo.
Feat/&ArtificerArtillerstDetonationSpellPreparedTitle	Detonación de dispositivos
Feat/&ArtificerArtillerstImprovedCannonsDescription	El efecto de tus cañones aumenta. Daño adicional del fuego, un objetivo adicional de la fuerza y ​​HP temporal adicional del escudo.
Feat/&ArtificerArtillerstImprovedCannonsTitle	Cañones mejorados
Feat/&ArtificialServantAttackDescription	Ataque a distancia 1d6 de daño de fuerza de tu compañero de confianza.
Feat/&ArtificialServantAttackTitle	Eslinga de fuerza
Feat/&ArtificialServantDescription	El sirviente es amistoso contigo y tus compañeros, y obedece tus órdenes.
Feat/&ArtificialServantTitle	Sirviente artificial
Feat/&ArtilleristCannonDetonationDescription	Detona uno de tus dispositivos causando que las criaturas dentro de los 20 pies de la ubicación objetivo realicen una salvación de Destreza. Las criaturas reciben 3d8 puntos de daño por fuerza en una salvación fallida, y la mitad de daño en una con éxito.
Feat/&ArtilleristCannonDetonationTitle	Detonación de dispositivos
Feat/&ArtilleristFlameCannon15Description	Lanza fuego en un cono como acción adicional, lo que inflige 6d8 de daño por fuego si los objetivos fallan una tirada de salvación DEX.
Feat/&ArtilleristFlameCannon15Title	Echador de llama
Feat/&ArtilleristFlameCannon9Description	Lanza fuego en un cono como acción adicional, lo que inflige 3d8 de daño por fuego si los objetivos fallan una tirada de salvación DEX.
Feat/&ArtilleristFlameCannon9Title	Echador de llama
Feat/&ArtilleristFlameCannonDescription	Lanza fuego en un cono como acción adicional, lo que inflige 2d8 de daño por fuego si los objetivos fallan una tirada de salvación DEX.
Feat/&ArtilleristFlameCannonTitle	Echador de llama
Feat/&ArtilleristForceCannon15Description	Realiza un ataque a distancia contra hasta 2 objetivos como acción adicional e inflige 3d8 de daño de fuerza con un golpe.
Feat/&ArtilleristForceCannon15Title	Cañón de fuerza
Feat/&ArtilleristForceCannon9Description	Realiza un ataque a distancia como acción adicional e inflige 3d8 de daño de fuerza con un golpe.
Feat/&ArtilleristForceCannon9Title	Cañón de fuerza
Feat/&ArtilleristForceCannonDescription	Realiza un ataque a distancia como acción adicional e inflige 2d8 de daño de fuerza con un golpe.
Feat/&ArtilleristForceCannonTitle	Cañón de fuerza
Feat/&ArtilleristProtectorCannon15Description	Emite energía positiva como acción adicional. Los aliados en un radio de 20 pies obtienen PS temporales equivalentes a 1d8 + tu modificador de Inteligencia.
Feat/&ArtilleristProtectorCannon15Title	Escudo Arcano
Feat/&ArtilleristProtectorCannonDescription	Emite energía positiva como acción adicional. Los aliados en un radio de 10 pies obtienen PS temporales equivalentes a 1d8 + tu modificador de Inteligencia.
Feat/&ArtilleristProtectorCannonTitle	Escudo Arcano
Feat/&ArtilleristSubclassSpellsDescription	{0}.
Feat/&ArtilleristSubclassSpellsTitle	Aprende hechizos de blaster
Feat/&ArtilleryConstructDescription	Puede dañar o proteger a los aliados.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsDescription	Trucos:Construcción reparadora, Descartar construcción\nNivel 1: reanudar la construcción de artillería.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsTitle	Construir hechizos
Feat/&ArtilleryConstructLevel09AutopreparedSpellsDescription	Obtienes hechizos de bonificación que se consideran hechizos de Tinkerer para ti, siempre están preparados y no cuentan contra la cantidad de hechizos de Tinkerer que conoces.
Feat/&ArtilleryConstructLevel09AutopreparedSpellsTitle	Construir hechizos
Feat/&ArtilleryConstructLevel15AutopreparedSpellsDescription	Obtienes hechizos de bonificación que se consideran hechizos de Tinkerer para ti, siempre están preparados y no cuentan contra la cantidad de hechizos de Tinkerer que conoces.
Feat/&ArtilleryConstructLevel15AutopreparedSpellsTitle	Construir hechizos
Feat/&ArtilleryModePoolDescription	Elige tu modo de artillería.
Feat/&ArtilleryModePoolTitle	Modo artillería
Feat/&AttackModifierArtificerBattleSmithJolt2Description	Tus ataques con armas infligen 3 daños adicionales.
Feat/&AttackModifierArtificerBattleSmithJolt2Title	Sacudida de ataque de arma mejorada
Feat/&AttackModifierArtificerBattleSmithJoltDescription	Tus ataques con armas infligen 3 daños adicionales.
Feat/&AttackModifierArtificerBattleSmithJoltTitle	Sacudida de ataque de arma
Feat/&AutoPreparedSpellsDescription	{0}.
Feat/&AutoPreparedSpellsTitle	Aprende hechizos de Scout Sentinel
Feat/&BattleSmithSubclassSpellsDescription	{0}.
Feat/&BattleSmithSubclassSpellsTitle	Aprende hechizos de herrero de armas
Feat/&CancelFlyingConditionDescription	Finalice la condición de vuelo para permitir saltar y gatear.
Feat/&CancelFlyingConditionTitle	Cancelar volar
Feat/&ChefConDescription	Aumenta tu Constitución en 1, hasta un máximo de 20.\nPuedes pasar 1 hora cocinando una comida para curarte a ti y a tus compañeros por 1d8 HP.\nUna vez al día, puede pasar una hora para cocinar golosinas que proporcionan HP temporal cuando se comen.
Feat/&ChefConTitle	Chef (Constitución)
Feat/&ChefShortRestFeastDescription	Puedes pasar 1 hora cocinando una comida para curarte a ti y a tus compañeros por 1d8 HP.
Feat/&ChefShortRestFeastTitle	Comida de descanso breve
Feat/&ChefWisDescription	Aumenta tu Sabiduría en 1, hasta un máximo de 20.\nPuedes pasar 1 hora cocinando una comida para curarte a ti y a tus compañeros por 1d8 HP.\nUna vez al día, puede pasar una hora para cocinar golosinas que proporcionan HP temporal cuando se comen.
Feat/&ChefWisTitle	Cocinero (Sabiduría)
Feat/&ConstructSelectingPoolDescription	Seleccione el modo para su construcción.
Feat/&ConstructSelectingPoolTitle	Modo artillería
Feat/&DeadeyeFeatDescription	Has dominado las armas a distancia y puedes hacer disparos que otros encuentran imposibles.\n• Atacar a larga distancia no supone una desventaja en las tiradas de ataque con armas a distancia.\n• Tus ataques con armas a distancia ignoran la cobertura media y las tres cuartas partes.\n• Puedes optar por recibir una penalización de -5 en tu tirada de ataque con armas a distancia. Si el ataque impacta, infliges 10 daños adicionales del tipo del arma.
Feat/&DeadeyeFeatTitle	Vigota
Feat/&DismissConstructDescription	Anule la invocación de su construcción.
Feat/&DismissConstructTitle	Descartar Construir
Feat/&DualFlurryDescription	Eres un maestro de la lucha con armas combinadas. En cualquier turno en el que golpees dos veces con ataques cuerpo a cuerpo mientras empuñas un arma en cada mano, puedes realizar un ataque adicional con la mano secundaria cuando atacas con tu acción de bonificación.
Feat/&DualFlurryTitle	ráfaga dual
Feat/&ExtraInfusionSlotsDescription	Obtiene espacios de infusión adicionales que deben usarse en armaduras/armas.
Feat/&ExtraInfusionSlotsTitle	Infusiones Extra
Feat/&FeatArcaneDefenseDescription	Aumenta tu Inteligencia en 1, hasta un máximo de 20.\nMientras no llevas ninguna armadura, tu CA es igual a 10 + tu modificador de Destreza + tu modificador de Inteligencia.
Feat/&FeatArcaneDefenseTitle	Defensa Arcana
Feat/&FeatArcanePrecisionDescription	Puedes usar una acción adicional para seleccionar un arma. Sus ataques cuentan como mágicos y usas tu Inteligencia para tus tiradas de ataque y daño durante 1 minuto. Esta función se puede utilizar dos veces por descanso prolongado.
Feat/&FeatArcanePrecisionTitle	Precisión Arcana
Feat/&FeatBlindFightingStlyeDescription	Tienes visión ciega con un alcance de 10 pies.
Feat/&FeatBlindFightingStlyeTitle	Estilo de lucha: lucha a ciegas
Feat/&FeatBrutalThugDescription	Das golpes poderosos en los lugares correctos.\nObtienes competencias en armas simples y marciales.\nPuedes atacar furtivamente usando armas marciales.
Feat/&FeatBrutalThugTitle	matón brutal
Feat/&FeatChaIncrementDescription	Aumenta tu Carisma en 1, hasta un máximo de 20.
Feat/&FeatChaIncrementTitle	Aumento del atributo de carisma
Feat/&FeatCharismaticDefenseDescription	Aumenta tu Carisma en 1, hasta un máximo de 20.\nMientras no llevas ninguna armadura, tu CA es igual a 10 + tu modificador de Destreza + tu modificador de Carisma.
Feat/&FeatCharismaticDefenseTitle	Defensa carismática
Feat/&FeatCharismaticPrecisionDescription	Puedes usar una acción adicional para seleccionar un arma. Sus ataques cuentan como mágicos y usas tu Carisma para tus tiradas de ataque y daño durante 1 minuto. Esta función se puede utilizar dos veces por descanso prolongado.
Feat/&FeatCharismaticPrecisionTitle	Precisión carismática
Feat/&FeatChefConIncrementDescription	Aumenta tu Constitución en 1, hasta un máximo de 20.
Feat/&FeatChefConIncrementTitle	Aumento de atributos
Feat/&FeatChefWisIncrementDescription	Aumenta tu Sabiduría en 1, hasta un máximo de 20.
Feat/&FeatChefWisIncrementTitle	Aumento de atributos
Feat/&FeatCripplingDescription	Cuando golpeas con un ataque cuerpo a cuerpo, puedes reducir la velocidad de tu oponente en 10 pies hasta el comienzo de tu próximo turno.
Feat/&FeatCripplingTitle	Estilo de lucha: incapacitante
Feat/&FeatDexIncrementDescription	Aumenta tu Destreza en 1, hasta un máximo de 20.
Feat/&FeatDexIncrementTitle	Aumento de atributos
Feat/&FeatDualWeaponDefenseDescription	Obtienes una bonificación de +1 a la CA mientras empuñas un arma cuerpo a cuerpo separada en cada mano.
Feat/&FeatDualWeaponDefenseTitle	Defensa con dos armas
Feat/&FeatFastHandsDescription	Obtienes Acción astuta. Puede usar las acciones Ocultar o Desconectar como una acción adicional.\nPuedes usar tu Acción Astuta para hacer una prueba de Destreza (Juego de manos), usar tus herramientas de ladrón para Desarmar una trampa o abrir una cerradura, o tomar la acción Usar un Objeto.
Feat/&FeatFastHandsTitle	manos rapidas
Feat/&FeatFeyTeleportationChaDescription	Aumenta tu Carisma en 1, hasta un máximo de 20.\nPuedes usar paso brumoso una vez por descanso breve, y puedes lanzar este hechizo con tus espacios de hechizo.\nObtienes competencia en Tirmarian.
Feat/&FeatFeyTeleportationChaTitle	Teletransportación Fey (Carisma)
Feat/&FeatFeyTeleportationIntDescription	Aumenta tu Inteligencia en 1, hasta un máximo de 20.\nPuedes usar paso brumoso una vez por descanso breve, y puedes lanzar este hechizo con tus espacios de hechizo.\nObtienes competencia en Tirmarian.
Feat/&FeatFeyTeleportationIntTitle	Teletransportación Fey (Inteligencia)
Feat/&FeatFeyTeleportationWisDescription	Aumenta tu Sabiduría en 1, hasta un máximo de 20.\nPuedes usar paso brumoso una vez por descanso breve, y puedes lanzar este hechizo con tus espacios de hechizo.\nObtienes competencia en Tirmarian.
Feat/&FeatFeyTeleportationWisTitle	Teletransportación Fey (Sabiduría)
Feat/&FeatFightingSurgeDexterityDescription	Aumenta tu Destreza en 1, hasta un máximo de 20.\nEn tu turno, puedes realizar una acción adicional además de tu acción habitual. Una vez que use esta función, debe terminar un descanso prolongado antes de poder usarla nuevamente.
Feat/&FeatFightingSurgeDexterityTitle	Oleada de lucha (Destreza)
Feat/&FeatFightingSurgeStrengthDescription	Aumenta tu Fuerza en 1, hasta un máximo de 20.\nEn tu turno, puedes realizar una acción adicional además de tu acción habitual. Una vez que use esta función, debe terminar un descanso prolongado antes de poder usarla nuevamente.
Feat/&FeatFightingSurgeStrengthTitle	Oleada de lucha (Fuerza)
Feat/&FeatHeavyArmorMasterClassDescription	Obtienes resistencia al daño contundente, cortante y perforante.
Feat/&FeatHeavyArmorMasterClassTitle	Dominio de la defensa pesada
Feat/&FeatImprovedCriticalDescription	Tus ataques son golpes críticos con una tirada de 19 o 20.
Feat/&FeatImprovedCriticalTitle	Crítico mejorado
Feat/&FeatIntIncrementDescription	Aumenta tu Inteligencia en 1, hasta un máximo de 20.
Feat/&FeatIntIncrementTitle	Aumento del atributo de inteligencia
Feat/&FeatLightArmorDescription	Aumenta tu Fuerza en 1, hasta un máximo de 20.\nObtienes competencia con armadura ligera.
Feat/&FeatLightArmorProficiencyDescription	Adquiere competencia con armadura ligera.
Feat/&FeatLightArmorProficiencyTitle	Armadura ligera
Feat/&FeatLightArmorTitle	Armadura ligera
Feat/&FeatMarksmanDescription	Cuando un oponente que puedes ver te ataca con un arma a distancia o un hechizo y está al menos a 10 pies de distancia de ti, puedes usar tu reacción para realizar un ataque con arma a distancia después de que termine el ataque desencadenante.
Feat/&FeatMarksmanTitle	Tirador escondido
Feat/&FeatMediumArmorDexDescription	Aumenta tu Destreza en 1, hasta un máximo de 20.\nObtienes competencia con armaduras y escudos medianos.
Feat/&FeatMediumArmorDexTitle	Armadura Media (Destreza)
Feat/&FeatMediumArmorProficiencyDescription	Obtienes competencia con armaduras y escudos medianos.
Feat/&FeatMediumArmorProficiencyTitle	Armadura mediana
Feat/&FeatMediumArmorStrengthDescription	Aumenta tu Fuerza en 1, hasta un máximo de 20.\nObtienes competencia con armaduras y escudos medianos.
Feat/&FeatMediumArmorStrengthTitle	Armadura Media (Fuerza)
Feat/&FeatMetamagicAdeptCarefulDescription	Aumenta tu Carisma en 1, hasta un máximo de 20.\nAprendes la metamagia Cuidadosa y ganas 2 puntos de hechicería.
Feat/&FeatMetamagicAdeptCarefulTitle	Metamagia: Cuidado
Feat/&FeatMetamagicAdeptDistantDescription	Aumenta tu Carisma en 1, hasta un máximo de 20.\nAprendes la metamagia Distante y ganas 2 puntos de hechicería.
Feat/&FeatMetamagicAdeptDistantTitle	Metamagia: Distante
Feat/&FeatMetamagicAdeptEmpoweredDescription	Aumenta tu Carisma en 1, hasta un máximo de 20.\nAprendes la metamagia potenciada y ganas 2 puntos de hechicería.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Metamagia: Empoderada
Feat/&FeatMetamagicAdeptExtendedDescription	Aumenta tu Carisma en 1, hasta un máximo de 20.\nAprendes la metamagia extendida y ganas 2 puntos de hechicería.
Feat/&FeatMetamagicAdeptExtendedTitle	Metamagia: extendida
Feat/&FeatMetamagicAdeptHeightenedDescription	Aprendes la metamagia intensificada y ganas 4 puntos de hechicería.
Feat/&FeatMetamagicAdeptHeightenedTitle	Metamagia: aumentada
Feat/&FeatMetamagicAdeptQuickenedDescription	Aumenta tu Carisma en 1, hasta un máximo de 20.\nAprendes la metamagia acelerada y ganas 2 puntos de hechicería.
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamagia: Acelerado
Feat/&FeatMetamagicAdeptTwinnedDescription	Aumenta tu Carisma en 1, hasta un máximo de 20.\nAprendes la metamagia Twinned y ganas 2 puntos de hechicería.
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamagia: Hermanados
Feat/&FeatPolearmExpertDescription	Tu formación experta con armas de asta te otorga estos beneficios:\n• Cuando realizas la acción Atacar y atacas solo con un arma de asta, puedes usar una acción adicional para realizar un ataque cuerpo a cuerpo con el extremo opuesto del arma. Este ataque usa el mismo modificador de habilidad que el ataque principal. El dado de daño del arma para este ataque es un d4, e inflige daño contundente.\n• Mientras empuñas un arma de asta, otras criaturas provocan un ataque de oportunidad tuyo cuando entran en el alcance que tienes con esa arma.
Feat/&FeatPolearmExpertTitle	Experto en armas de asta
Feat/&FeatPrimalConstitutionDescription	Aumenta tu Constitución en 1, hasta un máximo de 20.\nPuedes ingresar una ira como una acción adicional como se define en la característica de clase de ira del bárbaro con un daño de ira de +1 que se puede acumular con la ira del bárbaro. Una vez que te hayas enfurecido de esta manera, debes terminar un descanso prolongado antes de volver a usar esta característica.\nMientras no llevas ninguna armadura, tu CA es igual a 10 + tu modificador de Destreza + tu modificador de Constitución.
Feat/&FeatPrimalConstitutionTitle	Rabia primigenia (Constitución)
Feat/&FeatPrimalStrengthDescription	Aumenta tu Fuerza en 1, hasta un máximo de 20.\nPuedes ingresar una ira como una acción adicional como se define en la característica de clase de ira del bárbaro con un daño de ira de +1 que se puede acumular con la ira del bárbaro. Una vez que te hayas enfurecido de esta manera, debes terminar un descanso prolongado antes de volver a usar esta función.\nMientras no llevas ninguna armadura, tu CA es igual a 10 + tu modificador de Destreza + tu modificador de Constitución.
Feat/&FeatPrimalStrengthTitle	Rabia primigenia (Fuerza)
Feat/&FeatPugilistFightingStlyeDescription	Tus golpes sin armas infligen 1d4 de daño contundente adicional y puedes golpear con tu mano izquierda como acción adicional.\nSi tienes una mano libre, puedes empujar como acción adicional.
Feat/&FeatPugilistFightingStlyeTitle	Estilo de lucha: Pugilista
Feat/&FeatRangedExpertDescription	Tu entrenamiento experto con armas a distancia te otorga estos beneficios:\n• Ya no tienes desventaja en los ataques a distancia cuando hay un enemigo a menos de 5 pies de ti.\n• Si realizas la acción de Ataque en tu turno, puedes usar una acción adicional para realizar un ataque con un arma arrojadiza oa distancia de una mano.
Feat/&FeatRangedExpertTitle	Experto a distancia
Feat/&FeatSavageAttackerDescription	Vuelve a tirar los dados de daño con armas y hechizos cuando saques un 1 (esto no vuelve a tirar los dados de todas las fuentes de daño. Por ejemplo, el ataque furtivo y el daño de castigo no se vuelven a tirar).
Feat/&FeatSavageAttackerReroll	Debido a que es un atacante salvaje, {0} vuelve a tirar el dado {1} de {2} a {3}
Feat/&FeatSavageAttackerTitle	Atacante salvaje
Feat/&FeatSentinelDescription	Has dominado técnicas para aprovechar cada descenso en la guardia de cualquier enemigo, obteniendo los siguientes beneficios:\n• Cuando golpeas a una criatura con un ataque de oportunidad, la velocidad de la criatura se vuelve 0 por el resto del turno.\n• Las criaturas provocan ataques de oportunidad de tu parte incluso si realizan la acción de Retirarse antes de dejar tu alcance.\n• Cuando una criatura realiza un ataque contra un objetivo que no seas tú (y ese objetivo no tiene esta dote), puedes usar tu reacción para realizar un ataque con arma cuerpo a cuerpo contra la criatura atacante.
Feat/&FeatSentinelTitle	Centinela
Feat/&FeatShadowTouchedChaDescription	Aumenta tu atributo Carisma en 1, hasta un máximo de 20.\nObtienes la capacidad de lanzar hechizos de invisibilidad, infligir heridas y vida falsa una vez por descanso prolongado y puedes lanzar estos hechizos con tus espacios de hechizo.
Feat/&FeatShadowTouchedChaTitle	Tocado por las Sombras (Carisma)
Feat/&FeatShadowTouchedIntDescription	Aumenta tu atributo de Inteligencia en 1, hasta un máximo de 20.\nObtienes la capacidad de lanzar hechizos de invisibilidad, infligir heridas y vida falsa una vez por descanso prolongado y puedes lanzar estos hechizos con tus espacios de hechizo.
Feat/&FeatShadowTouchedIntTitle	Sombra tocada (inteligencia)
Feat/&FeatShadowTouchedWisDescription	Aumenta tu atributo Sabiduría en 1, hasta un máximo de 20.\nObtienes la capacidad de lanzar hechizos de invisibilidad, infligir heridas y vida falsa una vez por descanso prolongado y puedes lanzar estos hechizos con tus espacios de hechizo.
Feat/&FeatShadowTouchedWisTitle	Sombra tocada (Sabiduría)
Feat/&FeatShadyDescription	Aumenta tu Destreza en 1, hasta un máximo de 20.\nUna vez por turno, puedes infligir 1d6 de daño adicional a una criatura que golpees con un ataque que cumpla con los requisitos del Ataque furtivo del pícaro. A nivel 12, este daño aumenta a 2d6 y a nivel 20, a 4d6.
Feat/&FeatShadyTitle	Sombreado
Feat/&FeatShieldExpertDescription	Te has entrenado en el uso de un escudo como arma. Para ti, se convierte en un arma cuerpo a cuerpo con la que eres competente que inflige 1d4 de daño contundente.\nObtienes ventaja en los intentos de empujón mientras empuñas un escudo.
Feat/&FeatShieldExpertTitle	Experto en escudos
Feat/&FeatStrengthIncrementDescription	Aumenta tu Fuerza en 1, hasta un máximo de 20.
Feat/&FeatStrengthIncrementTitle	Aumento de atributo
Feat/&FeatTelekineticChaDescription	Aumenta tu Carisma en 1, hasta un máximo de 20.\nComo acción adicional, puedes empujar o jalar telequinéticamente a una criatura que puedas ver a 30 pies de ti. El objetivo debe tener éxito en una tirada de salvación de Fuerza (CD 8 + tu bonificador de competencia + tu modificador de Carisma) o moverse 5 pies.
Feat/&FeatTelekineticChaPullDescription	Atrae telequinéticamente a una criatura hacia ti.
Feat/&FeatTelekineticChaPullTitle	Atracción telequinética
Feat/&FeatTelekineticChaPushDescription	Empuja telequinéticamente a una criatura lejos de ti.
Feat/&FeatTelekineticChaPushTitle	Empuje telequinético
Feat/&FeatTelekineticChaTitle	Telequinético (Carisma)
Feat/&FeatTelekineticIntDescription	Aumenta tu Inteligencia en 1, hasta un máximo de 20.\nComo acción adicional, puedes empujar o jalar telequinéticamente a una criatura que puedas ver a 30 pies de ti. El objetivo debe tener éxito en una tirada de salvación de Fuerza (CD 8 + tu bonificador de competencia + tu modificador de Inteligencia) o moverse 5 pies.
Feat/&FeatTelekineticIntPullDescription	Atrae telequinéticamente a una criatura hacia ti.
Feat/&FeatTelekineticIntPullTitle	Atracción telequinética
Feat/&FeatTelekineticIntPushDescription	Empuja telequinéticamente a una criatura lejos de ti.
Feat/&FeatTelekineticIntPushTitle	Empuje telequinético
Feat/&FeatTelekineticIntTitle	Telequinético (Inteligencia)
Feat/&FeatTelekineticWisDescription	Aumenta tu Sabiduría en 1, hasta un máximo de 20.\nComo acción adicional, puedes empujar o jalar telequinéticamente a una criatura que puedas ver a 30 pies de ti. El objetivo debe tener éxito en una tirada de salvación de Fuerza (CD 8 + tu bonificador de competencia + tu modificador de Sabiduría) o moverse 5 pies.
Feat/&FeatTelekineticWisPullDescription	Atrae telequinéticamente a una criatura hacia ti.
