ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços.
Equipment/&Enchanted_StuddedLeather_Sturdiness_Title	Couro cravejado de robustez
Equipment/&Enchanted_StuddedLeather_Survival_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_StuddedLeather_Survival_Title	Couro cravejado de sobrevivência
Equipment/&Enchanted_Warhammer_Acuteness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Warhammer_Acuteness_Title	Warhammer da agudeza
Equipment/&Enchanted_Warhammer_Bearclaw_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Manacalon. As pontas afiadas da garra do urso rasgam a armadura para causar dano adicional. A primeira arma desse tipo foi projetada por Ildurial Stronghand.
Equipment/&Enchanted_Warhammer_Bearclaw_Title	Martelo de Guerra de Garra de Urso
Equipment/&Enchanted_Warhammer_Lightbringer_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Colthannin. Ele foi projetado por Elgador Keenspirit, Magesmith of the Arcaneum para apoiar o combate contra criaturas mortas-vivas.
Equipment/&Enchanted_Warhammer_Lightbringer_Title	Martelo de Guerra Lightbringer
Equipment/&Enchanted_Warhammer_Power_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Algumas criaturas respeitam apenas as forças físicas. Arcanistas de Manacalon criaram este Warhammer para dar aos campeões das Iron Legions a força que seus corpos élficos não forneciam.
Equipment/&Enchanted_Warhammer_Power_Title	Martelo de Guerra do Poder
Equipment/&Enchanted_Warhammer_Punisher_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. A combinação do melhor metal e Slavestone deu a este machado um poder de perfuração incrível.
Equipment/&Enchanted_Warhammer_Punisher_Title	Justiceiro Warhammer
Equipment/&HerbalBrewDamageAffinityAcidResistanceDescription	Ganha resistência a dano de ácido por 1 hora.
Equipment/&HerbalBrewDamageAffinityAcidResistanceTitle	Cerveja de proteção ácida
Equipment/&HerbalBrewDamageAffinityLightningResistanceDescription	Ganha resistência a dano de raio por 1 hora.
Equipment/&HerbalBrewDamageAffinityLightningResistanceTitle	Brew of Lightning Protection
Equipment/&HerbalBrewDamageAffinityNecroticResistanceDescription	Ganha resistência a dano necrótico por 1 hora.
Equipment/&HerbalBrewDamageAffinityNecroticResistanceTitle	Cerveja de Proteção Necrótica
Equipment/&HerbalBrewDamageAffinityPoisonResistanceDescription	Ganha resistência a dano de veneno por 1 hora.
Equipment/&HerbalBrewDamageAffinityPoisonResistanceTitle	Proteção da Cerveja do Veneno
Equipment/&HerbalBrewDamageAffinityRadiantResistanceDescription	Ganha resistência a dano radiante por 1 hora.
Equipment/&HerbalBrewDamageAffinityRadiantResistanceTitle	Cerveja de Proteção Radiante
Equipment/&HerbalBrewHealingTitle	Cerveja de Aceleração
Equipment/&HerbalBrewToxifyingTitle	Cerveja de Toxificação
Equipment/&ImprovedLightningSpearDescription	Cause 1d6 de dano de raio com 1d6 de dano de raio adicional uma vez por turno.\nPode criar vantagem para aliados e desvantagem para inimigos com um único ataque.
Equipment/&ImprovedLightningSpearTitle	Lança Relâmpago Aprimorada
Equipment/&ImprovedThunderPunchDescription	Causa 1d8 de dano trovejante ao acertar e impõe desvantagem nas jogadas de ataque contra aliados.\nPuxe os inimigos até 9 metros com uma ação bônus e, em seguida, cause 1d8 de dano trovejante.
Equipment/&ImprovedThunderPunchTitle	Soco do Trovão Aprimorado
Equipment/&LightningSpearDescription	Cause 1d6 de dano de raio com 1d6 de dano de raio adicional uma vez por turno.
Equipment/&LightningSpearTitle	Lança Relâmpago
Equipment/&LivewoodClubDescription	Este clube é composto de madeira viva completa com folhas brotando e talvez flores sazonais. Pode ser usado como foco para lançar feitiços druídicos.
Equipment/&LivewoodClubTitle	Clube Livewood
Equipment/&LivewoodStaffDescription	Este cajado é composto de madeira viva completa com folhas brotando e talvez flores sazonais. Pode ser usado como foco para lançar feitiços druídicos.
Equipment/&LivewoodStaffTitle	Cajado de Livewood
Equipment/&ThunderPunchDescription	Causa 1d8 de dano trovejante ao acertar e impõe desvantagem nas jogadas de ataque contra aliados.
Equipment/&ThunderPunchTitle	Soco do Trovão
Equipment/&WandIdentifyDescription	Conjura o feitiço Identificar gastando uma carga. A varinha tem 3 cargas e recupera 1d3 cargas a cada amanhecer.
Equipment/&WandIdentifyTitle	Varinha de Identificação
Failure/&FailureFlagTargetMeleeWeaponError	Não é possível realizar ataques corpo a corpo neste alvo com a arma atual
Feat/&AddConstructCantripsDescription	Adiciona truques para curar e dispensar suas construções.
Feat/&AddConstructCantripsTitle	Construir Truques
Feat/&AddProtectorConstructCantripDescription	Adiciona os truques Mending Construct e Dismiss Construct para aumentar a flexibilidade de suas construções.
Feat/&AddProtectorConstructCantripTitle	Truques de construção de bônus
Feat/&AlchemistSubclassElixirsDescription	Aprenda a fazer elixires experimentais: Cura, Rapidez, Resiliência, Ousadia, Vôo.
Feat/&AlchemistSubclassElixirsTitle	Elixires Experimentais
Feat/&AlchemistSubclassSpellsDescription	{0}.
Feat/&AlchemistSubclassSpellsTitle	Aprenda feitiços para fazer poções
Feat/&ArmorModePoolDescription	Permite ativar os modos de armadura uma vez por descanso curto.
Feat/&ArmorModePoolTitle	Modo de armadura
Feat/&ArtificerAlchemistAlchemicalSavantDescription	Quando você cura, você cura HP adicional igual a 1d4 + seu nível.
Feat/&ArtificerAlchemistAlchemicalSavantTitle	Elixir aprendido
Feat/&ArtificerAlchemistBoldnessElixirDescription	Pode rolar um d4 e adicionar o número rolado a cada jogada de ataque e teste de resistência que você fizer por 1 minuto.
Feat/&ArtificerAlchemistBoldnessElixirTitle	Elixir da Ousadia
Feat/&ArtificerAlchemistFlyElixirDescription	Ganha uma velocidade de vôo de 3 metros por 10 minutos.
Feat/&ArtificerAlchemistFlyElixirTitle	Elixir da mosca
Feat/&ArtificerAlchemistHealElixirDescription	Cure o alvo por 2d4 + modificador de Inteligência.
Feat/&ArtificerAlchemistHealElixirTitle	Elixir de Cura
Feat/&ArtificerAlchemistResilienceElixirDescription	Aumente a CA alvo em +1 por 10 minutos.
Feat/&ArtificerAlchemistResilienceElixirTitle	Elixir de Resiliência
Feat/&ArtificerAlchemistSwiftnessElixirDescription	Aumenta a velocidade de movimento do alvo em 3 metros por 1 hora.
Feat/&ArtificerAlchemistSwiftnessElixirTitle	Elixir da Rapidez
Feat/&ArtificerArtilleristArcaneFirearmDescription	Ao lançar feitiços de evocação, cause 1d8 de dano extra uma vez por turno.
Feat/&ArtificerArtilleristArcaneFirearmTitle	Aprimoramento de detonação
Feat/&ArtificerArtillerstDetonationSpellPreparedDescription	Você ganha a habilidade de detonar um de seus dispositivos causando danos àqueles próximos ao alvo.
Feat/&ArtificerArtillerstDetonationSpellPreparedTitle	Detonação do dispositivo
Feat/&ArtificerArtillerstImprovedCannonsDescription	O efeito de seus canhões aumenta. Dano adicional do fogo, um alvo adicional da força e HP temporário adicional do escudo.
Feat/&ArtificerArtillerstImprovedCannonsTitle	Canhões Aprimorados
Feat/&ArtificialServantAttackDescription	Ataque à distância 1d6 de dano de força do seu fiel ajudante.
Feat/&ArtificialServantAttackTitle	Eslinga de Força
Feat/&ArtificialServantDescription	O servo é amigável com você e seus companheiros e obedece às suas ordens.
Feat/&ArtificialServantTitle	Servo Artificial
Feat/&ArtilleristCannonDetonationDescription	Detone um de seus dispositivos fazendo com que criaturas a até 6 metros do local alvo façam um teste de Destreza. As criaturas sofrem 3d8 de dano de força se falhar na resistência e metade desse dano se obtiver sucesso.
Feat/&ArtilleristCannonDetonationTitle	Detonação do dispositivo
Feat/&ArtilleristFlameCannon15Description	Lança fogo em um cone como uma ação bônus, causando 6d8 de dano de fogo se os alvos falharem em um teste de resistência de DES.
Feat/&ArtilleristFlameCannon15Title	Lança-chamas
Feat/&ArtilleristFlameCannon9Description	Lança fogo em um cone como uma ação bônus, causando 3d8 de dano de fogo se os alvos falharem em um teste de resistência de DES.
Feat/&ArtilleristFlameCannon9Title	Lança-chamas
Feat/&ArtilleristFlameCannonDescription	Lança fogo em um cone como uma ação bônus, causando 2d8 de dano de fogo se os alvos falharem em um teste de resistência de DES.
Feat/&ArtilleristFlameCannonTitle	Lança-chamas
Feat/&ArtilleristForceCannon15Description	Faça um ataque à distância contra até 2 alvos como uma ação bônus, causando 3d8 de dano de força em um acerto.
Feat/&ArtilleristForceCannon15Title	Canhão de Força
Feat/&ArtilleristForceCannon9Description	Faça um ataque à distância como uma ação bônus, causando 3d8 de dano de força em um acerto.
Feat/&ArtilleristForceCannon9Title	Canhão de Força
Feat/&ArtilleristForceCannonDescription	Faça um ataque à distância como uma ação bônus, causando 2d8 de dano de força em um acerto.
Feat/&ArtilleristForceCannonTitle	Canhão de Força
Feat/&ArtilleristProtectorCannon15Description	Emite energia positiva como uma ação bônus. Aliados a até 6 metros ganham PV temporário igual a 1d8 + seu modificador de Inteligência.
Feat/&ArtilleristProtectorCannon15Title	Escudo Arcano
Feat/&ArtilleristProtectorCannonDescription	Emite energia positiva como uma ação bônus. Aliados a até 3 metros ganham PV temporário igual a 1d8 + seu modificador de Inteligência.
Feat/&ArtilleristProtectorCannonTitle	Escudo Arcano
Feat/&ArtilleristSubclassSpellsDescription	{0}.
Feat/&ArtilleristSubclassSpellsTitle	Aprenda feitiços de blaster
Feat/&ArtilleryConstructDescription	Pode danificar ou proteger aliados.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsDescription	Truques: Construir Remendar, Construir Dispensar\nNível 1: Retomar Construto de Artilharia.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsTitle	Construir Feitiços
Feat/&ArtilleryConstructLevel09AutopreparedSpellsDescription	Você ganha feitiços bônus que são considerados feitiços de Tinkerer para você, eles estão sempre preparados e não contam para o número de feitiços de Tinkerer que você conhece.
Feat/&ArtilleryConstructLevel09AutopreparedSpellsTitle	Construir Feitiços
Feat/&ArtilleryConstructLevel15AutopreparedSpellsDescription	Você ganha feitiços bônus que são considerados feitiços de Tinkerer para você, eles estão sempre preparados e não contam para o número de feitiços de Tinkerer que você conhece.
Feat/&ArtilleryConstructLevel15AutopreparedSpellsTitle	Construir Feitiços
Feat/&ArtilleryConstructTitle	Construção de Artilharia
Feat/&ArtilleryConstructTitle_3	Construção de Artilharia
Feat/&ArtilleryConstructTitle_5	Construção de Artilharia
Feat/&ArtilleryModePoolDescription	Escolha o seu modo de artilharia.
Feat/&ArtilleryModePoolTitle	Modo Artilharia
Feat/&AttackModifierArtificerBattleSmithJolt2Description	Seus ataques com arma causam 3 pontos de dano adicionais.
Feat/&AttackModifierArtificerBattleSmithJolt2Title	Choque de Ataque de Arma Aprimorado
Feat/&AttackModifierArtificerBattleSmithJoltDescription	Seus ataques com arma causam 3 pontos de dano adicionais.
Feat/&AttackModifierArtificerBattleSmithJoltTitle	Golpe de Ataque de Arma
Feat/&AutoPreparedSpellsDescription	{0}.
Feat/&AutoPreparedSpellsTitle	Aprenda feitiços de Sentinela Escoteiro
Feat/&BattleSmithSubclassSpellsDescription	{0}.
Feat/&BattleSmithSubclassSpellsTitle	Aprenda feitiços de ferreiro de arma
Feat/&CancelFlyingConditionDescription	Termine a condição de vôo para permitir pular e rastejar.
Feat/&CancelFlyingConditionTitle	Cancelar voo
Feat/&ChefConDescription	Aumente sua Constituição em 1, até um máximo de 20.\nVocê pode gastar 1 hora para cozinhar uma refeição para curar você e seus companheiros em 1d8 HP.\nUma vez por dia, você pode gastar uma hora para cozinhar guloseimas que fornecem HP temporário quando ingeridas.
Feat/&ChefConTitle	Cozinheiro (Constituição)
Feat/&ChefShortRestFeastDescription	Você pode gastar 1 hora para cozinhar uma refeição para curar você e seus companheiros em 1d8 HP.
Feat/&ChefShortRestFeastTitle	Refeição de Descanso Curto
Feat/&ChefWisDescription	Aumente sua Sabedoria em 1, até um máximo de 20.\nVocê pode gastar 1 hora para cozinhar uma refeição para curar você e seus companheiros em 1d8 HP.\nUma vez por dia, você pode gastar uma hora para cozinhar guloseimas que fornecem HP temporário quando ingeridas.
Feat/&ChefWisTitle	Chef (Sabedoria)
Feat/&ConstructSelectingPoolDescription	Selecione o modo para o seu Construct.
Feat/&ConstructSelectingPoolTitle	Modo Artilharia
Feat/&DeadeyeFeatDescription	Você dominou armas de longo alcance e pode fazer tiros que outros acham impossíveis.\n• Atacar a longa distância não impõe desvantagem em suas jogadas de ataque à distância.\n• Seus ataques com armas à distância ignoram meia cobertura e três quartos de cobertura.\n• Você pode escolher receber uma penalidade de -5 em sua jogada de ataque com arma de longo alcance. Se o ataque acertar, você causa mais 10 de dano do tipo da arma.
Feat/&DeadeyeFeatTitle	Deadeye
Feat/&DismissConstructDescription	Desinvoque sua construção.
Feat/&DismissConstructTitle	Dispensar construção
Feat/&DualFlurryDescription	Você é um mestre da luta com armas emparelhadas. Em qualquer turno em que você acertar duas vezes com ataques corpo a corpo enquanto empunha uma arma em cada mão, você pode fazer um ataque adicional com a mão inábil ao atacar com sua ação bônus.
Feat/&DualFlurryTitle	Dupla rajada
Feat/&ExtraInfusionSlotsDescription	Você ganha slots de infusão extras que devem ser usados ​​em armaduras/armas.
Feat/&ExtraInfusionSlotsTitle	Infusões extras
Feat/&FeatArcaneDefenseDescription	Aumente sua Inteligência em 1, até um máximo de 20.\nEnquanto você não estiver usando nenhuma armadura, sua CA é igual a 10 + seu modificador de Destreza + seu modificador de Inteligência.
Feat/&FeatArcaneDefenseTitle	Defesa Arcana
Feat/&FeatArcanePrecisionDescription	Você pode usar uma ação bônus para selecionar uma arma. Seus ataques contam como mágicos e você usa sua Inteligência para suas jogadas de ataque e dano por 1 minuto. Esta característica pode ser usada duas vezes por descanso longo.
Feat/&FeatArcanePrecisionTitle	Precisão Arcana
Feat/&FeatBlindFightingStlyeDescription	Você tem visão às cegas com alcance de 3 metros.
Feat/&FeatBlindFightingStlyeTitle	Estilo de luta: Luta às cegas
Feat/&FeatBrutalThugDescription	Você acerta golpes poderosos nos lugares certos.\nVocê ganha proficiência em armas simples e marciais.\nVocê pode atacar furtivamente usando armas marciais.
Feat/&FeatBrutalThugTitle	bandido brutal
Feat/&FeatChaIncrementDescription	Aumente seu Carisma em 1, até um máximo de 20.
Feat/&FeatChaIncrementTitle	Aumento do Atributo Carisma
Feat/&FeatCharismaticDefenseDescription	Aumente seu Carisma em 1, até um máximo de 20.\nEnquanto você não estiver usando nenhuma armadura, sua CA é igual a 10 + seu modificador de Destreza + seu modificador de Carisma.
Feat/&FeatCharismaticDefenseTitle	Defesa Carismática
Feat/&FeatCharismaticPrecisionDescription	Você pode usar uma ação bônus para selecionar uma arma. Seus ataques contam como mágicos e você usa seu Carisma para suas jogadas de ataque e dano por 1 minuto. Esta característica pode ser usada duas vezes por descanso longo.
Feat/&FeatCharismaticPrecisionTitle	Precisão Carismática
Feat/&FeatChefConIncrementDescription	Aumente sua Constituição em 1, até um máximo de 20.
Feat/&FeatChefConIncrementTitle	Aumento de atributo
Feat/&FeatChefWisIncrementDescription	Aumente sua Sabedoria em 1, até um máximo de 20.
Feat/&FeatChefWisIncrementTitle	Aumento de atributo
Feat/&FeatCripplingDescription	Quando você acerta com um ataque corpo a corpo, você pode reduzir a velocidade do seu oponente em 3 metros até o início do seu próximo turno.
Feat/&FeatCripplingTitle	Estilo de luta: Aleijado
Feat/&FeatDexIncrementDescription	Aumente sua Destreza em 1, até um máximo de 20.
Feat/&FeatDexIncrementTitle	Aumento de atributo
Feat/&FeatDualWeaponDefenseDescription	Você ganha um bônus de +1 na CA enquanto estiver empunhando uma arma corpo a corpo separada em cada mão.
Feat/&FeatDualWeaponDefenseTitle	Defesa de arma dupla
Feat/&FeatFastHandsDescription	Você ganha Ação Astuta. Você pode usar as ações Esconder ou Desengajar como uma ação bônus.\nVocê pode usar sua Ação Astuta para fazer um teste de Destreza (Prestidigitação), usar suas ferramentas de ladrão para desarmar uma armadilha ou abrir uma fechadura, ou usar a ação Usar um Objeto.
Feat/&FeatFastHandsTitle	Mãos rapidas
Feat/&FeatFeyTeleportationChaDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê pode usar o passo enevoado uma vez por descanso curto e pode conjurar esta magia com seus espaços de magia.\nVocê ganha proficiência em Tirmarian.
Feat/&FeatFeyTeleportationChaTitle	Teletransporte Fey (Carisma)
Feat/&FeatFeyTeleportationIntDescription	Aumente sua Inteligência em 1, até um máximo de 20.\nVocê pode usar o passo enevoado uma vez por descanso curto e pode conjurar essa magia com seus espaços de magia.\nVocê ganha proficiência em Tirmarian.
Feat/&FeatFeyTeleportationIntTitle	Teletransporte Fey (Inteligência)
Feat/&FeatFeyTeleportationWisDescription	Aumente sua Sabedoria em 1, até um máximo de 20.\nVocê pode usar o passo enevoado uma vez por descanso curto e pode conjurar esta magia com seus espaços de magia.\nVocê ganha proficiência em Tirmarian.
Feat/&FeatFeyTeleportationWisTitle	Teletransporte Fey (Sabedoria)
Feat/&FeatFightingSurgeDexterityDescription	Aumente sua Destreza em 1, até um máximo de 20.\nNo seu turno, você pode realizar uma ação adicional além da sua ação normal. Depois de usar esse recurso, você deve terminar um descanso longo antes de poder usá-lo novamente.
Feat/&FeatFightingSurgeDexterityTitle	Surto de Combate (Destreza)
Feat/&FeatFightingSurgeStrengthDescription	Aumente sua Força em 1, até um máximo de 20.\nNo seu turno, você pode realizar uma ação adicional além da sua ação normal. Depois de usar esse recurso, você deve terminar um descanso longo antes de poder usá-lo novamente.
Feat/&FeatFightingSurgeStrengthTitle	Surto de Combate (Força)
Feat/&FeatHeavyArmorMasterClassDescription	Você ganha resistência a dano de concussão, cortante e perfurante.
Feat/&FeatHeavyArmorMasterClassTitle	Maestria em Defesa Pesada
Feat/&FeatImprovedCriticalDescription	Seus ataques são acertos críticos em uma rolagem de 19 ou 20.
Feat/&FeatImprovedCriticalTitle	Crítico aprimorado
Feat/&FeatIntIncrementDescription	Aumente sua Inteligência em 1, até um máximo de 20.
Feat/&FeatIntIncrementTitle	Aumento do atributo de inteligência
Feat/&FeatLightArmorDescription	Aumente sua Força em 1, até um máximo de 20.\nVocê ganha proficiência com armadura leve.
Feat/&FeatLightArmorProficiencyDescription	Ganhe proficiência com armadura leve.
Feat/&FeatLightArmorProficiencyTitle	Armadura leve
Feat/&FeatLightArmorTitle	Armadura leve
Feat/&FeatMarksmanDescription	Quando um oponente que você pode ver ataca você com uma arma de longo alcance ou um feitiço e está a pelo menos 3 metros de distância de você, você pode usar sua reação para fazer um ataque de arma de longo alcance após o término do ataque desencadeante.
Feat/&FeatMarksmanTitle	Atirador
Feat/&FeatMediumArmorDexDescription	Aumente sua Destreza em 1, até um máximo de 20.\nVocê ganha proficiência com armadura média e escudos.
Feat/&FeatMediumArmorDexTitle	Armadura Média (Destreza)
Feat/&FeatMediumArmorProficiencyDescription	Você ganha proficiência com armaduras e escudos médios.
Feat/&FeatMediumArmorProficiencyTitle	Armadura Média
Feat/&FeatMediumArmorStrengthDescription	Aumente sua Força em 1, até um máximo de 20.\nVocê ganha proficiência com armaduras e escudos médios.
Feat/&FeatMediumArmorStrengthTitle	Armadura Média (Força)
Feat/&FeatMetamagicAdeptCarefulDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamágica Cuidadosa e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptCarefulTitle	Metamágica: Cuidado
Feat/&FeatMetamagicAdeptDistantDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamágica Distante e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptDistantTitle	Metamágica: Distante
Feat/&FeatMetamagicAdeptEmpoweredDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamágica Potencializada e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Metamágica: Empoderada
Feat/&FeatMetamagicAdeptExtendedDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamagia Estendida e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptExtendedTitle	Metamágica: Estendida
Feat/&FeatMetamagicAdeptHeightenedDescription	Você aprende a metamágica Aprimorada e ganha 4 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptHeightenedTitle	Metamágica: Aumentada
Feat/&FeatMetamagicAdeptQuickenedDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamágica Acelerada e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamágica: Acelerada
Feat/&FeatMetamagicAdeptTwinnedDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamágica Geminada e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamágica: Geminada
Feat/&FeatPolearmExpertDescription	Seu treinamento especializado com armas de haste garante estes benefícios:\n• Quando você realiza a ação Atacar e ataca apenas com uma arma de haste, você pode usar uma ação bônus para fazer um ataque corpo a corpo com a extremidade oposta da arma. Este ataque usa o mesmo modificador de habilidade do ataque primário. O dado de dano da arma para este ataque é um d4 e causa dano de concussão.\n• Enquanto você estiver empunhando uma arma de haste, outras criaturas provocam um ataque de oportunidade de você quando entram no alcance que você tem com aquela arma.
Feat/&FeatPolearmExpertTitle	Especialista em Polearm
Feat/&FeatPrimalConstitutionDescription	Aumente sua Constituição em 1, até um máximo de 20.\nVocê pode inserir uma fúria como uma ação bônus conforme definido na característica de classe de fúria do Bárbaro com +1 de dano de fúria que pode acumular com a fúria do Bárbaro. Depois de entrar em fúria dessa forma, você deve terminar um descanso longo antes de usar esse recurso novamente.\nEnquanto você não estiver usando nenhuma armadura, sua CA é igual a 10 + seu modificador de Destreza + seu modificador de Constituição.
Feat/&FeatPrimalConstitutionTitle	Fúria Primal (Constituição)
Feat/&FeatPrimalStrengthDescription	Aumente sua Força em 1, até um máximo de 20.\nVocê pode inserir uma fúria como uma ação bônus conforme definido na característica de classe de fúria do Bárbaro com +1 de dano de fúria que pode acumular com a fúria do Bárbaro. Depois de entrar em fúria dessa forma, você deve terminar um descanso longo antes de usar esse recurso novamente.\nEnquanto você não estiver usando nenhuma armadura, sua CA é igual a 10 + seu modificador de Destreza + seu modificador de Constituição.
Feat/&FeatPrimalStrengthTitle	Fúria Primal (Força)
Feat/&FeatPugilistFightingStlyeDescription	Seus ataques desarmados causam 1d4 de dano de concussão adicional e você pode socar com sua mão secundária como uma ação bônus.\nSe você tiver uma mão livre, você pode empurrar como uma ação bônus.
Feat/&FeatPugilistFightingStlyeTitle	Estilo de luta: Pugilista
Feat/&FeatRangedExpertDescription	Seu treinamento especializado com armas de longo alcance garante esses benefícios:\n• Você não tem mais desvantagem em ataques à distância quando há um inimigo a até 1,5 metro de você.\n• Se você realizar a ação Atacar no seu turno, você pode usar uma ação bônus para fazer um ataque com uma arma de ataque à distância ou de arremesso de uma mão.
Feat/&FeatRangedExpertTitle	Especialista à distância
Feat/&FeatSavageAttackerDescription	Rerrole os dados de dano de arma e feitiço quando você rola um 1 (Isso não rerrola dados de todas as fontes de dano. Por exemplo, ataque furtivo e dano de destruição não são rerrolados).
Feat/&FeatSavageAttackerReroll	Por ser um Atacante Selvagem, {0} rola novamente o dado {1} de um {2} para um {3}
Feat/&FeatSavageAttackerTitle	Atacante Selvagem
Feat/&FeatSentinelDescription	Você dominou técnicas para aproveitar cada queda na guarda de qualquer inimigo, ganhando os seguintes benefícios:\n• Quando você atinge uma criatura com um ataque de oportunidade, o deslocamento da criatura se torna 0 pelo resto do turno.\n• Criaturas provocam ataques de oportunidade de você mesmo que realizem a ação Desengajar antes de sair do seu alcance.\n• Quando uma criatura faz um ataque contra um alvo que não seja você (e esse alvo não tem este talento), você pode usar sua reação para fazer um ataque corpo a corpo com arma contra a criatura atacante.
Feat/&FeatSentinelTitle	Sentinela
Feat/&FeatShadowTouchedChaDescription	Aumente seu atributo Carisma em 1, até um máximo de 20.\nVocê ganha a habilidade de conjurar magias de invisibilidade, infligir ferimentos e vida falsa uma vez por descanso longo e você pode conjurar essas magias com seus espaços de magia.
Feat/&FeatShadowTouchedChaTitle	Tocado pela Sombra (Carisma)
Feat/&FeatShadowTouchedIntDescription	Aumente seu atributo Inteligência em 1, até um máximo de 20.\nVocê ganha a habilidade de conjurar magias de invisibilidade, infligir ferimentos e vida falsa uma vez por descanso longo e você pode conjurar essas magias com seus espaços de magia.
Feat/&FeatShadowTouchedIntTitle	Sombra Tocada (Inteligência)
Feat/&FeatShadowTouchedWisDescription	Aumente seu atributo Sabedoria em 1, até um máximo de 20.\nVocê ganha a habilidade de conjurar magias de invisibilidade, infligir ferimentos e vida falsa uma vez por descanso longo e você pode conjurar essas magias com seus espaços de magia.
Feat/&FeatShadowTouchedWisTitle	Sombra Tocada (Sabedoria)
Feat/&FeatShadyDescription	Aumente sua Destreza em 1, até um máximo de 20.\nUma vez por turno, você pode causar 1d6 de dano extra a uma criatura que você acertar com um ataque que atenda aos requisitos do Ataque Furtivo do Ladino. No 12º nível, esse dano aumenta para 2d6 e no 20º nível, para 4d6.
Feat/&FeatShadyTitle	Sombrio
Feat/&FeatShieldExpertDescription	Você treinou no uso de um escudo como arma. Para você, torna-se uma arma corpo a corpo que você é proficiente que causa 1d4 de dano de concussão.\nVocê ganha vantagem em tentativas de empurrão enquanto empunha um escudo.
Feat/&FeatShieldExpertTitle	Especialista em escudos
Feat/&FeatStrengthIncrementDescription	Aumente sua Força em 1, até um máximo de 20.
Feat/&FeatStrengthIncrementTitle	Aumento de atributo
Feat/&FeatTelekineticChaDescription	Aumente seu Carisma em 1, até um máximo de 20.\nComo uma ação bônus, você pode empurrar ou puxar telecineticamente uma criatura que você possa ver a até 9 metros de você. O alvo deve ser bem sucedido em um teste de resistência de Força (CD 8 + seu bônus de proficiência + seu modificador de Carisma) ou será movido 1,5 metro.
Feat/&FeatTelekineticChaPullDescription	Puxe telecineticamente uma criatura em sua direção.
Feat/&FeatTelekineticChaPullTitle	Puxada Telecinética
Feat/&FeatTelekineticChaPushDescription	Empurre telecineticamente uma criatura para longe de você.
Feat/&FeatTelekineticChaPushTitle	Empurrão Telecinético
Feat/&FeatTelekineticChaTitle	Telecinética (Carisma)
Feat/&FeatTelekineticIntDescription	Aumente sua Inteligência em 1, até um máximo de 20.\nComo uma ação bônus, você pode empurrar ou puxar telecineticamente uma criatura que você possa ver a até 9 metros de você. O alvo deve ser bem sucedido em um teste de resistência de Força (CD 8 + seu bônus de proficiência + seu modificador de Inteligência) ou será movido 1,5 metro.
Feat/&FeatTelekineticIntPullDescription	Puxe telecineticamente uma criatura em sua direção.
Feat/&FeatTelekineticIntPullTitle	Puxada Telecinética
Feat/&FeatTelekineticIntPushDescription	Empurre telecineticamente uma criatura para longe de você.
Feat/&FeatTelekineticIntPushTitle	Empurrão Telecinético
Feat/&FeatTelekineticIntTitle	Telecinética (Inteligência)
Feat/&FeatTelekineticWisDescription	Aumente sua Sabedoria em 1, até um máximo de 20.\nComo uma ação bônus, você pode empurrar ou puxar telecineticamente uma criatura que você possa ver a até 9 metros de você. O alvo deve ser bem sucedido em um teste de resistência de Força (CD 8 + seu bônus de proficiência + seu modificador de Sabedoria) ou será movido 1,5 metros.
Feat/&FeatTelekineticWisPullDescription	Puxe telecineticamente uma criatura em sua direção.
Feat/&FeatTelekineticWisPullTitle	Puxada Telecinética
Feat/&FeatTelekineticWisPushDescription	Empurre telecineticamente uma criatura para longe de você.
