Modal/&AssertionFailedTtitle	Подтверждение провалено
Modal/&MultiplayerWaitNotifyTitle	Уведомить
Modal/&MultiplayerWaitNotifyDescription	Уведомите игрока, что вы его ждёте.
Modal/&MultiplayerWaitKickTitle	Исключить
Modal/&MultiplayerWaitKickDescription	Исключите игрока из игры.
Modal/&MultiplayerWaitYouTitle	Вы готовы
Modal/&PostRestWaitTitle	Синхронизация после отдыха
Modal/&PostRestWaitDescription	Ожидание завершения отдыха других игроков.
Modal/&MultiplayerWaitClientStatusPendingTitle	Ожидание...
Modal/&MultiplayerWaitClientStatusPendingDescription	Ожидание подтверждения запроса игроком.
Modal/&MultiplayerWaitClientStatusReadyTitle	Подготовка
Modal/&MultiplayerWaitClientStatusReadyDescription	Игрок готов продолжать.
Modal/&MultiplayerWaitQuitGameTitle	Выйти из игры
Modal/&MultiplayerWaitQuitGameDescription	Если что-то мешает продолжению многопользовательской игры, вы можете покинуть её отсюда.
Modal/&DefaultTextInputTitle	Введите текст
Modal/&DefaultPasswordInputTitle	Введите пароль
Modal/&ClearTitle	Убрать
Modal/&PostRestReadyPlayersDescription	Готовые игроки:
Modal/&KickTitle	Исключить игрока
Modal/&KickDescription	Исключите игрока из сессии:
Modal/&ModioLoginTitle	Войдите, чтобы управлять модификациями
Modal/&ModioLoginEmail	Введите адрес электронной почты
Modal/&ModioLoginSecurityCode	Введите код безопасности
Modal/&ModioLoginRequest	Запросить код безопасности
Modal/&ModioLoginAuthenticate	Аутентификация
Modal/&ModioLoginPoweredModio	На платформе mod.io
Modal/&ModioLoginAbout	Сведения
Modal/&ModioLoginPrivacy	Приватность
Modal/&CreateSpellSlotTitle	Создание ячейки заклинания
Modal/&CreateSpellSlotDescription	Выберите ячейку заклинания, которая будет создана с помощью очков колдовства:
Modal/&CreateSpellSlotCostTitle	Стоимость очков колдовства
Modal/&CreateSorceryPointsTitle	Создание очков колдовства
Modal/&CreateSorceryPointsDescription	Выберите ячейку заклинания, которая будет конвертирована в очки колдовства:
Modal/&CreateSorceryPointsGainTitle	Получены очки колдовства
Modal/&DefeatIronManAdditionalDescription	Ваше приключение подошло к концу. Наберитесь сил и соберитесь духом, и попробуйте пройти режим «Железный человек» ещё раз!
Modal/&CharacterReviveModalDisintegratedFormat	Цель {0} расщеплена, данная опция не может быть использована.
Modal/&SpellSlotRecoveryTitle	Восстановление ячейки заклинания
Modal/&SpellSlotRecoveryDescription	Выберите потраченную ячейку заклинания для восстановления:
Modal/&SpellSlotCapitalFormat	Общий капитал: {0}
Modal/&SpellSlotCapitalDescription	Ваш капитал восстановления определяется половиной вашего уровня заклинателя, округлённой вверх. Каждая восстановленная ячейка заклинания требует капитала восстановления, равного уровню заклинания: например, ячейка заклинания 3-го уровня требует 3 очка восстановления.
Modal/&SpellSlotRecoverLevelButtonTitle	Восстановить ({0})
Modal/&SpellSlotRecoverLevelButtonDescription	Щёлкните, чтобы восстановить ячейку заклинания этого уровня, потратив {0} ед. из вашего общего капитала.
Modal/&SpellSlotCancelButtonTitle	Отмена
Modal/&SpellSlotCancelButtonDescription	Отменяет восстановление ячейки заклинания. Капитал восстановления не будет потрачен.
Modal/&SpellSlotClearButtonTitle	Убрать
Modal/&SpellSlotClearButtonDescription	Убирает все восстановленные ячейки заклинания, чтобы начать процесс выбора сначала.
Modal/&SpellSlotAutoButtonTitle	Авто
Modal/&SpellSlotAutoButtonDescription	Автоматически выбирает ячейки заклинания для восстановления. Вы можете проверить автоматический выбор перед подтверждением.
Modal/&SpellSlotRecoverButtonTitle	Восстановить
Modal/&SpellSlotRecoverButtonDescription	Подтвердите, чтобы восстановить выбранные ячейки заклинания.
Modal/&MultiplayerRoomCreationErrorTitle	Ошибка создания комнаты
Modal/&MultiplayerRoomCreationErrorDuplicateDescription	Комната с таким названием уже существует. Измените название.
Modal/&MultiplayerRoomCreationErrorUnknownDescriptionFormat	Невозможно создать комнату: код {0}
Modal/&MultiplayerConnexionErrorTitle	Ошибка подключения
Modal/&MultiplayerConnexionErrorDescription	Не удалось подключиться к многопользовательским сервисам Photon. Убедитесь в стабильности соединения и повторите попытку.
Modal/&MultiplayerRoomJoinErrorTitle	Не удалось присоединиться к комнате
Modal/&MultiplayerRoomJoinErrorFullDescription	Комната заполнена.
Modal/&MultiplayerRoomJoinErrorClosedDescription	Комната закрыта.
Modal/&MultiplayerRoomJoinErrorInexistantDescription	Комната не существует.
Modal/&MultiplayerRoomJoinErrorUnknownDescriptionFormat	Невозможно присоединиться к комнате: код {0}
Modal/&MultiplayerRoomJoinErrorNotFoundDescription	Не удалось найти комнату. Проверьте название и повторите попытку.
Modal/&MultiplayerRoomJoinErrorWrongPasswordDescription	Неверный пароль.
Modal/&MultiplayerDisconnectedTitle	Не удалось подключиться к Photon
Modal/&MultiplayerDisconnectedDescription	Не удаётся получить доступ к Photon Cloud. Проверьте соединение с интернетом и повторите попытку.
Modal/&MultiplayerDisconnectedReturnToMenuDescription	Не удаётся получить доступ к Photon Cloud. Вы можете продолжать игру вне сети или вернуться в меню и повторить попытку.
Modal/&SessionPasswordInputTitle	Пароль игровой сессии
Modal/&SessionPasswordInputDescription	Необходимо ввести верный пароль, чтобы войти в игровую сессию «{0}».
Modal/&MultiplayerRoomJoinErrorGameAlreadyStartedDescription	Невозможно присоединиться: сессия уже началась.
Modal/&NewSavedGameTitle	Новая сохранённая игра
Modal/&ShortcutConfigATitle	Переключиться на конфигурацию A
Modal/&ShortcutConfigBTitle	Переключиться на конфигурацию B
Modal/&ShortcutConfigCTitle	Переключиться на конфигурацию C
Modal/&ShortcutCastLightingSpellTitle	Наложить заклинание света
Modal/&ShortcutStopConcentratingTitle	Отменить концентрацию
Modal/&LoadingProceedButtonConsoleTitle	Нажмите любую кнопку, чтобы продолжить
Modal/&GamepadControlsTitle	Раскладка геймпада
Modal/&GamepadControlsShortTitle	Геймпад
Modal/&GamepadControlsDescription	Открыть экран с привязками игровых действий к элементам геймпада.
Modal/&GamepadControlsToggleExplorationTitle	Исследование
Modal/&GamepadControlsToggleBattleTitle	Битва
Modal/&GamepadControlsToggleMenusTitle	Меню
Modal/&AccessStoreTitle	
Modal/&AccessStoreMicrosoftTitle	
