Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&TurnOccurenceEndOfTurnFormat	Конец раунда
Rules/&TurnOccurenceEndOfTurnNoPerceptionOfSourceFormat	Конец раунда
Rules/&TurnOccurenceStartOfTurnFormat	Начало хода
Rules/&VerboseComponentTitle	В
Rules/&VersatileDamageFormFormat	\nУниверсальное: {0}{1}{2}{3}
Rules/&VersatileTwoHandedTitle	Двуручное: 
Rules/&WeightFormat	{0} {1}
Rules/&WeightRatioFormat	{0}/{1} {2}
Rules/&TopologyFormDifficultThroughFormat	Эта область замедляет всех, кто проходит через неё.
Rules/&TopologyFormSightImpairedFormat	Существа в этой области ничего не видят.
Rules/&TopologyFormDangerousZoneFormat	Эта область наносит урон всем, кто проходит через неё.
Rules/&EffectTargetCubeWithOffsetTitle	Исходящий от вас куб, занимающий 3 клетки
Rules/&ConditionBlessingSorrtarrTitle	Благословение Сорр-Тарра
Rules/&ConditionBlessingSorrtarrDescription	Избавляет сораков от уязвимости к свету.
Rules/&ConditionAnnoyedByBeeTitle	Рассеянность из-за «Назойливой пчелы»
Rules/&ConditionAnnoyedByBeeDescription	Проверки концентрации с помехой до следующего хода.
Rules/&ConditionDetectPoisonAndDiseaseTitle	Обнаружение болезней и яда
Rules/&ConditionDetectPoisonAndDiseaseDescription	Пока заклинание активно, вы ощущаете присутствие ядовитых существ и болезней в пределах 6 клеток от себя.
Rules/&ConditionCharmedByAnimalFrienshipTitle	Подчинение «Дружбой с животными»
Rules/&ConditionCharmedByAnimalFrienshipDescription	Зверь будет подчинён на время действия заклинания или до тех пор, пока вы или один из ваших спутников не причините зверю вред.
Rules/&ConditionSanctuaryTitle	Убежище
Rules/&ConditionSanctuaryDescription	Вы защищаете существо в радиусе действия против атаки. Пока заклинание активно, все существа, атакующие защищённое существо или использующие против него вредоносное заклинание, должны совершить спасбросок мудрости или выбрать другую цель.
Rules/&ConditionWardedBySanctuaryTitle	Под защитой «Убежища»
Rules/&ConditionWardedBySanctuaryDescription	Вы будете защищены, пока заклинание будет активно или пока не используете заклинание или не совершите атаку.
Rules/&ConditionProtectedFromEnergyAcidTitle	Защита от кислоты
Rules/&ConditionProtectedFromEnergyAcidDescription	Сопротивление урону кислотой
Rules/&ConditionProtectedFromEnergyColdTitle	Защита от холода
Rules/&ConditionProtectedFromEnergyColdDescription	Сопротивление урону холодом
Rules/&ConditionProtectedFromEnergyFireTitle	Защита от огня
Rules/&ConditionProtectedFromEnergyFireDescription	Сопротивление огненному урону
Rules/&ConditionProtectedFromEnergyLightningTitle	Защита от электричества
Rules/&ConditionProtectedFromEnergyLightningDescription	Сопротивление урону молнией
Rules/&ConditionProtectedFromEnergyThunderTitle	Защита от звука
Rules/&ConditionProtectedFromEnergyThunderDescription	Сопротивление звуковому урону
Rules/&AlterationFormDissipateSpellFormat	Рассеивает заклинания, применённые к объекту
Rules/&ConditionMindControlledByConjureAnimalTitle	Призванное животное
Rules/&ConditionMindControlledByConjureAnimalDescription	Это животное призвано другим существом.
Rules/&ConditionSilencedTitle	Молчание
Rules/&ConditionWardedByWardingBondTitle	Под действием защитной связи
Rules/&ConditionWardedByWardingBondDescription	Врем.
Rules/&ConditionWaterWalkTitle	Ходьба по воде
Rules/&ConditionWaterWalkDescription	Врем.
Rules/&ConditionWaterBreathingTitle	Подводное дыхание
Rules/&ConditionWaterBreathingDescription	Врем.
Rules/&ConditionRestrictedInsideMagicCircleDescription	Врем.
Rules/&ConditionProtectedInsideMagicCircleDescription	Врем.
Rules/&ConditionComprehendLanguagesTitle	Понимание языков
Rules/&ConditionComprehendLanguagesDescription	Может читать и говорить на любом языке.
Rules/&ConditionStaffOfMetisTitle	Сопротивление стихиям
Rules/&ConditionStaffOfMetisDescription	Сопротивление огненном урону, урону холодом и молнией.
Rules/&ConditionFlying6Description	Скорость полёта выбранного существа повышается на 6 клеток для одного действия передвижения.
Rules/&AlterationFormAbilityScoreIncreaseValueFormat	Повышает значение характеристики «{0}» на {1}.
Rules/&AlterationFormAbilityScoreIncreaseMaximumFormat	Повышает максимальное значение характеристики «{0}» на {1}.
Rules/&ConditionHeavyArmorOverloadDescription	Недостаточно СИЛ для использования этих тяжёлых доспехов. Скорость снижена на 2.
Rules/&ConditionHeavyArmorOverloadTitle	Перегрузка тяжёлыми доспехами
Rules/&MoveModeWalkTitle	Перемещение
Rules/&MoveModeClimbTitle	Лазанье
Rules/&MoveModeFlyTitle	Полёт
Rules/&MoveModeIncorporealTitle	Бесплотность
Rules/&MoveModeSwimTitle	Плавание
Rules/&MoveModeBurrowTitle	Копание
Rules/&ConditionCloakOfDisplacementDescription	Пока это существо находится в сознании и может двигаться, все атаки против него будут совершаться с помехами. Бездействует до следующего хода, если получает урон.
Rules/&ConditionCloakOfDisplacementTitle	Ускользание
Rules/&ConditionHeavilyObscuredDescription	Существо сильно заслонено. Броски атаки с помехой. Броски атаки против этого существа совершаются с помехой.
Rules/&ConditionConjuredCreatureDescription	Это существо призвано с помощью магического эффекта
Rules/&ConditionConjuredCreatureTitle	Призванное существо
Rules/&ConditionBleedingDescription	Существо получает 1D6 некротического урона в начале своего хода.
Rules/&ConditionBleedingTitle	Ранение, нанесённое Клинком Рока
Rules/&ConditionSilencedDescription	Существо не издаёт звуки и не может говорить или произносить заклинания с вербальным компонентом.
Rules/&ConditionProtectedFromEvilDescription	Искажения, небожители, элементали, феи, изверги и нежить будут менее эффективно атаковать цель; также они не могут подчинить, напугать или захватить её. Если цель уже подчинена, испугана или одержима существом этого типа, новый спасбросок цели против действующего эффекта будет совершён с преимуществом.
Rules/&ConditionMarkedByFateDescription	Получает дополнительный урон от ударов.
Rules/&ConditionMarkedByFateTitle	Метка судьбы
Rules/&ConditionStepbackDescription	Преимущество при следующей атаке из лука до конца хода.
Rules/&ConditionStepbackTitle	Преимущество от шага назад
Rules/&ConditionInvisibleGreaterDescription	Нельзя заметить без использования магии. Атаки существа совершаются с преимуществом, а на атакующих действует помеха. Существо остаётся невидимым, совершая атаки и произнося заклинания.
Rules/&ConditionInvisibleGreaterTitle	Невидимость (высшая)
Rules/&ConditionStoneskinDescription	Сопротивление к немагическому дробящему, рубящему и колющему урону.
Rules/&ConditionStoneskinTitle	Каменная кожа
Rules/&ConditionFrightenedPhantasmalKillerDescription	Существо испугано, оно получает духовный урон каждый ход до тех пор, пока не совершит спасбросок.
Rules/&ConditionFrightenedPhantasmalKillerTitle	Испуг от призрака
Rules/&ConditionFireShieldWarmDescription	Невосприимчивость к холоду, наносит ответный огненный урон атакующим в ближнем бою.
Rules/&ConditionFireShieldColdDescription	Невосприимчивость к огню, наносит ответный урон холодом атакующим в ближнем бою.
Rules/&ConditionDeathWardedTitle	Под защитой от смерти
Rules/&ConditionDeathWardedDescription	Если после получения урона у цели должно остаться 0 очков здоровья, она не погибает, вместо этого у неё остаётся 1 ОЗ.
Rules/&ConditionConfusedTitle	Растерянность
Rules/&ConditionConfusedDescription	В начале хода существо может отойти, бездействовать, использовать атаку ближнего боя на цель в пределах досягаемости или действовать нормально.
Rules/&ConditionBanishedTitle	Изгнание
Rules/&ConditionBanishedDescription	Существо убирается из игры до конца действия заклинания или до тех пор, пока заклинание не будет прервано. Если заклинание, направленное на внеземное существо (небожитель, изверг, элементаль), не будет прервано, такое существо будет изгнано навсегда.
Rules/&SpecialBehaviourConditionDuringTurnFormat	{3} находится под воздействием на время хода.
Rules/&SpecialBehaviourNoneFormat	{3} ведёт себя нормально.
Rules/&ConditionConfusedAttackTitle	Случайная атака
Rules/&ConditionConfusedAttackDescription	Существо должно использовать действие, чтобы по возможности совершить случайную атаку в сторону существа, находящегося в пределах досягаемости.
Rules/&ConditionConfusedMoveTitle	Случайное движение
Rules/&ConditionConfusedMoveDescription	Существо должно двигаться в случайном направлении.
Rules/&ConditionConfusedIncapacitatedTitle	Обездвижение
Rules/&ConditionConfusedIncapacitatedDescription	Существо не может ничего сделать из-за смятения.
Rules/&ConditionFeatRaiseShieldDescription	Вы получаете +3 к КД до конца хода атакующего врага.
Rules/&ConditionFeatRaiseShieldTitle	Щит поднят
Rules/&ConditionFeatTwinBladeDescription	Вы получаете +3 к КД до конца хода атакующего врага.
Rules/&ConditionFeatTwinBladeTitle	Блокировка двумя клинками
Rules/&DurationTurnSingleFormat	{0} ход
Rules/&DurationTurnPluralFormat	{0} х.
Rules/&ConditionFeatTakeAimDescription	Ваши атаки оружием дальнего боя будут совершаться без помех и преимуществ независимо от условий.
Rules/&ConditionFeatTakeAimTitle	Прицеливается
Rules/&ConditionFeatRushToBattleDescription	Ваша скорость движения увеличена на 3 клетки, ваш КД снижен на 2 до начала вашего хода. 
Rules/&ConditionFeatRushToBattleTitle	Рвётся в бой
Rules/&ConditionDispellingEvilAndGoodTitle	Рассеивает зло и добро
Rules/&ConditionDispellingEvilAndGoodDescription	Атаки небожителей, элементалей, фей, извергов и нежити совершаются по вам с помехой. Вы также можете прервать действие враждебного заклятия и изгнать существо внеземного происхождения, совершив одну успешную атаку.
Rules/&ConditionMindControlledDescription	Существо присоединяется к подчинившему его заклинателю.
Rules/&ConditionMindDominatedDescription	Заклинатель полностью контролирует действия этого существа.
Rules/&ConditionMindDominatedTitle	Разум подчинён
Rules/&ConditionOnAcidTitle	Кислотный ожёг
Rules/&ConditionPheromonedTitle	Источает феромоны
Rules/&ConditionPheromonedDescription	-3 к проверкам характеристики «Харизма».
Rules/&ConditionOnAcidDescription	Получение 1d3 урона кислотой в конце вашего хода на протяжении 3 ходов.
Rules/&ActivationTypePermanentTitle	Постоянное
Rules/&MonsterSpellcastingTitle	Наложение заклинаний
Rules/&MonsterSpellcastingDescription	Существо может произносить заклинания.
Rules/&ConditionCalmedByCalmEmotionsEnemyTitle	Успокоенный враг
Rules/&ConditionCalmedByCalmEmotionsEnemyDescription	Существо не обращает внимание на врагов, пока не получает урон.
Rules/&ConditionCalmedByCalmEmotionsAllyTitle	Успокоенный союзник
Rules/&ConditionCalmedByCalmEmotionsAllyDescription	Существо невозможно очаровать или испугать.
Rules/&ConditionArcaneShockedTitle	Насыщается магией
Rules/&ConditionArcaneShockedDescription	Ваши броски атаки заклинаниями наносят как минимум средний урон.
Rules/&ConditionHidingInPlainSightTitle	Скрывается на видном месте
Rules/&ConditionHidingInPlainSightDescription	+10 ЛОВ (скрытность), когда вы стоите у стены.
Rules/&KillFormAlwaysFormat	Выбранное существо умирает.
Rules/&KillFormUnderChallengeRatingFormat	Выбранное существо умирает, если его рейтинг испытания равен или меньше {0}.
Rules/&KillFormUnderHitPointsFormat	Выбранное существо умирает, если количество оставшихся очков здоровья равно или меньше {0}.
Rules/&ConditionSwallowedTitle	Поглощение
Rules/&ConditionSwallowedRemorhazDescription	Не может действовать и получает 6d6 урона кислотой каждый ход. Атака, наносящая 30 единиц урона, может заставить поглотившего выплюнуть цель.
Rules/&AlterationFormLightUpFormat	Зажигает источники света.
Rules/&ReviveFormFormat	Оживляет мёртвого персонажа
Rules/&ConditionHeroismDescription	Невосприимчивость к испугу и восстановление временных очков здоровья каждый ход.
Rules/&RateD6_56FormatTitle	5 или 6 на 1к6
Rules/&ConditionOnFire_Elemental_Title	Горение, вызванное огненным элементалем
Rules/&ConditionOnFire_Spider_Title	Горение, вызванное огненной скопой
Rules/&ConditionOnFire_Osprey_Title	Горение, вызванное огненным пауком
Rules/&OrientationNorthTitle	Север
Rules/&OrientationEastTitle	Восток
Rules/&OrientationSouthTitle	Юг
Rules/&OrientationWestTitle	Запад
Rules/&ConditionSwallowedShamblingMoundDescription	Не может действовать и получает 2d6+8 дробящего урона каждый ход. Атака, наносящая 15 единиц урона, может заставить поглотившего выплюнуть цель.
Rules/&ApplySelfFormat	{0} (на себя)
Rules/&OnSpecificCreatureTriggerFormat	Цель — {0}:
Rules/&ConditionLifeDrainedClayGolemDescription	Очки здоровья снижены, необходимо заклинание «Высшее восстановление» жреца.
Rules/&ConditionSlowedStoneGolemTitle	Замедление
Rules/&ConditionSlowedStoneGolemDescription	Каменные големы могут замедлять противников поблизости.
Rules/&ConditionParalyzedGhoulTitle	
Rules/&SpellSlotFormCreateSpellSlotFormat	Создать ячейку заклинания
Rules/&SpellSlotFormCreateSorceryPointFormat	Создаёт очки колдовства
Rules/&MetamagicOptionCarefulSpellTitle	Осторожное заклинание
Rules/&MetamagicOptionCarefulSpellDescription	Союзные существа, на которых действует заклинание, автоматически выполняют успешный спасбросок.
Rules/&MetamagicOptionDistantSpellTitle	Дальнее заклинание
Rules/&MetamagicOptionDistantSpellDescription	Удваивает дальность действия заклинания или изменяет дальность действия заклинания прикосновения на 6 клеток.
Rules/&MetamagicOptionEmpoweredSpellTitle	Укреплённое заклинание
Rules/&MetamagicOptionEmpoweredSpellDescription	Все броски урона со значением 1 или 2 совершаются повторно. Используется новый результат.
Rules/&MetamagicOptionExtendedSpellTitle	Продлённое заклинание
Rules/&MetamagicOptionExtendedSpellDescription	Удваивает время действия заклинаний, действующих минимум 1 минуту, до максимального показателя в 24 часа
Rules/&MetamagicOptionHeightenedSpellTitle	Усиленное заклинание
Rules/&MetamagicOptionHeightenedSpellDescription	Можно заставить существо выполнить спасбросок с помехой
Rules/&MetamagicOptionQuickenedSpellTitle	Ускоренное заклинание
Rules/&MetamagicOptionQuickenedSpellDescription	Можно наложить заклинание, требующее основного действия, в качестве бонусного действия. Однако в течение этого же хода вы не сможете накладывать другие заклинания, кроме заговоров.
Rules/&MetamagicOptionTwinnedSpellTitle	Раздвоенное заклинание
Rules/&MetamagicOptionTwinnedSpellDescription	Если исходное заклинание направлено на одну цель, добавляет вторую цель.
Rules/&RateSorceryPointsFormatTitle	очки колдовства
Rules/&SpellSlotFormRecoverSorceryHalfLevelUpFormat	Восстановить определённое количество очков колдовства, равное половине от показателя уровня заклинателя (округлённое значение).
Rules/&ConditionSorcererChildRiftDeflectionTitle	Отражение Разлома
Rules/&ConditionSorcererChildRiftDeflectionDescription	До начала вашего следующего хода броски атак врагов, направленные против вас, будут совершаться с помехой, а ваши спасброски будут совершаться с преимуществом.
Rules/&RateHitPointsFormatTitle	Пожертвовать макс. ОЗ
Rules/&ConditionDisintegratedTitle	Расщепление
Rules/&ConditionDisintegratedDescription	Для оживления этого существа требуется «Воскрешение» или похожий эффект.
Rules/&ConditionDiseasedHarmTitle	Повреждение
Rules/&ConditionDiseasedHarmDescription	Максимальный запас здоровья снижен на час или до тех пор, пока на цель не подействует эффект отменяющий болезни.
Rules/&AlterationFormFeastFormatSingle	Отряд пирует в течение {0} ч.
Rules/&AlterationFormFeastFormatPlural	Отряд пирует в течение {0} ч.
Rules/&ConditionHeroesFeastTitle	Сытость
Rules/&ConditionHeroesFeastDescription	Невосприимчивость к яду и страху, спасброски характеристики МДР совершаются с преимуществом, текущий и максимальный запас здоровья увеличен на 10.
Rules/&EffectTargetArcFromIndividualTitle	1{0}+ {1}{2}({3}{4})
Rules/&ConditionEyebiteSickenedTitle	Слабость
Rules/&ConditionEyebiteSickenedDescription	Броски атаки и проверки характеристики совершаются с помехой.
Rules/&ConditionFrightenedEyebitePanickedTitle	Паника
Rules/&ConditionFrightenedEyebitePanickedDescription	Необходимость убежать от источника эффекта.
Rules/&ConditionRagingTitle	В ярости
Rules/&RateRagePointsFormatTitle	очки ярости
Rules/&DurationHourHalfClassLevelFormat	½ уровня класса (часы)
Rules/&ConditionSpiritBearTitle	Связь с духом медведя
Rules/&ConditionSpiritBearDescription	+ 1 ОЗ за уровень
Rules/&ConditionSpiritWolfTitle	Связь с духом волка
Rules/&ConditionSpiritWolfDescription	+ 1 к КД
Rules/&ConditionSpiritApeTitle	Связь с духом обезьяны
Rules/&ConditionSpiritApeDescription	Мастерство в спасбросках ЛОВ
Rules/&ConditionSpiritViperTitle	Связь с духом гадюки
Rules/&ConditionSpiritViperDescription	+1 клетка для передвижения
Rules/&ConditionSpiritSpiderTitle	Связь с духом паука
Rules/&ConditionSpiritSpiderDescription	Паучья ловкость
Rules/&ConditionSpiritEagleTitle	Связь с духом орла
Rules/&ConditionSpiritEagleDescription	Инициатива +3
Rules/&EffectTargetFreeSlotTitle	Свободная ячейка
Rules/&ConditionHeatMetalDescription	Получает помеху к броскам атаки и проверкам характеристик и может получать дополнительный огненный урон.
Rules/&ConditionShapeChangedTitle	Изменённый облик
Rules/&ConditionMindControlledByCasterDescription	Данное существо находится под контролем заклинателя, наложившего заклинание призыва.
Rules/&ConditionRagingDescription	Вы сражаетесь с первобытной свирепостью, повышая наносимый урон и сопротивления.
Rules/&ProficiencyBonusDoubleFormat	+ удвоенный бонус мастерства
Rules/&ConditionGuidingWindsDescription	Следующая атака по цели будет выполнена с преимуществом.
Rules/&ConditionRecklessTitle	Безрассудство
Rules/&ConditionRecklessDescription	В этот ход существо совершает атаки ближнего боя с преимуществом.
Rules/&ConditionRecklessVulnerabilityTitle	Безрассудная уязвимость
Rules/&ConditionRecklessVulnerabilityDescription	Атаки против существа совершаются с преимуществом до начала его следующего хода.
Rules/&ConditionDreadfulGlareImmunityTitle	Невосприимчивость к «Жуткому взгляду» мумий
Rules/&ConditionDreadfulGlareImmunityDescription	Вы невосприимчивы к «Жуткому взгляду» мумий и владыки мумий в течение 24 часов.
Rules/&ConditionNegativeEnergyTitle	Под воздействием отрицательной энергии
Rules/&ConditionNegativeEnergyDescription	Не может восстанавливать очки здоровья.
Rules/&ConditionRousingShoutTitle	Усилен «Воодушевляющим кличем»
Rules/&ConditionRousingShoutDescription	Преимущество при следующей атаке.
Rules/&ConditionMenacedTargetTitle	Под угрозой
Rules/&ConditionMenacedTargetDescription	Атаки цели, направленные против источника угрозы, будут выполняться с помехой.
Rules/&ConditionBorrowedLuckTitle	Заимствованная удача
Rules/&ConditionBorrowedLuckDescription	Ваш следующий спасбросок будет выполнен с помехой.
Rules/&ConditionFormAddRandomFormat	Применяет одно из этих случайных состояний: {0}
Rules/&ConditionFormNothingTitle	Ничего
Rules/&ConditionRangerSwiftBladeBattleFocusTitle	Боевое сосредоточение
Rules/&ConditionRangerSwiftBladeBattleFocusDescription	Все ваши атаки оружием ближнего боя наносят дополнительно 1к8 урона оружием, зависящего от типа урона оружия, до начала вашего следующего хода.
Rules/&ConditionOathOfJugementWeightOfJusticeTitle	Тяжесть правосудия
Rules/&ConditionOathOfJugementWeightOfJusticeDescription	В следующий раз, когда вы будете атаковать существо оружием ближнего боя, оно должно будет выполнить спасбросок харизмы, иначе на него будет применено состояние удерживания на месте на срок до 1 минуты.
Rules/&ConditionOathOfJugementAuraOfRighteousnessTitle	Аура праведности
Rules/&ConditionOathOfJugementAuraOfRighteousnessDescription	Ваши атаки наносят дополнительный урон, равный бонусу мастерства паладина, излучающего ауру.
Rules/&SpellSlotFormRechargePowerFormat	Восстанавливает способность «{0}».
Rules/&ConditionCircleBalanceGiftOfLifeTitle	Дар жизни
Rules/&ConditionCircleBalanceGiftOfLifeDescription	Восстановит очки здоровья в начале следующего хода заклинателя.
Rules/&ConditionCircleBalanceEmbracedByColdTitle	Морозные объятья
Rules/&ConditionCircleBalanceEmbracedByColdDescription	Существо не может восстанавливать очки здоровья.
Rules/&HeightFormatInches	
