ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
Feat/&AlchemistSubclassElixirsTitle	Elixires experimentales
Feat/&AlchemistSubclassSpellsDescription	{0}.
Feat/&AlchemistSubclassSpellsTitle	Aprender hechizos de fabricante de pociones
Feat/&ArmorModePoolDescription	Te permite cambiar entre los modos de armadura.
Feat/&ArmorModePoolTitle	Modo Armadura
Feat/&ArtificerAlchemistAlchemicalSavantDescription	Cuando te curas, curas HP adicionales iguales a 1d4 + tu nivel.
Feat/&ArtificerAlchemistAlchemicalSavantTitle	Sabio del Elixir
Feat/&ArtificerAlchemistBoldnessElixirDescription	El objetivo puede tirar un d4 y aÃ±adir el nÃºmero obtenido a cada tirada de ataque y tirada de salvaciÃ³n que haga durante el siguiente minuto.
Feat/&ArtificerAlchemistBoldnessElixirTitle	Elixir de audacia
Feat/&ArtificerAlchemistFlyElixirDescription	El objetivo puede volar lentamente durante 10 minutos.
Feat/&ArtificerAlchemistFlyElixirTitle	Elixir de vuelo
Feat/&ArtificerAlchemistHealElixirDescription	Cura al objetivo por 2d4 + modificador de Inteligencia.
Feat/&ArtificerAlchemistHealElixirTitle	Elixir de curaciÃ³n
Feat/&ArtificerAlchemistResilienceElixirDescription	Aumenta la CA del objetivo en +1 durante 10 minutos.
Feat/&ArtificerAlchemistResilienceElixirTitle	Elixir de resiliencia
Feat/&ArtificerAlchemistSwiftnessElixirDescription	Aumenta la velocidad de movimiento del objetivo en 10 pies durante 1 hora.
Feat/&ArtificerAlchemistSwiftnessElixirTitle	Elixir de rapidez
Feat/&ArtificerArtilleristArcaneFirearmDescription	Al lanzar hechizos de evocaciÃ³n, inflige 1d8 de daÃ±o adicional una vez por turno.
Feat/&ArtificerArtilleristArcaneFirearmTitle	Mejora de la explosiÃ³n
Feat/&ArtificerArtillerstDetonationSpellPreparedDescription	Obtienes la habilidad de detonar uno de tus dispositivos causando daÃ±o a los que estÃ¡n cerca del objetivo.
Feat/&ArtificerArtillerstDetonationSpellPreparedTitle	DetonaciÃ³n de dispositivos
Feat/&ArtificerArtillerstImprovedCannonsDescription	El efecto de tus caÃ±ones aumenta. DaÃ±o adicional por el fuego, un objetivo adicional por la fuerza y HP temporales adicionales por el escudo.
Feat/&ArtificerArtillerstImprovedCannonsTitle	CaÃ±ones mejorados
Feat/&ArtificialServantAttackDescription	Ataque a distancia de 1d6 de daÃ±o de fuerza de tu fiel compaÃ±ero.
Feat/&ArtificialServantAttackTitle	Honda de la Fuerza
Feat/&ArtificialServantDescription	El siervo es amigable contigo y tus compaÃ±eros, y obedece tus Ã³rdenes.
Feat/&ArtificialServantTitle	Siervo artificial
Feat/&ArtilleristCannonDetonationDescription	Detona uno de tus dispositivos haciendo que las criaturas en un radio de 20 pies del lugar elegido hagan una salvaciÃ³n de Destreza. Las criaturas reciben 3d8 de daÃ±o de fuerza si fallan la salvaciÃ³n, y la mitad de daÃ±o si tienen Ã©xito.
Feat/&ArtilleristCannonDetonationTitle	DetonaciÃ³n de dispositivo
Feat/&ArtilleristFlameCannon15Description	Lanza fuego, infligiendo 6d8 de daÃ±o de fuego a tus enemigos como acciÃ³n adicional.
Feat/&ArtilleristFlameCannon15Title	Lanzallamas
Feat/&ArtilleristFlameCannon9Description	Lanza fuego, infligiendo 3d8 de daÃ±o de fuego a tus enemigos como acciÃ³n adicional.
Feat/&ArtilleristFlameCannon9Title	Lanzallamas
Feat/&ArtilleristFlameCannonDescription	Lanza fuego, infligiendo 2d8 de daÃ±o de fuego a tus enemigos como acciÃ³n adicional.
Feat/&ArtilleristFlameCannonTitle	Lanzallamas
Feat/&ArtilleristForceCannon15Description	Usa un ataque de fuerza que inflige 3d8 de daÃ±o de fuerza a un objetivo como acciÃ³n adicional a 2 objetivos.
Feat/&ArtilleristForceCannon15Title	CaÃ±Ã³n de fuerza
Feat/&ArtilleristForceCannon9Description	Utiliza un ataque de fuerza que inflige 3d8 de daÃ±o de fuerza a un objetivo como acciÃ³n adicional.
Feat/&ArtilleristForceCannon9Title	CaÃ±Ã³n de fuerza
Feat/&ArtilleristForceCannonDescription	Utiliza un ataque de fuerza que inflige 2d8 de daÃ±o de fuerza a un objetivo como acciÃ³n adicional.
Feat/&ArtilleristForceCannonTitle	CaÃ±Ã³n de Fuerza
Feat/&ArtilleristProtectorCannon15Description	Emite energÃ­a positiva como acciÃ³n adicional. Los aliados en un radio de 6 metros ganan 3d8 + tu modificador de Inteligencia puntos de vida temporales.
Feat/&ArtilleristProtectorCannon15Title	Escudo Arcano
Feat/&ArtilleristProtectorCannonDescription	Emite energÃ­a positiva como acciÃ³n de bonificaciÃ³n. Los aliados en un radio de 3 metros ganan 1d8 + tu modificador de Inteligencia puntos de vida temporales.
Feat/&ArtilleristProtectorCannonTitle	Escudo Arcano
Feat/&ArtilleristSubclassSpellsDescription	{0}.
Feat/&ArtilleristSubclassSpellsTitle	Aprender Hechizos Blaster
Feat/&ArtilleryConstructDescription	Puede daÃ±ar o proteger a los aliados.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsDescription	Cantrips:Constructora de ReparaciÃ³n, Constructora de Despedida \nNivel 1: Resumir Constructora de ArtillerÃ­a.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsTitle	Hechizos de Constructo
Feat/&ArtilleryConstructLevel09AutopreparedSpellsDescription	Ganas hechizos extra que se consideran hechizos de Hechicero para ti, siempre estÃ¡n preparados y no cuentan contra el nÃºmero de hechizos de Hechicero que conoces.
Feat/&ArtilleryConstructLevel09AutopreparedSpellsTitle	Hechizos de Constructor
Feat/&ArtilleryConstructLevel15AutopreparedSpellsDescription	Ganas hechizos de bonificaciÃ³n que se consideran hechizos de Hojalatero para ti, siempre estÃ¡n preparados y no cuentan contra el nÃºmero de hechizos de Hojalatero que conoces.
Feat/&ArtilleryConstructLevel15AutopreparedSpellsTitle	Construir Hechizos
Feat/&ArtilleryConstructTitle	Construir ArtillerÃ­a
Feat/&ArtilleryConstructTitle_3	Construir ArtillerÃ­a
Feat/&ArtilleryConstructTitle_5	ConstrucciÃ³n de ArtillerÃ­a
Feat/&ArtilleryModePoolDescription	Elige tu modo de artillerÃ­a.
Feat/&ArtilleryModePoolTitle	Modo ArtillerÃ­a
Feat/&AttackModifierArtificerBattleSmithJolt2Description	Tus ataques de arma infligen 3 de daÃ±o adicional.
Feat/&AttackModifierArtificerBattleSmithJolt2Title	Ataque de arma mejorado
Feat/&AttackModifierArtificerBattleSmithJoltDescription	Tus ataques con armas infligen 3 de daÃ±o adicional.
Feat/&AttackModifierArtificerBattleSmithJoltTitle	Golpe de ataque con armas
Feat/&AutoPreparedSpellsDescription	{0}.
Feat/&AutoPreparedSpellsTitle	Aprende hechizos de Centinela Explorador
Feat/&BattleSmithSubclassSpellsDescription	{0}.
Feat/&BattleSmithSubclassSpellsTitle	Aprende hechizos de Centinela de Armas
Feat/&CancelFlyingConditionDescription	Termina la condiciÃ³n de volar para permitir saltar y arrastrarse.
Feat/&CancelFlyingConditionTitle	Cancela el vuelo
Feat/&ChefConDescription	Ganas +1 a la ConstituciÃ³n. Dedica 1 hora a cocinar una comida para curarte a ti y a tus compaÃ±eros 1d8 HP. Una vez al dÃ­a, puedes gastar una hora para cocinar golosinas que proporcionen HP temporales cuando se coman.
Feat/&ChefConTitle	Chef (ConstituciÃ³n)
Feat/&ChefShortRestFeastDescription	Dedica 1 hora a preparar una comida que ayude a curaros a ti y a tus compaÃ±eros 1d8 HP.
Feat/&ChefShortRestFeastTitle	Comida de Descanso Corto
Feat/&ChefWisDescription	Ganas +1 a la SabidurÃ­a. Dedica 1 hora a preparar una comida para curaros a ti y a tus compaÃ±eros. Una vez al dÃ­a puedes gastar una hora para cocinar manjares que proporcionan HP temporales al comerlos.
Feat/&ChefWisTitle	Chef (SabidurÃ­a)
Feat/&ConstructSelectingPoolDescription	Selecciona el modo para tu Construct.
Feat/&ConstructSelectingPoolTitle	Modo ArtillerÃ­a
Feat/&DeadeyeFeatDescription	Has dominado las armas a distancia y puedes hacer disparos que a otros les resultan imposibles.\n- Atacar a larga distancia no impone desventaja en tus tiradas de ataque con armas a distancia.\n- Tus ataques con armas a distancia ignoran la media cobertura y la cobertura de tres cuartos.\n- Puedes elegir sufrir una penalizaciÃ³n de -5 a tu tirada de ataque con armas a distancia. Si el ataque impacta, infliges 10 puntos de daÃ±o adicionales del tipo de arma.
Feat/&DeadeyeFeatTitle	Ojo avizor
Feat/&DismissConstructDescription	Desinvoca a tu constructo.
Feat/&DismissConstructTitle	Desmembrar constructo
Feat/&DualFlurryDescription	Eres un maestro de la lucha con armas emparejadas. En cualquier turno en el que golpees dos veces con ataques cuerpo a cuerpo mientras empuÃ±as un arma en cada mano, puedes hacer un ataque adicional sin mano cuando ataques con tu acciÃ³n de bonificaciÃ³n.
Feat/&DualFlurryTitle	Flurry dual
Feat/&ExtraInfusionSlotsDescription	Ganas ranuras de infusiÃ³n extra que deben ser usadas en armaduras/armas.
Feat/&ExtraInfusionSlotsTitle	Infusiones extra
Feat/&FeatArcaneDefenseDescription	Aumenta tu Inteligencia en 1, hasta un mÃ¡ximo de 20.\nMientras no lleves armadura, tu CA es igual a 10 + tu modificador de Destreza + tu modificador de Inteligencia.
Feat/&FeatArcaneDefenseTitle	Defensa Arcana
Feat/&FeatArcanePrecisionDescription	Cuando se activa en un arma, sus ataques cuentan como mÃ¡gicos y utilizas tu Inteligencia para tus tiradas de ataque y daÃ±o. Tiene una duraciÃ³n de 1 minuto y puede usarse dos veces por descanso largo.
Feat/&FeatArcanePrecisionTitle	PrecisiÃ³n arcana
Feat/&FeatBlindFightingStlyeDescription	Tienes visiÃ³n ciega con un alcance de 3 metros.
Feat/&FeatBlindFightingStlyeTitle	Estilo de lucha: Lucha a ciegas
Feat/&FeatBrutalThugDescription	Aportas poderosos golpes en los lugares adecuados.\nObtienes competencias de armas simples y marciales y puedes atacar por sorpresa con armas marciales.
Feat/&FeatBrutalThugTitle	MatÃ³n Brutal
Feat/&FeatChaIncrementDescription	+1 Carisma.
Feat/&FeatChaIncrementTitle	Aumento del atributo Carisma
Feat/&FeatCharismaticDefenseDescription	Aumenta tu Carisma en 1, hasta un mÃ¡ximo de 20.\nMientras no lleves armadura, tu CA es igual a 10 + tu modificador de Destreza + tu modificador de Carisma.
Feat/&FeatCharismaticDefenseTitle	Defensa de Carisma
Feat/&FeatCharismaticPrecisionDescription	Cuando se activa en un arma, sus ataques cuentan como mÃ¡gicos y utilizas tu Carisma para tus tiradas de ataque y daÃ±o. Tiene una duraciÃ³n de 1 minuto y puede usarse dos veces por descanso largo.
Feat/&FeatCharismaticPrecisionTitle	PrecisiÃ³n CarismÃ¡tica
Feat/&FeatChefConIncrementDescription	+1 ConstituciÃ³n.
Feat/&FeatChefConIncrementTitle	Aumento de atributos
Feat/&FeatChefWisIncrementDescription	+1 SabidurÃ­a.
Feat/&FeatChefWisIncrementTitle	Aumento de atributos
Feat/&FeatCripplingDescription	Al impactar con un ataque cuerpo a cuerpo, puedes reducir la velocidad de tu oponente en 10 pies hasta el inicio de tu siguiente turno.
Feat/&FeatCripplingTitle	Estilo de lucha: Crippling
Feat/&FeatDexIncrementDescription	+1 Destreza.
Feat/&FeatDexIncrementTitle	Aumento de atributos
Feat/&FeatDualWeaponDefenseDescription	Obtienes un bonificador +1 a la CA mientras estÃ©s blandiendo un arma cuerpo a cuerpo distinta en cada mano.
Feat/&FeatDualWeaponDefenseTitle	Defensa con dos armas
Feat/&FeatFastHandsDescription	Obtienes una acciÃ³n de astucia y puedes usar la acciÃ³n de bonificaciÃ³n que te otorga para hacer un chequeo de Destreza (Juego de manos), usar tus herramientas de ladrÃ³n para Desarmar una trampa o abrir una cerradura, o hacer la acciÃ³n de Usar un objeto.
Feat/&FeatFastHandsTitle	Manos rÃ¡pidas
Feat/&FeatFeyTeleportationChaDescription	Aumenta el atributo de Carisma en 1. Gana la habilidad de Paso Nublado una vez por descanso corto y aprende el hechizo. Gana competencia en Tirmarian.
Feat/&FeatFeyTeleportationChaTitle	Teletransporte feÃ©rico (Carisma)
Feat/&FeatFeyTeleportationIntDescription	Incrementa el atributo de Inteligencia en 1. Obtiene la habilidad de Paso Mistoso una vez por descanso corto y aprende el hechizo. Gana competencia en Tirmarian.
Feat/&FeatFeyTeleportationIntTitle	Teletransporte feÃ©rico (Inteligencia)
Feat/&FeatFeyTeleportationWisDescription	Aumenta el atributo de SabidurÃ­a en 1. Obtiene la habilidad de Paso de la Niebla una vez por descanso corto y aprende el hechizo. Adquiere competencia en tirmariano.
Feat/&FeatFeyTeleportationWisTitle	Teletransporte feÃ©rico (SabidurÃ­a)
Feat/&FeatFightingSurgeDexterityDescription	Aumenta tu Destreza en 1, hasta un mÃ¡ximo de 20.\nEn tu turno, puedes realizar una acciÃ³n adicional ademÃ¡s de tu acciÃ³n normal y una posible acciÃ³n extra. Una vez que usas este rasgo, debes terminar un descanso largo antes de poder usarlo de nuevo.
Feat/&FeatFightingSurgeDexterityTitle	Aumento de lucha (Destreza)
Feat/&FeatFightingSurgeStrengthDescription	Aumenta tu Fuerza en 1, hasta un mÃ¡ximo de 20.\nEn tu turno, puedes realizar una acciÃ³n adicional ademÃ¡s de tu acciÃ³n normal y una posible acciÃ³n extra. Una vez que usas este rasgo, debes terminar un descanso largo antes de poder usarlo de nuevo.
Feat/&FeatFightingSurgeStrengthTitle	Oleada de lucha (Fuerza)
Feat/&FeatHeavyArmorMasterClassDescription	Resistencia al daÃ±o contundente, cortante y perforante.
Feat/&FeatHeavyArmorMasterClassTitle	Dominio de la defensa pesada
Feat/&FeatImprovedCriticalDescription	Tus ataques son golpes crÃ­ticos con una tirada de 19 o 20.
Feat/&FeatImprovedCriticalTitle	CrÃ­tico mejorado
Feat/&FeatIntIncrementDescription	+1 Inteligencia.
Feat/&FeatIntIncrementTitle	Aumento del Atributo de Inteligencia
Feat/&FeatLightArmorDescription	Aumenta tu Fuerza en 1, hasta un mÃ¡ximo de 20.\nGanas competencia con la Armadura Ligera.
Feat/&FeatLightArmorProficiencyDescription	Ganas competencia con la armadura ligera.
Feat/&FeatLightArmorProficiencyTitle	Armadura Ligera
Feat/&FeatLightArmorTitle	Armadura ligera
Feat/&FeatMarksmanDescription	Cuando un oponente que puedes ver te ataca con un arma a distancia o un hechizo y estÃ¡ al menos a 10 pies de ti, puedes usar tu reacciÃ³n para hacer un ataque con arma a distancia despuÃ©s de que el ataque desencadenante termine.
Feat/&FeatMarksmanTitle	Tirador
Feat/&FeatMediumArmorDexDescription	Aumenta tu Destreza en 1, hasta un mÃ¡ximo de 20.\nObtienes competencia con armadura media y escudos.
Feat/&FeatMediumArmorDexTitle	Armadura media (Destreza)
Feat/&FeatMediumArmorProficiencyDescription	Ganas competencia con armadura media y escudos.
Feat/&FeatMediumArmorProficiencyTitle	Armadura media
Feat/&FeatMediumArmorStrengthDescription	Aumenta tu Fuerza en 1, hasta un mÃ¡ximo de 20.\nObtienes competencia con Armadura Media y escudos.
Feat/&FeatMediumArmorStrengthTitle	Armadura media (Fuerza)
Feat/&FeatMetamagicAdeptCarefulDescription	Aumenta tu Carisma en 1, hasta un mÃ¡ximo de 20.\nAprendes la metamagia Cuidado y ganas 2 puntos de hechicerÃ­a.
Feat/&FeatMetamagicAdeptCarefulTitle	Metamagia: Cuidado
Feat/&FeatMetamagicAdeptDistantDescription	Aumenta tu Carisma en 1, hasta un mÃ¡ximo de 20.\nAprendes la metamagia Distante y ganas 2 puntos de hechicerÃ­a.
Feat/&FeatMetamagicAdeptDistantTitle	Metamagia: Distante
Feat/&FeatMetamagicAdeptEmpoweredDescription	Aumenta tu Carisma en 1, hasta un mÃ¡ximo de 20.\nAprendes la metamagia Potenciado y ganas 2 puntos de hechicerÃ­a.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Metamagia: Potenciado
Feat/&FeatMetamagicAdeptExtendedDescription	Aumenta tu Carisma en 1, hasta un mÃ¡ximo de 20.\nAprendes la metamagia Extendido y ganas 2 puntos de hechicerÃ­a.
Feat/&FeatMetamagicAdeptExtendedTitle	Metamagia: Extendida
Feat/&FeatMetamagicAdeptHeightenedDescription	Aprendes la metamagia Intensificada y ganas 4 puntos de hechicerÃ­a.
Feat/&FeatMetamagicAdeptHeightenedTitle	Metamagia: Aumentada
Feat/&FeatMetamagicAdeptQuickenedDescription	Aumenta tu Carisma en 1, hasta un mÃ¡ximo de 20.\nAprendes la metamagia Acelerado y ganas 2 puntos de hechicerÃ­a.
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamagia: Acelerado
Feat/&FeatMetamagicAdeptTwinnedDescription	Aumenta tu Carisma en 1, hasta un mÃ¡ximo de 20.\nAprendes la metamagia Gemelo y ganas 2 puntos de hechicerÃ­a.
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamagia: Gemelo
Feat/&FeatPolearmExpertDescription	Tu entrenamiento experto con armas de asta te otorga estos beneficios:\n- Cuando realizas la acciÃ³n de Ataque y atacas sÃ³lo con un arma de asta, puedes utilizar una acciÃ³n de bonificaciÃ³n para realizar un ataque cuerpo a cuerpo con el extremo opuesto del arma. Este ataque utiliza el mismo modificador de habilidad que el ataque principal. El dado de daÃ±o del arma para este ataque es un d4, e inflige daÃ±o contundente.\n- Mientras estÃ©s blandiendo un arma de asta, otras criaturas provocan un ataque de oportunidad tuyo cuando entran en el alcance que tienes con esa arma.
Feat/&FeatPolearmExpertTitle	Experto en armas de asta
Feat/&FeatPrimalConstitutionDescription	Aumenta tu ConstituciÃ³n en 1, hasta un mÃ¡ximo de 20.\nPuedes entrar en cÃ³lera como acciÃ³n adicional, tal y como se define en el rasgo de clase de cÃ³lera del bÃ¡rbaro, con un daÃ±o de cÃ³lera de +1 que puede acumularse con la cÃ³lera del bÃ¡rbaro. Una vez que hayas montado en cÃ³lera de esta manera, debes terminar un descanso largo antes de usar esta caracterÃ­stica de nuevo.\nMientras no lleves ninguna armadura, tu CA es igual a 10 + tu modificador de Destreza + tu modificador de ConstituciÃ³n.
Feat/&FeatPrimalConstitutionTitle	Furia Primigenia (ConstituciÃ³n)
Feat/&FeatPrimalStrengthDescription	Aumenta tu Fuerza en 1, hasta un mÃ¡ximo de 20.\nPuedes entrar en una furia como acciÃ³n de bonificaciÃ³n, tal y como se define en el rasgo de clase de furia del bÃ¡rbaro, con un daÃ±o de furia de +1 que puede acumularse con la furia del bÃ¡rbaro. Una vez que hayas montado en cÃ³lera de esta manera, debes terminar un descanso largo antes de usar este rasgo de nuevo.\nMientras no lleves ninguna armadura, tu CA es igual a 10 + tu modificador de Destreza + tu modificador de ConstituciÃ³n.
Feat/&FeatPrimalStrengthTitle	Furia Primigenia (Fuerza)
Feat/&FeatPugilistFightingStlyeDescription	Tus golpes desarmados infligen 1d4 de daÃ±o contundente adicional y puedes dar un puÃ±etazo con tu mano libre como acciÃ³n adicional.\nSi tienes una mano libre, puedes empujar como acciÃ³n adicional.
Feat/&FeatPugilistFightingStlyeTitle	Estilo de lucha: Pugilista
Feat/&FeatRangedExpertDescription	Tu entrenamiento experto con armas a distancia te otorga estos beneficios:\n- Ya no tienes desventaja en los ataques a distancia cuando hay un enemigo a 5 pies de distancia de ti.\n- Si gastas tu acciÃ³n de ataque puedes usar la acciÃ³n de bonificaciÃ³n para hacer un ataque con un arma a distancia o arrojada con una mano.
Feat/&FeatRangedExpertTitle	Experto a distancia
Feat/&FeatSavageAttackerDescription	Vuelve a lanzar los dados de daÃ±o de armas y hechizos cuando sacan un 1 (no vuelve a lanzar todas las fuentes de daÃ±o, por ejemplo excluye Ataque Furtivo y Golpe).
Feat/&FeatSavageAttackerReroll	Por ser un Atacante Salvaje {0} vuelve a tirar el dado {1} de un {2} a un {3}
Feat/&FeatSavageAttackerTitle	Atacante Salvaje
Feat/&FeatSentinelDescription	Dominas las tÃ©cnicas para aprovechar cada bajada de guardia de cualquier enemigo, obteniendo los siguientes beneficios:\n- Cuando golpeas a una criatura con un ataque de oportunidad, la velocidad de la criatura pasa a ser 0 durante el resto del turno.\n- Las criaturas provocan ataques de oportunidad tuyos incluso si realizan la acciÃ³n de Desenganche antes de salir de tu alcance.\n- Cuando una criatura realiza un ataque contra un objetivo que no seas tÃº (y ese objetivo no tiene esta hazaÃ±a), puedes utilizar tu reacciÃ³n para realizar un ataque con arma cuerpo a cuerpo contra la criatura atacante.
Feat/&FeatSentinelTitle	Centinela
Feat/&FeatShadowTouchedChaDescription	Aumenta tu atributo de Carisma en 1, hasta un mÃ¡ximo de 20.\nObtienes la capacidad de lanzar Invisibilidad, Infligir heridas y Vida falsa una vez por descanso largo y aprendes los conjuros.
Feat/&FeatShadowTouchedChaTitle	Tocado por la sombra (Carisma)
Feat/&FeatShadowTouchedIntDescription	Aumenta tu atributo de Inteligencia en 1, hasta un mÃ¡ximo de 20.\nObtienes la habilidad de lanzar Invisibilidad, Infligir heridas y Vida falsa una vez por descanso largo y aprendes los conjuros.
Feat/&FeatShadowTouchedIntTitle	Tocado por la sombra (Inteligencia)
Feat/&FeatShadowTouchedWisDescription	Aumenta tu atributo de SabidurÃ­a en 1, hasta un mÃ¡ximo de 20.\nObtienes la habilidad de lanzar Invisibilidad, Infligir heridas y Vida falsa una vez por descanso largo y aprendes los conjuros.
Feat/&FeatShadowTouchedWisTitle	Tocado por la sombra (SabidurÃ­a)
Feat/&FeatShadyDescription	Aumenta tu Destreza en 1, hasta un mÃ¡ximo de 20.\nUna vez por turno, puedes infligir un daÃ±o extra de 1d6 a una criatura que golpees con un ataque que cumpla los requisitos del Ataque Furtivo del PÃ­caro. A 12Âº nivel, este daÃ±o aumenta a 2d6 y a 20Âº nivel, a 4d6.
Feat/&FeatShadyTitle	Sombra
Feat/&FeatShieldExpertDescription	Te has entrenado en el uso de un escudo como arma. Para ti, se convierte en un arma cuerpo a cuerpo que dominas y que inflige 1d4 de daÃ±o contundente.\nGanas ventaja en los intentos de empuje mientras empuÃ±as un escudo.
Feat/&FeatShieldExpertTitle	Experto en escudos
Feat/&FeatStrengthIncrementDescription	+1 Fuerza.
Feat/&FeatStrengthIncrementTitle	Aumento de atributos
Feat/&FeatTelekineticChaDescription	Aumenta tu Carisma en 1, hasta un mÃ¡ximo de 20.\nComo acciÃ³n de bonificaciÃ³n, puedes empujar o tirar telequinÃ©ticamente de una criatura que puedas ver en un radio de 30 pies de ti. El objetivo debe tener Ã©xito en una tirada de salvaciÃ³n de Fuerza (DC 8 + tu bono de competencia + tu modificador de Carisma) o ser movido 5 pies.
Feat/&FeatTelekineticChaPullDescription	Atraer telequinÃ©ticamente a una criatura hacia ti.
Feat/&FeatTelekineticChaPullTitle	Tirar TelequinÃ©ticamente
Feat/&FeatTelekineticChaPushDescription	Empuja telequinÃ©ticamente a una criatura lejos de ti.
Feat/&FeatTelekineticChaPushTitle	Empujar telequinÃ©ticamente
Feat/&FeatTelekineticChaTitle	TelequinÃ©tico (Carisma)
Feat/&FeatTelekineticIntDescription	Aumenta tu Inteligencia en 1, hasta un mÃ¡ximo de 20.\nComo acciÃ³n de bonificaciÃ³n, puedes empujar o tirar telequinÃ©ticamente de una criatura que puedas ver en un radio de 30 pies de ti. El objetivo debe tener Ã©xito en una tirada de salvaciÃ³n de Fuerza (DC 8 + tu bono de competencia + tu modificador de Inteligencia) o ser movido 5 pies.
Feat/&FeatTelekineticIntPullDescription	Atrae telequinÃ©ticamente a una criatura hacia ti.
Feat/&FeatTelekineticIntPullTitle	TirÃ³n TelequinÃ©tico
Feat/&FeatTelekineticIntPushDescription	Empuja telequinÃ©ticamente a una criatura lejos de ti.
Feat/&FeatTelekineticIntPushTitle	Empujar telequinÃ©ticamente
Feat/&FeatTelekineticIntTitle	TelequinÃ©tico (Inteligencia)
Feat/&FeatTelekineticWisDescription	Aumenta tu SabidurÃ­a en 1, hasta un mÃ¡ximo de 20.\nComo acciÃ³n de bonificaciÃ³n, puedes empujar o tirar telequinÃ©ticamente de una criatura que puedas ver en un radio de 30 pies de ti. El objetivo debe tener Ã©xito en una tirada de salvaciÃ³n de Fuerza (DC 8 + tu bono de competencia + tu modificador de SabidurÃ­a) o ser movido 5 pies.
Feat/&FeatTelekineticWisPullDescription	Tira telecinÃ©ticamente de una criatura hacia ti.
Feat/&FeatTelekineticWisPullTitle	Tirar telequinÃ©ticamente
Feat/&FeatTelekineticWisPushDescription	Empuja telequinÃ©ticamente a una criatura lejos de ti.
Feat/&FeatTelekineticWisPushTitle	Empujar telequinÃ©ticamente
Feat/&FeatTelekineticWisTitle	TelequinÃ©tico (SabidurÃ­a)
Feat/&FeatTitanFightingDescription	Ganas un +2 al impacto contra criaturas de tamaÃ±o Grande o mayor.
Feat/&FeatTitanFightingTitle	Estilo de lucha: Lucha de Titanes
Feat/&FeatToughDescription	Tu mÃ¡ximo de puntos de golpe aumenta en una cantidad igual al doble de tu nivel cuando obtienes esta proeza. Cada vez que ganes un nivel a partir de entonces, tu mÃ¡ximo de puntos de golpe aumenta en 2 puntos de golpe adicionales.
Feat/&FeatToughTitle	Resistente
Feat/&FeatWarCasterDescription	Obtienes ventaja en los chequeos para mantener la concentraciÃ³n.\nObtienes la capacidad de realizar el componente somÃ¡tico de los conjuros incluso con las dos manos ocupadas.\nCuando el movimiento de una criatura hostil provoque un ataque de oportunidad por tu parte, puedes utilizar tu reacciÃ³n para lanzar un cantrip a la criatura, en lugar de realizar un ataque de oportunidad. El cantrip debe tener un tiempo de lanzamiento de 1 acciÃ³n o acciÃ³n extra y debe tener como objetivo sÃ³lo a esa criatura.
Feat/&FeatWarCasterTitle	Lanzador de guerra
Feat/&FeatWiseDefenseDescription	Aumenta tu SabidurÃ­a en 1, hasta un mÃ¡ximo de 20.\nMientras no lleves armadura, tu CA es igual a 10 + tu modificador de Destreza + tu modificador de SabidurÃ­a.
Feat/&FeatWiseDefenseTitle	Defensa de SabidurÃ­a
Feat/&FeatWisePrecisionDescription	Cuando se activa en un arma, sus ataques cuentan como mÃ¡gicos y utilizas tu SabidurÃ­a para tus tiradas de ataque y daÃ±o. Tiene una duraciÃ³n de 1 minuto y puede utilizarse dos veces por descanso largo.
Feat/&FeatWisePrecisionTitle	PrecisiÃ³n sabia
Feat/&FeatWisIncrementDescription	+1 SabidurÃ­a.
Feat/&FeatWisIncrementTitle	Aumento del atributo de SabidurÃ­a
Feat/&FeyTeleportationLanguageTirmarianDescription	Gana competencia en Tirmarian.
Feat/&FeyTeleportationLanguageTirmarianTitle	Tirmariano
Feat/&FightingStyleArcheryDescription	Ganas un bonificador +2 a las tiradas de ataque con armas a distancia.
Feat/&FightingStyleArcheryTitle	Estilo de lucha: Tiro con arco
Feat/&FightingStyleDefenseDescription	Mientras lleves armadura, ganas un bonificador +1 a la CA.
Feat/&FightingStyleDefenseTitle	Estilo de lucha: Defensa
Feat/&FightingStyleDuelingDescription	Cuando estÃ©s blandiendo un arma cuerpo a cuerpo en una mano y ninguna otra arma, ganas un bonificador +2 a las tiradas de daÃ±o con esa arma.
Feat/&FightingStyleDuelingTitle	Estilo de lucha: Duelo
Feat/&FightingStyleGeneralFeatDescription	Puedes seleccionar un estilo de lucha.
Feat/&FightingStyleGeneralFeatitle	Estilo de lucha
Feat/&FightingStyleGreatWeaponDescription	Cuando sacas un 1 o un 2 en un dado de daÃ±o por un ataque que haces con un arma cuerpo a cuerpo que estÃ¡s empuÃ±ando con dos manos, puedes volver a tirar el dado. Debes usar la nueva tirada, incluso si es un 1 o un 2. El arma debe tener la propiedad de dos manos o versÃ¡til para que obtengas este beneficio.
Feat/&FightingStyleGreatWeaponTitle	Estilo de lucha: Gran Arma
