ActionAffinity/&DHFeeblemindSpellDescription	Impossibile lanciare incantesimi.
Feat/&DeadeyeFeatTitle	Occhio di Deade
Feat/&DismissConstructDescription	Disumoni il tuo costrutto.
Feat/&DismissConstructTitle	Congedare il costrutto
Feat/&DualFlurryDescription	Sei un maestro del combattimento con armi accoppiate. In ogni turno in cui si colpisce due volte con attacchi in mischia brandendo un'arma in ciascuna mano, si puÃ² effettuare un attacco aggiuntivo a mano libera quando si attacca con la propria azione bonus.
Feat/&DualFlurryTitle	Doppia raffica
Feat/&ExtraInfusionSlotsDescription	Si ottengono slot di infusione extra da utilizzare su armature/armi.
Feat/&ExtraInfusionSlotsTitle	Infusioni extra
Feat/&FeatArcaneDefenseDescription	Aumenta l'Intelligenza di 1, fino a un massimo di 20.\nQuando non si indossa alcuna armatura, la CA Ã¨ pari a 10 + il modificatore di Destrezza + il modificatore di Intelligenza.
Feat/&FeatArcaneDefenseTitle	Difesa arcana
Feat/&FeatArcanePrecisionDescription	Quando Ã¨ attiva su un'arma, i suoi attacchi contano come magici e si usa la propria Intelligenza per i tiri di attacco e di danno. Ha una durata di 1 minuto e puÃ² essere usata due volte per riposo lungo.
Feat/&FeatArcanePrecisionTitle	Precisione arcana
Feat/&FeatBlindFightingStlyeDescription	Hai una vista cieca con un raggio d'azione di 3 metri.
Feat/&FeatBlindFightingStlyeTitle	Stile di combattimento: Lotta alla cieca
Feat/&FeatBrutalThugDescription	Si sferrano colpi potenti nei punti giusti.\nSi ottengono competenze nelle armi semplici e marziali e si puÃ² attaccare furtivamente con le armi marziali.
Feat/&FeatBrutalThugTitle	Teppista brutale
Feat/&FeatChaIncrementDescription	+1 Carisma.
Feat/&FeatChaIncrementTitle	Aumento dell'attributo Carisma
Feat/&FeatCharismaticDefenseDescription	Aumenta il Carisma di 1, fino a un massimo di 20.\nQuando non si indossa alcuna armatura, la CA Ã¨ pari a 10 + il modificatore di Destrezza + il modificatore di Carisma.
Feat/&FeatCharismaticDefenseTitle	Difesa carismatica
Feat/&FeatCharismaticPrecisionDescription	Quando Ã¨ attiva su un'arma, i suoi attacchi contano come magici e si usa il proprio Carisma per i tiri di attacco e di danno. Ha una durata di 1 minuto e puÃ² essere usata due volte per riposo lungo.
Feat/&FeatCharismaticPrecisionTitle	Precisione carismatica
Feat/&FeatChefConIncrementDescription	+1 Costituzione.
Feat/&FeatChefConIncrementTitle	Aumento dell'attributo
Feat/&FeatChefWisIncrementDescription	+1 Saggezza.
Feat/&FeatChefWisIncrementTitle	Aumento degli attributi
Feat/&FeatCripplingDescription	Quando si colpisce con un attacco in mischia, si puÃ² ridurre la velocitÃ  dell'avversario di 10 metri fino all'inizio del turno successivo.
Feat/&FeatCripplingTitle	Stile di combattimento: Storpio
Feat/&FeatDexIncrementDescription	+1 Destrezza.
Feat/&FeatDexIncrementTitle	Aumento degli attributi
Feat/&FeatDualWeaponDefenseDescription	Si ottiene un bonus di +1 alla CA quando si brandisce un'arma da mischia separata in ogni mano.
Feat/&FeatDualWeaponDefenseTitle	Difesa con doppia arma
Feat/&FeatFastHandsDescription	Si ottiene un'azione di Astuzia e si puÃ² usare l'azione bonus da essa concessa per effettuare una prova di Destrezza (AbilitÃ ), usare i propri strumenti da ladro per disarmare una trappola o aprire una serratura, o fare l'azione Utilizzare un oggetto.
Feat/&FeatFastHandsTitle	Mani veloci
Feat/&FeatFeyTeleportationChaDescription	Aumenta l'attributo Carisma di 1. Ottiene la capacitÃ  di Passo Nebbioso una volta per riposo breve e impara l'incantesimo. Acquisizione della competenza in Tirmariano.
Feat/&FeatFeyTeleportationChaTitle	Teletrasporto Fey (Carisma)
Feat/&FeatFeyTeleportationIntDescription	Aumenta l'attributo Intelligenza di 1. Ottiene la capacitÃ  di Passo di Misty una volta per riposo breve e apprende l'incantesimo. Acquisizione della competenza in tirmariano.
Feat/&FeatFeyTeleportationIntTitle	Teletrasporto dei Fey (Intelligenza)
Feat/&FeatFeyTeleportationWisDescription	Aumenta l'attributo Saggezza di 1. Ottiene la capacitÃ  di fare un passo falso una volta per riposo breve e di imparare l'incantesimo. Acquisizione della competenza in tirmariano.
Feat/&FeatFeyTeleportationWisTitle	Teletrasporto dei Fey (Saggezza)
Feat/&FeatFightingSurgeDexterityDescription	Aumenta la propria Destrezza di 1, fino a un massimo di 20.\nNel proprio turno, si puÃ² compiere un'azione aggiuntiva oltre all'azione normale e un'eventuale azione bonus. Una volta usata questa caratteristica, Ã¨ necessario terminare un riposo lungo prima di poterla usare di nuovo.
Feat/&FeatFightingSurgeDexterityTitle	Impennata di combattimento (Destrezza)
Feat/&FeatFightingSurgeStrengthDescription	Aumenta la propria Forza di 1, fino a un massimo di 20.\nNel proprio turno, si puÃ² compiere un'azione aggiuntiva rispetto all'azione normale e un'eventuale azione bonus. Una volta usata questa caratteristica, Ã¨ necessario terminare un riposo lungo prima di poterla usare di nuovo.
Feat/&FeatFightingSurgeStrengthTitle	Impeto combattivo (Forza)
Feat/&FeatHeavyArmorMasterClassDescription	Resistenza ai danni da percosse, fendenti e perforazioni.
Feat/&FeatHeavyArmorMasterClassTitle	Maestria nella difesa pesante
Feat/&FeatImprovedCriticalDescription	I vostri attacchi sono colpi critici con un tiro di 19 o 20.
Feat/&FeatImprovedCriticalTitle	Critico migliorato
Feat/&FeatIntIncrementDescription	+1 Intelligenza.
Feat/&FeatIntIncrementTitle	Aumento dell'attributo Intelligenza
Feat/&FeatLightArmorDescription	Aumenta la Forza di 1, fino a un massimo di 20.\nOttieni la competenza in Armature leggere.
Feat/&FeatLightArmorProficiencyDescription	Acquisisci la competenza con le armature leggere.
Feat/&FeatLightArmorProficiencyTitle	Armatura leggera
Feat/&FeatLightArmorTitle	Armatura leggera
Feat/&FeatMarksmanDescription	Quando un avversario che puoi vedere ti attacca con un'arma a distanza o con un incantesimo e si trova ad almeno 3 metri di distanza da te, puoi usare la tua reazione per effettuare un attacco con arma a distanza dopo che l'attacco scatenante Ã¨ terminato.
Feat/&FeatMarksmanTitle	Marcatore
Feat/&FeatMediumArmorDexDescription	Aumenta la propria Destrezza di 1, fino a un massimo di 20.\nSi acquisisce competenza con Armature Medie e scudi.
Feat/&FeatMediumArmorDexTitle	Armatura media (Destrezza)
Feat/&FeatMediumArmorProficiencyDescription	Acquisisci competenza con le Armature Medie e gli scudi.
Feat/&FeatMediumArmorProficiencyTitle	Armatura media
Feat/&FeatMediumArmorStrengthDescription	Aumenta la Forza di 1, fino a un massimo di 20.\nAcquisisci competenza con Armature medie e scudi.
Feat/&FeatMediumArmorStrengthTitle	Armatura media (Forza)
Feat/&FeatMetamagicAdeptCarefulDescription	Aumenta il Carisma di 1, fino a un massimo di 20.\nApprendi il metamagico Attento e guadagni 2 punti stregoneria.
Feat/&FeatMetamagicAdeptCarefulTitle	Metamagia: Attento
Feat/&FeatMetamagicAdeptDistantDescription	Aumenta il tuo Carisma di 1, fino a un massimo di 20.\nApprendi il metamagico Distante e guadagni 2 punti stregoneria.
Feat/&FeatMetamagicAdeptDistantTitle	Metamagia: Distante
Feat/&FeatMetamagicAdeptEmpoweredDescription	Aumenta il tuo Carisma di 1, fino a un massimo di 20.\nApprendi il metamagico Potenziato e guadagni 2 punti stregoneria.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Metamagia: Potenziato
Feat/&FeatMetamagicAdeptExtendedDescription	Aumenta il proprio Carisma di 1, fino a un massimo di 20.\nSi apprende il metamagico Esteso e si guadagnano 2 punti stregoneria.
Feat/&FeatMetamagicAdeptExtendedTitle	Metamagia: estesa
Feat/&FeatMetamagicAdeptHeightenedDescription	Apprendete la metamagia potenziata e guadagnate 4 punti stregoneria.
Feat/&FeatMetamagicAdeptHeightenedTitle	Metamagia: potenziata
Feat/&FeatMetamagicAdeptQuickenedDescription	Aumenta il Carisma di 1, fino a un massimo di 20.\nApprendi la metamagia Accelerata e guadagni 2 punti stregoneria.
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamagia: Velocizzato
Feat/&FeatMetamagicAdeptTwinnedDescription	Aumenta il Carisma di 1, fino a un massimo di 20.\nApprendi il metamagico Gemellato e guadagni 2 punti stregoneria.
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamagia: Gemellato
Feat/&FeatPolearmExpertDescription	Il tuo addestramento esperto con le armi da lancio ti concede questi benefici:\n- Quando effettui l'azione Attacco e attacchi solo con un'arma da lancio, puoi usare un'azione bonus per effettuare un attacco in mischia con l'estremitÃ  opposta dell'arma. Questo attacco utilizza lo stesso modificatore di capacitÃ  dell'attacco primario. Il dado di danno dell'arma per questo attacco Ã¨ un d4 e infligge danni da percosse.\n - Mentre si brandisce un'arma da polearm, le altre creature provocano un attacco di opportunitÃ  quando entrano nella portata dell'arma.
Feat/&FeatPolearmExpertTitle	Esperto di armi da polso
Feat/&FeatPrimalConstitutionDescription	Aumenta la propria Costituzione di 1, fino a un massimo di 20.\nSi puÃ² scatenare una furia come azione bonus, come definito nella caratteristica di classe Furia del barbaro, con un danno da furia di +1 che puÃ² essere cumulato con Furia del barbaro. Una volta che si Ã¨ scatenata la furia in questo modo, si deve terminare un lungo riposo prima di utilizzare nuovamente questa caratteristica.\nQuando non si indossa alcuna armatura, la propria CA Ã¨ pari a 10 + il proprio modificatore di Destrezza + il proprio modificatore di Costituzione.
Feat/&FeatPrimalConstitutionTitle	Furia primordiale (Costituzione)
Feat/&FeatPrimalStrengthDescription	Aumenta la propria Forza di 1, fino a un massimo di 20.\nSi puÃ² scatenare una furia come azione bonus, come definito nella caratteristica di classe Furia del barbaro, con un danno da furia di +1, cumulabile con Furia del barbaro. Una volta che si Ã¨ scatenata la furia in questo modo, si deve terminare un lungo riposo prima di utilizzare nuovamente questa caratteristica.\nQuando non si indossa alcuna armatura, la propria CA Ã¨ pari a 10 + il proprio modificatore di Destrezza + il proprio modificatore di Costituzione.
Feat/&FeatPrimalStrengthTitle	Furia primordiale (Forza)
Feat/&FeatPugilistFightingStlyeDescription	I colpi senz'armi infliggono 1d4 danni aggiuntivi da percosse e si puÃ² colpire con la mano sinistra come azione bonus.\nSe si ha una mano libera, si puÃ² spingere come azione bonus.
Feat/&FeatPugilistFightingStlyeTitle	Stile di combattimento: Pugilista
Feat/&FeatRangedExpertDescription	Il tuo addestramento esperto con le armi a distanza ti concede questi benefici:\n- Non hai piÃ¹ svantaggio sugli attacchi a distanza quando c'Ã¨ un nemico nel raggio di 5 piedi da te.\n- Se spendi un'azione di attacco, puoi usare l'azione bonus per effettuare un attacco con un'arma a distanza o da lancio a una mano.
Feat/&FeatRangedExpertTitle	Esperto a distanza
Feat/&FeatSavageAttackerDescription	Riavvolge i dadi di danno delle armi e degli incantesimi quando tirano un 1 (non esegue il reroll di tutte le fonti di danno, ad esempio esclude l'Attacco Furtivo e lo Smite).
Feat/&FeatSavageAttackerReroll	Essendo un Attaccante Selvaggio {0} rilancia il dado {1} da un {2} a un {3}.
Feat/&FeatSavageAttackerTitle	Attaccante Selvaggio
Feat/&FeatSentinelDescription	Hai imparato le tecniche per sfruttare ogni abbassamento della guardia di un nemico, ottenendo i seguenti benefici:\n- Quando colpisci una creatura con un attacco di opportunitÃ , la velocitÃ  della creatura diventa 0 per il resto del turno.\n- Le creature provocano attacchi di opportunitÃ  da parte tua anche se effettuano l'azione Disimpegnarsi prima di uscire dalla tua portata.\n- Quando una creatura effettua un attacco contro un bersaglio diverso da te (e quel bersaglio non ha questa caratteristica), puoi usare la tua reazione per effettuare un attacco con arma da mischia contro la creatura attaccante.
Feat/&FeatSentinelTitle	Sentinella
Feat/&FeatShadowTouchedChaDescription	Aumenta l'attributo Carisma di 1, fino a un massimo di 20.\nGuadagna la capacitÃ  di lanciare InvisibilitÃ , Infliggere ferite e Falsa vita una volta per riposo lungo e impara gli incantesimi.
Feat/&FeatShadowTouchedChaTitle	Toccato dall'ombra (Carisma)
Feat/&FeatShadowTouchedIntDescription	Aumenta l'attributo Intelligenza di 1, fino a un massimo di 20.\nOttiene la capacitÃ  di lanciare InvisibilitÃ , Infliggere ferite e Falsa vita una volta per riposo lungo e di imparare gli incantesimi.
Feat/&FeatShadowTouchedIntTitle	Toccato dall'ombra (Intelligenza)
Feat/&FeatShadowTouchedWisDescription	Aumenta l'attributo Saggezza di 1, fino a un massimo di 20.\nOttiene la capacitÃ  di lanciare InvisibilitÃ , Infliggere ferite e Falsa vita una volta per riposo lungo e di imparare gli incantesimi.
Feat/&FeatShadowTouchedWisTitle	Toccato dall'ombra (Saggezza)
Feat/&FeatShadyDescription	Aumenta la destrezza di 1, fino a un massimo di 20.\nUna volta per turno, puoi infliggere 1d6 danni extra a una creatura che colpisci con un attacco che soddisfi i requisiti dell'attacco furtivo del ladro. Al 12Â° livello, i danni aumentano a 2d6 e al 20Â° livello a 4d6.
Feat/&FeatShadyTitle	Ombroso
Feat/&FeatShieldExpertDescription	Siete addestrati all'uso di uno scudo come arma. Per voi, diventa un'arma da mischia con cui siete abili e che infligge 1d4 danni da percosse.\nGuadagnate vantaggio nei tentativi di spingere quando brandite uno scudo.
Feat/&FeatShieldExpertTitle	Esperto di scudi
Feat/&FeatStrengthIncrementDescription	+1 Forza.
Feat/&FeatStrengthIncrementTitle	Aumento degli attributi
Feat/&FeatTelekineticChaDescription	Aumenta il tuo Carisma di 1, fino a un massimo di 20.\nCome azione bonus, puoi spingere o tirare telecineticamente una creatura visibile entro 9 metri da te. Il bersaglio deve riuscire in un tiro salvezza di Forza (Dc 8 + il proprio bonus di competenza + il proprio modificatore di Carisma) o essere spostato di 5 piedi.
Feat/&FeatTelekineticChaPullDescription	Tirare telecineticamente una creatura verso di sÃ©.
Feat/&FeatTelekineticChaPullTitle	Tirare telecinetico
Feat/&FeatTelekineticChaPushDescription	Spingere telecineticamente una creatura lontano da voi.
Feat/&FeatTelekineticChaPushTitle	Spingere telecinetico
Feat/&FeatTelekineticChaTitle	Telecinetico (Carisma)
Feat/&FeatTelekineticIntDescription	Aumenta la propria Intelligenza di 1, fino a un massimo di 20.\nCome azione bonus, si puÃ² spingere o tirare telecineticamente una creatura visibile entro 9 metri da sÃ©. Il bersaglio deve riuscire in un tiro salvezza di Forza (Dc 8 + bonus di competenza + modificatore di Intelligenza) o essere spostato di un metro e mezzo.
Feat/&FeatTelekineticIntPullDescription	Tirare telecineticamente una creatura verso di sÃ©.
Feat/&FeatTelekineticIntPullTitle	Tirare telecinetico
Feat/&FeatTelekineticIntPushDescription	Spingere telecineticamente una creatura lontano da voi.
Feat/&FeatTelekineticIntPushTitle	Spingere telecinetico
Feat/&FeatTelekineticIntTitle	Telecinetico (Intelligenza)
Feat/&FeatTelekineticWisDescription	Aumenta la tua Saggezza di 1, fino a un massimo di 20.\nCome azione bonus, puoi spingere o tirare telecineticamente una creatura che puoi vedere entro 9 metri da te. Il bersaglio deve riuscire in un tiro salvezza di Forza (Dc 8 + il bonus di competenza + il modificatore di Saggezza) o essere spostato di 5 piedi.
Feat/&FeatTelekineticWisPullDescription	Tirare telecineticamente una creatura verso di sÃ©.
Feat/&FeatTelekineticWisPullTitle	Tirare telecinetico
Feat/&FeatTelekineticWisPushDescription	Spingere telecineticamente una creatura lontano da voi.
Feat/&FeatTelekineticWisPushTitle	Spingere telecinetico
Feat/&FeatTelekineticWisTitle	Telecinetico (Saggezza)
Feat/&FeatTitanFightingDescription	Si ottiene un bonus di +2 ai tiri per colpire contro creature di taglia Grande o superiore.
Feat/&FeatTitanFightingTitle	Stile di combattimento: Lotta dei Titani
Feat/&FeatToughDescription	Il massimo dei punti ferita aumenta di un ammontare pari al doppio del proprio livello quando si ottiene questo talento. Ogni volta che si guadagna un livello, il massimo dei punti ferita aumenta di altri 2 punti ferita.
Feat/&FeatToughTitle	Duro
Feat/&FeatWarCasterDescription	Guadagni vantaggio nelle prove di mantenere la concentrazione.\nGuadagni la capacitÃ  di eseguire la componente somatica degli incantesimi anche con entrambe le mani occupate.\nQuando il movimento di una creatura ostile provoca un attacco di opportunitÃ  da parte tua, puoi usare la tua reazione per lanciare un cantrip contro la creatura, invece di effettuare un attacco di opportunitÃ . Il cantrip deve avere un tempo di lancio di 1 azione o azione bonus e deve avere come bersaglio solo quella creatura.
Feat/&FeatWarCasterTitle	Incantatore di guerra
Feat/&FeatWiseDefenseDescription	Aumenta la propria Saggezza di 1, fino a un massimo di 20.\nSe non si indossa alcuna armatura, la propria CA Ã¨ pari a 10 + il modificatore di Destrezza + il modificatore di Saggezza.
Feat/&FeatWiseDefenseTitle	Saggio di Difesa
Feat/&FeatWisePrecisionDescription	Quando Ã¨ attiva su un'arma, i suoi attacchi contano come magici e si usa la propria Saggezza per i tiri di attacco e di danno. Ha una durata di 1 minuto e puÃ² essere usata due volte per riposo lungo.
Feat/&FeatWisePrecisionTitle	Saggia precisione
Feat/&FeatWisIncrementDescription	+1 Saggezza.
Feat/&FeatWisIncrementTitle	Aumento dell'attributo Saggezza
Feat/&FeyTeleportationLanguageTirmarianDescription	Guadagna la competenza in tirmariano.
Feat/&FeyTeleportationLanguageTirmarianTitle	Tirmariano
Feat/&FightingStyleArcheryDescription	Ottieni un bonus di +2 ai tiri per colpire con armi a distanza.
Feat/&FightingStyleArcheryTitle	Stile di combattimento: Tiro con l'arco
Feat/&FightingStyleDefenseDescription	Quando si indossa un'armatura, si ottiene un bonus di +1 alla CA.
Feat/&FightingStyleDefenseTitle	Stile di combattimento: Difesa
Feat/&FightingStyleDuelingDescription	Quando si impugna un'arma da mischia in una mano e non altre armi, si ottiene un bonus di +2 ai tiri per i danni con quell'arma.
Feat/&FightingStyleDuelingTitle	Stile di combattimento: Duello
Feat/&FightingStyleGeneralFeatDescription	Ãˆ possibile selezionare uno stile di combattimento.
Feat/&FightingStyleGeneralFeatitle	Stile di combattimento
Feat/&FightingStyleGreatWeaponDescription	Quando si tira un 1 o un 2 su un dado danno per un attacco effettuato con un'arma da mischia impugnata a due mani, si puÃ² ripetere il tiro. Si deve usare il nuovo tiro, anche se Ã¨ un 1 o un 2. L'arma deve avere la proprietÃ  a due mani o versatile per ottenere questo beneficio.
Feat/&FightingStyleGreatWeaponTitle	Stile di combattimento: Grande Arma
Feat/&FightingStyleProtectionDescription	Quando una creatura che si puÃ² vedere attacca un bersaglio diverso da sÃ© che si trova entro un raggio di 2 metri, si puÃ² usare la propria reazione per imporre lo svantaggio sul tiro di attacco. Ãˆ necessario brandire uno scudo.
Feat/&FightingStyleProtectionTitle	Stile di combattimento: Protezione
Feat/&FightingStyleTwoWeaponDescription	Quando si combatte con due armi, si puÃ² aggiungere il proprio modificatore di capacitÃ  ai danni del secondo attacco.
Feat/&FightingStyleTwoWeaponTitle	Stile di combattimento: Due armi
Feat/&FlameArtillery_2Description	3d8 danni da fuoco (Cono).
Feat/&FlameArtillery_2Title	Artiglieria di fuoco (migliorato)
Feat/&FlameArtilleryConstructDescription	Crea un cono di fuoco che infligge 2d8 danni se il tiro salvezza fallisce.
Feat/&FlameArtilleryConstructDescription_3	Crea un cono di fuoco che infligge 3d8 danni a salvezza fallita.
Feat/&FlameArtilleryConstructTitle	Costrutto di artiglieria infuocata
Feat/&FlameArtilleryConstructTitle_3	Costrutto di artiglieria infuocata
Feat/&FlameArtilleryConstructTitle_5	Costrutto dell'artiglieria infuocata
Feat/&FlameArtilleryDescription	2d8 danni da fuoco (Cono).
Feat/&FlameArtilleryTitle	Artiglieria infuocata
Feat/&ForceArtillery_2Description	3d8 danni da Forza e spinge il bersaglio di 3 metri.
Feat/&ForceArtillery_2Title	Artiglieria di Forza (migliorata)
Feat/&ForceArtilleryAdditionalDamageDescription	Il costrutto potenziato infligge 1d8 danni in piÃ¹ per colpo.
Feat/&ForceArtilleryConstructDescription	Infligge 2d8 danni da forza e spinge il bersaglio a 5 piedi di distanza dal costrutto.
Feat/&ForceArtilleryConstructDescription_3	Infligge 3d8 danni da forza e spinge il bersaglio a 3 metri di distanza dal costrutto.
Feat/&ForceArtilleryConstructTitle	Costrutto di artiglieria a forza
Feat/&ForceArtilleryConstructTitle_3	Costrutto di artiglieria a forza
Feat/&ForceArtilleryConstructTitle_5	Costrutto dell'artiglieria di forza
Feat/&ForceArtilleryDescription	2d8 danni da forza e spinta a 5 piedi di distanza.
Feat/&ForceStrikePowerDescription	Attacco a distanza 1d6 danni da Forza del vostro fidato aiutante.
Feat/&ForceStrikePowerTitle	Fionda di Forza (Servitore Artificiale)
Feat/&GauntletsGrappleDescription	PuÃ² ora trascinare i nemici in mischia con un'azione bonus e infliggere 1d8 danni da tuono.
Feat/&GauntletsGrappleTitle	Rampino del guanto
Feat/&HalfCoverShieldDescription	Conferisce un bonus di +2 alla CA quando ci si trova entro 10 piedi.
Feat/&HalfCoverShieldTitle	Cupola di mezza copertura
Feat/&HealerDescription	Si acquisisce competenza o abilitÃ  nelle prove di Medicina. Si ottiene la capacitÃ  di stabilizzare una creatura morente e di rianimare una creatura morta negli ultimi 12 secondi una volta per riposo lungo. Si puÃ² usare un'azione per ripristinare 1d6 + 4 + livello del personaggio punti ferita un numero di volte per riposo breve pari al proprio modificatore di Saggezza.
Feat/&HealerResuscitateDescription	Usare un'azione per rianimare una creatura morta negli ultimi 15 secondi.
Feat/&HealerResuscitateTitle	Rianimare
Feat/&HealerStabilizeDescription	Usare un'azione per stabilizzare una creatura morente.
Feat/&HealerStabilizeTitle	Stabilizzare
Feat/&HealerTitle	Guaritore
Feat/&HealerUseMedicineDescription	Potete usare un'azione per ripristinare 1d6 + 4 + livello del personaggio punti ferita per un numero di volte per riposo breve pari al vostro modificatore di Saggezza.
Feat/&HealerUseMedicineTitle	Usare Medicina
Feat/&IncreaseConstructSelectingDescription	Ora Ã¨ possibile evocare due Costrutti d'Artiglieria. I costrutti possono essere della stessa modalitÃ  o di modalitÃ  diverse.
Feat/&IncreaseConstructSelectingTitle	Rinforzi
Feat/&InspiringLeaderDescription	Spendete 10 minuti per ispirare fino a 6 creature amiche (che possono includere voi stessi) entro 9 metri da voi. Ogni creatura guadagna punti ferita temporanei pari al vostro livello + il vostro modificatore di Carisma. Utilizzabile una volta per riposo breve.
Feat/&InspiringLeaderTitle	Leader ispiratore
Feat/&IntToAttackAndDamageDescription	Si puÃ² usare il proprio modificatore di Intelligenza, invece di quello di Forza o Destrezza, per i tiri di attacco e di danno con le armi da armatura.
Feat/&IntToAttackAndDamageTitle	Arma Armatura
Feat/&MendingConstructDescription	Ripara il proprio costrutto per 2d6 HP in 1 minuto.
Feat/&MendingConstructTitle	Riparare il costrutto
Feat/&ModeSwitchingPoolDescription	Si puÃ² passare da una modalitÃ  all'altra una volta al giorno creando e utilizzando armi temporanee.
Feat/&ModeSwitchingPoolTitle	ModalitÃ  Armatura
Feat/&MoonlitBonusCantripsDescription	Il controllo della luce lunare Ã¨ aumentato a un nuovo livello. Si possono lanciare Raggi di Luna e Fuoco di Fata a volontÃ .
Feat/&MoonlitBonusCantripsTitle	Controllo della luce
Feat/&PickPocketFeatDescription	Si ottiene la competenza in AbilitÃ  di mano, o la competenza se si Ã¨ giÃ  abili. Inoltre, si ha un vantaggio nelle prove di Destrezza.
Feat/&PickPocketFeatTitle	Borseggiatore
Feat/&PowerAlchemistEmboldeningShotsDescription	Si ottiene la capacitÃ  di somministrare un elisir che rafforza gli alleati, fornendo loro 4d6 + modificatore di Intelligenza punti ferita temporanei.
Feat/&PowerAlchemistEmboldeningShotsTitle	Colpi di incoraggiamento
Feat/&PowerAlchemistGreaterRestorativeElixirsDescription	Una volta al giorno, potete lanciare Restauro Maggiore.
Feat/&PowerAlchemistGreaterRestorativeElixirsTitle	Ristorazione maggiore
Feat/&PowerAlchemistHealElixirsDescription	Una volta al giorno, potete lanciare Guarigione.
Feat/&PowerAlchemistHealElixirsTitle	Guarigione
Feat/&PowerAlchemistRestorativeElixirsDescription	Potete lanciare Rotazione Minore senza spendere uno slot incantesimo. Si puÃ² fare per un numero di volte per riposo lungo pari al proprio modificatore di Intelligenza.
Feat/&PowerAlchemistRestorativeElixirsTitle	Elisir ristoratore
Feat/&PowerAttackFeatDescription	Hai imparato a barattare la precisione per sferrare colpi piÃ¹ letali. Quando si attacca con armi da mischia, si puÃ² scegliere di subire una penalitÃ  di -3 al tiro per colpire per infliggere danni aggiuntivi pari a 3 + il proprio bonus di competenza.
Feat/&PowerAttackFeatTitle	Attacco di potenza
Feat/&PowerFalseLifeFromFeatDescription	Rafforzandoti con un facsimile necromantico di vita, guadagni 1d4+4 Punti Ferita temporanei per tutta la durata.
Feat/&PowerFalseLifeFromFeatTitle	Falsa vita
Feat/&PowerInflictWoundsFromFeatDescription	Effettuare un attacco in mischia contro una creatura raggiungibile. Se viene colpito, il bersaglio subisce 3d10 danni necrotici.
Feat/&PowerInflictWoundsFromFeatTitle	Infliggere ferite
Feat/&PowerInvisibilityFromFeatDescription	Una creatura toccata diventa invisibile fino al termine dell'incantesimo. Tutto ciÃ² che il bersaglio indossa o trasporta Ã¨ invisibile finchÃ© si trova sulla sua persona. L'incantesimo termina per un bersaglio che attacca o lancia un incantesimo.
Feat/&PowerInvisibilityFromFeatTitle	InvisibilitÃ 
Feat/&PowerMistyStepFromFeatDescription	Circondati brevemente da una nebbia argentea, ci si teletrasporta fino a 9 metri in uno spazio non occupato che si puÃ² vedere.
Feat/&PowerMistyStepFromFeatTitle	Passo nebbioso
Feat/&PowerShadowTouchedFromFeatDescription	Impara a lanciare gli incantesimi InvisibilitÃ , Falsa vita e Infliggere ferite.
Feat/&PowerShadowTouchedFromFeatTitle	Imparare InvisibilitÃ , Falsa Vita e Infliggere Ferite
Feat/&ProfChefTreatActionDescription	Mangiare una prelibatezza come azione bonus e guadagnare 5 punti ferita temporanei.
Feat/&ProfChefTreatActionTitle	Mangiare un piatto dello chef
Feat/&ProfChefTreatCookDescription	Trascorrete un'ora per cucinare dei manicaretti che, una volta mangiati, forniscono 5 punti ferita temporanei.
Feat/&ProfChefTreatCookTitle	Cucinare un piatto dello chef
Feat/&ProfChefTreatDescription	Mangiare come azione bonus e guadagnare 5 punti ferita temporanei.
Feat/&ProfChefTreatTitle	Trattamento del cuoco
Feat/&ProfHealerMedicineDescription	Guadagna competenza in Medicina, o competenza se Ã¨ giÃ  competente.
Feat/&ProfHealerMedicineTitle	Conoscenze di Medicina
Feat/&ProtectorConstructAttackDescription	In mischia 1d10 danni da forza del costrutto protettore.
Feat/&ProtectorConstructAttackTitle	Force Rend
Feat/&ProtectorConstructDescription	Ãˆ amichevole con voi e con i vostri compagni e obbedisce ai vostri comandi.
Feat/&ProtectorConstructDescription_5	Potenziamento del costrutto protettore.
Feat/&ProtectorConstructLevel15AutopreparedSpellsDescription	Guadagna incantesimi bonus che sono considerati incantesimi del Tinker, sono sempre pronti e non contano per il numero di incantesimi del Tinker che conosce.
Feat/&ProtectorConstructLevel15AutopreparedSpellsTitle	Incantesimi del Costrutto del Protettore
Feat/&ProtectorConstructLevel3AutopreparedSpellsDescription	Guadagni incantesimi bonus che sono considerati incantesimi del Tinkerer, sono sempre preparati e non contano per il numero di incantesimi del Tinkerer che conosci.
Feat/&ProtectorConstructLevel3AutopreparedSpellsTitle	Incantesimi del Costruttore Protettore
Feat/&ProtectorConstructTitle	Costrutto del Protettore
Feat/&ProtectorConstructTitle_5	Potenziamento del Costrutto Protettore
Feat/&RecklessFuryFeatDescription	Si ottiene la capacitÃ  di entrare in collera per un minuto una volta al giorno (senza limiti di armatura) e si puÃ² attaccare in modo sconsiderato, ottenendo vantaggio negli attacchi in mischia e dando vantaggio agli attaccanti fino al turno successivo.
Feat/&RecklessFuryFeatTitle	Furia Spericolata
Feat/&ResummonArtilleryConstruct_03Title	Rismontare il Costruttore di Artiglieria 1
Feat/&ResummonArtilleryConstruct_09Title	Richiama l'Artiglieria 2
