ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken.
Spell/&DHTimeStopSpellDescription	Du stoppst kurzzeitig den Fluss der Zeit fÃ¼r alle auÃŸer fÃ¼r dich selbst. FÃ¼r andere Kreaturen vergeht keine Zeit, wÃ¤hrend Sie 1W4 + 1 ZÃ¼ge hintereinander machen, in denen Sie Aktionen verwenden und sich wie gewohnt bewegen kÃ¶nnen.
Spell/&DHTimeStopSpellTitle	Zeitstopp
Spell/&DHWeirdSpellDescription	Du schÃ¶pfst aus den tiefsten Ã„ngsten einer Gruppe von Kreaturen und erschaffst illusorische Kreaturen in ihren KÃ¶pfen, die nur fÃ¼r sie sichtbar sind. Jede Kreatur in einer Kugel mit einem Radius von 30 FuÃŸ, deren Mittelpunkt ein Punkt deiner Wahl in Reichweite ist, muss einen Weisheitswurf ablegen. Bei einem fehlgeschlagenen Rettungswurf bekommt eine Kreatur fÃ¼r die Dauer Angst. Die Illusion ruft die tiefsten Ã„ngste der Kreatur hervor und manifestiert ihre schlimmsten AlbtrÃ¤ume als unerbittliche Bedrohung. Am Ende jedes Zuges der verÃ¤ngstigten Kreatur muss ihr ein Weisheitsrettungswurf gelingen oder sie erleidet 4W10 psychischen Schaden. Bei einem erfolgreichen Rettungswurf endet der Zauber fÃ¼r diese Kreatur.
Spell/&DHWeirdSpellTitle	Seltsam
Spell/&EarthTremorDescription	Du triffst auf den Boden und entfesselst ein Beben seismischer Kraft, das Erde, Felsen und Sand aufwirbelt.
Spell/&EarthTremorTitle	Erdbeben
Spell/&EldritchBlastDescription	Ein Strahl knisternder Energie schieÃŸt auf eine Kreatur in Reichweite zu. FÃ¼hren Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\nDer Zauber erzeugt mehr als einen Strahl, wenn Sie hÃ¶here Stufen erreichen: zwei Strahlen auf der 5. Stufe, drei Strahlen auf der 11. Stufe und vier Strahlen auf der 17. Stufe. Sie kÃ¶nnen die Strahlen auf dasselbe oder auf unterschiedliche Ziele richten. FÃ¼hren Sie fÃ¼r jeden Strahl einen separaten Angriffswurf durch.
Spell/&EldritchBlastGraspingHandDescription	Ein Strahl knisternder Energie schieÃŸt auf eine Kreatur in Reichweite zu. FÃ¼hren Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\n(Wenn du eine Kreatur mit deiner unheimlichen Explosion triffst, kannst du diese Kreatur in einer geraden Linie 3 m nÃ¤her an dich heranbewegen.)
Spell/&EldritchBlastGraspingHandTitle	Eldritch Blast (Greifen)
Spell/&EldritchBlastRepellingBlastDescription	Ein Strahl knisternder Energie schieÃŸt auf eine Kreatur in Reichweite zu. FÃ¼hren Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\n(Wenn du eine Kreatur mit einer unheimlichen Explosion triffst, kannst du die Kreatur in einer geraden Linie bis zu 3 m von dir wegstoÃŸen.)
Spell/&EldritchBlastRepellingBlastTitle	Eldritch Blast (AbstoÃŸend)
Spell/&EldritchBlastTitle	Eldritch-Explosion
Spell/&EldritchOrbDescription	Du schleuderst eine Kugel unheimlicher Energie auf eine Kreatur oder ein Objekt in Reichweite und fÃ¼gst in einem kleinen Radius Gewaltschaden zu.
Spell/&EldritchOrbTitle	Unheimliche Kugel
Spell/&EWResonatingStrikeDescription	WÃ¤hle eine Kreatur in Nahkampfreichweite von dir und eine andere Kreatur, die du innerhalb von 1,50 m vom Hauptziel sehen kannst. Du fÃ¼hrst einen Nahkampfangriff mit der aktuellen Waffe gegen die erste Kreatur aus. Bei einem Treffer erleidet das Ziel die normalen Effekte des Waffenangriffs, und ein resonierendes GerÃ¤usch springt zum zweiten Ziel und verursacht Donnerschaden in HÃ¶he Ihres Modifikators fÃ¼r ZauberfÃ¤higkeiten.\nAuf der 5. Stufe fÃ¼gt der Nahkampfangriff dem Ziel bei einem Treffer zusÃ¤tzlich 1W8 Donnerschaden zu, und der Donnerschaden der zweiten Kreatur erhÃ¶ht sich auf 1W8 + Modifikator deiner FÃ¤higkeit zum Zaubern. Beide SchadenswÃ¼rfe erhÃ¶hen sich um 1W8 auf der 11. und 17. Stufe.
Spell/&EWResonatingStrikeTitle	Resonanzschlag
Spell/&EWSunlightBladeDescription	FÃ¼hren Sie einen Nahkampfangriff mit einer Waffe durch. Bei einem Treffer erleidet das Ziel die normalen Effekte des Angriffs und wird von glÃ¼hender strahlender Energie eingehÃ¼llt, die fÃ¼r die Runde ein schwaches Licht ausstrahlt. Der nÃ¤chste Angriff gegen diese Kreatur, wÃ¤hrend sie hervorgehoben ist, wird mit Vorteil ausgefÃ¼hrt.\nAuf der 5. Stufe fÃ¼gt der Nahkampfangriff dem Ziel zusÃ¤tzlich 1W8 Strahlenschaden zu. Der Schaden erhÃ¶ht sich um weitere 1W8 auf der 11. und 17. Stufe.
Spell/&EWSunlightBladeTitle	Sonnenbeschienene Klinge
Spell/&FindFamiliarDescription	Sie erhalten den Dienst eines Vertrauten.
Spell/&FindFamiliarImpDescription	BeschwÃ¶rt deinen Vertrauten in Form eines Kobolds.
Spell/&FindFamiliarImpTitle	Vertraut finden (Kobold)
Spell/&FindFamiliarPsuedodragonDescription	BeschwÃ¶rt deinen Vertrauten in Form eines Pseudodrachen.
Spell/&FindFamiliarPsuedodragonTitle	Vertraut finden (Pseudodrache)
Spell/&FindFamiliarQuasitDescription	BeschwÃ¶rt deinen Vertrauten in Form eines Quasits.
Spell/&FindFamiliarQuasitTitle	Vertraut finden (Quasit)
Spell/&FindFamiliarSpriteDescription	BeschwÃ¶rt deinen Vertrauten in Form eines Sprites.
Spell/&FindFamiliarSpriteTitle	Vertraut finden (Sprite)
Spell/&FindFamiliarTitle	Vertraut finden
Spell/&FrenzyDescription	Mit einer Geste reduzieren Sie eine Menschenmenge auf Instinkt und Gewalt. WÃ¤hlen Sie einen Punkt, den Sie in Reichweite sehen kÃ¶nnen. Jede Kreatur innerhalb von 20 FuÃŸ um diesen Punkt muss einen Weisheitsrettungswurf machen. Bei einem fehlgeschlagenen Rettungswurf ist eine Kreatur fÃ¼r die Dauer in Raserei. Wenn eine Kreatur in Raserei ist, zieht sie eine Nahkampfwaffe, falls sie eine hat. Eine rasende Kreatur muss ihre Aktion zu Beginn ihres Zuges nutzen, um eine Kreatur in ihrer Reichweite anzugreifen. Es verwendet eine Nahkampfwaffe, wenn es eine hat, oder eine improvisierte Waffe oder einen waffenlosen Schlag, wenn es keine hat. Wenn sich mehrere Ziele in Reichweite der Kreatur befinden, wÃ¤hlt sie ihr Ziel zufÃ¤llig aus. Befindet sich kein Ziel in Reichweite der Kreatur, greift sie sich selbst gegen ihre eigene RK an und verursacht bei einem Treffer wie gewohnt Schaden. Am Ende ihres Zuges kann eine rasende Kreatur ihren Rettungswurf wiederholen, wodurch der Effekt bei einem Erfolg vorzeitig beendet wird.
Spell/&FrenzyTitle	Raserei
Spell/&HinderingBlastDescription	Ein Strahl knisternder Energie schieÃŸt auf eine Kreatur in Reichweite zu. FÃ¼hren Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\n(Wenn du eine Kreatur mit deiner unheimlichen Explosion triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nÃ¤chsten Zuges um 3 m reduzieren.)
Spell/&HinderingBlastTitle	Eldritch Blast (Behinderung)
Spell/&IlluminatingSphereDescription	LÃ¤sst Lichtquellen wie Fackeln und Manalampen im Wirkungsbereich aufleuchten.
Spell/&IlluminatingSphereTitle	Erleuchtende SphÃ¤re
Spell/&IPConjureInvisibleStalkerTitle	Elementar beschwÃ¶ren (Unsichtbarer Stalker)
Spell/&MinorLifestealDescription	Du entziehst einer feindlichen Kreatur, die du in Reichweite sehen kannst, Lebensenergie. Du heilst dann Trefferpunkte in HÃ¶he des verursachten Schadens. Dieser Zauber hat keine Wirkung auf Untote oder Konstrukte.
Spell/&MinorLifestealTitle	Kleiner Lebensraub
Spell/&MirrorImageDescription	Spiegelbild
Spell/&MirrorImageTitle	Spiegelbild
Spell/&MuleDescription	Der EmpfÃ¤nger dieses Zaubers kann die Auswirkungen schwerer Lasten oder RÃ¼stungen auf die Bewegungsgeschwindigkeit ignorieren. Sie kÃ¶nnen auch etwas mehr Gewicht tragen.
Spell/&MuleTitle	Maultier
Spell/&PetalStormDescription	WÃ¤hlen Sie einen unbesetzten 15-FuÃŸ-LuftwÃ¼rfel, den Sie in Reichweite sehen kÃ¶nnen. Eine elementare Kraft wirbelnder Winde erscheint im WÃ¼rfel und hÃ¤lt fÃ¼r die Dauer des Zaubers an. Die Wolke verdeckt stark ihren Bereich. Jede Kreatur, die den Sturm zum ersten Mal in einem Zug betritt oder dort ihren Zug beginnt, muss einen Kraftrettungswurf machen. Bei einem fehlgeschlagenen Rettungswurf erleidet die Kreatur 3W4 Hiebschaden. Als Bonusaktion kannst du den Sturm um bis zu 30 FuÃŸ in jede Richtung bewegen.
Spell/&PetalStormTitle	BlÃ¼tensturm
Spell/&ProtectThresholdDescription	Indem du arkane Siegel entlang seiner Grenze zeichnest, kannst du eine TÃ¼r, ein Fenster oder ein anderes Portal vor dem Eintritt schÃ¼tzen. FÃ¼r die Dauer schleicht eine unsichtbare unheimliche Kreatur durch das geschÃ¼tzte Portal. Jede Kreatur, die versucht, durch das Portal zu gehen, muss einen Weisheitswurf machen oder 4W6 psychischen Schaden erleiden oder halb so viel bei einem erfolgreichen Rettungswurf.
Spell/&ProtectThresholdTitle	Schwellenwert schÃ¼tzen
Spell/&RadiantMotesDescription	Entfesselt einen Schwarm aus 5 strahlenden Projektilen, die jeweils 2 strahlenden Schaden verursachen, aber niemals verfehlen. Ziele kÃ¶nnen bis zu 1 Minute lang Licht ausstrahlen.\nWenn du diesen Zauber mit einem Zauberplatz der 2. Stufe oder hÃ¶her wirkst, erzeugt der Zauber 2 weitere Projektile fÃ¼r jeden Platz Ã¼ber dem 1.
Spell/&RadiantMotesTitle	Strahlende Partikel
Spell/&ThunderStrikeDescription	Erzeuge einen DonnerstoÃŸ, der Kreaturen in deiner NÃ¤he dazu zwingt, einen Konstitutionsrettungswurf zu machen oder 1W6 Donnerschaden zu erleiden.\nDer Schaden dieses Zaubers erhÃ¶ht sich um 1W6, wenn du die 5. Stufe (2W6), die 11. Stufe (3W6) und die 17. Stufe (4W6) erreichst.
Spell/&ThunderStrikeTitle	Schallausbruch
Spell/&WinterBreathDescription	Erschaffe einen kalten WindstoÃŸ, um deine Feinde abzukÃ¼hlen und sie zu Fall zu bringen.
Spell/&WinterBreathTitle	Winteratem
Spell/&WitchFamiliarDescription	Sie erhalten den Dienst eines Vertrauten.
Spell/&WitchFamiliarTitle	Hexe vertraut
SpellList/&ClassWarlockSpellListDescription	Hexenmeister-Zauberliste.
SpellList/&ClassWarlockSpellListTitle	Hexenmeister-Zauberliste
SpellList/&ElementalistSpellsListDescription	Elementarmagier-Zauberliste.
SpellList/&ElementalistSpellsListTitle	Elementarmagier-Zauberliste
SpellList/&RiftWalkerSpellsListDescription	RiftWalker-Zauberliste.
SpellList/&RiftWalkerSpellsListTitle	Rift Walker-Zauberliste
SpellList/&SpellListTinkererDescription	TÃ¼ftler-Zauberliste.
SpellList/&SpellListTinkererTitle	TÃ¼ftler-Zauberliste
Stage/&IdentityMorphotypeEyeHeader	Augenstil
Stage/&SubclassSelectionStageClassMonkTraditionDescription	Diese Phase wÃ¤hlt die klÃ¶sterliche Tradition des Charakters aus.
Stage/&SubclassSelectionStageClassMonkTraditionFeatures	KlÃ¶sterliche Traditionsmerkmale
Stage/&SubclassSelectionStageClassMonkTraditionHeader	WÃ¤hlen Sie eine klÃ¶sterliche Tradition aus
Stage/&SubclassSelectionStageClassMonkTraditionNoneDescription	Sie mÃ¼ssen eine klÃ¶sterliche Tradition auswÃ¤hlen.
Stage/&SubclassSelectionStageClassMonkTraditionTitle	klÃ¶sterlich\nTradition
Stage/&SubclassSelectionStageCovenDescription	Zirkel.
Stage/&SubclassSelectionStageCovenFeaturesDescription	Zirkel.
Stage/&SubclassSelectionStageCovenFeaturesHeader	Coven-Funktionen
Stage/&SubclassSelectionStageCovenFeaturesTitle	Zirkel
Stage/&SubclassSelectionStageCovenHeader	WÃ¤hle einen Zirkel aus
Stage/&SubclassSelectionStageCovenTitle	Zirkel
Stage/&SubclassSelectionStagePatronDescription	Ein Hexenmeister wird durch einen Pakt mit einem jenseitigen Wesen definiert. Manchmal ist die Beziehung zwischen Hexenmeister und GÃ¶nner wie die eines Klerikers und einer Gottheit, obwohl die Wesen, die als GÃ¶nner dienen, keine GÃ¶tter sind.
Stage/&SubclassSelectionStagePatronFeatures	Funktionen von Patrons aus einer anderen Welt
Stage/&SubclassSelectionStagePatronHeader	Warlock GÃ¶nner aus einer anderen Welt
Stage/&SubclassSelectionStagePatronTitle	AuÃŸerweltliche GÃ¶nner
Stage/&SubclassSelectionStageSpecialistDescription	Beschreibung Es gibt eine groÃŸe Auswahl an SpezialitÃ¤ten in Tinkerers, darunter die Herstellung von Elixieren als TrÃ¤nkemacher, das Erzeugen von Explosionen als Blaster und das FÃ¼hren magischer Waffen als Waffenschmied.
Stage/&SubclassSelectionStageSpecialistFeatures	Spezialfunktionen
Stage/&SubclassSelectionStageSpecialistHeader	Spezialisierungen
Stage/&SubclassSelectionStageSpecialistNoneDescription	Spezialist Keine Beschreibung.
Stage/&SubclassSelectionStageSpecialistTitle	Spezialisierung auswÃ¤hlen
Subclass/&AbilityAffinityRogueConArtistDescription	Vorteil bei FÃ¤higkeitsprÃ¼fungen mit Ãœberzeugung, TÃ¤uschung, Leistung und Fingerfertigkeit.
Subclass/&AbilityAffinityRogueConArtistTitle	Manipulativ
Subclass/&AHWarlockSubclassSoulBladePactDescription	Du hast einen Handel mit einer empfindungsfÃ¤higen Waffe abgeschlossen, die du im Gegenzug fÃ¼r Macht mit Seelen fÃ¼tterst.
Subclass/&AHWarlockSubclassSoulBladePactTitle	SoulBlade-Pakt
Subclass/&ArcaneFighterAdditionalActionDescription	Du kannst einen Zauber wirken, nachdem du einen Feind mit deinen Waffenangriffen besiegt hast.
Subclass/&ArcaneFighterAdditionalActionTitle	Zauberkampf
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Einmal pro Runde verursachen deine Waffenangriffe 1W8 zusÃ¤tzlichen Schaden.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Magisch angetriebene Angriffe
Subclass/&ArtificerAlchemistDescription	Du bist auf TrÃ¤nke, Buffs, Heilung und ZaubersprÃ¼che spezialisiert.
Subclass/&ArtificerAlchemistTitle	Zaubertrankhersteller
Subclass/&ArtificerArtileristCannonsDescription	Sie erstellen eine Reihe von Kanonen, die Sie im Kampf als Bonusaktion aktivieren kÃ¶nnen.
Subclass/&ArtificerArtileristCannonsTitle	Kanonen
Subclass/&ArtificerArtilleristDescription	Du bist darauf spezialisiert, Projektile zu schleudern und Explosionen zu verursachen.
Subclass/&ArtificerArtilleristTitle	Blaster
Subclass/&ArtificerBattleSmithDescription	Du spezialisierst dich auf den Einsatz magischer Waffen im Kampf.
Subclass/&ArtificerBattleSmithTitle	Waffenschmied
Subclass/&ArtificerSpellcastingDescription	Wirke Tinkerer-Zauber.
Subclass/&ArtificerSpellcastingTitle	Tinkerer ZaubersprÃ¼che
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Deine Angriffe zÃ¤hlen als magisch und du nutzt deine Intelligenz fÃ¼r Angriffs- und SchadenswÃ¼rfe.
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Infundierte Waffe
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Eine Waffe deiner Wahl, die die FÃ¤higkeit erhÃ¤lt, Ziele bei einem Treffer zu blenden (gegen einen Konstitutionswurf). Von jeder Infusion kann immer nur eine aktiv sein. Eine zweite Aktivierung bricht die erste ab.
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Blendende Waffe
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Eine gewÃ¤hlte RÃ¼stung wird magisch und gewÃ¤hrt zusÃ¤tzlich +1 RK. Sie kÃ¶nnen eine Infusion nur einmal aktiv haben. Eine zweite Aktivierung bricht die erste ab.
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Verbesserte RÃ¼stung
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Ein Zauberfokus deiner Wahl wird magisch und erhÃ¤lt +1 auf ZauberangriffswÃ¼rfe und SG fÃ¼r ZauberwÃ¼rfe. Von jeder Infusion kann immer nur eine aktiv sein. Eine zweite Aktivierung bricht die erste ab.
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Verbesserter Fokus
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	Eine Waffe deiner Wahl wird magisch und erhÃ¤lt +1 auf Angriffs- und SchadenswÃ¼rfe. Von jeder Infusion kann immer nur eine aktiv sein. Eine zweite Aktivierung bricht die erste ab.
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Verbesserte Waffe
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Eine gewÃ¤hlte RÃ¼stung wird magisch und gewÃ¤hrt +2 RK. Von jeder Infusion kann immer nur eine aktiv sein. Eine zweite Aktivierung bricht die erste ab.
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Verbesserte verstÃ¤rkte RÃ¼stung
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	Ein Zauberfokus, den du wÃ¤hlst, wird magisch und erhÃ¤lt +2 auf ZauberangriffswÃ¼rfe und Zauberwurf-SG. Von jeder Infusion kann immer nur eine aktiv sein. Eine zweite Aktivierung bricht die erste ab.
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Verbesserter verstÃ¤rkter Fokus
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	BerÃ¼hre eine Waffe und sie wird magisch und erhÃ¤lt +2 auf Angriffs- und SchadenswÃ¼rfe. Von jeder Infusion kann immer nur eine aktiv sein. Eine zweite Aktivierung bricht die erste ab.
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Verbesserte verbesserte Waffe
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Du verleihst deiner Waffe Kraft. Deine Angriffe zÃ¤hlen als magisch und du addierst +7 zu deinen Angriffs- und SchadenswÃ¼rfen.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Verbesserte Infusionswaffe
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Wenn eine Waffe aktiv ist, zÃ¤hlen ihre Angriffe als magisch und Sie verwenden Ihre Intelligenz fÃ¼r Ihre Angriffs- und SchadenswÃ¼rfe.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arkane Waffe
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Du erhÃ¤ltst einen zusÃ¤tzlichen Angriff.
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Extra-Angriff
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Du erhÃ¤ltst einen zusÃ¤tzlichen Angriff.
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Extra-Angriff
Subclass/&BarbarianPathOfTheLightDescription	Barbaren, die dem Pfad des Lichts folgen, erhellen die Dunkelheit und schÃ¼tzen ihre VerbÃ¼ndeten vor Gefahren, die darin lauern.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Du stehst immer unter der Wirkung eines Zaubers â€žUnsichtbarkeit sehenâ€œ.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Augen der Wahrheit
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Abgelenkt durch Erleuchtenden Schlag.
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Beleuchtet
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Nachteil bei jedem Angriffswurf, der nicht gegen den Pfad des Lichtbarbaren gerichtet ist.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Kann nicht unsichtbar werden.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	In der Runde, in der Sie in Ihre Wut geraten, kÃ¶nnen Sie bis zu drei Feinde innerhalb von 30 FuÃŸ von Ihnen beleuchten. Sie mÃ¼ssen einen Konstitutionsrettungswurf (SG gleich 8 + dein Kompetenzbonus + dein Konstitutionsmodifikator) bestehen oder 4W6 Strahlungsschaden erleiden und 1 Minute lang von deinem Erleuchtenden Schlag erleuchtet werden. Eine auf diese Weise beleuchtete Kreatur macht am Ende jedes ihrer ZÃ¼ge einen weiteren Konstitutionsrettungswurf. Bei einem erfolgreichen Speichern endet der Effekt dafÃ¼r.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Bis zu drei Feinde legen einen Konstitutionsrettungswurf ab oder erleiden 4W6 Strahlungsschaden und werden von deinem Erleuchtenden Schlag erleuchtet.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Erleuchtender Ausbruch
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Erleuchtender Ausbruch
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	WÃ¤hrend du tobst, erleidet die erste Kreatur, die du in deinem Zug mit einem Angriff triffst, zusÃ¤tzlich 1W6 Strahlenschaden und wird bis zum Beginn deines nÃ¤chsten Zuges magisch erleuchtet. AuÃŸerdem hat die Kreatur einen Nachteil bei jedem Angriffswurf, der nicht gegen dich ist, und kann nicht unsichtbar werden.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	Der zusÃ¤tzliche Schaden von Illuminating Strike erhÃ¶ht sich auf 2W6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Beleuchtungsschlag-Verbesserung
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Erleuchtender Schlag
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	Sie erhalten Trefferpunkte in HÃ¶he der HÃ¤lfte Ihrer Barbarenstufe zurÃ¼ck, wenn eine feindliche Kreatur stirbt, die von Ihrem Erleuchtenden Schlag betroffen ist. AuÃŸerdem provozierst du keine Gelegenheitsangriffe mehr von Kreaturen, die von deinem Erleuchtenden Schlag betroffen sind.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Schutz des Lichts
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	Du erhÃ¤ltst Ã¼berlegene Dunkelsicht.
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Durchdringe die Dunkelheit
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Kann unsichtbare Kreaturen wahrnehmen.
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Unsichtbarkeit
Subclass/&BarbarianPathOfTheLightTitle	Weg des Lichts
Subclass/&BloodWitchDescription	Die von den meisten Hexenzirkeln verbotene Blutmagie konzentriert sich auf die Verwendung von dunklen ZaubersprÃ¼chen und tÃ¶dlichen VerwÃ¼nschungen, die aus der Essenz des Zauberkundigen schÃ¶pfen. Es ist grundsÃ¤tzlich gefÃ¤hrlicher als andere Hexenhandwerke, aber seine vielen Risiken sind mit reichlich Belohnungen verbunden.
Subclass/&BloodWitchMagicDescription	Du erhÃ¤ltst die folgenden Zauber. Diese ZaubersprÃ¼che zÃ¤hlen fÃ¼r dich als Hexenzauber und zÃ¤hlen nicht zu deiner Gesamtzahl an bekannten ZaubersprÃ¼chen:\n {0}
Subclass/&BloodWitchMagicTitle	Die Blutmagie
Subclass/&BloodWitchTitle	Blut Hexe
Subclass/&CancelCancelElixirFlyDescription	Beende die Fliegen-Bedingung durch das Trankmacher-Elixier.
Subclass/&CancelCancelElixirFlyTitle	Fliegen abbrechen
Subclass/&CancelCancelElixirResilienceDescription	Beenden Sie die Resilienz-Bedingung des Trankmacher-Elixiers.
Subclass/&CancelCancelElixirResilienceTitle	Resilienz abbrechen
Subclass/&CancelCancelElixirSwiftnessDescription	Beende den Schnelligkeits-Zustand des Trankmacher-Elixiers.
Subclass/&CancelCancelElixirSwiftnessTitle	Schnelligkeit abbrechen
Subclass/&ClassMonkTraditionDescription	Auf der 3. Stufe wÃ¤hlst du den spirituellen Weg, dem du zur Erleuchtung folgst. Es wird prÃ¤gen, wie Sie Ki manipulieren.
Subclass/&ClassMonkTraditionTitle	Klostertraditionen
Subclass/&ClassMonkTraditionWayOfTheOpenHandDescription	MÃ¶nche des Weges der Offenen Hand sind die ultimativen Meister der KampfkÃ¼nste, ob bewaffnet oder unbewaffnet. Sie lernen Techniken, um ihre Gegner zu stoÃŸen und zu Fall zu bringen, Ki zu manipulieren, um SchÃ¤den an ihrem KÃ¶rper zu heilen, und praktizieren fortgeschrittene Meditation, die sie vor Schaden schÃ¼tzen kann.
Subclass/&ClassMonkTraditionWayOfTheOpenHandTitle	Weg der offenen Hand
Subclass/&ClassMonkTraditionZenArcherDescription	Praktizierende des Weges der Fernen Hand trainieren, Pfeile zu einer VerlÃ¤ngerung ihrer HÃ¤nde zu machen. Sie sind geÃ¼bt im Umgang mit BÃ¶gen und liefern Ki-ermÃ¤chtigte Effekte durch Pfeile.
Subclass/&ClassMonkTraditionZenArcherTitle	Weg der fernen Hand
Subclass/&ClassWarlockPatronDescription	Ein Hexenmeister wird durch einen Pakt mit einem jenseitigen Wesen definiert. Manchmal ist die Beziehung zwischen Hexenmeister und GÃ¶nner wie die eines Klerikers und einer Gottheit, obwohl die Wesen, die als GÃ¶nner dienen, keine GÃ¶tter sind.
Subclass/&ClassWarlockPatronTitle	Jenseitiger Patron
Subclass/&ConditionResistantArmorTitle	WiderstandsfÃ¤hige RÃ¼stung
Subclass/&ConditionResistnatArmorDescription	Ihre RÃ¼stung ist resistent gegen SÃ¤ure-, KÃ¤lte-, Feuer-, Kraft-, Blitz-, Nekrotik-, Gift-, psychische, Strahlungs- und DonnerschÃ¤den.
Subclass/&ConditionSpellShieldArcaneDeflectionDescription	Du kannst deine arkanen KrÃ¤fte einsetzen, um dich als Reaktion abzuschirmen. Dadurch erhÃ¤ltst du bis zu deinem nÃ¤chsten Zug +3 auf deine RK.
Subclass/&ConditionSpellShieldArcaneDeflectionTitle	Arkane Ablenkung
Subclass/&ConditionTransmuteConstitutionSaveDescription	TemporÃ¤rer Konstitutionsschutz, der durch die Kraft der Machtumwandlung gewÃ¤hrt wird.
Subclass/&ConditionTransmuteConstitutionSaveTitle	Verfassung speichert
Subclass/&ConditionTransmutePoisonDescription	VorÃ¼bergehender SÃ¤ure-, KÃ¤lte-, Feuer-, Blitz-, Nekrotik-, Gift- und Donnerwiderstand, der durch die Kraft Transmute Force gewÃ¤hrt wird.
Subclass/&ConditionTransmutePoisonTitle	Elementarer Widerstand
Subclass/&CraftingTinkererMagicItemAdeptDescription	Du bist geschickt darin, magische GegenstÃ¤nde herzustellen. Sie benÃ¶tigen 1/4 der Zeit, um GegenstÃ¤nde herzustellen, und Sie wenden beim Herstellen den doppelten Kompetenzbonus an.
Subclass/&CraftingTinkererMagicItemAdeptTitle	Adept der magischen GegenstÃ¤nde
Subclass/&DHWarlockSubclassElementalPatronDescription	Du wurdest mit Urmenschen, die in den Ã–dlanden der Elemente prÃ¤sent sind, paktiert und verÃ¤ndert. Das Elementarchaos des Patrons hat deine Seele durchdrungen und lÃ¤sst dich die Kraft verschiedener Elementartypen nutzen.
Subclass/&DHWarlockSubclassElementalPatronTitle	Pakt der Elementarmagier
