ActionAffinity/&DHFeeblemindSpellDescription	Unable to cast spells.
Equipment/&Enchanted_Spear_BlackViper_Title	Black Viper Spear
Equipment/&Enchanted_Spear_Doomblade_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. Kenaloth Darkmind devised the Doomblades as a tool of punishment for those who resisted the magic of the Empire.
Equipment/&Enchanted_Spear_Doomblade_Title	Doom Tipped Spear
Equipment/&Enchanted_Spear_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master smiths. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures.
Equipment/&Enchanted_Spear_Lightbringer_Title	Lightbringer Spear
Equipment/&Enchanted_Spear_Sharpness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Spear_Sharpness_Title	Spear of Sharpness
Equipment/&Enchanted_Spear_Whiteburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Whiteburn was created by the first Danantar to fight a troll invasion coming from the swamps to the south of his domain between the Sioltafin and the Scarafin.
Equipment/&Enchanted_Spear_Whiteburn_Title	Whiteburn Spear
Equipment/&Enchanted_StuddedLeather_Deflection_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_StuddedLeather_Deflection_Title	Studded Leather of Deflection
Equipment/&Enchanted_StuddedLeather_FlameDancing_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_StuddedLeather_FlameDancing_Title	Studded Leather of Flame Dancing
Equipment/&Enchanted_StuddedLeather_FrostWalking_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_StuddedLeather_FrostWalking_Title	Studded Leather of Frost Walking
Equipment/&Enchanted_StuddedLeather_Robustness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_StuddedLeather_Robustness_Title	Studded Leather of Robustness
Equipment/&Enchanted_StuddedLeather_Sturdiness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_StuddedLeather_Sturdiness_Title	Studded Leather of Sturdiness
Equipment/&Enchanted_StuddedLeather_Survival_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_StuddedLeather_Survival_Title	Studded Leather of Survival
Equipment/&Enchanted_Warhammer_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Warhammer_Acuteness_Title	Warhammer of Acuteness
Equipment/&Enchanted_Warhammer_Bearclaw_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. The sharp spikes of the bear's claw shred armor to inflict additional damage. The first weapon of this kind was designed by Ildurial Stronghand.
Equipment/&Enchanted_Warhammer_Bearclaw_Title	Bearclaw Warhammer
Equipment/&Enchanted_Warhammer_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master smiths. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures.
Equipment/&Enchanted_Warhammer_Lightbringer_Title	Lightbringer Warhammer
Equipment/&Enchanted_Warhammer_Power_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. Some creatures only respect physical strengths. Manacalon arcanists created this Warhammer to give champions of the Iron Legions the strength their elven bodies didn't provide.
Equipment/&Enchanted_Warhammer_Power_Title	Warhammer of Power
Equipment/&Enchanted_Warhammer_Punisher_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. The combination of the best metal and Slavestone gave this axe incredible piercing power.
Equipment/&Enchanted_Warhammer_Punisher_Title	Punisher Warhammer
Equipment/&HerbalBrewDamageAffinityAcidResistanceDescription	Gain resistance to acid damage for 1 hour.
Equipment/&HerbalBrewDamageAffinityAcidResistanceTitle	Brew of Acid Protection
Equipment/&HerbalBrewDamageAffinityLightningResistanceDescription	Gain resistance to lightning damage for 1 hour.
Equipment/&HerbalBrewDamageAffinityLightningResistanceTitle	Brew of Lightning Protection
Equipment/&HerbalBrewDamageAffinityNecroticResistanceDescription	Gain resistance to necrotic damage for 1 hour.
Equipment/&HerbalBrewDamageAffinityNecroticResistanceTitle	Brew of Necrotic Protection
Equipment/&HerbalBrewDamageAffinityPoisonResistanceDescription	Gain resistance to poison damage for 1 hour.
Equipment/&HerbalBrewDamageAffinityPoisonResistanceTitle	Brew of Poison Protection
Equipment/&HerbalBrewDamageAffinityRadiantResistanceDescription	Gain resistance to radiant damage for 1 hour.
Equipment/&HerbalBrewDamageAffinityRadiantResistanceTitle	Brew of Radiant Protection
Equipment/&HerbalBrewHealingTitle	Brew of Quickening
Equipment/&HerbalBrewToxifyingTitle	Brew of Toxifying
Equipment/&ImprovedLightningSpearDescription	Deal 1d6 lightning damage with an additional 1d6 lightning damage once per turn.\nCan create advantage for allies and disadvantage for enemies with a single attack.
Equipment/&ImprovedLightningSpearTitle	Improved Lightning Spear
Equipment/&ImprovedThunderPunchDescription	Deals 1d8 thunder damage on hit and imposes disadvantage on attack rolls against allies.\nPull enemies up to 30 feet with a bonus action, then deal 1d8 thunder damage.
Equipment/&ImprovedThunderPunchTitle	Improved Thunder Punch
Equipment/&LightningSpearDescription	Deal 1d6 lightning damage with an additional 1d6 lightning damage once per turn.
Equipment/&LightningSpearTitle	Lightning Spear
Equipment/&LivewoodClubDescription	This club is composed of living wood complete with sprouting leaves and perhaps seasonal blooms. It can be used as a focus for Druidic spell casting.
Equipment/&LivewoodClubTitle	Livewood Club
Equipment/&LivewoodStaffDescription	This staff is composed of living wood complete with sprouting leaves and perhaps seasonal blooms. It can be used as a focus for Druidic spell casting.
Equipment/&LivewoodStaffTitle	Livewood Staff
Equipment/&ThunderPunchDescription	Deals 1d8 thunder damage on hit and imposes disadvantage on attack rolls against allies.
Equipment/&ThunderPunchTitle	Thunder Punch
Equipment/&WandIdentifyDescription	Casts the spell Identify by expending one charge. The wand has 3 charges and regains 1d3 charges each dawn.
Equipment/&WandIdentifyTitle	Wand of Identify
Failure/&FailureFlagTargetMeleeWeaponError	Can't perform melee attack on this target with current weapon
Feat/&AddConstructCantripsDescription	Adds cantrips to heal and dismiss your constructs.
Feat/&AddConstructCantripsTitle	Construct Cantrips
Feat/&AddProtectorConstructCantripDescription	Adds Mending Construct and Dismiss Construct cantrips to increase your constructs flexibility.
Feat/&AddProtectorConstructCantripTitle	Bonus Construct Cantrips
Feat/&AlchemistSubclassElixirsDescription	Learn to make experimental elixirs: Healing, Swiftness, Resilience, Boldness, Flight.
Feat/&AlchemistSubclassElixirsTitle	Experimental Elixirs
Feat/&AlchemistSubclassSpellsDescription	{0}.
Feat/&AlchemistSubclassSpellsTitle	Learn Potion Maker Spells
Feat/&ArmorModePoolDescription	Allows you activate armor modes once per short rest.
Feat/&ArmorModePoolTitle	Armor Mode
Feat/&ArtificerAlchemistAlchemicalSavantDescription	When you heal, you heal additional HP equal to 1d4 + your level.
Feat/&ArtificerAlchemistAlchemicalSavantTitle	Elixir Savant
Feat/&ArtificerAlchemistBoldnessElixirDescription	Can roll a d4 and add the number rolled to every attack roll and saving throw you make for 1 minute.
Feat/&ArtificerAlchemistBoldnessElixirTitle	Boldness Elixir
Feat/&ArtificerAlchemistFlyElixirDescription	Gain a flying speed of 10 feet for 10 minutes.
Feat/&ArtificerAlchemistFlyElixirTitle	Fly Elixir
Feat/&ArtificerAlchemistHealElixirDescription	Heal target for 2d4 + Intelligence modifier.
Feat/&ArtificerAlchemistHealElixirTitle	Healing Elixir
Feat/&ArtificerAlchemistResilienceElixirDescription	Increase target AC by +1 for 10 minutes.
Feat/&ArtificerAlchemistResilienceElixirTitle	Resilience Elixir
Feat/&ArtificerAlchemistSwiftnessElixirDescription	Increase target movement speed by 10ft for 1 hour.
Feat/&ArtificerAlchemistSwiftnessElixirTitle	Swiftness Elixir
Feat/&ArtificerArtilleristArcaneFirearmDescription	When casting evocation spells, deal an extra 1d8 damage once per turn.
Feat/&ArtificerArtilleristArcaneFirearmTitle	Blasting Enhancement
Feat/&ArtificerArtillerstDetonationSpellPreparedDescription	You gain the ability to detonate one of your devices causing damage to those near the target.
Feat/&ArtificerArtillerstDetonationSpellPreparedTitle	Device Detonation
Feat/&ArtificerArtillerstImprovedCannonsDescription	The effect from your cannons increases. Additional damage from the fire, an additional target from the force, and additional temp HP from the shield.
Feat/&ArtificerArtillerstImprovedCannonsTitle	Improved Cannons
Feat/&ArtificialServantAttackDescription	Ranged attack 1d6 force damage from your trusty sidekick.
Feat/&ArtificialServantAttackTitle	Force Sling
Feat/&ArtificialServantDescription	The servant is friendly to you and your companions, and it obeys your commands.
Feat/&ArtificialServantTitle	Artificial Servant
Feat/&ArtilleristCannonDetonationDescription	Detonate one of your devices causing creatures within 20 ft of the targeted location to make a Dexterity save. The creatures take 3d8 force damage on a failed save, and half as much damage on a successful one.
Feat/&ArtilleristCannonDetonationTitle	Device Detonation
Feat/&ArtilleristFlameCannon15Description	Spew fire in a cone as a bonus action, dealing 6d8 fire damage if targets fail a DEX saving throw.
Feat/&ArtilleristFlameCannon15Title	Flamethrower
Feat/&ArtilleristFlameCannon9Description	Spew fire in a cone as a bonus action, dealing 3d8 fire damage if targets fail a DEX saving throw.
Feat/&ArtilleristFlameCannon9Title	Flamethrower
Feat/&ArtilleristFlameCannonDescription	Spew fire in a cone as a bonus action, dealing 2d8 fire damage if targets fail a DEX saving throw.
Feat/&ArtilleristFlameCannonTitle	Flamethrower
Feat/&ArtilleristForceCannon15Description	Make a ranged attack against up to 2 targets as a bonus action, dealing 3d8 force damage on a hit.
Feat/&ArtilleristForceCannon15Title	Force Cannon
Feat/&ArtilleristForceCannon9Description	Make a ranged attack as a bonus action, dealing 3d8 force damage on a hit.
Feat/&ArtilleristForceCannon9Title	Force Cannon
Feat/&ArtilleristForceCannonDescription	Make a ranged attack as a bonus action, dealing 2d8 force damage on a hit.
Feat/&ArtilleristForceCannonTitle	Force Cannon
Feat/&ArtilleristProtectorCannon15Description	Emit positive energy as a bonus action. Allies within 20 feet gain temp HP equal to 1d8 + your Intelligence modifier.
Feat/&ArtilleristProtectorCannon15Title	Arcane Shield
Feat/&ArtilleristProtectorCannonDescription	Emit positive energy as a bonus action. Allies within 10 feet gain temp HP equal to 1d8 + your Intelligence modifier.
Feat/&ArtilleristProtectorCannonTitle	Arcane Shield
Feat/&ArtilleristSubclassSpellsDescription	{0}.
Feat/&ArtilleristSubclassSpellsTitle	Learn Blaster Spells
Feat/&ArtilleryConstructDescription	Can damage or protect allies.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsDescription	Cantrips:Mending Construct, Dismiss Construct \nLevel 1: Resummon Artillery Construct.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsTitle	Construct Spells
Feat/&ArtilleryConstructLevel09AutopreparedSpellsDescription	You gain bonus spells that are considered Tinkerer spells for you, they are always prepared and don't count against the number of Tinkerer spells you know.
Feat/&ArtilleryConstructLevel09AutopreparedSpellsTitle	Construct Spells
Feat/&ArtilleryConstructLevel15AutopreparedSpellsDescription	You gain bonus spells that are considered Tinkerer spells for you, they are always prepared and don't count against the number of Tinkerer spells you know.
Feat/&ArtilleryConstructLevel15AutopreparedSpellsTitle	Construct Spells
Feat/&ArtilleryConstructTitle	Artillery Construct
Feat/&ArtilleryConstructTitle_3	Artillery Construct
Feat/&ArtilleryConstructTitle_5	Artillery Construct
Feat/&ArtilleryModePoolDescription	Choose your Artillery Mode.
Feat/&ArtilleryModePoolTitle	Artillery Mode
Feat/&AttackModifierArtificerBattleSmithJolt2Description	Your weapon attacks deal an additional 3 damage.
Feat/&AttackModifierArtificerBattleSmithJolt2Title	Improved Weapon Attack Jolt
Feat/&AttackModifierArtificerBattleSmithJoltDescription	Your weapon attacks deal an additional 3 damage.
Feat/&AttackModifierArtificerBattleSmithJoltTitle	Weapon Attack Jolt
Feat/&AutoPreparedSpellsDescription	{0}.
Feat/&AutoPreparedSpellsTitle	Learn Scout Sentinel spells
Feat/&BattleSmithSubclassSpellsDescription	{0}.
Feat/&BattleSmithSubclassSpellsTitle	Learn Weapon Smith Spells
Feat/&CancelFlyingConditionDescription	End flying condition to allow jumping and crawling.
Feat/&CancelFlyingConditionTitle	Cancel Fly
Feat/&ChefConDescription	Increase your Constitution by 1, to a maximum of 20.\nYou can spend 1 hour to cook a meal to heal you and your companions for 1d8 HP.\nOnce a day, you may spend an hour to cook treats that provide temporary HP when eaten.
Feat/&ChefConTitle	Chef (Constitution)
Feat/&ChefShortRestFeastDescription	You can spend 1 hour to cook a meal to heal you and your companions for 1d8 HP.
Feat/&ChefShortRestFeastTitle	Short Rest Meal
Feat/&ChefWisDescription	Increase your Wisdom by 1, to a maximum of 20.\nYou can spend 1 hour to cook a meal to heal you and your companions for 1d8 HP.\nOnce a day, you may spend an hour to cook treats that provide temporary HP when eaten.
Feat/&ChefWisTitle	Chef (Wisdom)
Feat/&ConstructSelectingPoolDescription	Select the mode for your Construct.
Feat/&ConstructSelectingPoolTitle	Artillery Mode
Feat/&DeadeyeFeatDescription	You have mastered ranged weapons and can make shots that others find impossible.\n• Attacking at long range doesn't impose disadvantage on your ranged weapon attack rolls.\n• Your ranged weapon attacks ignore half cover and three-quarters cover.\n• You can choose to take a -5 penalty to your ranged weapon attack roll. If the attack hits, you deal an additional 10 damage of the weapon's type.
Feat/&DeadeyeFeatTitle	Deadeye
Feat/&DismissConstructDescription	Unsummon your construct.
Feat/&DismissConstructTitle	Dismiss Construct
Feat/&DualFlurryDescription	You are a master of fighting with paired weapons. On any turn where you hit twice with melee attacks while wielding a weapon in each hand, you may make an additional off-hand attack when attacking with your bonus action.
Feat/&DualFlurryTitle	Dual Flurry
Feat/&ExtraInfusionSlotsDescription	You gain extra infusion slots that must be used on armor/weapons.
Feat/&ExtraInfusionSlotsTitle	Extra Infusions
Feat/&FeatArcaneDefenseDescription	Increase your Intelligence by 1, to a maximum of 20.\nWhile you are not wearing any armor, your AC equals 10 + your Dexterity modifier + your Intelligence modifier.
Feat/&FeatArcaneDefenseTitle	Arcane Defense
Feat/&FeatArcanePrecisionDescription	You can use a bonus action to select a weapon. Its attacks count as magical and you use your Intelligence for your attack and damage rolls for 1 minute. This feature can be used twice per long rest.
Feat/&FeatArcanePrecisionTitle	Arcane Precision
Feat/&FeatBlindFightingStlyeDescription	You have blindsight with a range of 10 feet.
Feat/&FeatBlindFightingStlyeTitle	Fighting Style: Blind Fighting
Feat/&FeatBrutalThugDescription	You land powerful blows in the right places.\nYou gain simple and martial weapon proficiencies.\nYou can sneak attack using martial weapons.
Feat/&FeatBrutalThugTitle	Brutal Thug
Feat/&FeatChaIncrementDescription	Increase your Charisma by 1, to a maximum of 20.
Feat/&FeatChaIncrementTitle	Charisma Attribute Increase
Feat/&FeatCharismaticDefenseDescription	Increase your Charisma by 1, to a maximum of 20.\nWhile you are not wearing any armor, your AC equals 10 + your Dexterity modifier + your Charisma modifier.
Feat/&FeatCharismaticDefenseTitle	Charismatic Defense
Feat/&FeatCharismaticPrecisionDescription	You can use a bonus action to select a weapon. Its attacks count as magical and you use your Charisma for your attack and damage rolls for 1 minute. This feature can be used twice per long rest.
Feat/&FeatCharismaticPrecisionTitle	Charismatic Precision
Feat/&FeatChefConIncrementDescription	Increase your Constitution by 1, to a maximum of 20.
Feat/&FeatChefConIncrementTitle	Attribute Increase
Feat/&FeatChefWisIncrementDescription	Increase your Wisdom by 1, to a maximum of 20.
Feat/&FeatChefWisIncrementTitle	Attribute Increase
Feat/&FeatCripplingDescription	When you hit with a melee attack, you can reduce the speed of your opponent by 10 ft. until the start of your next turn.
Feat/&FeatCripplingTitle	Fighting Style: Crippling
Feat/&FeatDexIncrementDescription	Increase your Dexterity by 1, to a maximum of 20.
Feat/&FeatDexIncrementTitle	Attribute Increase
Feat/&FeatDualWeaponDefenseDescription	You gain a +1 bonus to AC while you are wielding a separate melee weapon in each hand.
Feat/&FeatDualWeaponDefenseTitle	Dual Weapon Defense
Feat/&FeatFastHandsDescription	You gain Cunning Action. You can use the Hide or Disengage actions as a bonus action.\nYou can use your Cunning Action to make a Dexterity (Sleight of Hand) check, use your thieves' tools to Disarm a trap or open a lock, or take the Use an Object action.
Feat/&FeatFastHandsTitle	Fast Hands
Feat/&FeatFeyTeleportationChaDescription	Increase your Charisma by 1, to a maximum of 20.\nYou can use misty step once per short rest, and you can cast this spell with your spell slots.\nYou gain proficiency in Tirmarian.
Feat/&FeatFeyTeleportationChaTitle	Fey Teleportation (Charisma)
Feat/&FeatFeyTeleportationIntDescription	Increase your Intelligence by 1, to a maximum of 20.\nYou can use misty step once per short rest, and you can cast this spell with your spell slots.\nYou gain proficiency in Tirmarian.
Feat/&FeatFeyTeleportationIntTitle	Fey Teleportation (Intelligence)
Feat/&FeatFeyTeleportationWisDescription	Increase your Wisdom by 1, to a maximum of 20.\nYou can use misty step once per short rest, and you can cast this spell with your spell slots.\nYou gain proficiency in Tirmarian.
Feat/&FeatFeyTeleportationWisTitle	Fey Teleportation (Wisdom)
Feat/&FeatFightingSurgeDexterityDescription	Increase your Dexterity by 1, to a maximum of 20.\nOn your turn, you can take one additional action on top of your regular action. Once you use this feature, you must finish a long rest before you can use it again.
Feat/&FeatFightingSurgeDexterityTitle	Fighting Surge (Dexterity)
Feat/&FeatFightingSurgeStrengthDescription	Increase your Strength by 1, to a maximum of 20.\nOn your turn, you can take one additional action on top of your regular action. Once you use this feature, you must finish a long rest before you can use it again.
Feat/&FeatFightingSurgeStrengthTitle	Fighting Surge (Strength)
Feat/&FeatHeavyArmorMasterClassDescription	You gain resistance to bludgeoning, slashing, and piercing damage.
Feat/&FeatHeavyArmorMasterClassTitle	Heavy Defense Mastery
Feat/&FeatImprovedCriticalDescription	Your attacks are critical hits on a roll of 19 or 20.
Feat/&FeatImprovedCriticalTitle	Improved Critical
Feat/&FeatIntIncrementDescription	Increase your Intelligence by 1, to a maximum of 20.
Feat/&FeatIntIncrementTitle	Intelligence Attribute Increase
Feat/&FeatLightArmorDescription	Increase your Strength by 1, to a maximum of 20.\nYou gain proficiency with light armor.
Feat/&FeatLightArmorProficiencyDescription	Gain proficiency with Light Armor.
Feat/&FeatLightArmorProficiencyTitle	Light Armor
Feat/&FeatLightArmorTitle	Light Armor
Feat/&FeatMarksmanDescription	When an opponent you can see attacks you with a ranged weapon or a spell and is at least 10 ft away from you, you can use your reaction to make a ranged weapon attack after the triggering attack finishes.
Feat/&FeatMarksmanTitle	Marksman
Feat/&FeatMediumArmorDexDescription	Increase your Dexterity by 1, to a maximum of 20.\nYou gain proficiency with Medium Armor and shields.
Feat/&FeatMediumArmorDexTitle	Medium Armor (Dexterity)
Feat/&FeatMediumArmorProficiencyDescription	You gain proficiency with medium armor and shields.
Feat/&FeatMediumArmorProficiencyTitle	Medium Armor
Feat/&FeatMediumArmorStrengthDescription	Increase your Strength by 1, to a maximum of 20.\nYou gain proficiency with medium armor and shields.
Feat/&FeatMediumArmorStrengthTitle	Medium Armor (Strength)
Feat/&FeatMetamagicAdeptCarefulDescription	Increase your Charisma by 1, to a maximum of 20.\nYou learn the Careful metamagic and gain 2 sorcery points.
Feat/&FeatMetamagicAdeptCarefulTitle	Metamagic: Careful
Feat/&FeatMetamagicAdeptDistantDescription	Increase your Charisma by 1, to a maximum of 20.\nYou learn the Distant metamagic and gain 2 sorcery points.
Feat/&FeatMetamagicAdeptDistantTitle	Metamagic: Distant
Feat/&FeatMetamagicAdeptEmpoweredDescription	Increase your Charisma by 1, to a maximum of 20.\nYou learn the Empowered metamagic and gain 2 sorcery points.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Metamagic: Empowered
Feat/&FeatMetamagicAdeptExtendedDescription	Increase your Charisma by 1, to a maximum of 20.\nYou learn the Extended metamagic and gain 2 sorcery points.
Feat/&FeatMetamagicAdeptExtendedTitle	Metamagic: Extended
Feat/&FeatMetamagicAdeptHeightenedDescription	You learn the Heightened metamagic and gain 4 sorcery points.
Feat/&FeatMetamagicAdeptHeightenedTitle	Metamagic: Heightened
Feat/&FeatMetamagicAdeptQuickenedDescription	Increase your Charisma by 1, to a maximum of 20.\nYou learn the Quickened metamagic and gain 2 sorcery points.
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamagic: Quickened
Feat/&FeatMetamagicAdeptTwinnedDescription	Increase your Charisma by 1, to a maximum of 20.\nYou learn the Twinned metamagic and gain 2 sorcery points.
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamagic: Twinned
Feat/&FeatPolearmExpertDescription	Your expert training with polearms grants you these benefits:\n• When you take the Attack action and attack with only a polearm weapon, you can use a bonus action to make a melee attack with the opposite end of the weapon. This attack uses the same ability modifier as the primary attack. The weapon's damage die for this attack is a d4, and it deals bludgeoning damage.\n• While you are wielding a polearm weapon, other creatures provoke an opportunity attack from you when they enter the reach you have with that weapon.
Feat/&FeatPolearmExpertTitle	Polearm Expert
Feat/&FeatPrimalConstitutionDescription	Increase your Constitution by 1, to a maximum of 20.\nYou can enter a rage as a bonus action as defined in the Barbarian's rage class feature with a +1 rage damage that can stack with Barbarian's rage. Once you have raged this way, you must finish a long rest before using this feature again.\nWhile you are not wearing any armor, your AC equals 10 + your Dexterity modifier + your Constitution modifier.
Feat/&FeatPrimalConstitutionTitle	Primal Rage (Constitution)
Feat/&FeatPrimalStrengthDescription	Increase your Strength by 1, to a maximum of 20.\nYou can enter a rage as a bonus action as defined in the Barbarian's rage class feature with a +1 rage damage that can stack with Barbarian's rage. Once you have raged this way, you must finish a long rest before using this feature again.\nWhile you are not wearing any armor, your AC equals 10 + your Dexterity modifier + your Constitution modifier.
Feat/&FeatPrimalStrengthTitle	Primal Rage (Strength)
Feat/&FeatPugilistFightingStlyeDescription	Your unarmed strikes deal an additional 1d4 bludgeoning damage and you can punch with your offhand as a bonus action.\nIf you have a free hand, you can shove as a bonus action.
Feat/&FeatPugilistFightingStlyeTitle	Fighting Style: Pugilist
Feat/&FeatRangedExpertDescription	Your expert training with ranged weapons grants you these benefits:\n• You no longer have disadvantage on ranged attacks when there is an enemy within 5 feet of you.\n• If you take the Attack action on your turn, you can use a bonus action to make an attack with a one-handed ranged or thrown weapon.
Feat/&FeatRangedExpertTitle	Ranged Expert
Feat/&FeatSavageAttackerDescription	Reroll weapon and spell damage dice when you roll a 1 (This does not reroll dice from all damage sources. For example, sneak attack and smite damage is not rerolled).
Feat/&FeatSavageAttackerReroll	Due to being a Savage Attacker {0} rerolls the {1} die from a {2} to a {3}
Feat/&FeatSavageAttackerTitle	Savage Attacker
Feat/&FeatSentinelDescription	You have mastered techniques to take advantage of every drop in any enemy's guard, gaining the following benefits:\n• When you hit a creature with an opportunity attack, the creature's speed becomes 0 for the rest of the turn.\n• Creatures provoke opportunity attacks from you even if they take the Disengage action before leaving your reach.\n• When a creature makes an attack against a target other than you (and that target doesn't have this feat), you can use your reaction to make a melee weapon attack against the attacking creature.
Feat/&FeatSentinelTitle	Sentinel
Feat/&FeatShadowTouchedChaDescription	Increase your Charisma attribute by 1, to a maximum of 20.\nYou gain the ability to cast the invisibility, inflict wounds, and false life spells once per long rest and you can cast these spells with your spell slots.
Feat/&FeatShadowTouchedChaTitle	Shadow Touched (Charisma)
Feat/&FeatShadowTouchedIntDescription	Increase your Intelligence attribute by 1, to a maximum of 20.\nYou gain the ability to cast the invisibility, inflict wounds, and false life spells once per long rest and you can cast these spells with your spell slots.
Feat/&FeatShadowTouchedIntTitle	Shadow Touched (Intelligence)
Feat/&FeatShadowTouchedWisDescription	Increase your Wisdom attribute by 1, to a maximum of 20.\nYou gain the ability to cast the invisibility, inflict wounds, and false life spells once per long rest and you can cast these spells with your spell slots.
Feat/&FeatShadowTouchedWisTitle	Shadow Touched (Wisdom)
Feat/&FeatShadyDescription	Increase your Dexterity by 1, to a maximum of 20.\nOnce per turn, you can deal an extra 1d6 damage to one creature you hit with an attack that meets the requirements of the Rogue's Sneak Attack. At 12th level, this damage increases to 2d6 and at 20th level, to 4d6.
Feat/&FeatShadyTitle	Shady
Feat/&FeatShieldExpertDescription	You have trained in the use of a shield as a weapon. For you, it becomes a melee weapon that you are proficient with that deals 1d4 bludgeoning damage.\nYou gain advantage on shove attempts while wielding a shield.
Feat/&FeatShieldExpertTitle	Shield Expert
Feat/&FeatStrengthIncrementDescription	Increase your Strength by 1, to a maximum of 20.
Feat/&FeatStrengthIncrementTitle	Attribute Increase
Feat/&FeatTelekineticChaDescription	Increase your Charisma by 1, to a maximum of 20.\nAs a bonus action, you can telekinetically push or pull one creature you can see within 30 feet of you. The target must succeed on a Strength saving throw (DC 8 + your proficiency bonus + your Charisma modifier) or be moved 5 feet.
Feat/&FeatTelekineticChaPullDescription	Telekinetically pull a creature toward you.
Feat/&FeatTelekineticChaPullTitle	Telekinetic Pull
Feat/&FeatTelekineticChaPushDescription	Telekinetically shove a creature away from you.
Feat/&FeatTelekineticChaPushTitle	Telekinetic Push
Feat/&FeatTelekineticChaTitle	Telekinetic (Charisma)
Feat/&FeatTelekineticIntDescription	Increase your Intelligence by 1, to a maximum of 20.\nAs a bonus action, you can telekinetically push or pull one creature you can see within 30 feet of you. The target must succeed on a Strength saving throw (DC 8 + your proficiency bonus + your Intelligence modifier) or be moved 5 feet.
Feat/&FeatTelekineticIntPullDescription	Telekinetically pull a creature toward you.
Feat/&FeatTelekineticIntPullTitle	Telekinetic Pull
Feat/&FeatTelekineticIntPushDescription	Telekinetically shove a creature away from you.
Feat/&FeatTelekineticIntPushTitle	Telekinetic Push
Feat/&FeatTelekineticIntTitle	Telekinetic (Intelligence)
Feat/&FeatTelekineticWisDescription	Increase your Wisdom by 1, to a maximum of 20.\nAs a bonus action, you can telekinetically push or pull one creature you can see within 30 feet of you. The target must succeed on a Strength saving throw (DC 8 + your proficiency bonus + your Wisdom modifier) or be moved 5 feet.
Feat/&FeatTelekineticWisPullDescription	Telekinetically pull a creature toward you.
Feat/&FeatTelekineticWisPullTitle	Telekinetic Pull
Feat/&FeatTelekineticWisPushDescription	Telekinetically shove a creature away from you.
Feat/&FeatTelekineticWisPushTitle	Telekinetic Push
Feat/&FeatTelekineticWisTitle	Telekinetic (Wisdom)
Feat/&FeatTitanFightingDescription	You gain a +2 to hit against creatures of Large size or bigger.
Feat/&FeatTitanFightingTitle	Fighting Style: Titan Fighting
Feat/&FeatToughDescription	Your hit point maximum increases by an amount equal to twice your level when you gain this feat. Whenever you gain a level thereafter, your hit point maximum increases by an additional 2 hit points.
Feat/&FeatToughTitle	Tough
Feat/&FeatWarCasterDescription	You gain advantage on checks to maintain concentration.\nYou gain the ability to perform the somatic component of spells even with both hands full.\nWhen a hostile creature's movement provokes an opportunity attack from you, you can use your reaction to cast a cantrip at the creature, rather than making an opportunity attack. The cantrip must have a casting time of 1 action or bonus action and must target only that creature.
Feat/&FeatWarCasterTitle	War Caster
Feat/&FeatWiseDefenseDescription	Increase your Wisdom by 1, to a maximum of 20.\nWhile you are not wearing any armor, your AC equals 10 + your Dexterity modifier + your Wisdom modifier.
Feat/&FeatWiseDefenseTitle	Wise Defense
Feat/&FeatWisePrecisionDescription	You can use a bonus action to select a weapon. Its attacks count as magical and you use your Wisdom for your attack and damage rolls for 1 minute. This feature can be used twice per long rest.
