ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços.
Equipment/&ThunderPunchDescription	1d8, que causa danos por trovões e impõe desvantagens nos rolos de ataque contra os aliados.
Equipment/&ThunderPunchTitle	Soco de trovão
Equipment/&WandIdentifyDescription	Lança o feitiço Identificar, gastando uma taxa. A varinha tem 3 cargas e recupera cargas 1d3 a cada amanhecer.
Equipment/&WandIdentifyTitle	Varinha de Identificar
Failure/&FailureFlagTargetMeleeWeaponError	Não pode realizar ataque corpo a corpo a este alvo com a arma atual
Feat/&AddConstructCantripsDescription	Acrescenta cancros para curar e descartar suas construções.
Feat/&AddConstructCantripsTitle	Constrói Cantrips
Feat/&AddProtectorConstructCantripDescription	Acrescenta o Mending Construct e o Dismissississ Construct para aumentar a flexibilidade de suas construções.
Feat/&AddProtectorConstructCantripTitle	Bonus Construir Cantrips
Feat/&AlchemistSubclassElixirsDescription	Aprenda a fazer elixires experimentais: Cura, Rapidez, Resiliência, Ousadia, Vôo.
Feat/&AlchemistSubclassElixirsTitle	Elixires experimentais
Feat/&AlchemistSubclassSpellsDescription	{0}.
Feat/&AlchemistSubclassSpellsTitle	Aprenda Feitiços de Criador de Poção
Feat/&ArmorModePoolDescription	Permite alternar entre os modos de blindagem.
Feat/&ArmorModePoolTitle	Modo blindagem
Feat/&ArtificerAlchemistAlchemicalSavantDescription	Quando você cura, você cura HP adicional igual a 1d4 + seu nível.
Feat/&ArtificerAlchemistAlchemicalSavantTitle	Elixir Savant
Feat/&ArtificerAlchemistBoldnessElixirDescription	O alvo pode rolar um d4 e adicionar o número rolado a cada rolo de ataque e salvar o arremesso que eles fazem para o minuto seguinte.
Feat/&ArtificerAlchemistBoldnessElixirTitle	Ousadia Elixir
Feat/&ArtificerAlchemistFlyElixirDescription	O alvo pode voar lentamente por 10 minutos.
Feat/&ArtificerAlchemistFlyElixirTitle	Voe Elixir
Feat/&ArtificerAlchemistHealElixirDescription	Curar o alvo para 2d4 + Modificador de Inteligência.
Feat/&ArtificerAlchemistHealElixirTitle	Elixir de cura
Feat/&ArtificerAlchemistResilienceElixirDescription	Aumentar a meta AC em +1 por 10 minutos.
Feat/&ArtificerAlchemistResilienceElixirTitle	Resiliência Elixir
Feat/&ArtificerAlchemistSwiftnessElixirDescription	Aumentar a velocidade de movimento do alvo em 10 pés por 1 hora.
Feat/&ArtificerAlchemistSwiftnessElixirTitle	Rapidez Elixir
Feat/&ArtificerArtilleristArcaneFirearmDescription	Ao lançar feitiços de evocação, reparta um dano extra de 1d8 uma vez por vez.
Feat/&ArtificerArtilleristArcaneFirearmTitle	Melhoria de jateamento
Feat/&ArtificerArtillerstDetonationSpellPreparedDescription	Você ganha a capacidade de detonar um de seus dispositivos causando danos aos que estão perto do alvo.
Feat/&ArtificerArtillerstDetonationSpellPreparedTitle	Detonação do dispositivo
Feat/&ArtificerArtillerstImprovedCannonsDescription	O efeito de seus canhões aumenta. Danos adicionais do fogo, um alvo adicional da força, e HP adicional da temperatura do escudo.
Feat/&ArtificerArtillerstImprovedCannonsTitle	Canhões melhorados
Feat/&ArtificialServantAttackDescription	Ataque com força 1d6, dano de seu fiel companheiro.
Feat/&ArtificialServantAttackTitle	Forçar o Sling
Feat/&ArtificialServantDescription	O servo é amigável com você e seus companheiros, e obedece às suas ordens.
Feat/&ArtificialServantTitle	Servidor Artificial
Feat/&ArtilleristCannonDetonationDescription	Detonar um de seus dispositivos fazendo com que criaturas a menos de 20 pés do local de destino façam uma Dexterity salvar. As criaturas sofrem danos de força 3d8 em um salvamento falhado, e metade dos danos em um salvamento bem-sucedido.
Feat/&ArtilleristCannonDetonationTitle	Detonação do dispositivo
Feat/&ArtilleristFlameCannon15Description	Fale fogo, lidando com danos de fogo 6d8 contra seus inimigos como uma ação bônus.
Feat/&ArtilleristFlameCannon15Title	Lançador de chamas
Feat/&ArtilleristFlameCannon9Description	Fale fogo, lidando com danos de fogo 3d8 contra seus inimigos como uma ação bônus.
Feat/&ArtilleristFlameCannon9Title	Lançador de chamas
Feat/&ArtilleristFlameCannonDescription	Fale fogo, lidando com danos de fogo 2d8 contra seus inimigos como uma ação bônus.
Feat/&ArtilleristFlameCannonTitle	Lançador de chamas
Feat/&ArtilleristForceCannon15Description	Use um ataque de força que lide com danos de força 3d8 em um alvo como uma ação bônus para 2 alvos.
Feat/&ArtilleristForceCannon15Title	Forçar o canhão
Feat/&ArtilleristForceCannon9Description	Usar um ataque de força que lide com danos de força 3d8 em um alvo como uma ação bônus.
Feat/&ArtilleristForceCannon9Title	Forçar o canhão
Feat/&ArtilleristForceCannonDescription	Usar um ataque de força que lide com danos de força 2d8 em um alvo como ação bônus.
Feat/&ArtilleristForceCannonTitle	Forçar o canhão
Feat/&ArtilleristProtectorCannon15Description	Emitir energia positiva como uma ação bônus. Aliados dentro de 20 pés ganham 3d8 + seu modificador de inteligência pontos de golpe temporários.
Feat/&ArtilleristProtectorCannon15Title	Escudo Arcano
Feat/&ArtilleristProtectorCannonDescription	Emitir energia positiva como uma ação bônus. Aliados dentro de 3 metros ganham 1d8 + seu modificador de inteligência pontos de golpe temporários.
Feat/&ArtilleristProtectorCannonTitle	Escudo Arcano
Feat/&ArtilleristSubclassSpellsDescription	{0}.
Feat/&ArtilleristSubclassSpellsTitle	Aprenda Feitiços de Explosão
Feat/&ArtilleryConstructDescription	Pode danificar ou proteger os aliados.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsDescription	Cantrips: Construcção de reparo, Demissão Construcção de demolição Nível 1: Resummon Artillery Construct.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsTitle	Construir Feitiços
Feat/&ArtilleryConstructLevel09AutopreparedSpellsDescription	Você ganha feitiços de bônus que são considerados feitiços Funileiro para você, eles estão sempre preparados e não contam contra o número de feitiços Funileiro que você conhece.
Feat/&ArtilleryConstructLevel09AutopreparedSpellsTitle	Feitiços de Construção
Feat/&ArtilleryConstructLevel15AutopreparedSpellsDescription	Você ganha feitiços de bônus que são considerados feitiços Funileiro para você, eles estão sempre preparados e não contam contra o número de feitiços Funileiro que você conhece.
Feat/&ArtilleryConstructLevel15AutopreparedSpellsTitle	Feitiços de Construção
Feat/&ArtilleryConstructTitle	Construção de artilharia
Feat/&ArtilleryConstructTitle_3	Construção de artilharia
Feat/&ArtilleryConstructTitle_5	Construção de artilharia
Feat/&ArtilleryModePoolDescription	Escolha seu Modo de Artilharia.
Feat/&ArtilleryModePoolTitle	Modo de Artilharia
Feat/&AttackModifierArtificerBattleSmithJolt2Description	Seus ataques com armas causam 3 danos adicionais.
Feat/&AttackModifierArtificerBattleSmithJolt2Title	Ataque com arma aperfeiçoada Jolt
Feat/&AttackModifierArtificerBattleSmithJoltDescription	Seus ataques com armas causam 3 danos adicionais.
Feat/&AttackModifierArtificerBattleSmithJoltTitle	Ataque de Arma Jolt
Feat/&AutoPreparedSpellsDescription	{0}.
Feat/&AutoPreparedSpellsTitle	Aprenda os feitiços do Scout Sentinel
Feat/&BattleSmithSubclassSpellsDescription	{0}.
Feat/&BattleSmithSubclassSpellsTitle	Aprenda o feitiço do Smith Arma
Feat/&CancelFlyingConditionDescription	Terminar a condição de vôo para permitir saltos e rastejamentos.
Feat/&CancelFlyingConditionTitle	Cancelar vôo
Feat/&ChefConDescription	Você ganha +1 para a Constituição. Passe 1 hora para cozinhar uma refeição para se curar e curar seus companheiros 1d8 HP. Uma vez por dia, você pode gastar uma hora para cozinhar guloseimas que fornecem HP temporários quando comidas.
Feat/&ChefConTitle	Chef (Constituição)
Feat/&ChefShortRestFeastDescription	Passe 1 hora para preparar uma refeição que ajude a curar você e seus companheiros 1d8 HP.
Feat/&ChefShortRestFeastTitle	Refeição de Descanso Curto
Feat/&ChefWisDescription	Você ganha +1 para a Wisdom. Passe 1 hora para cozinhar uma refeição para se curar e curar seus companheiros. Uma vez por dia você pode passar uma hora para cozinhar guloseimas que proporcionam HP temporários quando comidas.
Feat/&ChefWisTitle	Chef (Wisdom)
Feat/&ConstructSelectingPoolDescription	Selecione o modo para sua Construção.
Feat/&ConstructSelectingPoolTitle	Modo de Artilharia
Feat/&DeadeyeFeatDescription	Você dominou as armas de tiro à distância e pode fazer disparos que outros acham impossíveis.\n- Atacar a longa distância não impõe desvantagem em seus rolos de ataque com armas de tiro à distância.\n- Seus ataques com armas de tiro à distância ignoram meia cobertura e três quartos de cobertura.\n- Você pode optar por aplicar uma penalidade de -5 ao seu rolo de ataque com armas de tiro à distância. Se o ataque atingir, você causará mais 10 danos do tipo da arma.
Feat/&DeadeyeFeatTitle	Deadeye
Feat/&DismissConstructDescription	Não se trata de sua construção.
Feat/&DismissConstructTitle	Despedir Construir
Feat/&DualFlurryDescription	Você é um mestre da luta com armas emparelhadas. Em qualquer turno em que você acerte duas vezes com ataques corpo a corpo enquanto empunha uma arma em cada mão, você pode fazer um ataque adicional fora de mão ao atacar com sua ação bônus.
Feat/&DualFlurryTitle	Duplo Flurry
Feat/&ExtraInfusionSlotsDescription	Você ganha slots de infusão extras que devem ser usados em armaduras/armas.
Feat/&ExtraInfusionSlotsTitle	Infusões extras
Feat/&FeatArcaneDefenseDescription	Aumente sua Inteligência em 1, até um máximo de 20,\nEmbora você não esteja usando nenhuma armadura, seu CA é igual a 10 + seu modificador de destreza + seu modificador de Inteligência.
Feat/&FeatArcaneDefenseTitle	Arcano de Defesa
Feat/&FeatArcanePrecisionDescription	Quando ativo em uma arma, seus ataques contam como mágicos e você usa sua Inteligência para seus ataques e rolos de danos. Ela tem uma duração de 1 minuto e pode ser usada duas vezes por um longo descanso.
Feat/&FeatArcanePrecisionTitle	Precisão Arcana
Feat/&FeatBlindFightingStlyeDescription	Você tem uma persiana com alcance de 3 metros.
Feat/&FeatBlindFightingStlyeTitle	Estilo de luta: Combate às cegas
Feat/&FeatBrutalThugDescription	Você consegue golpes poderosos nos lugares certos. Você ganha proficiências simples e marciais e pode atacar sorrateiramente com armas marciais.
Feat/&FeatBrutalThugTitle	Bandido Brutal
Feat/&FeatChaIncrementDescription	#ERROR!
Feat/&FeatChaIncrementTitle	Aumento do Atributo de Carisma
Feat/&FeatCharismaticDefenseDescription	Aumente seu Carisma em 1, até um máximo de 20,\nEmbora você não esteja usando nenhuma armadura, seu CA é igual a 10 + seu modificador de destreza + seu modificador de Carisma.
Feat/&FeatCharismaticDefenseTitle	Defesa Carismática
Feat/&FeatCharismaticPrecisionDescription	Quando ativo em uma arma, seus ataques contam como mágicos e você usa seu Carisma para seus ataques e rolos de danos. Ele tem uma duração de 1 minuto e pode ser usado duas vezes por um longo descanso.
Feat/&FeatCharismaticPrecisionTitle	Precisão Carismática
Feat/&FeatChefConIncrementDescription	#ERROR!
Feat/&FeatChefConIncrementTitle	Aumento de Atributos
Feat/&FeatChefWisIncrementDescription	#ERROR!
Feat/&FeatChefWisIncrementTitle	Aumento de Atributos
Feat/&FeatCripplingDescription	Ao bater com um ataque corpo a corpo, você pode reduzir a velocidade do seu oponente em 10 pés até o início da sua próxima curva.
Feat/&FeatCripplingTitle	Estilo de luta: Crippling
Feat/&FeatDexIncrementDescription	#ERROR!
Feat/&FeatDexIncrementTitle	Aumento de Atributos
Feat/&FeatDualWeaponDefenseDescription	Você ganha um bônus de +1 para AC enquanto estiver empunhando uma arma de combate corpo-a-corpo separada em cada mão.
Feat/&FeatDualWeaponDefenseTitle	Dupla Defesa com Arma de Defesa
Feat/&FeatFastHandsDescription	Você ganha uma Ação Astúcia e pode usar a Ação Bônus concedida por ela para fazer uma verificação de Destreza (Sleight of Hand), usar as ferramentas de seus ladrões para desarmar uma armadilha ou abrir uma fechadura, ou tomar a ação Usar um Objeto.
Feat/&FeatFastHandsTitle	Mãos rápidas
Feat/&FeatFeyTeleportationChaDescription	Aumentar o atributo Carisma em 1. Ganhar a habilidade de Passo Mágico uma vez por breve descanso e aprender o feitiço. Ganhar proficiência em Tirmariano.
Feat/&FeatFeyTeleportationChaTitle	Teleportação de Fey (Carisma)
Feat/&FeatFeyTeleportationIntDescription	Aumentar o atributo de Inteligência em 1. Ganhar a capacidade de Misty Step uma vez por breve descanso e aprender o feitiço. Ganhar proficiência em Tirmarian.
Feat/&FeatFeyTeleportationIntTitle	Teleportação de Fey (Inteligência)
Feat/&FeatFeyTeleportationWisDescription	Aumentar o atributo Sabedoria em 1. Ganhar a habilidade de Passo Nebuloso uma vez por breve descanso e aprender o feitiço. Ganhar proficiência em Tirmariano.
Feat/&FeatFeyTeleportationWisTitle	Teleportação de Fey (Sabedoria)
Feat/&FeatFightingSurgeDexterityDescription	Aumente sua destreza em 1, até um máximo de 20,\nEm sua vez, você pode tomar uma ação adicional em cima de sua ação regular e uma possível ação bônus. Uma vez usado este recurso, você deve terminar um longo descanso antes de poder utilizá-lo novamente.
Feat/&FeatFightingSurgeDexterityTitle	Fighting Surge (Dexteridade)
Feat/&FeatFightingSurgeStrengthDescription	Aumente sua força em 1, até um máximo de 20,\nEm sua vez, você pode tomar uma ação adicional em cima de sua ação regular e uma possível ação bônus. Uma vez usado este recurso, você deve terminar um longo descanso antes de poder utilizá-lo novamente.
Feat/&FeatFightingSurgeStrengthTitle	Combate a surtos (Força)
Feat/&FeatHeavyArmorMasterClassDescription	Resistência a danos por batidas, cortes e piercings.
Feat/&FeatHeavyArmorMasterClassTitle	Domínio da Defesa Pesada
Feat/&FeatImprovedCriticalDescription	Seus ataques são acertos críticos em um rolo de 19 ou 20.
Feat/&FeatImprovedCriticalTitle	Críticos melhorados
Feat/&FeatIntIncrementDescription	#ERROR!
Feat/&FeatIntIncrementTitle	Aumento do Atributo de Inteligência
Feat/&FeatLightArmorDescription	Aumente sua força em 1, até um máximo de 20,\n Você ganha proficiência com a Light Armor.
Feat/&FeatLightArmorProficiencyDescription	Ganhe proficiência com a Armadura Leve.
Feat/&FeatLightArmorProficiencyTitle	Blindagem leve
Feat/&FeatLightArmorTitle	Armadura leve
Feat/&FeatMarksmanDescription	Quando um adversário pode ver ataques com uma arma de fogo ou um feitiço e está a pelo menos 10 pés de distância de você, você pode usar sua reação para fazer um ataque com uma arma de fogo após o fim do ataque desencadeador.
Feat/&FeatMarksmanTitle	Marksman
Feat/&FeatMediumArmorDexDescription	Aumente sua destreza em 1, até um máximo de 20,\n Você ganha proficiência com a Armadura Média e os escudos.
Feat/&FeatMediumArmorDexTitle	Armadura Média (Dexteridade)
Feat/&FeatMediumArmorProficiencyDescription	Ganhe proficiência com a Armadura Média e os escudos.
Feat/&FeatMediumArmorProficiencyTitle	Blindagem média
Feat/&FeatMediumArmorStrengthDescription	Aumente sua força em 1, até um máximo de 20,\n Você ganha proficiência com a Armadura Média e os escudos.
Feat/&FeatMediumArmorStrengthTitle	Blindagem média (Força)
Feat/&FeatMetamagicAdeptCarefulDescription	Aumente seu carisma em 1, até um máximo de 20,\n Você aprende o metamágico Cuidadoso e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptCarefulTitle	Metamágico: Cuidadoso
Feat/&FeatMetamagicAdeptDistantDescription	Aumente seu carisma em 1, até um máximo de 20,\n Você aprende o metamágico Distante e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptDistantTitle	Metamágico: Distante:
Feat/&FeatMetamagicAdeptEmpoweredDescription	Aumente seu Carisma em 1, até um máximo de 20,\n Você aprende a metamágica Empoderada e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Metamágico: Empoderado
Feat/&FeatMetamagicAdeptExtendedDescription	Aumente seu Carisma em 1, até um máximo de 20,\n Você aprende o Metamágico Estendido e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptExtendedTitle	Metamágico: Extendido
Feat/&FeatMetamagicAdeptHeightenedDescription	Você aprende o metamágico aumentado e ganha 4 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptHeightenedTitle	Metamágico: Elevado
Feat/&FeatMetamagicAdeptQuickenedDescription	Aumente seu carisma em 1, até um máximo de 20,\n Você aprende o metamágico acelerado e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamágico: Acelerada
Feat/&FeatMetamagicAdeptTwinnedDescription	Aumente seu Carisma em 1, até um máximo de 20,\n Você aprende a metamágica Twinned e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamágico: Gêmeos
Feat/&FeatPolearmExpertDescription	Seu treinamento especializado com polearms lhe concede estes benefícios:\n- Quando você toma a ação de ataque e ataca apenas com uma arma polearm, você pode usar uma ação bônus para fazer um ataque corpo a corpo com a extremidade oposta da arma. Este ataque usa o mesmo modificador de habilidade que o ataque primário. O dano da arma morre por este ataque é um d4, e ele lida com o dano de golpe.\n- Enquanto você está empunhando uma arma de polearm, outras criaturas provocam um ataque de oportunidade de você quando entram no alcance que você tem com aquela arma.
Feat/&FeatPolearmExpertTitle	Especialista em Polearm
Feat/&FeatPrimalConstitutionDescription	Aumente sua Constituição em 1, até um máximo de 20,\n Você pode entrar em uma ação de raiva como uma ação bônus, conforme definido na característica da classe de raiva do bárbaro, com um dano de raiva de +1 que pode empilhar com a raiva do bárbaro. Uma vez que você tenha raiva desta forma, você deve terminar um longo descanso antes de usar este recurso novamente.\nEmbora você não esteja usando nenhuma armadura, seu CA é igual a 10 + seu modificador de Dexteridade + seu modificador de Constituição.
Feat/&FeatPrimalConstitutionTitle	Fúria Primal (Constituição)
Feat/&FeatPrimalStrengthDescription	Aumente sua força em 1, até um máximo de 20,\n Você pode entrar em uma ação de raiva como uma ação bônus, conforme definido na característica da classe de raiva do bárbaro, com um dano de raiva de +1 que pode empilhar com a raiva do bárbaro. Uma vez que você tenha raiva desta forma, você deve terminar um longo descanso antes de usar este recurso novamente.\nEmbora você não esteja usando nenhuma armadura, seu CA é igual a 10 + seu modificador de Dexteridade + seu modificador de Constituição.
Feat/&FeatPrimalStrengthTitle	Fúria Primal (Força)
Feat/&FeatPugilistFightingStlyeDescription	Suas greves desarmadas provocam um dano adicional de 1d4 e você pode dar um soco com sua mão livre como uma ação bônus.\n Se você tiver uma mão livre, você pode dar um soco como uma ação bônus.
Feat/&FeatPugilistFightingStlyeTitle	Estilo de luta: Pugilista
Feat/&FeatRangedExpertDescription	Seu treinamento especializado com armas à distância lhe concede estes benefícios:\n- Você não tem mais desvantagem em ataques à distância quando há um inimigo no alcance de 5 pés de distância de você.\n- Se você gastar sua ação atacando você pode usar a ação Bônus para fazer um ataque com uma só mão com arma à distância ou atirada.
Feat/&FeatRangedExpertTitle	Especialista em ataques à distância
Feat/&FeatSavageAttackerDescription	Reroll arma e feitiço de dano quando lançam um 1 (não replica todas as fontes de dano, por exemplo, exclui Sneak Attack e Smite).
Feat/&FeatSavageAttackerReroll	Devido a ser um Ataque Savage Attacker {0}, o {1} morre de um {2} a um {3}.
Feat/&FeatSavageAttackerTitle	Atacante Selvagem
Feat/&FeatSentinelDescription	Você tem dominado técnicas para tirar vantagem de cada queda na guarda de qualquer inimigo, ganhando os seguintes benefícios:\n- Quando você atinge uma criatura com um ataque de oportunidade, a velocidade da criatura se torna 0 para o resto do turno.\n- As criaturas provocam ataques de oportunidade de você mesmo que tomem a ação de Desacoplamento antes de deixar seu alcance.\n- Quando uma criatura faz um ataque contra um alvo que não seja você (e esse alvo não tem esse feito), você pode usar sua reação para fazer um ataque de arma branca contra a criatura atacante.
Feat/&FeatSentinelTitle	Sentinela
Feat/&FeatShadowTouchedChaDescription	Aumente seu atributo Carisma em 1, até um máximo de 20,\n Você ganha a capacidade de lançar Invisibilidade, Feridas Infligidas e Falsa Vida uma vez por longo descanso e aprende os feitiços.
Feat/&FeatShadowTouchedChaTitle	Sombra Tocada (Carisma)
Feat/&FeatShadowTouchedIntDescription	Aumente seu atributo de Inteligência em 1, até um máximo de 20,\n Você ganha a capacidade de lançar Invisibilidade, Feridas Infligidas e Falsa Vida uma vez por longo descanso e aprende os feitiços.
Feat/&FeatShadowTouchedIntTitle	Sombra Tocada (Inteligência)
Feat/&FeatShadowTouchedWisDescription	Aumente seu atributo de Sabedoria em 1, até um máximo de 20,\n Você ganha a capacidade de lançar Invisibilidade, Chagas Infligidas e Falsa Vida uma vez por longo descanso e aprende os feitiços.
Feat/&FeatShadowTouchedWisTitle	Sombra Tocada (Sabedoria)
Feat/&FeatShadyDescription	Aumente sua destreza em 1, até um máximo de 20,ÕOnça por turno, você pode lidar com um dano extra de 1d6 a uma criatura que você atinge com um ataque que atende aos requisitos do Sneak Attack da Rogue. No 12º nível, este dano aumenta para 2d6 e no 20º nível, para 4d6.
Feat/&FeatShadyTitle	Shady
Feat/&FeatShieldExpertDescription	Você foi treinado no uso de um escudo como arma. Para você, torna-se uma arma de combate corpo a corpo que você é proficiente em lidar com danos 1d4.\n Você ganha vantagem em tentativas de empurrar enquanto empunha um escudo.
Feat/&FeatShieldExpertTitle	Especialista em escudo
Feat/&FeatStrengthIncrementDescription	#ERROR!
Feat/&FeatStrengthIncrementTitle	Aumento de Atributos
Feat/&FeatTelekineticChaDescription	Aumente seu carisma em 1, até um máximo de 20,\nComo uma ação bônus, você pode empurrar ou puxar telecinticamente uma criatura que você possa ver a menos de 30 pés de você. O alvo deve ser bem sucedido em um lance de economia de força (DC 8 + seu bônus de proficiência + seu modificador de Carisma) ou ser movido a 5 pés.
Feat/&FeatTelekineticChaPullDescription	Puxe telecinéticamente uma criatura na sua direção.
Feat/&FeatTelekineticChaPullTitle	Puxar telecinético
Feat/&FeatTelekineticChaPushDescription	Telecineticamente empurra uma criatura para longe de você.
Feat/&FeatTelekineticChaPushTitle	Empurrão telecinético
Feat/&FeatTelekineticChaTitle	Telecinético (Carisma)
Feat/&FeatTelekineticIntDescription	Aumente sua inteligência em 1, até um máximo de 20,\nComo uma ação bônus, você pode empurrar ou puxar telecinticamente uma criatura que você possa ver a menos de 30 pés de você. O alvo deve ser bem sucedido em um lance de economia de força (DC 8 + seu bônus de proficiência + seu modificador de Inteligência) ou ser movido a 5 pés.
Feat/&FeatTelekineticIntPullDescription	Puxe telecinéticamente uma criatura na sua direção.
Feat/&FeatTelekineticIntPullTitle	Puxar telecinético
Feat/&FeatTelekineticIntPushDescription	Telecineticamente empurra uma criatura para longe de você.
Feat/&FeatTelekineticIntPushTitle	Empurrão telecinético
Feat/&FeatTelekineticIntTitle	Telecinético (Inteligência)
Feat/&FeatTelekineticWisDescription	Aumente sua Sabedoria em 1, até um máximo de 20,\nComo uma ação bônus, você pode empurrar ou puxar telecinticamente uma criatura que você possa ver a menos de 30 pés de você. O alvo deve ser bem sucedido em um lance de economia de força (DC 8 + seu bônus de proficiência + seu modificador de Sabedoria) ou ser movido a 5 pés.
Feat/&FeatTelekineticWisPullDescription	Puxe telecinéticamente uma criatura na sua direção.
Feat/&FeatTelekineticWisPullTitle	Puxar telecinético
Feat/&FeatTelekineticWisPushDescription	Telecineticamente empurra uma criatura para longe de você.
Feat/&FeatTelekineticWisPushTitle	Empurrão telecinético
Feat/&FeatTelekineticWisTitle	Telecinético (Sabedoria)
Feat/&FeatTitanFightingDescription	Você ganha +2 contra criaturas de tamanho Grande ou maior.
Feat/&FeatTitanFightingTitle	Estilo de luta: Luta de Titãs
Feat/&FeatToughDescription	Seu ponto de golpe máximo aumenta em uma quantidade igual ao dobro de seu nível quando você ganha esta proeza. Sempre que você ganhar um nível depois disso, seu ponto de acerto máximo aumenta em 2 pontos de acerto adicionais.
Feat/&FeatToughTitle	Resistente
Feat/&FeatWarCasterDescription	Quando o movimento de uma criatura hostil provoca um ataque de oportunidade de você, você pode usar sua reação para lançar um ataque de oportunidade contra a criatura, em vez de fazer um ataque de oportunidade. A calhandra deve ter um tempo de elenco de 1 ação ou ação bônus e deve ter como alvo apenas essa criatura.
Feat/&FeatWarCasterTitle	War Caster
Feat/&FeatWiseDefenseDescription	Aumente sua Sabedoria em 1, até um máximo de 20,\nEmbora você não esteja usando nenhuma armadura, seu CA é igual a 10 + seu modificador de Dexteridade + seu modificador de Sabedoria.
Feat/&FeatWiseDefenseTitle	Defesa Sábia
Feat/&FeatWisePrecisionDescription	Quando ativo em uma arma, seus ataques contam como mágicos e você usa sua Sabedoria para seus ataques e rolos de danos. Ela tem uma duração de 1 minuto e pode ser usada duas vezes por um longo descanso.
Feat/&FeatWisePrecisionTitle	Precisão Sábia
Feat/&FeatWisIncrementDescription	#ERROR!
Feat/&FeatWisIncrementTitle	Aumento do Atributo de Sabedoria
Feat/&FeyTeleportationLanguageTirmarianDescription	Ganhar proficiência em Tirmarian.
Feat/&FeyTeleportationLanguageTirmarianTitle	Tirmariano
Feat/&FightingStyleArcheryDescription	Você ganha um bônus de +2 para atacar rolos com armas à distância.
Feat/&FightingStyleArcheryTitle	Estilo de combate: Arco e flecha
Feat/&FightingStyleDefenseDescription	Enquanto você estiver usando uma armadura, você ganha um bônus de +1 para AC.
Feat/&FightingStyleDefenseTitle	Estilo de luta: Defesa
Feat/&FightingStyleDuelingDescription	Quando você está empunhando uma arma de combate corpo a corpo em uma mão e nenhuma outra arma, você ganha um bônus de +2 para danificar rolos com essa arma.
Feat/&FightingStyleDuelingTitle	Estilo de luta: Duelo
Feat/&FightingStyleGeneralFeatDescription	Você pode selecionar um estilo de luta.
Feat/&FightingStyleGeneralFeatitle	Estilo de luta
Feat/&FightingStyleGreatWeaponDescription	Quando você enrola um 1 ou 2 em um dado de dano por um ataque que você faz com uma arma branca que você está empunhando com duas mãos, você pode refazer o dado. Você deve usar o novo rolo, mesmo que seja um 1 ou um 2. A arma deve ter a propriedade de duas mãos ou versátil para que você obtenha este benefício.
Feat/&FightingStyleGreatWeaponTitle	Estilo de luta: Grande Arma
Feat/&FightingStyleProtectionDescription	Quando uma criatura que você pode ver ataca um alvo diferente de você que está a menos de 1 metro de distância, você pode usar sua reação para impor desvantagem no rolo de ataque. Você deve estar empunhando um escudo.
Feat/&FightingStyleProtectionTitle	Estilo de combate: Proteção
Feat/&FightingStyleTwoWeaponDescription	Quando você se envolve em lutas com duas armas, você pode adicionar seu modificador de habilidade aos danos do segundo ataque.
Feat/&FightingStyleTwoWeaponTitle	Estilo de luta: Duas armas
Feat/&FlameArtillery_2Description	Danos causados pelo fogo 3d8 (Cone).
Feat/&FlameArtillery_2Title	Artilharia por chama (Melhorada)
Feat/&FlameArtilleryConstructDescription	Cria um cone de fogo que trata de danos 2d8 em um salvamento falhado.
Feat/&FlameArtilleryConstructDescription_3	Cria um cone de fogo que causa danos 3d8 em um salvamento fracassado.
Feat/&FlameArtilleryConstructTitle	Construção de artilharia em chamas
Feat/&FlameArtilleryConstructTitle_3	Construção de Artilharia de Chama
Feat/&FlameArtilleryConstructTitle_5	Construção de Artilharia de Chama
Feat/&FlameArtilleryDescription	2d8 danos causados pelo fogo (Cone).
Feat/&FlameArtilleryTitle	Artilharia de Chama
Feat/&ForceArtillery_2Description	3d8 Forçar danos e empurrar o alvo 5ft.
Feat/&ForceArtillery_2Title	Forçar artilharia (Melhorado)
Feat/&ForceArtilleryAdditionalDamageDescription	A construção melhorada oferece mais danos 1d8 por golpe.
Feat/&ForceArtilleryConstructDescription	Oferece danos 2d8 forçam os danos e afastam o alvo 5ft do Construct.
Feat/&ForceArtilleryConstructDescription_3	Oferece danos 3d8 forçam e afastam o alvo 5ft da Construir.
Feat/&ForceArtilleryConstructTitle	Forçar a construção de artilharia
Feat/&ForceArtilleryConstructTitle_3	Forçar a construção de artilharia
Feat/&ForceArtilleryConstructTitle_5	Forçar a construção de artilharia
Feat/&ForceArtilleryDescription	2d8 Forçar danos e empurrar 5 pés.
Feat/&ForceStrikePowerDescription	Ataque com força 1d6, dano de seu fiel companheiro.
Feat/&ForceStrikePowerTitle	Força Sling (Servidor Artificial)
