ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zaubersprüche wirken.
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamagie: Verstärkt
Feat/&FeatMetamagicAdeptTwinnedDescription	Erhöhe dein Charisma um 1 auf maximal 20.\n Du erlernst die Metamagie Zwillinge und erhältst 2 Zaubereipunkte.
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamagie: Zwillinge
Feat/&FeatPolearmExpertDescription	Dein Expertentraining mit Stangenwaffen gewährt dir folgende Vorteile:\n- Wenn du die Aktion Angriff ausführst und nur mit einer Stangenwaffe angreifst, kannst du eine Bonusaktion verwenden, um einen Nahkampfangriff mit dem anderen Ende der Waffe durchzuführen. Für diesen Angriff gilt der gleiche Fähigkeitsmodifikator wie für den Hauptangriff. Der Schadenswürfel der Waffe für diesen Angriff ist ein d4, und er fügt Knüppelschaden zu. Während du eine Stangenwaffe führst, provozieren andere Kreaturen einen Gelegenheitsangriff von dir, wenn sie in den Bereich kommen, den du mit dieser Waffe hast.
Feat/&FeatPolearmExpertTitle	Stangenwaffen-Experte
Feat/&FeatPrimalConstitutionDescription	Erhöhe deine Konstitution um 1, bis zu einem Maximum von 20.\nDu kannst eine Wut als Bonusaktion ausführen, wie in der Klassenfunktion Wut des Barbaren definiert, mit +1 Wutschaden, der sich mit der Wut des Barbaren stapeln kann. Wenn du einmal auf diese Weise gewütet hast, musst du eine lange Ruhepause einlegen, bevor du diese Eigenschaft erneut einsetzen kannst.\n Solange du keine Rüstung trägst, entsprechen deine AC 10 + dein Geschicklichkeitsmodifikator + dein Konstitutionsmodifikator.
Feat/&FeatPrimalConstitutionTitle	Ursprüngliche Wut (Konstitution)
Feat/&FeatPrimalStrengthDescription	Erhöhe deine Stärke um 1, bis zu einem Maximum von 20.\nDu kannst eine Wut als Bonusaktion ausführen, wie in der Klassenfunktion Wut des Barbaren definiert, mit +1 Wutschaden, der sich mit der Wut des Barbaren stapeln kann. Wenn du einmal auf diese Weise gewütet hast, musst du eine lange Ruhepause einlegen, bevor du diese Eigenschaft erneut einsetzen kannst.\n Solange du keine Rüstung trägst, entsprechen deine AC 10 + dein Geschicklichkeitsmodifikator + dein Konstitutionsmodifikator.
Feat/&FeatPrimalStrengthTitle	Ursprüngliche Wut (Stärke)
Feat/&FeatPugilistFightingStlyeDescription	Deine unbewaffneten Schläge verursachen zusätzlich 1d4 Hiebschaden und du kannst als Bonusaktion mit deiner freien Hand zuschlagen.
Feat/&FeatPugilistFightingStlyeTitle	Kampfstil: Pugilist
Feat/&FeatRangedExpertDescription	Dein Expertentraining im Umgang mit Fernkampfwaffen gewährt dir folgende Vorteile:\n- Du hast keinen Nachteil mehr bei Fernkampfangriffen, wenn sich ein Feind in einem Umkreis von 5 Fuß um dich herum befindet.\n- Wenn du eine Aktion für einen Angriff ausgibst, kannst du als Bonusaktion einen Angriff mit einer einhändigen Fernkampf- oder Wurfwaffe durchführen.
Feat/&FeatRangedExpertTitle	Fernkampf-Experte
Feat/&FeatSavageAttackerDescription	Wiederholung von Waffen- und Zauberschadenswürfeln, wenn sie eine 1 würfeln (es werden nicht alle Schadensquellen wiedergewürfelt, z.B. sind Schleichangriff und Peiniger ausgeschlossen).
Feat/&FeatSavageAttackerReroll	Da es sich um einen Wilden Angreifer {0} handelt, wird der {1}-Würfel von einem {2} auf einen {3} neu gewürfelt.
Feat/&FeatSavageAttackerTitle	Wilder Angreifer
Feat/&FeatSentinelDescription	Du beherrschst Techniken, mit denen du jede Schwachstelle in der Deckung eines Gegners ausnutzen kannst, und erhältst dadurch die folgenden Vorteile:\n- Wenn du eine Kreatur mit einem Gelegenheitsangriff triffst, wird die Geschwindigkeit der Kreatur für den Rest der Runde auf 0 gesetzt.\n- Kreaturen provozieren Gelegenheitsangriffe von dir, selbst wenn sie die Aktion "Lösen" ausführen, bevor sie deine Reichweite verlassen.\n- Wenn eine Kreatur einen Angriff gegen ein anderes Ziel als dich ausführt (und dieses Ziel nicht über diese Fähigkeit verfügt), kannst du deine Reaktion nutzen, um einen Nahkampfangriff gegen die angreifende Kreatur auszuführen.
Feat/&FeatSentinelTitle	Wächter
Feat/&FeatShadowTouchedChaDescription	Erhöhe dein Charisma-Attribut um 1, bis zu einem Maximum von 20. Du erhältst die Fähigkeit, Unsichtbarkeit, Wunden zufügen und Falsches Leben einmal pro langer Pause zu wirken und die Zauber zu erlernen.
Feat/&FeatShadowTouchedChaTitle	Vom Schatten berührt (Charisma)
Feat/&FeatShadowTouchedIntDescription	Erhöht dein Intelligenz-Attribut um 1 bis zu einem Maximum von 20. Du erhältst die Fähigkeit, einmal pro langer Ruhezeit Unsichtbarkeit, Wunden zufügen und Falsches Leben zu wirken und die Zauber zu lernen.
Feat/&FeatShadowTouchedIntTitle	Schattenberührung (Intelligenz)
Feat/&FeatShadowTouchedWisDescription	Du erhältst die Fähigkeit, Unsichtbarkeit, Wunden zufügen und Falsches Leben einmal pro langer Ruhezeit zu wirken und die Zauber zu lernen.
Feat/&FeatShadowTouchedWisTitle	Schattenberührt (Weisheit)
Feat/&FeatShadyDescription	Erhöhe deine Geschicklichkeit um 1, bis zu einem Maximum von 20.\nEinmal pro Runde kannst du einer Kreatur, die du mit einem Angriff triffst, der die Bedingungen für den Schleichangriff des Schurken erfüllt, zusätzlich 1d6 Schaden zufügen. Ab Stufe 12 erhöht sich dieser Schaden auf 2d6 und ab Stufe 20 auf 4d6.
Feat/&FeatShadyTitle	Zwielichtig
Feat/&FeatShieldExpertDescription	Du bist im Gebrauch eines Schildes als Waffe geübt. Er wird für dich zu einer Nahkampfwaffe, die du gut beherrschst und die 1d4 Hiebschaden verursacht.
Feat/&FeatShieldExpertTitle	Schildexperte
Feat/&FeatStrengthIncrementDescription	#ERROR!
Feat/&FeatStrengthIncrementTitle	Attributssteigerung
Feat/&FeatTelekineticChaDescription	Erhöhe dein Charisma um 1, bis zu einem Maximum von 20.\nAls Bonusaktion kannst du eine Kreatur, die du im Umkreis von 30 Fuß sehen kannst, telekinetisch schieben oder ziehen. Das Ziel muss einen Stärkewurf bestehen (DC 8 + dein Fertigkeitsbonus + dein Charisma-Modifikator) oder sich 5 Fuß weit bewegen.
Feat/&FeatTelekineticChaPullDescription	Telekinetisches Ziehen einer Kreatur zu dir.
Feat/&FeatTelekineticChaPullTitle	Telekinetisches Ziehen
Feat/&FeatTelekineticChaPushDescription	Stoße eine Kreatur telekinetisch von dir weg.
Feat/&FeatTelekineticChaPushTitle	Telekinetischer Stoß
Feat/&FeatTelekineticChaTitle	Telekinetisch (Charisma)
Feat/&FeatTelekineticIntDescription	Erhöhe deine Intelligenz um 1, bis zu einem Maximum von 20. Als Bonusaktion kannst du eine Kreatur, die du sehen kannst, im Umkreis von 30 Fuß telekinetisch schieben oder ziehen. Das Ziel muss einen Stärkewurf bestehen (DC 8 + dein Fertigkeitsbonus + dein Intelligenzmodifikator) oder sich 5 Fuß weit bewegen.
Feat/&FeatTelekineticIntPullDescription	Telekinetisches Ziehen einer Kreatur zu dir.
Feat/&FeatTelekineticIntPullTitle	Telekinetisches Ziehen
Feat/&FeatTelekineticIntPushDescription	Stoße eine Kreatur telekinetisch von dir weg.
Feat/&FeatTelekineticIntPushTitle	Telekinetischer Stoß
Feat/&FeatTelekineticIntTitle	Telekinetisch (Intelligenz)
Feat/&FeatTelekineticWisDescription	Erhöhe deine Weisheit um 1, bis zu einem Maximum von 20. Als Bonusaktion kannst du eine Kreatur, die du im Umkreis von 30 Fuß sehen kannst, telekinetisch schieben oder ziehen. Das Ziel muss einen Stärkewurf bestehen (DC 8 + dein Fertigkeitsbonus + dein Weisheitsmodifikator) oder 5 Fuß bewegt werden.
Feat/&FeatTelekineticWisPullDescription	Telekinetisches Ziehen einer Kreatur zu dir.
Feat/&FeatTelekineticWisPullTitle	Telekinetisches Ziehen
Feat/&FeatTelekineticWisPushDescription	Stoße eine Kreatur telekinetisch von dir weg.
Feat/&FeatTelekineticWisPushTitle	Telekinetischer Stoß
Feat/&FeatTelekineticWisTitle	Telekinetisch (Weisheit)
Feat/&FeatTitanFightingDescription	Du erhältst +2 Trefferpunkte gegen Kreaturen von großer Größe oder mehr.
Feat/&FeatTitanFightingTitle	Kampfstil: Titanenkampf
Feat/&FeatToughDescription	Dein Trefferpunktemaximum erhöht sich um einen Betrag, der dem Doppelten deiner Stufe entspricht, wenn du diese Fähigkeit erhältst. Jedes Mal, wenn du danach eine Stufe aufsteigst, erhöht sich dein Trefferpunktemaximum um weitere 2 Trefferpunkte.
Feat/&FeatToughTitle	Zäh
Feat/&FeatWarCasterDescription	Du erhältst einen Vorteil bei Konzentrationsprüfungen.\nDu erhältst die Fähigkeit, die somatische Komponente von Zaubern auszuführen, selbst wenn du beide Hände voll hast.\nWenn die Bewegung einer feindlichen Kreatur einen Gelegenheitsangriff von dir provoziert, kannst du deine Reaktion nutzen, um einen Zauberspruch auf die Kreatur zu wirken, anstatt einen Gelegenheitsangriff auszuführen. Der Zauberspruch muss eine Wirkzeit von 1 Aktion oder Bonusaktion haben und darf nur auf diese Kreatur gerichtet sein.
Feat/&FeatWarCasterTitle	Kriegszauberer
Feat/&FeatWiseDefenseDescription	Erhöhe deine Weisheit um 1, bis zu einem Maximum von 20.\n Solange du keine Rüstung trägst, sind deine AC gleich 10 + dein Geschicklichkeitsmodifikator + dein Weisheitsmodifikator.
Feat/&FeatWiseDefenseTitle	Kluge Verteidigung
Feat/&FeatWisePrecisionDescription	Wenn diese Fähigkeit bei einer Waffe aktiv ist, gelten ihre Angriffe als magisch und du verwendest deine Weisheit für deine Angriffs- und Schadenswürfe. Sie hat eine Dauer von 1 Minute und kann zweimal pro langer Ruhepause eingesetzt werden.
Feat/&FeatWisePrecisionTitle	Kluge Präzision
Feat/&FeatWisIncrementDescription	#FEHLER!
Feat/&FeatWisIncrementTitle	Erhöhung des Attributs Weisheit
Feat/&FeyTeleportationLanguageTirmarianDescription	Erreiche die Beherrschung von Tirmarianisch.
Feat/&FeyTeleportationLanguageTirmarianTitle	Tirmarisch
Feat/&FightingStyleArcheryDescription	Du erhältst einen Bonus von +2 auf Angriffswürfe mit Fernkampfwaffen.
Feat/&FightingStyleArcheryTitle	Kampfstil: Bogenschießen
Feat/&FightingStyleDefenseDescription	Während du eine Rüstung trägst, erhältst du einen Bonus von +1 auf AC.
Feat/&FightingStyleDefenseTitle	Kampfstil: Verteidigung
Feat/&FightingStyleDuelingDescription	Wenn du eine Nahkampfwaffe in einer Hand hältst und keine anderen Waffen trägst, erhältst du einen Bonus von +2 auf Schadenswürfe mit dieser Waffe.
Feat/&FightingStyleDuelingTitle	Kampfstil: Duellieren
Feat/&FightingStyleGeneralFeatDescription	Du kannst einen Kampfstil wählen.
Feat/&FightingStyleGeneralFeatitle	Kampfstil
Feat/&FightingStyleGreatWeaponDescription	Wenn du bei einem Angriff mit einer Nahkampfwaffe, die du mit beiden Händen führst, eine 1 oder 2 auf einen Schadenswürfel wirfst, kannst du den Würfel neu werfen. Du musst den neuen Wurf verwenden, auch wenn er eine 1 oder eine 2 ergibt. Die Waffe muss die Eigenschaft Zweihändig oder Vielseitig haben, damit du diesen Vorteil erhältst.
Feat/&FightingStyleGreatWeaponTitle	Kampfstil: Große Waffe
Feat/&FightingStyleProtectionDescription	Wenn eine Kreatur, die du sehen kannst, ein anderes Ziel als dich angreift, das sich innerhalb von 5 Fuß um dich herum befindet, kannst du deine Reaktion nutzen, um einen Nachteil auf den Angriffswurf zu legen. Du musst einen Schild tragen.
Feat/&FightingStyleProtectionTitle	Kampfstil: Schutz
Feat/&FightingStyleTwoWeaponDescription	Wenn du einen Zwei-Waffen-Kampf führst, kannst du deinen Fähigkeitsmodifikator zum Schaden des zweiten Angriffs addieren.
Feat/&FightingStyleTwoWeaponTitle	Kampfstil: Zweiwaffe
Feat/&FlameArtillery_2Description	3d8 Feuerschaden (Kegel).
Feat/&FlameArtillery_2Title	Flammenartillerie (Verbessert)
Feat/&FlameArtilleryConstructDescription	Erzeugt einen Feuerkegel, der bei einem misslungenen Schutzwurf 2d8 Schaden verursacht.
Feat/&FlameArtilleryConstructDescription_3	Erzeugt einen Feuerkegel, der bei einem misslungenen Schutzversuch 3d8 Schaden verursacht.
Feat/&FlameArtilleryConstructTitle	Flammenartillerie-Konstrukt
Feat/&FlameArtilleryConstructTitle_3	Flammenartillerie-Konstrukt
Feat/&FlameArtilleryConstructTitle_5	Flammenartillerie-Konstrukt
Feat/&FlameArtilleryDescription	2d8 Feuerschaden (Kegel).
Feat/&FlameArtilleryTitle	Flammen-Artillerie
Feat/&ForceArtillery_2Description	3d8 Kraftschaden und stoßen das Ziel 5ft.
Feat/&ForceArtillery_2Title	Kraftartillerie (Verbessert)
Feat/&ForceArtilleryAdditionalDamageDescription	Das verbesserte Konstrukt verursacht 1d8 mehr Schaden pro Treffer.
Feat/&ForceArtilleryConstructDescription	Verursacht 2d8 Kraftschaden und stößt das Ziel 5ft vom Konstrukt weg.
Feat/&ForceArtilleryConstructDescription_3	Verursacht 3d8 Kraftschaden und stößt das Ziel 5ft vom Konstrukt weg.
Feat/&ForceArtilleryConstructTitle	Kraft-Artillerie-Konstrukt
Feat/&ForceArtilleryConstructTitle_3	Kraft-Artillerie-Konstrukt
Feat/&ForceArtilleryConstructTitle_5	Kraft-Artillerie-Konstrukt
Feat/&ForceArtilleryDescription	Verursacht 2d8 Kraftschaden und stößt das Ziel 5ft weit weg.
Feat/&ForceStrikePowerDescription	Fernkampfangriff 1d6 Kraftschaden von deinem treuen Gehilfen.
Feat/&ForceStrikePowerTitle	Machtschleuder (Künstlicher Diener)
Feat/&GauntletsGrappleDescription	Kann jetzt Gegner mit einer Bonusaktion in Nahkampfreichweite ziehen und ihnen 1d8 Donnerschaden zufügen.
Feat/&GauntletsGrappleTitle	Panzerhandschuh-Greifling
Feat/&HalfCoverShieldDescription	Gewährt +2 AC innerhalb von 10ft.
Feat/&HalfCoverShieldTitle	Kuppel mit halber Deckung
Feat/&HealerDescription	Du erhältst eine Befähigung oder Expertise in Medizin-Proben. Du erhältst die Fähigkeit, eine sterbende Kreatur zu stabilisieren und eine Kreatur, die innerhalb der letzten 12 Sekunden gestorben ist, einmal pro langer Pause wiederzubeleben. Du kannst mit einer Aktion 1d6 + 4 + Charakterstufe Trefferpunkte so oft pro kurzer Pause wiederherstellen, wie es deinem Weisheitsmodifikator entspricht.
Feat/&HealerResuscitateDescription	Benutze eine Aktion, um eine Kreatur wiederzubeleben, die innerhalb der letzten 15 Sekunden gestorben ist.
Feat/&HealerResuscitateTitle	Wiederbelebung
Feat/&HealerStabilizeDescription	Verwende eine Aktion, um eine sterbende Kreatur zu stabilisieren.
Feat/&HealerStabilizeTitle	Stabilisieren
Feat/&HealerTitle	Heiler
Feat/&HealerUseMedicineDescription	Du kannst mit einer Aktion 1d6 + 4 + Charakterstufe Trefferpunkte so oft pro kurzer Pause wiederherstellen, wie es deinem Weisheitsmodifikator entspricht.
Feat/&HealerUseMedicineTitle	Medizin verwenden
Feat/&IncreaseConstructSelectingDescription	Du kannst jetzt zwei Artillerie-Konstrukte beschwören. Die Konstrukte können die gleiche oder eine andere Art haben.
Feat/&IncreaseConstructSelectingTitle	Verstärkung
Feat/&InspiringLeaderDescription	Verbringe 10 Minuten damit, bis zu 6 befreundete Kreaturen (zu denen auch du selbst gehören kannst) im Umkreis von 30 Fuß zu inspirieren. Jede Kreatur erhält vorübergehend Trefferpunkte in Höhe deiner Stufe + deines Charisma-Modifikators. Kann einmal pro kurzer Ruhepause verwendet werden.
Feat/&InspiringLeaderTitle	Inspirierender Anführer
Feat/&IntToAttackAndDamageDescription	Du kannst deinen Intelligenzmodifikator anstelle deines Stärke- oder Geschicklichkeitsmodifikators für deine Angriffs- und Schadenswürfe mit Rüstungswaffen verwenden.
Feat/&IntToAttackAndDamageTitle	Rüstungswaffe
Feat/&MendingConstructDescription	Repariere dein Konstrukt für 2d6 HP über 1 Minute.
Feat/&MendingConstructTitle	Konstrukt reparieren
Feat/&ModeSwitchingPoolDescription	Du kannst einmal pro Tag zwischen den Modi wechseln, indem du temporäre Waffen herstellst und benutzt.
Feat/&ModeSwitchingPoolTitle	Rüstungsmodus
Feat/&MoonlitBonusCantripsDescription	Deine Kontrolle über das Mondlicht hat eine neue Stufe erreicht. Du kannst nach Belieben Mondstrahl und Feenfeuer wirken.
Feat/&MoonlitBonusCantripsTitle	Lichtkontrolle
Feat/&PickPocketFeatDescription	Du erlangst Fertigkeit in Geschicklichkeit, oder Erfahrung, wenn du sie bereits beherrschst. Du hast außerdem einen Vorteil bei Geschicklichkeits-Proben.
Feat/&PickPocketFeatTitle	Taschendieb
Feat/&PowerAlchemistEmboldeningShotsDescription	Du erhältst die Fähigkeit, ein Elixier zu verabreichen, das deine Verbündeten ermutigt und ihnen 4d6 + Intelligenzmodifikator temporäre Trefferpunkte verleiht.
Feat/&PowerAlchemistEmboldeningShotsTitle	Ermutigende Schüsse
Feat/&PowerAlchemistGreaterRestorativeElixirsDescription	Einmal pro Tag kannst du "Größere Wiederherstellung" wirken.
Feat/&PowerAlchemistGreaterRestorativeElixirsTitle	Größere Wiederherstellung
Feat/&PowerAlchemistHealElixirsDescription	Einmal pro Tag kannst du Heilung wirken.
Feat/&PowerAlchemistHealElixirsTitle	Heilen
Feat/&PowerAlchemistRestorativeElixirsDescription	Du kannst Geringere Drehung wirken, ohne einen Zauberslot zu verbrauchen. Du kannst dies so oft pro langer Ruhezeit tun, wie es deinem Intelligenzmodifikator entspricht.
Feat/&PowerAlchemistRestorativeElixirsTitle	Stärkende Elixiere
Feat/&PowerAttackFeatDescription	Du hast gelernt, Genauigkeit einzutauschen, um tödlichere Schläge zu landen. Wenn du mit Nahkampfwaffen angreifst, kannst du einen Malus von -3 auf deinen Trefferwert in Kauf nehmen, um zusätzlichen Schaden in Höhe von 3 + deinem Befähigungsbonus zu verursachen.
Feat/&PowerAttackFeatTitle	Machtvoller Angriff
Feat/&PowerFalseLifeFromFeatDescription	Indem du dich mit einem nekromantischen Faksimile des Lebens verstärkst, erhältst du für die Dauer des Angriffs 1d4+4 temporäre Trefferpunkte.
Feat/&PowerFalseLifeFromFeatTitle	Falsches Leben
Feat/&PowerInflictWoundsFromFeatDescription	Führe einen Nahkampf-Zauberangriff gegen eine Kreatur aus, die du erreichen kannst. Bei einem Treffer erleidet das Ziel 3d10 nekrotischen Schaden.
Feat/&PowerInflictWoundsFromFeatTitle	Wunden zufügen
Feat/&PowerInvisibilityFromFeatDescription	Eine Kreatur, die du berührst, wird bis zum Ende des Zaubers unsichtbar. Alles, was das Ziel trägt oder bei sich hat, ist unsichtbar, solange es sich an der Person des Ziels befindet. Der Zauber endet für ein Ziel, das angreift oder einen Zauber wirkt.
Feat/&PowerInvisibilityFromFeatTitle	Unsichtbarkeit
Feat/&PowerMistyStepFromFeatDescription	Du bist kurzzeitig von silbrigem Nebel umgeben und teleportierst dich bis zu 30 Fuß weit in einen unbesetzten Raum, den du sehen kannst.
Feat/&PowerMistyStepFromFeatTitle	Nebliger Schritt
Feat/&PowerShadowTouchedFromFeatDescription	Lerne die Zauber Unsichtbarkeit, Falsches Leben und Wunden zufügen zu wirken.
Feat/&PowerShadowTouchedFromFeatTitle	Erlerne Unsichtbarkeit, Falsches Leben und Wunden zufügen
Feat/&ProfChefTreatActionDescription	Iss eine Leckerei als Bonusaktion und gewinne 5 temporäre Trefferpunkte.
Feat/&ProfChefTreatActionTitle	Leckerei des Kochs essen
Feat/&ProfChefTreatCookDescription	Verbringe eine Stunde damit, Leckereien zuzubereiten, die beim Verzehr 5 temporäre Trefferpunkte verleihen.
Feat/&ProfChefTreatCookTitle	Leckerei des Kochs kochen
Feat/&ProfChefTreatDescription	Iss als Bonusaktion und erhalte 5 temporäre Trefferpunkte.
Feat/&ProfChefTreatTitle	Leckerbissen des Kochs
Feat/&ProfHealerMedicineDescription	Erlange Medizin-Kenntnisse oder Expertise, wenn du sie bereits hast.
Feat/&ProfHealerMedicineTitle	Medizinisches Wissen
Feat/&ProtectorConstructAttackDescription	Nahkampf 1d10 Kraftschaden durch das Beschützerkonstrukt.
Feat/&ProtectorConstructAttackTitle	Macht Riss
Feat/&ProtectorConstructDescription	Es ist freundlich zu dir und deinen Begleitern und gehorcht deinen Befehlen.
Feat/&ProtectorConstructDescription_5	Upgrade des Beschützerkonstrukts.
Feat/&ProtectorConstructLevel15AutopreparedSpellsDescription	Du erhältst Bonuszauber, die für dich als Tinkerer-Zauber gelten. Sie sind immer vorbereitet und zählen nicht gegen die Anzahl der Tinkerer-Zauber, die du kennst.
Feat/&ProtectorConstructLevel15AutopreparedSpellsTitle	Beschützer-Konstrukt-Zauber
Feat/&ProtectorConstructLevel3AutopreparedSpellsDescription	Du erhältst Bonuszauber, die für dich als Tinkerer-Zauber gelten. Sie sind immer vorbereitet und werden nicht auf die Anzahl der Tinkerer-Zauber angerechnet, die du kennst.
Feat/&ProtectorConstructLevel3AutopreparedSpellsTitle	Beschützer-Konstrukt-Zauber
Feat/&ProtectorConstructTitle	Beschützer-Konstrukt
Feat/&ProtectorConstructTitle_5	Verbesserung des Beschützerkonstrukts
Feat/&RecklessFuryFeatDescription	Du erhältst die Fähigkeit, einmal pro Tag eine Minute lang in Wut zu geraten (beachte, dass es keine Rüstungsbeschränkung gibt). Du kannst rücksichtslos angreifen und erhältst Vorteil bei deinen Nahkampfangriffen, während du deinen Angreifern bis zu deinem nächsten Zug Vorteil verschaffst.
Feat/&RecklessFuryFeatTitle	Rücksichtslose Wut
Feat/&ResummonArtilleryConstruct_03Title	Artillerie-Konstrukt 1 wiederbeschwören
Feat/&ResummonArtilleryConstruct_09Title	Artillerie-Konstrukt 2 wiederbeschwören
Feat/&ResummonArtilleryConstruct_15Title	Artillerie-Konstrukt 3 wiederbeschwören
Feat/&ResummonArtilleryConstructDescription	Mit diesem Zauber kann der Tinkerer ein Artillerie-Konstrukt in einem von mehreren Modi erneut beschwören, nachdem die ursprüngliche Beschwörung abgelaufen ist. Das wiederbeschworene Konstrukt bleibt ebenfalls 1 Stunde lang bestehen.
Feat/&RetributionDescription	Das Konstrukt fügt dem Angreifer 1d4 + deinen Intelligenzmodifikator Kraftschaden zu, wenn es von einem Angriff getroffen wird.
Feat/&RetributionTitle	Vergeltung
Feat/&ScoutSentinelFeatureSet_level03Description	<size=17><color=#add8e6ff>Mehrere Rüstungsfunktionen</color></size>\nDu kannst einmal pro Tag zwischen den Funktionsmodi wechseln, indem du temporäre Waffen herstellst und benutzt\n<size=17><color=#add8e6ff>Wächtermodus</color></size>\nErhalte eine begrenzte Anzahl temporärer HP basierend auf der Stufe. Benachteiligung von Gegnern, die Verbündete angreifen\n\n<size=17><color=#add8e6ff>Scout-Modus</color></size>\nErhalte erhöhte Bewegung, Tarnvorteil und einen Fernkampfangriff, der einmal pro Runde einen zusätzlichen Schadenswürfel verursacht. \n\n<size=17><color=#add8e6ff>Eigenschaften</color></size>\nDu kannst die Waffen der Rüstung als Zauberfokus für deine Zauber verwenden\nSchwere Rüstung hat keine Stärkevoraussetzung\nDu erlangst Beherrschung von Schmiedewerkzeug und schwerer Rüstung.
Feat/&ScoutSentinelFeatureSet_level03Title	Späher-Wächter
Feat/&ScoutSentinelFeatureSet_level05Description	<size=17><color=#add8e6ff>Zusätzlicher Angriff</color></size>\nDu kannst pro Kampfrunde ein weiteres Mal angreifen, wenn du die Aktionen Angriff oder Schieben verwendest.
Feat/&ScoutSentinelFeatureSet_level05Title	Späher-Wächter
Feat/&ScoutSentinelFeatureSet_level09Description	<size=17><color=#add8e6ff>Zusätzliche Infusionsplätze</color></size>\nDu erhältst zusätzliche Infusionsplätze, die für Rüstungen verwendet werden sollten.
Feat/&ScoutSentinelFeatureSet_level09Title	Späher-Wächter
Feat/&ScoutSentinelFeatureSet_level15Description	<size=17><color=#add8e6ff>Verbesserter Wächtermodus</color></size>\nKann jetzt mit einer Bonusaktion Feinde in Nahkampfreichweite ziehen und ihnen mit der Macht "Stulpengriff" 1d8 Donnerschaden zufügen\n<size=17><color=#add8e6ff>Verbesserter Spähmodus</color></size>\nKann jetzt mit einem einzigen Angriff Verbündeten einen Vorteil und Feinden einen Nachteil verschaffen.
Feat/&ScoutSentinelFeatureSet_level15Title	Späher-Wächter
Feat/&SelfDestructDescription	Selbstzerstörung und erzwingt einen Schutzwurf für Geschicklichkeit bei Kreaturen im Umkreis von 10 Fuß. Bei einem Fehlschlag werden 3d8 Kraftschaden verursacht.
Feat/&SelfDestructTitle	Selbstzerstörung
Feat/&SelfRepairDescription	Heilung von 2d8 HP, 3 Mal pro Tag.
Feat/&SelfRepairTitle	Selbstreparatur
Feat/&SubclassMovementDescription	Schwere Rüstung hat keine Stärkeanforderung.
Feat/&SubclassMovementTitle	Immunität gegen schwere Rüstung
Feat/&SubclassProficienciesDescription	Du erhältst die Beherrschung von Schmiedewerkzeug und schwerer Rüstung.
Feat/&SubclassProficienciesTitle	Unterklassen-Fähigkeiten
Feat/&SummonArtificialServantDescription	Der Diener ist freundlich zu dir und deinen Begleitern und gehorcht deinen Befehlen.
Feat/&SummonArtificialServantTitle	Künstlichen Diener beschwören
Feat/&SummonArtilleryConstructDescription	Der Blaster erschafft und befehligt ein Artillerie-Konstrukt in einem von mehreren Modi. Die HP des Konstrukts steigen mit den Stufen seines Beschwörers und es kann einmal pro Tag für 1 Stunde kostenlos beschworen werden. Das Konstrukt kann mit einem Zauber der Stufe 1 erneut beschworen werden. Die drei Modi sind: \n<color=#add8e6ff>Schutzkuppel-Konstrukt:</color>\nGewährt Verbündeten im Umkreis von 10ft 1d8 + 4 temporäre HP \n<color=#add8e6ff>Flammen-Artillerie-Konstrukt:</color>\nErzeugt einen Feuerkegel. Kreaturen müssen einen Schutzwurf auf Geschicklichkeit machen oder erleiden 2d8 Schaden\n<color=#add8e6ff>Kraft-Artillerie-Konstrukt:</color>\nVerursacht 2d8 Kraftschaden und stößt den Gegner 5ft weit weg.
Feat/&SummonArtilleryConstructlevel09Description	Es wurde eine neue Funktion hinzugefügt. Das Artillerie-Konstrukt kann sich selbst zerstören, indem es einen Geschicklichkeits-Save erzwingt oder bei einem Fehlschlag 3d8 Kraftschaden verursacht. \Zusätzlich erhöhen sich die Schadenswürfe der Flammen- und Kraftartillerie um 1d8 auf insgesamt 3d8.
Feat/&SummonArtilleryConstructlevel09Title	Artillerie-Konstrukt-Upgrade: Selbstzerstörung
Feat/&SummonArtilleryConstructlevel15Description	Es wurde eine neue Funktion hinzugefügt. Das Artillerie-Konstrukt gibt nun Verbündeten im Umkreis von 10ft halbe Deckung<size=17><color=#add8e6ff>Artillerie-Konstrukt-Upgrade: Verstärkung</color></size>\nDu kannst nun zwei Artillerie-Konstrukte beschwören. Die Konstrukte können denselben oder unterschiedliche Modi haben.
Feat/&SummonArtilleryConstructlevel15Title	Artillerie-Konstrukt-Upgrade: Halbschatten-Kuppel
Feat/&SummonArtilleryConstructTitle	Artillerie-Konstrukt beschwören
Feat/&SummonProtectorConstructDescription	Dein ganz persönlicher Kampfgefährte steht bereit, um dich zu verteidigen und Feinde anzugreifen. Das Beschützerkonstrukt kann sich 3 Mal am Tag selbst reparieren und kann Angriffe auf Verbündete mit Nachteilen belegen.
Feat/&SummonProtectorConstructDescription_2	Upgrade Beschützer-Konstrukt beschwören.
Feat/&SummonProtectorConstructDescription_Upgrade	Beschwörungsbeschützer-Konstrukt-Upgrade.
Feat/&SummonProtectorConstructTitle	Beschützer-Konstrukt beschwören
Feat/&SummonProtectorConstructTitle_2	Beschwörungsbeschützer-Konstrukt-Upgrade
Feat/&SummonProtectorConstructTitle_Upgrade	Beschwörung eines Beschützerkonstrukts - Upgrade
