ActionAffinity/&DHFeeblemindSpellDescription	Impossible de lancer des sorts.
Equipment/&Enchanted_Shield_Robustness_Title	Bouclier de robustesse
Equipment/&Enchanted_Shield_Sturdiness_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Sturdiness_Title	Bouclier de robustesse
Equipment/&Enchanted_Shield_Survival_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Survival_Title	Bouclier de survie
Equipment/&Enchanted_Shield_Wooden_Deflection_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Wooden_Deflection_Title	Bouclier de bois de déflection
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Title	Bouclier de bois de la danse des flammes
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Title	Bouclier de bois de la marche du givre
Equipment/&Enchanted_Shield_Wooden_Robustness_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Wooden_Robustness_Title	Bouclier de bois de la robustesse
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Title	Bouclier de bois de la robustesse
Equipment/&Enchanted_Shield_Wooden_Survival_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Wooden_Survival_Title	Bouclier de survie en bois
Equipment/&Enchanted_Spear_Acuteness_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Sa conception est l'une des premières œuvres d'Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Spear_Acuteness_Title	Lance de l'acuité
Equipment/&Enchanted_Spear_BlackViper_Description	Cette arme enchantée a été forgée grâce au savoir ancestral des maîtres forgerons de Manacalon, en utilisant une lance et le venin d'une araignée légendaire des profondeurs de Solasta. Le concepteur de la lame était Grigg Blackheart, un forgeron halfling des Marais notoire travaillant dans les forges d'Aer Elai.
Equipment/&Enchanted_Spear_BlackViper_Title	Lance de la vipère noire
Equipment/&Enchanted_Spear_Doomblade_Description	Cette arme enchantée a été forgée en utilisant le savoir ancestral des maîtres forgerons de Manacalon. Kenaloth Darkmind a conçu les Doomblades comme un outil de punition pour ceux qui résistaient à la magie de l'Empire.
Equipment/&Enchanted_Spear_Doomblade_Title	Lance du destin
Equipment/&Enchanted_Spear_Lightbringer_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres forgerons de Colthannin. Elle a été conçue par Elgador Keenspirit, Magesmith of the Arcaneum, pour soutenir le combat contre les créatures mortes-vivantes.
Equipment/&Enchanted_Spear_Lightbringer_Title	Lance de la lumière
Equipment/&Enchanted_Spear_Sharpness_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Sa conception est l'une des premières œuvres d'Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Spear_Sharpness_Title	Lance d'acuité
Equipment/&Enchanted_Spear_Whiteburn_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Whiteburn a été créée par le premier Danantar pour combattre une invasion de trolls venant des marais au sud de son domaine entre le Sioltafin et le Scarafin.
Equipment/&Enchanted_Spear_Whiteburn_Title	Lance Whiteburn
Equipment/&Enchanted_StuddedLeather_Deflection_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_Deflection_Title	Cuir clouté de déflection
Equipment/&Enchanted_StuddedLeather_FlameDancing_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_FlameDancing_Title	Cuir clouté de la danse des flammes
Equipment/&Enchanted_StuddedLeather_FrostWalking_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_FrostWalking_Title	Cuir clouté de la marche du givre
Equipment/&Enchanted_StuddedLeather_Robustness_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_Robustness_Title	Cuir clouté de la robustesse
Equipment/&Enchanted_StuddedLeather_Sturdiness_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_Sturdiness_Title	Cuir clouté de la robustesse
Equipment/&Enchanted_StuddedLeather_Survival_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_Survival_Title	Cuir clouté de survie
Equipment/&Enchanted_Warhammer_Acuteness_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Sa conception est l'une des premières œuvres d'Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Warhammer_Acuteness_Title	Marteau de l'acuité
Equipment/&Enchanted_Warhammer_Bearclaw_Description	Cette arme enchantée a été forgée grâce au savoir ancestral des maîtres forgerons de Manacalon. Les pointes acérées de la griffe de l'ours déchirent l'armure pour infliger des dégâts supplémentaires. La première arme de ce type a été conçue par Ildurial Stronghand.
Equipment/&Enchanted_Warhammer_Bearclaw_Title	Marteau de guerre en griffe d'ours
Equipment/&Enchanted_Warhammer_Lightbringer_Description	Cette arme enchantée a été forgée grâce au savoir ancestral des maîtres forgerons de Colthannin. Elle a été conçue par Elgador Keenspirit, Magesmith of the Arcaneum, pour soutenir le combat contre les créatures mortes-vivantes.
Equipment/&Enchanted_Warhammer_Lightbringer_Title	Marteau de guerre Lightbringer
Equipment/&Enchanted_Warhammer_Power_Description	Cette arme enchantée a été forgée grâce au savoir ancestral des maîtres forgerons de Manacalon. Certaines créatures ne respectent que les forces physiques. Les arcanistes de Manacalon ont créé ce marteau de guerre pour donner aux champions des légions de fer la force que leurs corps d'elfes ne leur procuraient pas.
Equipment/&Enchanted_Warhammer_Power_Title	Marteau de la puissance
Equipment/&Enchanted_Warhammer_Punisher_Description	Cette arme enchantée a été créée en utilisant le savoir ancestral des maîtres forgerons de Manacalon. La combinaison du meilleur métal et de la pierre de Slavestone a donné à cette hache une incroyable puissance de perçage.
Equipment/&Enchanted_Warhammer_Punisher_Title	Marteau de guerre Punisher
Equipment/&HerbalBrewDamageAffinityAcidResistanceDescription	Confère une protection contre l'acide pendant 1 heure.
Equipment/&HerbalBrewDamageAffinityAcidResistanceTitle	Brew of Acid Protection
Equipment/&HerbalBrewDamageAffinityLightningResistanceDescription	Confère une protection contre les éclairs pendant 1 heure.
Equipment/&HerbalBrewDamageAffinityLightningResistanceTitle	Brew of Lightning Protection
Equipment/&HerbalBrewDamageAffinityNecroticResistanceDescription	Confère une protection contre la nécrose pendant 1 heure.
Equipment/&HerbalBrewDamageAffinityNecroticResistanceTitle	Brew of Necrotic Protection
Equipment/&HerbalBrewDamageAffinityPoisonResistanceDescription	Confère une protection contre le poison pendant 1 heure.
Equipment/&HerbalBrewDamageAffinityPoisonResistanceTitle	Brew of Poison Protection
Equipment/&HerbalBrewDamageAffinityRadiantResistanceDescription	Confère une protection contre le Radiant pendant 1 heure.
Equipment/&HerbalBrewDamageAffinityRadiantResistanceTitle	Brew of Radiant Protection
Equipment/&HerbalBrewHealingTitle	Brew of Quickening
Equipment/&HerbalBrewToxifyingTitle	Infusion de Toxification
Equipment/&ImprovedLightningSpearDescription	Peut maintenant créer un avantage pour les alliés et un désavantage pour les ennemis avec une seule attaque.
Equipment/&ImprovedLightningSpearTitle	Lance de foudre améliorée
Equipment/&ImprovedThunderPunchDescription	Peut maintenant attirer les ennemis à portée de mêlée avec une action bonus et infliger 1d8 dégâts de tonnerre.
Equipment/&ImprovedThunderPunchTitle	Coup de tonnerre amélioré
Equipment/&LightningSpearDescription	Inflige 1d6 dégâts de foudre avec 1d6 dégâts de foudre supplémentaires une fois par tour.
Equipment/&LightningSpearTitle	Lance de foudre
Equipment/&LivewoodClubDescription	Cette massue est composée de bois vivant, avec des feuilles qui poussent et peut-être des fleurs saisonnières. Elle peut être utilisée comme point focal pour lancer des sorts druidiques.
Equipment/&LivewoodClubTitle	Gourdin de bois vivant
Equipment/&LivewoodStaffDescription	Ce bâton est composé de bois vivant avec des feuilles qui poussent et peut-être des fleurs saisonnières. Il peut être utilisé comme point focal pour l'incantation de sorts druidiques.
Equipment/&LivewoodStaffTitle	Bâton de bois vivant
Equipment/&ThunderPunchDescription	1d8 dégâts de tonnerre et impose un désavantage aux jets d'attaque contre les alliés.
Equipment/&ThunderPunchTitle	Coup de tonnerre
Equipment/&WandIdentifyDescription	Lance le sort Identifier en dépensant une charge. La baguette a 3 charges et récupère 1d3 charges à chaque aube.
Equipment/&WandIdentifyTitle	Baguette d'identification
Failure/&FailureFlagTargetMeleeWeaponError	Ne peut pas effectuer d'attaque de mêlée sur cette cible avec son arme actuelle.
Feat/&AddConstructCantripsDescription	Ajoute des cantrips pour soigner et renvoyer vos constructions.
Feat/&AddConstructCantripsTitle	Cantrips de construction
Feat/&AddProtectorConstructCantripDescription	Ajoute des cantrips de réparation et d'élimination des constructions pour augmenter la flexibilité de vos constructions.
Feat/&AddProtectorConstructCantripTitle	Cantrips de construction bonus
Feat/&AlchemistSubclassElixirsDescription	Apprenez à fabriquer des élixirs expérimentaux : Guérison, Rapidité, Résilience, Audace, Vol.
Feat/&AlchemistSubclassElixirsTitle	Elixirs expérimentaux
Feat/&AlchemistSubclassSpellsDescription	{0}.
Feat/&AlchemistSubclassSpellsTitle	Apprendre les sorts de fabrication de potions
Feat/&ArmorModePoolDescription	Permet de changer de mode d'armure.
Feat/&ArmorModePoolTitle	Mode armure
Feat/&ArtificerAlchemistAlchemicalSavantDescription	Lorsque vous soignez, vous soignez des HP supplémentaires égaux à 1d4 + votre niveau.
Feat/&ArtificerAlchemistAlchemicalSavantTitle	Savant Elixir
Feat/&ArtificerAlchemistBoldnessElixirDescription	La cible peut lancer un d4 et ajouter le nombre obtenu à tous ses jets d'attaque et de sauvegarde pendant la minute suivante.
Feat/&ArtificerAlchemistBoldnessElixirTitle	Elixir d'audace
Feat/&ArtificerAlchemistFlyElixirDescription	La cible peut voler lentement pendant 10 minutes.
Feat/&ArtificerAlchemistFlyElixirTitle	Élixir de vol
Feat/&ArtificerAlchemistHealElixirDescription	Soigne la cible pour 2d4 + modificateur d'intelligence.
Feat/&ArtificerAlchemistHealElixirTitle	Élixir de guérison
Feat/&ArtificerAlchemistResilienceElixirDescription	Augmente la CA de la cible de +1 pendant 10 minutes.
Feat/&ArtificerAlchemistResilienceElixirTitle	Elixir de résilience
Feat/&ArtificerAlchemistSwiftnessElixirDescription	Augmente la vitesse de déplacement de la cible de 10ft pendant 1 heure.
Feat/&ArtificerAlchemistSwiftnessElixirTitle	Élixir de rapidité
Feat/&ArtificerArtilleristArcaneFirearmDescription	Lorsque vous lancez des sorts d'évocation, infligez 1d8 points de dégâts supplémentaires une fois par tour.
Feat/&ArtificerArtilleristArcaneFirearmTitle	Amélioration des explosions
Feat/&ArtificerArtillerstDetonationSpellPreparedDescription	Vous gagnez la capacité de faire exploser l'un de vos dispositifs, causant des dégâts aux personnes proches de la cible.
Feat/&ArtificerArtillerstDetonationSpellPreparedTitle	Détonation de dispositif
Feat/&ArtificerArtillerstImprovedCannonsDescription	L'effet de vos canons augmente. Dégâts supplémentaires grâce au feu, cible supplémentaire grâce à la force, et HP temporaires supplémentaires grâce au bouclier.
Feat/&ArtificerArtillerstImprovedCannonsTitle	Canons améliorés
Feat/&ArtificialServantAttackDescription	Attaque à distance 1d6 dégâts de force de votre fidèle acolyte.
Feat/&ArtificialServantAttackTitle	Fronde de la Force
Feat/&ArtificialServantDescription	Le serviteur est amical envers vous et vos compagnons, et il obéit à vos ordres.
Feat/&ArtificialServantTitle	Serviteur artificiel
Feat/&ArtilleristCannonDetonationDescription	Faites exploser l'un de vos appareils et obligez les créatures situées dans un rayon de 6 mètres de l'endroit ciblé à effectuer une sauvegarde de Dextérité. Les créatures subissent 3d8 points de dégâts de force en cas d'échec, et la moitié en cas de réussite.
Feat/&ArtilleristCannonDetonationTitle	Détonation du dispositif
Feat/&ArtilleristFlameCannon15Description	Crache du feu, infligeant 6d8 points de dégâts de feu à vos ennemis comme action bonus.
Feat/&ArtilleristFlameCannon15Title	Lance-flammes
Feat/&ArtilleristFlameCannon9Description	Crache du feu, infligeant 3d8 points de dégâts de feu à vos ennemis comme action bonus.
Feat/&ArtilleristFlameCannon9Title	Lance-flammes
Feat/&ArtilleristFlameCannonDescription	Crache du feu, inflige 2d8 points de dégâts de feu à vos ennemis (action bonus).
Feat/&ArtilleristFlameCannonTitle	Lance-flammes
Feat/&ArtilleristForceCannon15Description	Utilisez une attaque de force pour infliger 3d8 points de dégâts de force à une cible, comme action bonus pour 2 cibles.
Feat/&ArtilleristForceCannon15Title	Canon de force
Feat/&ArtilleristForceCannon9Description	Utilisez une attaque de force infligeant 3d8 points de dégâts de force à une cible comme action bonus.
Feat/&ArtilleristForceCannon9Title	Canon de force
Feat/&ArtilleristForceCannonDescription	Utilise une attaque de force infligeant 2d8 points de dégâts de force à une cible en tant qu'action bonus.
Feat/&ArtilleristForceCannonTitle	Canon de force
Feat/&ArtilleristProtectorCannon15Description	Émettez de l'énergie positive en tant qu'action bonus. Les alliés situés dans un rayon de 6 mètres gagnent 3d8 + votre modificateur d'Intelligence.
Feat/&ArtilleristProtectorCannon15Title	Bouclier arcanique
Feat/&ArtilleristProtectorCannonDescription	Émet de l'énergie positive en tant qu'action bonus. Les alliés dans un rayon de 10 pieds gagnent 1d8 + votre modificateur d'Intelligence.
Feat/&ArtilleristProtectorCannonTitle	Bouclier des arcanes
Feat/&ArtilleristSubclassSpellsDescription	{0}.
Feat/&ArtilleristSubclassSpellsTitle	Apprendre les sorts de blaster
Feat/&ArtilleryConstructDescription	Peut endommager ou protéger les alliés.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsDescription	Cantrips : Réparer Construct, Renvoyer Construct. Niveau 1 : Renvoyer Construct d'artillerie.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsTitle	Sorts de construction
Feat/&ArtilleryConstructLevel09AutopreparedSpellsDescription	Vous gagnez des sorts bonus qui sont considérés comme des sorts de bricoleur pour vous, ils sont toujours préparés et ne comptent pas dans le nombre de sorts de bricoleur que vous connaissez.
Feat/&ArtilleryConstructLevel09AutopreparedSpellsTitle	Sorts de construction
Feat/&ArtilleryConstructLevel15AutopreparedSpellsDescription	Vous gagnez des sorts bonus qui sont considérés comme des sorts de rétameur pour vous, ils sont toujours préparés et ne comptent pas dans le nombre de sorts de rétameur que vous connaissez.
Feat/&ArtilleryConstructLevel15AutopreparedSpellsTitle	Sorts de construction
Feat/&ArtilleryConstructTitle	Construction d'artillerie
Feat/&ArtilleryConstructTitle_3	Construction d'artillerie
Feat/&ArtilleryConstructTitle_5	Construction d'artillerie
Feat/&ArtilleryModePoolDescription	Choisissez votre mode d'artillerie.
Feat/&ArtilleryModePoolTitle	Mode Artillerie
Feat/&AttackModifierArtificerBattleSmithJolt2Description	Vos attaques d'armes infligent 3 dégâts supplémentaires.
Feat/&AttackModifierArtificerBattleSmithJolt2Title	Attaque d'arme améliorée Jolt
Feat/&AttackModifierArtificerBattleSmithJoltDescription	Vos attaques d'armes infligent 3 points de dégâts supplémentaires.
Feat/&AttackModifierArtificerBattleSmithJoltTitle	Secousse d'attaque d'arme
Feat/&AutoPreparedSpellsDescription	{0}.
Feat/&AutoPreparedSpellsTitle	Apprendre les sorts Scout Sentinel
Feat/&BattleSmithSubclassSpellsDescription	{0}.
Feat/&BattleSmithSubclassSpellsTitle	Apprendre les sorts de Forgeron d'Arme
Feat/&CancelFlyingConditionDescription	Fin de la condition de vol pour permettre de sauter et de ramper.
Feat/&CancelFlyingConditionTitle	Annuler le vol
Feat/&ChefConDescription	Vous gagnez +1 à la Constitution. Dépensez 1 heure pour cuisiner un repas qui vous guérit, vous et vos compagnons, de 1d8 HP. Une fois par jour, vous pouvez dépenser une heure pour cuisiner des friandises qui fournissent des HP temporaires lorsqu'elles sont mangées.
Feat/&ChefConTitle	Chef (Constitution)
Feat/&ChefShortRestFeastDescription	Consacrez 1 heure à la préparation d'un repas qui vous guérit, vous et vos compagnons, de 1d8 PV.
Feat/&ChefShortRestFeastTitle	Repas de repos court
Feat/&ChefWisDescription	Vous gagnez +1 à la Sagesse. Dépensez 1 heure pour préparer un repas qui vous guérit, vous et vos compagnons. Une fois par jour, vous pouvez dépenser une heure pour cuisiner des friandises qui fournissent des HP temporaires lorsqu'elles sont mangées.
Feat/&ChefWisTitle	Chef (Sagesse)
Feat/&ConstructSelectingPoolDescription	Sélectionnez le mode de votre Construct.
Feat/&ConstructSelectingPoolTitle	Mode Artillerie
Feat/&DeadeyeFeatDescription	Vous maîtrisez les armes à distance et pouvez effectuer des tirs que d'autres jugent impossibles.\N- Les attaques à longue distance n'imposent pas de désavantage sur vos jets d'attaque à l'arme à distance.\N- Vos attaques à l'arme à distance ignorent les demi-couvertures et les trois-quarts de couverture.\N- Vous pouvez choisir d'appliquer un malus de -5 à votre jet d'attaque à l'arme à distance. Si l'attaque touche, vous infligez 10 points de dégâts supplémentaires du type de l'arme.
Feat/&DeadeyeFeatTitle	Deadeye
Feat/&DismissConstructDescription	Démontez votre construction.
Feat/&DismissConstructTitle	Renvoyer une construction
Feat/&DualFlurryDescription	Vous êtes un maître du combat avec des armes jumelées. À chaque tour où vous touchez deux fois avec des attaques de mêlée en brandissant une arme dans chaque main, vous pouvez effectuer une attaque supplémentaire à mains nues lorsque vous attaquez avec votre action bonus.
Feat/&DualFlurryTitle	Rafale double
Feat/&ExtraInfusionSlotsDescription	Vous gagnez des emplacements d'infusion supplémentaires qui doivent être utilisés sur les armures/armes.
Feat/&ExtraInfusionSlotsTitle	Infusions supplémentaires
Feat/&FeatArcaneDefenseDescription	Augmente votre Intelligence de 1, jusqu'à un maximum de 20. Lorsque vous ne portez pas d'armure, votre CA est égale à 10 + votre modificateur de Dextérité + votre modificateur d'Intelligence.
Feat/&FeatArcaneDefenseTitle	Défense arcanique
Feat/&FeatArcanePrecisionDescription	Lorsqu'elle est active sur une arme, ses attaques comptent comme magiques et vous utilisez votre Intelligence pour vos jets d'attaque et de dégâts. Elle a une durée de 1 minute et peut être utilisée deux fois par repos long.
Feat/&FeatArcanePrecisionTitle	Précision arcanique
Feat/&FeatBlindFightingStlyeDescription	Vous avez une vision aveugle avec une portée de 10 pieds.
Feat/&FeatBlindFightingStlyeTitle	Style de combat : Combat à l'aveugle
Feat/&FeatBrutalThugDescription	Tu portes des coups puissants aux bons endroits. Tu gagnes des compétences en armes simples et martiales et tu peux attaquer sournoisement avec des armes martiales.
Feat/&FeatBrutalThugTitle	Voyou brutal
Feat/&FeatChaIncrementDescription	#ERROR !
Feat/&FeatChaIncrementTitle	Augmentation de l'attribut Charisma
Feat/&FeatCharismaticDefenseDescription	Augmente ton Charisme de 1, jusqu'à un maximum de 20. Lorsque tu ne portes pas d'armure, ta CA est égale à 10 + ton modificateur de Dextérité + ton modificateur de Charisme.
Feat/&FeatCharismaticDefenseTitle	Défense charismatique
Feat/&FeatCharismaticPrecisionDescription	Lorsqu'elle est active sur une arme, ses attaques comptent comme magiques et vous utilisez votre Charisme pour vos jets d'attaque et de dégâts. Elle a une durée de 1 minute et peut être utilisée deux fois par repos long.
Feat/&FeatCharismaticPrecisionTitle	Précision charismatique
Feat/&FeatChefConIncrementDescription	#ERREUR !
Feat/&FeatChefConIncrementTitle	Augmentation des attributs
Feat/&FeatChefWisIncrementDescription	#ERREUR !
Feat/&FeatChefWisIncrementTitle	Augmentation des attributs
Feat/&FeatCripplingDescription	Lorsque vous touchez avec une attaque de mêlée, vous pouvez réduire la vitesse de votre adversaire de 10 pieds jusqu'au début de votre prochain tour.
Feat/&FeatCripplingTitle	Style de combat : Paralysant
Feat/&FeatDexIncrementDescription	#ERROR !
Feat/&FeatDexIncrementTitle	Augmentation des attributs
Feat/&FeatDualWeaponDefenseDescription	Vous gagnez un bonus de +1 à la CA lorsque vous maniez une arme de mêlée distincte dans chaque main.
Feat/&FeatDualWeaponDefenseTitle	Défense à deux armes
Feat/&FeatFastHandsDescription	Vous gagnez une action de ruse et pouvez utiliser le bonus d'action qu'elle confère pour effectuer un test de Dextérité (habileté manuelle), utiliser vos outils de voleur pour désarmer un piège ou ouvrir une serrure, ou effectuer l'action Utiliser un objet.
Feat/&FeatFastHandsTitle	Mains rapides
Feat/&FeatFeyTeleportationChaDescription	Augmente l'attribut Charisme de 1. Gagne la capacité de marcher brumeux une fois par repos court et apprend le sort. Gagne en compétence en Tirmarian.
Feat/&FeatFeyTeleportationChaTitle	Téléportation Fey (Charisme)
Feat/&FeatFeyTeleportationIntDescription	Augmente l'attribut Intelligence de 1. Gagne la capacité de faire un pas brumeux une fois par court repos et d'apprendre le sort. Gagne en compétence en tirmarian.
Feat/&FeatFeyTeleportationIntTitle	Téléportation Fey (Intelligence)
Feat/&FeatFeyTeleportationWisDescription	Augmente l'attribut Sagesse de 1. Gagne la capacité de faire un pas brumeux une fois par court repos et d'apprendre le sort. Gagne en compétence en tirmarian.
Feat/&FeatFeyTeleportationWisTitle	Téléportation Fey (Sagesse)
Feat/&FeatFightingSurgeDexterityDescription	Augmente votre Dextérité de 1, jusqu'à un maximum de 20.\NÀ votre tour, vous pouvez effectuer une action supplémentaire en plus de votre action normale et d'une éventuelle action bonus. Une fois que vous avez utilisé cette caractéristique, vous devez terminer un long repos avant de pouvoir l'utiliser à nouveau.
Feat/&FeatFightingSurgeDexterityTitle	Poussée de combat (Dextérité)
Feat/&FeatFightingSurgeStrengthDescription	Augmentez votre Force de 1, jusqu'à un maximum de 20. À votre tour, vous pouvez effectuer une action supplémentaire en plus de votre action normale et d'une éventuelle action bonus. Une fois que vous avez utilisé cette caractéristique, vous devez terminer un long repos avant de pouvoir l'utiliser à nouveau.
Feat/&FeatFightingSurgeStrengthTitle	Poussée de combat (Force)
Feat/&FeatHeavyArmorMasterClassDescription	Résistance aux dégâts de matraquage, de cisaillement et de perforation.
Feat/&FeatHeavyArmorMasterClassTitle	Maîtrise de la défense lourde
Feat/&FeatImprovedCriticalDescription	Vos attaques sont des coups critiques sur un jet de 19 ou 20.
Feat/&FeatImprovedCriticalTitle	Coup critique amélioré
Feat/&FeatIntIncrementDescription	#ERREUR !
Feat/&FeatIntIncrementTitle	Augmentation de l'attribut Intelligence
Feat/&FeatLightArmorDescription	Augmente ta force de 1, jusqu'à un maximum de 20. Tu gagnes la maîtrise de l'armure légère.
Feat/&FeatLightArmorProficiencyDescription	Vous devenez compétent en matière d'armure légère.
Feat/&FeatLightArmorProficiencyTitle	Armure légère
Feat/&FeatLightArmorTitle	Armure légère
Feat/&FeatMarksmanDescription	Lorsqu'un adversaire que vous pouvez voir vous attaque avec une arme à distance ou un sort et qu'il se trouve à au moins 3 mètres de vous, vous pouvez utiliser votre réaction pour effectuer une attaque à l'arme à distance après la fin de l'attaque déclenchante.
Feat/&FeatMarksmanTitle	Tireur d'élite
Feat/&FeatMediumArmorDexDescription	Augmente ta Dextérité de 1, jusqu'à un maximum de 20. Tu gagnes la maîtrise des armures moyennes et des boucliers.
Feat/&FeatMediumArmorDexTitle	Armure moyenne (Dextérité)
Feat/&FeatMediumArmorProficiencyDescription	Gagne en compétence avec les armures moyennes et les boucliers.
Feat/&FeatMediumArmorProficiencyTitle	Armure moyenne
Feat/&FeatMediumArmorStrengthDescription	Augmente ta Force de 1, jusqu'à un maximum de 20. Tu gagnes la maîtrise des armures et boucliers moyens.
Feat/&FeatMediumArmorStrengthTitle	Armure moyenne (Force)
Feat/&FeatMetamagicAdeptCarefulDescription	Augmente ton Charisme de 1, jusqu'à un maximum de 20. Tu apprends la métamagie Attention et gagnes 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptCarefulTitle	Métamagie : Prudence
Feat/&FeatMetamagicAdeptDistantDescription	Augmente ton Charisme de 1, jusqu'à un maximum de 20.\NTu apprends la métamagie Distant et gagnes 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptDistantTitle	Métamagie : Distant
Feat/&FeatMetamagicAdeptEmpoweredDescription	Augmente ton Charisme de 1, jusqu'à un maximum de 20.\NTu apprends la métamagie Empowered et gagnes 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Métamagie : Empowered
Feat/&FeatMetamagicAdeptExtendedDescription	Augmente ton Charisme de 1, jusqu'à un maximum de 20.\NTu apprends la métamagie étendue et gagnes 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptExtendedTitle	Métamagie : Étendue
Feat/&FeatMetamagicAdeptHeightenedDescription	Vous apprenez la métamagie intensifiée et gagnez 4 points de sorcellerie.
Feat/&FeatMetamagicAdeptHeightenedTitle	Métamagie : Intensifiée
Feat/&FeatMetamagicAdeptQuickenedDescription	Augmente ton Charisme de 1, jusqu'à un maximum de 20.\NTu apprends la métamagie accélérée et gagnes 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptQuickenedTitle	Métamagie : Accéléré
Feat/&FeatMetamagicAdeptTwinnedDescription	Augmente ton Charisme de 1, jusqu'à un maximum de 20. Tu apprends la métamagie Jumelé et gagnes 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptTwinnedTitle	Métamagie : Jumelé
Feat/&FeatPolearmExpertDescription	Votre formation d'expert en armes de poing vous confère les avantages suivants :\N- Lorsque vous effectuez l'action Attaque et que vous attaquez uniquement avec une arme de poing, vous pouvez utiliser une action bonus pour effectuer une attaque de mêlée avec l'extrémité opposée de l'arme. Cette attaque utilise le même modificateur de capacité que l'attaque principale. Le dé de dégâts de l'arme pour cette attaque est un d4, et elle inflige des dégâts de matraquage. Lorsque vous maniez une arme de poing, les autres créatures provoquent une attaque d'opportunité de votre part lorsqu'elles entrent dans la zone de portée de cette arme.
Feat/&FeatPolearmExpertTitle	Expert en armes de poing
