ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
Feat/&ArtilleristForceCannonTitle	Cañón de Fuerza
Feat/&ArtilleristProtectorCannon15Description	Emite energía positiva como acción adicional. Los aliados en un radio de 6 metros ganan 3d8 + tu modificador de Inteligencia puntos de vida temporales.
Feat/&ArtilleristProtectorCannon15Title	Escudo Arcano
Feat/&ArtilleristProtectorCannonDescription	Emite energía positiva como acción de bonificación. Los aliados en un radio de 3 metros ganan 1d8 + tu modificador de Inteligencia puntos de vida temporales.
Feat/&ArtilleristProtectorCannonTitle	Escudo Arcano
Feat/&ArtilleristSubclassSpellsDescription	{0}.
Feat/&ArtilleristSubclassSpellsTitle	Aprender Hechizos Blaster
Feat/&ArtilleryConstructDescription	Puede dañar o proteger a los aliados.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsDescription	Cantrips:Constructora de Reparación, Constructora de Despedida {nivel 1: Resumir Constructora de Artillería.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsTitle	Hechizos de Constructo
Feat/&ArtilleryConstructLevel09AutopreparedSpellsDescription	Ganas hechizos extra que se consideran hechizos de Hechicero para ti, siempre están preparados y no cuentan contra el número de hechizos de Hechicero que conoces.
Feat/&ArtilleryConstructLevel09AutopreparedSpellsTitle	Construir Hechizos
Feat/&ArtilleryConstructLevel15AutopreparedSpellsDescription	Ganas hechizos de bonificación que se consideran hechizos de Hojalatero para ti, siempre están preparados y no cuentan contra el número de hechizos de Hojalatero que conoces.
Feat/&ArtilleryConstructLevel15AutopreparedSpellsTitle	Construir Hechizos
Feat/&ArtilleryConstructTitle	Construir Artillería
Feat/&ArtilleryConstructTitle_3	Construir Artillería
Feat/&ArtilleryConstructTitle_5	Construcción de Artillería
Feat/&ArtilleryModePoolDescription	Elige tu modo de artillería.
Feat/&ArtilleryModePoolTitle	Modo Artillería
Feat/&AttackModifierArtificerBattleSmithJolt2Description	Tus ataques de arma infligen 3 de daño adicional.
Feat/&AttackModifierArtificerBattleSmithJolt2Title	Ataque de arma mejorado
Feat/&AttackModifierArtificerBattleSmithJoltDescription	Tus ataques con armas infligen 3 de daño adicional.
Feat/&AttackModifierArtificerBattleSmithJoltTitle	Golpe de ataque con armas
Feat/&AutoPreparedSpellsDescription	{0}.
Feat/&AutoPreparedSpellsTitle	Aprende hechizos de Centinela Explorador
Feat/&BattleSmithSubclassSpellsDescription	{0}.
Feat/&BattleSmithSubclassSpellsTitle	Aprende hechizos de Centinela de Armas
Feat/&CancelFlyingConditionDescription	Termina la condición de volar para permitir saltar y arrastrarse.
Feat/&CancelFlyingConditionTitle	Cancela el vuelo
Feat/&ChefConDescription	Ganas +1 a la Constitución. Dedica 1 hora a cocinar una comida para curarte a ti y a tus compañeros 1d8 HP. Una vez al día, puedes gastar una hora para cocinar golosinas que proporcionen HP temporales cuando se coman.
Feat/&ChefConTitle	Chef (Constitución)
Feat/&ChefShortRestFeastDescription	Dedica 1 hora a preparar una comida que ayude a curaros a ti y a tus compañeros 1d8 HP.
Feat/&ChefShortRestFeastTitle	Comida de Descanso Corto
Feat/&ChefWisDescription	Ganas +1 a la Sabiduría. Dedica 1 hora a preparar una comida para curaros a ti y a tus compañeros. Una vez al día puedes gastar una hora para cocinar manjares que proporcionan HP temporales al comerlos.
Feat/&ChefWisTitle	Chef (Sabiduría)
Feat/&ConstructSelectingPoolDescription	Selecciona el modo para tu Construct.
Feat/&ConstructSelectingPoolTitle	Modo Artillería
Feat/&DeadeyeFeatDescription	Has dominado las armas a distancia y puedes hacer disparos que a otros les resultan imposibles.\N-Atacar a larga distancia no impone desventaja en tus tiradas de ataque con armas a distancia.\N-Tus ataques con armas a distancia ignoran la media cobertura y la cobertura de tres cuartos.\N-Puedes elegir tener una penalización de -5 a tu tirada de ataque con armas a distancia. Si el ataque impacta, infliges 10 puntos de daño adicionales del tipo de arma.
Feat/&DeadeyeFeatTitle	Ojo avizor
Feat/&DismissConstructDescription	Desinvoca a tu constructo.
Feat/&DismissConstructTitle	Desmembrar constructo
Feat/&DualFlurryDescription	Eres un maestro de la lucha con armas emparejadas. En cualquier turno en el que golpees dos veces con ataques cuerpo a cuerpo mientras empuñas un arma en cada mano, puedes hacer un ataque adicional sin mano cuando ataques con tu acción de bonificación.
Feat/&DualFlurryTitle	Flurry dual
Feat/&ExtraInfusionSlotsDescription	Ganas ranuras de infusión extra que deben ser usadas en armaduras/armas.
Feat/&ExtraInfusionSlotsTitle	Infusiones extra
Feat/&FeatArcaneDefenseDescription	Aumenta tu Inteligencia en 1, hasta un máximo de 20. Mientras no lleves armadura, tu CA es igual a 10 + tu modificador de Destreza + tu modificador de Inteligencia.
Feat/&FeatArcaneDefenseTitle	Defensa Arcana
Feat/&FeatArcanePrecisionDescription	Cuando se activa en un arma, sus ataques cuentan como mágicos y utilizas tu Inteligencia para tus tiradas de ataque y daño. Tiene una duración de 1 minuto y puede usarse dos veces por descanso largo.
Feat/&FeatArcanePrecisionTitle	Precisión arcana
Feat/&FeatBlindFightingStlyeDescription	Tienes visión ciega con un alcance de 3 metros.
Feat/&FeatBlindFightingStlyeTitle	Estilo de lucha: Lucha a ciegas
Feat/&FeatBrutalThugDescription	Ganas competencia con armas simples y marciales y puedes atacar por sorpresa con armas marciales.
Feat/&FeatBrutalThugTitle	Matón brutal
Feat/&FeatChaIncrementDescription	#¡ERROR!
Feat/&FeatChaIncrementTitle	Aumento del atributo Carisma
Feat/&FeatCharismaticDefenseDescription	Aumenta tu Carisma en 1, hasta un máximo de 20. Mientras no lleves armadura, tu CA es igual a 10 + tu modificador de Destreza + tu modificador de Carisma.
Feat/&FeatCharismaticDefenseTitle	Defensa carismática
Feat/&FeatCharismaticPrecisionDescription	Cuando está activa en un arma, sus ataques cuentan como mágicos y utilizas tu Carisma para tus tiradas de ataque y daño. Tiene una duración de 1 minuto y puede usarse dos veces por descanso largo.
Feat/&FeatCharismaticPrecisionTitle	Precisión Carismática
Feat/&FeatChefConIncrementDescription	¡#ERROR!
Feat/&FeatChefConIncrementTitle	Aumento de atributos
Feat/&FeatChefWisIncrementDescription	#¡ERROR!
Feat/&FeatChefWisIncrementTitle	Aumento de atributos
Feat/&FeatCripplingDescription	Al impactar con un ataque cuerpo a cuerpo, puedes reducir la velocidad de tu oponente en 10 pies hasta el inicio de tu siguiente turno.
Feat/&FeatCripplingTitle	Estilo de lucha: Crippling
Feat/&FeatDexIncrementDescription	#¡ERROR!
Feat/&FeatDexIncrementTitle	Aumento de atributos
Feat/&FeatDualWeaponDefenseDescription	Obtienes un bonificador +1 a la CA mientras estés blandiendo un arma cuerpo a cuerpo distinta en cada mano.
Feat/&FeatDualWeaponDefenseTitle	Defensa con dos armas
Feat/&FeatFastHandsDescription	Obtienes una acción de astucia y puedes usar la acción de bonificación que te otorga para hacer un chequeo de Destreza (Juego de manos), usar tus herramientas de ladrón para desarmar una trampa o abrir una cerradura, o realizar la acción de Usar un objeto.
Feat/&FeatFastHandsTitle	Manos rápidas
Feat/&FeatFeyTeleportationChaDescription	Aumenta el atributo de Carisma en 1. Obtiene la habilidad de Paso Nublado una vez por descanso corto y aprende el hechizo. Gana competencia en Tirmarian.
Feat/&FeatFeyTeleportationChaTitle	Teletransporte feérico (Carisma)
Feat/&FeatFeyTeleportationIntDescription	Incrementa el atributo de Inteligencia en 1. Obtiene la habilidad de Paso Mistoso una vez por descanso corto y aprende el hechizo. Gana competencia en Tirmarian.
Feat/&FeatFeyTeleportationIntTitle	Teletransporte feérico (Inteligencia)
Feat/&FeatFeyTeleportationWisDescription	Aumenta el atributo de Sabiduría en 1. Obtiene la habilidad de Paso de la Niebla una vez por descanso corto y aprende el hechizo. Adquiere competencia en tirmariano.
Feat/&FeatFeyTeleportationWisTitle	Teletransporte feérico (Sabiduría)
Feat/&FeatFightingSurgeDexterityDescription	Aumenta tu Destreza en 1, hasta un máximo de 20.\NEn tu turno, puedes realizar una acción adicional además de tu acción normal y una posible acción de bonificación. Una vez que usas esta característica, debes terminar un descanso largo antes de poder usarla de nuevo.
Feat/&FeatFightingSurgeDexterityTitle	Aumento de lucha (Destreza)
Feat/&FeatFightingSurgeStrengthDescription	Aumenta tu fuerza en 1, hasta un máximo de 20. En tu turno, puedes realizar una acción adicional además de tu acción normal y una posible acción adicional. Una vez que usas esta característica, debes terminar un descanso largo antes de poder usarla de nuevo.
Feat/&FeatFightingSurgeStrengthTitle	Oleada de lucha (Fuerza)
Feat/&FeatHeavyArmorMasterClassDescription	Resistencia al daño contundente, cortante y perforante.
Feat/&FeatHeavyArmorMasterClassTitle	Dominio de la defensa pesada
Feat/&FeatImprovedCriticalDescription	Tus ataques son golpes críticos con una tirada de 19 o 20.
Feat/&FeatImprovedCriticalTitle	Crítico mejorado
Feat/&FeatIntIncrementDescription	#ERROR
Feat/&FeatIntIncrementTitle	Aumento del atributo de inteligencia
Feat/&FeatLightArmorDescription	Aumenta tu Fuerza en 1, hasta un máximo de 20. Ganas competencia con la Armadura Ligera.
Feat/&FeatLightArmorProficiencyDescription	Ganas competencia con la armadura ligera.
Feat/&FeatLightArmorProficiencyTitle	Armadura Ligera
Feat/&FeatLightArmorTitle	Armadura ligera
Feat/&FeatMarksmanDescription	Cuando un oponente que puedes ver te ataca con un arma a distancia o un hechizo y está al menos a 10 pies de ti, puedes usar tu reacción para hacer un ataque con arma a distancia después de que termine el ataque desencadenante.
Feat/&FeatMarksmanTitle	Tirador
Feat/&FeatMediumArmorDexDescription	Aumenta tu Destreza en 1, hasta un máximo de 20.\NGanas competencia con Armadura Media y escudos.
Feat/&FeatMediumArmorDexTitle	Armadura media (Destreza)
Feat/&FeatMediumArmorProficiencyDescription	Ganas competencia con armadura media y escudos.
Feat/&FeatMediumArmorProficiencyTitle	Armadura media
Feat/&FeatMediumArmorStrengthDescription	Aumenta tu fuerza en 1, hasta un máximo de 20. Obtienes competencia con armaduras y escudos medianos.
Feat/&FeatMediumArmorStrengthTitle	Armadura media (Fuerza)
Feat/&FeatMetamagicAdeptCarefulDescription	Aumenta tu Carisma en 1, hasta un máximo de 20. Aprendes la metamagia Cuidado y ganas 2 puntos de hechicería.
Feat/&FeatMetamagicAdeptCarefulTitle	Metamagia: Cuidado
Feat/&FeatMetamagicAdeptDistantDescription	Aumenta tu Carisma en 1, hasta un máximo de 20. Aprendes la metamagia Distante y ganas 2 puntos de hechicería.
Feat/&FeatMetamagicAdeptDistantTitle	Metamagia: Distante
Feat/&FeatMetamagicAdeptEmpoweredDescription	Aumenta tu Carisma en 1, hasta un máximo de 20. Aprendes la metamagia Potenciado y ganas 2 puntos de hechicería.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Metamagia: Potenciado
Feat/&FeatMetamagicAdeptExtendedDescription	Aumenta tu Carisma en 1, hasta un máximo de 20. Aprendes la metamagia Extendida y ganas 2 puntos de hechicería.
Feat/&FeatMetamagicAdeptExtendedTitle	Metamagia: Extendida
Feat/&FeatMetamagicAdeptHeightenedDescription	Aprendes la metamagia Intensificada y ganas 4 puntos de hechicería.
Feat/&FeatMetamagicAdeptHeightenedTitle	Metamagia: Aumentada
Feat/&FeatMetamagicAdeptQuickenedDescription	Aumentas tu Carisma en 1, hasta un máximo de 20. Aprendes la metamagia Aumentada y ganas 2 puntos de hechicería.
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamagia: Acelerado
Feat/&FeatMetamagicAdeptTwinnedDescription	Aumenta tu Carisma en 1, hasta un máximo de 20. Aprendes la metamagia Gemelo y ganas 2 puntos de hechicería.
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamagia: Gemelo
Feat/&FeatPolearmExpertDescription	Tu entrenamiento experto con armas de asta te otorga estos beneficios:\N-Cuando realizas la acción de Ataque y atacas sólo con un arma de asta, puedes utilizar una acción de bonificación para realizar un ataque cuerpo a cuerpo con el extremo opuesto del arma. Este ataque utiliza el mismo modificador de habilidad que el ataque principal. El dado de daño del arma para este ataque es un d4, e inflige daño contundente.\N-Mientras estés blandiendo un arma de asta, otras criaturas provocan un ataque de oportunidad tuyo cuando entran en el alcance que tienes con esa arma.
Feat/&FeatPolearmExpertTitle	Experto en armas de asta
Feat/&FeatPrimalConstitutionDescription	Aumenta tu Constitución en 1, hasta un máximo de 20.\NPuedes entrar en cólera como acción adicional, tal y como se define en el rasgo de clase de cólera del bárbaro, con un daño de cólera de +1 que puede acumularse con la cólera del bárbaro. Una vez que hayas montado en cólera de esta manera, debes terminar un descanso largo antes de volver a usar este rasgo.\NMientras no lleves armadura, tu CA es igual a 10 + tu modificador de Destreza + tu modificador de Constitución.
Feat/&FeatPrimalConstitutionTitle	Furia Primigenia (Constitución)
Feat/&FeatPrimalStrengthDescription	Aumenta tu Fuerza en 1, hasta un máximo de 20.\NPuedes entrar en cólera como acción de bonificación, tal y como se define en el rasgo de clase de cólera del bárbaro, con un daño de cólera de +1 que puede acumularse con la cólera del bárbaro. Una vez que hayas montado en cólera de esta manera, debes terminar un descanso largo antes de volver a usar este rasgo.\NMientras no lleves armadura, tu CA es igual a 10 + tu modificador de Destreza + tu modificador de Constitución.
Feat/&FeatPrimalStrengthTitle	Furia Primigenia (Fuerza)
Feat/&FeatPugilistFightingStlyeDescription	Tus golpes sin armas infligen 1d4 de daño contundente adicional y puedes golpear con tu mano libre como acción adicional.
Feat/&FeatPugilistFightingStlyeTitle	Estilo de lucha: Pugilista
Feat/&FeatRangedExpertDescription	Tu entrenamiento experto con armas a distancia te otorga estos beneficios:\N- Ya no tienes desventaja en los ataques a distancia cuando hay un enemigo a 5 pies de distancia de ti.\N-Si gastas tu acción de ataque puedes usar la acción de bonificación para hacer un ataque con un arma a distancia o arrojada con una mano.
Feat/&FeatRangedExpertTitle	Experto a distancia
Feat/&FeatSavageAttackerDescription	Vuelve a lanzar los dados de daño de armas y hechizos cuando sacan un 1 (no vuelve a lanzar todas las fuentes de daño, por ejemplo excluye Ataque Furtivo y Golpe).
Feat/&FeatSavageAttackerReroll	Por ser un Atacante Salvaje {0} vuelve a tirar el dado {1} de un {2} a un {3}
Feat/&FeatSavageAttackerTitle	Atacante Salvaje
Feat/&FeatSentinelDescription	Has dominado las técnicas para aprovechar cada bajada de guardia de cualquier enemigo, obteniendo los siguientes beneficios:\N-Cuando golpeas a una criatura con un ataque de oportunidad, la velocidad de la criatura pasa a ser 0 durante el resto del turno.\N-Las criaturas provocan ataques de oportunidad tuyos incluso si realizan la acción de Desengancharse antes de salir de tu alcance.\N-Cuando una criatura realiza un ataque contra un objetivo que no seas tú (y ese objetivo no tiene esta hazaña), puedes utilizar tu reacción para realizar un ataque con arma cuerpo a cuerpo contra la criatura atacante.
Feat/&FeatSentinelTitle	Centinela
Feat/&FeatShadowTouchedChaDescription	Aumenta tu atributo de Carisma en 1, hasta un máximo de 20.\NGanas la capacidad de lanzar Invisibilidad, Infligir heridas y Vida falsa una vez por descanso largo y aprendes los conjuros.
Feat/&FeatShadowTouchedChaTitle	Tocado por la sombra (Carisma)
Feat/&FeatShadowTouchedIntDescription	Aumenta tu atributo de Inteligencia en 1, hasta un máximo de 20. Obtienes la habilidad de lanzar Invisibilidad, Infligir heridas y Vida falsa una vez por descanso largo y aprendes los conjuros.
Feat/&FeatShadowTouchedIntTitle	Tocado por la sombra (Inteligencia)
Feat/&FeatShadowTouchedWisDescription	Aumenta tu atributo de Sabiduría en 1, hasta un máximo de 20. Obtienes la habilidad de lanzar Invisibilidad, Infligir heridas y Vida falsa una vez por descanso largo y aprendes los conjuros.
Feat/&FeatShadowTouchedWisTitle	Tocado por la sombra (Sabiduría)
Feat/&FeatShadyDescription	Aumenta tu Destreza en 1, hasta un máximo de 20.\NUna vez por turno, puedes infligir un daño extra de 1d6 a una criatura a la que golpees con un ataque que cumpla los requisitos del Ataque Furtivo del Pícaro. A 12º nivel, este daño aumenta a 2d6 y a 20º nivel, a 4d6.
Feat/&FeatShadyTitle	Sombra
Feat/&FeatShieldExpertDescription	Te has entrenado en el uso de un escudo como arma. Para ti, se convierte en un arma cuerpo a cuerpo que dominas y que inflige 1d4 de daño contundente.\NGanas ventaja en los intentos de empuje mientras empuñas un escudo.
Feat/&FeatShieldExpertTitle	Experto en escudos
Feat/&FeatStrengthIncrementDescription	#¡ERROR!
Feat/&FeatStrengthIncrementTitle	Aumento de atributos
Feat/&FeatTelekineticChaDescription	Aumenta tu Carisma en 1, hasta un máximo de 20. Como acción adicional, puedes empujar o tirar telequinéticamente de una criatura que puedas ver en un radio de 30 pies. El objetivo debe tener éxito en una tirada de salvación de Fuerza (DC 8 + tu bono de competencia + tu modificador de Carisma) o ser movido 5 pies.
Feat/&FeatTelekineticChaPullDescription	Atraer telequinéticamente a una criatura hacia ti.
Feat/&FeatTelekineticChaPullTitle	Tirar Telequinéticamente
Feat/&FeatTelekineticChaPushDescription	Empuja telequinéticamente a una criatura lejos de ti.
Feat/&FeatTelekineticChaPushTitle	Empujar telequinéticamente
Feat/&FeatTelekineticChaTitle	Telequinético (Carisma)
Feat/&FeatTelekineticIntDescription	Aumenta tu Inteligencia en 1, hasta un máximo de 20.Como acción de bonificación, puedes empujar o tirar telequinéticamente de una criatura que puedas ver en un radio de 30 pies de ti. El objetivo debe tener éxito en una tirada de salvación de Fuerza (DC 8 + tu bono de competencia + tu modificador de Inteligencia) o ser movido 5 pies.
Feat/&FeatTelekineticIntPullDescription	Atrae telequinéticamente a una criatura hacia ti.
Feat/&FeatTelekineticIntPullTitle	Tirón Telequinético
Feat/&FeatTelekineticIntPushDescription	Empuja telequinéticamente a una criatura lejos de ti.
Feat/&FeatTelekineticIntPushTitle	Empujar telequinéticamente
Feat/&FeatTelekineticIntTitle	Telequinético (Inteligencia)
Feat/&FeatTelekineticWisDescription	Aumenta tu Sabiduría en 1, hasta un máximo de 20.Como acción adicional, puedes empujar o tirar telequinéticamente de una criatura que puedas ver en un radio de 30 pies de ti. El objetivo debe tener éxito en una tirada de salvación de Fuerza (DC 8 + tu bono de competencia + tu modificador de Sabiduría) o ser movido 5 pies.
Feat/&FeatTelekineticWisPullDescription	Tira telecinéticamente de una criatura hacia ti.
Feat/&FeatTelekineticWisPullTitle	Tirar telequinéticamente
Feat/&FeatTelekineticWisPushDescription	Empuja telequinéticamente a una criatura lejos de ti.
Feat/&FeatTelekineticWisPushTitle	Empujar telequinéticamente
Feat/&FeatTelekineticWisTitle	Telequinético (Sabiduría)
Feat/&FeatTitanFightingDescription	Ganas un +2 al impacto contra criaturas de tamaño Grande o mayor.
Feat/&FeatTitanFightingTitle	Estilo de lucha: Lucha de Titanes
Feat/&FeatToughDescription	Tu máximo de puntos de golpe aumenta en una cantidad igual al doble de tu nivel cuando obtienes esta proeza. Cada vez que ganes un nivel a partir de entonces, tu máximo de puntos de golpe aumenta en 2 puntos de golpe adicionales.
Feat/&FeatToughTitle	Resistente
Feat/&FeatWarCasterDescription	Obtienes ventaja en los chequeos para mantener la concentración.\NObtienes la capacidad de realizar el componente somático de los conjuros incluso con las dos manos ocupadas.\NCuando el movimiento de una criatura hostil provoca un ataque de oportunidad por tu parte, puedes utilizar tu reacción para lanzar un cantrip a la criatura, en lugar de realizar un ataque de oportunidad. El cantrip debe tener un tiempo de lanzamiento de 1 acción o acción extra y debe tener como objetivo sólo a esa criatura.
Feat/&FeatWarCasterTitle	Lanzador de guerra
Feat/&FeatWiseDefenseDescription	Aumenta tu Sabiduría en 1, hasta un máximo de 20. Mientras no lleves armadura, tu CA es igual a 10 + tu modificador de Destreza + tu modificador de Sabiduría.
Feat/&FeatWiseDefenseTitle	Defensa de Sabiduría
Feat/&FeatWisePrecisionDescription	Cuando se activa en un arma, sus ataques cuentan como mágicos y utilizas tu Sabiduría para tus tiradas de ataque y daño. Tiene una duración de 1 minuto y puede utilizarse dos veces por descanso largo.
Feat/&FeatWisePrecisionTitle	Precisión sabia
Feat/&FeatWisIncrementDescription	¡#ERROR!
Feat/&FeatWisIncrementTitle	Aumento del atributo de Sabiduría
Feat/&FeyTeleportationLanguageTirmarianDescription	Gana competencia en Tirmarian.
Feat/&FeyTeleportationLanguageTirmarianTitle	Tirmariano
Feat/&FightingStyleArcheryDescription	Ganas un bonificador +2 a las tiradas de ataque con armas a distancia.
Feat/&FightingStyleArcheryTitle	Estilo de lucha: Tiro con arco
Feat/&FightingStyleDefenseDescription	Mientras lleves armadura, ganas un bonificador +1 a la CA.
Feat/&FightingStyleDefenseTitle	Estilo de lucha: Defensa
Feat/&FightingStyleDuelingDescription	Cuando estés blandiendo un arma cuerpo a cuerpo en una mano y ninguna otra arma, ganas un bonificador +2 a las tiradas de daño con esa arma.
Feat/&FightingStyleDuelingTitle	Estilo de lucha: Duelo
Feat/&FightingStyleGeneralFeatDescription	Puedes seleccionar un estilo de lucha.
Feat/&FightingStyleGeneralFeatitle	Estilo de lucha
Feat/&FightingStyleGreatWeaponDescription	Cuando sacas un 1 o un 2 en un dado de daño por un ataque que haces con un arma cuerpo a cuerpo que estás empuñando con dos manos, puedes volver a tirar el dado. Debes usar la nueva tirada, incluso si es un 1 o un 2. El arma debe tener la propiedad de dos manos o versátil para que obtengas este beneficio.
Feat/&FightingStyleGreatWeaponTitle	Estilo de lucha: Gran Arma
Feat/&FightingStyleProtectionDescription	Cuando una criatura que puedas ver ataca a un objetivo que no seas tú y que esté a menos de 1,5 metros de ti, puedes usar tu reacción para imponer desventaja en la tirada de ataque. Debes estar blandiendo un escudo.
Feat/&FightingStyleProtectionTitle	Estilo de lucha: Protección
Feat/&FightingStyleTwoWeaponDescription	Cuando participas en un combate con dos armas, puedes añadir tu modificador de habilidad al daño del segundo ataque.
Feat/&FightingStyleTwoWeaponTitle	Estilo de lucha: Dos Armas
Feat/&FlameArtillery_2Description	3d8 de daño por fuego (Cono).
Feat/&FlameArtillery_2Title	Artillería de llamas (mejorada)
Feat/&FlameArtilleryConstructDescription	Crea un cono de fuego que inflige 2d8 de daño en una salvación fallida.
Feat/&FlameArtilleryConstructDescription_3	Crea un cono de fuego que inflige 3d8 de daño en una salvación fallida.
Feat/&FlameArtilleryConstructTitle	Construcción de artillería de llamas
Feat/&FlameArtilleryConstructTitle_3	Construcción de artillería de llamas
Feat/&FlameArtilleryConstructTitle_5	Construcción de artillería de llamas
Feat/&FlameArtilleryDescription	2d8 de daño de fuego (Cono).
Feat/&FlameArtilleryTitle	Artillería de llamas
Feat/&ForceArtillery_2Description	3d8 de daño de Fuerza y empuja al objetivo 5 pies.
Feat/&ForceArtillery_2Title	Artillería de Fuerza (Mejorada)
Feat/&ForceArtilleryAdditionalDamageDescription	El constructo mejorado inflige 1d8 más de daño por impacto.
Feat/&ForceArtilleryConstructDescription	Inflige 2d8 de daño de fuerza y empuja al objetivo a 1,5 m del constructo.
Feat/&ForceArtilleryConstructDescription_3	Inflige 3d8 de daño de fuerza y aleja al objetivo 1,5 m del constructo.
Feat/&ForceArtilleryConstructTitle	Constructo de artillería de fuerza
Feat/&ForceArtilleryConstructTitle_3	Constructo de artillería de fuerza
Feat/&ForceArtilleryConstructTitle_5	Constructo de artillería de fuerza
Feat/&ForceArtilleryDescription	Causa 2d8 de daño de fuerza y empuja a 1,5 m.
Feat/&ForceStrikePowerDescription	Ataque a distancia 1d6 de daño de fuerza de tu fiel compañero.
Feat/&ForceStrikePowerTitle	Honda de la fuerza (siervo artificial)
Feat/&GauntletsGrappleDescription	Ahora puede arrastrar a los enemigos a distancia de cuerpo a cuerpo con una acción adicional e infligir 1d8 de daño de trueno.
Feat/&GauntletsGrappleTitle	Agarre con guante
Feat/&HalfCoverShieldDescription	Otorga +2 de CA mientras esté a 10 pies.
Feat/&HalfCoverShieldTitle	Cúpula de media cobertura
Feat/&HealerDescription	Ganas competencia o pericia en los chequeos de Medicina. Obtienes la habilidad de estabilizar a una criatura moribunda así como de revivir a una criatura que haya muerto en los últimos 12 segundos una vez por descanso largo. Puedes usar una acción para restaurar 1d6 + 4 + nivel de personaje puntos de golpe un número de veces por descanso corto igual a tu modificador de Sabiduría.
Feat/&HealerResuscitateDescription	Utiliza una acción para revivir a una criatura que haya muerto en los últimos 15 segundos.
Feat/&HealerResuscitateTitle	Resucitar
Feat/&HealerStabilizeDescription	Utiliza una acción para estabilizar a una criatura moribunda.
Feat/&HealerStabilizeTitle	Estabilizar
Feat/&HealerTitle	Sanador
Feat/&HealerUseMedicineDescription	Puedes usar una acción para restaurar 1d6 + 4 + nivel de personaje puntos de golpe un número de veces por descanso corto igual a tu modificador de Sabiduría.
Feat/&HealerUseMedicineTitle	Usar Medicina
Feat/&IncreaseConstructSelectingDescription	Ahora puedes invocar dos Constructos de Artillería. Los constructos pueden ser de la misma o diferente modalidad.
Feat/&IncreaseConstructSelectingTitle	Refuerzos
Feat/&InspiringLeaderDescription	Dedica 10 minutos a inspirar hasta 6 criaturas amigas (entre las que puedes incluirte) en un radio de 30 pies de ti. Cada criatura gana puntos de golpe temporales iguales a tu nivel + tu modificador de Carisma. Se puede utilizar una vez por descanso corto.
Feat/&InspiringLeaderTitle	Líder inspirador
Feat/&IntToAttackAndDamageDescription	Puedes usar tu modificador de Inteligencia, en lugar del modificador de Fuerza o Destreza, para tus tiradas de ataque y daño con Armas de Armadura.
Feat/&IntToAttackAndDamageTitle	Arma de Armadura
Feat/&MendingConstructDescription	Repara tu constructo por 2d6 HP durante 1 min.
Feat/&MendingConstructTitle	Constructora reparadora
Feat/&ModeSwitchingPoolDescription	Puedes cambiar de modo una vez al día creando y usando armas temporales.
Feat/&ModeSwitchingPoolTitle	Modo Armadura
Feat/&MoonlitBonusCantripsDescription	Tu control de la luz lunar ha aumentado a un nuevo nivel. Puedes lanzar Rayo de luna y Fuego de hada a voluntad.
Feat/&MoonlitBonusCantripsTitle	Control de la luz
Feat/&PickPocketFeatDescription	Ganas competencia en Juego de manos, o experiencia si ya eres competente. También tienes ventaja en los chequeos de Destreza de Juego de Manos.
Feat/&PickPocketFeatTitle	Carterista
Feat/&PowerAlchemistEmboldeningShotsDescription	Obtienes la habilidad de administrar un elixir que envalentona a tus aliados, proporcionándoles 4d6 + modificador de Inteligencia puntos de golpe temporales.
Feat/&PowerAlchemistEmboldeningShotsTitle	Tiros envalentonados
Feat/&PowerAlchemistGreaterRestorativeElixirsDescription	Una vez al día, puedes lanzar Restauración mayor.
Feat/&PowerAlchemistGreaterRestorativeElixirsTitle	Restauración mayor
Feat/&PowerAlchemistHealElixirsDescription	Una vez al día, puedes lanzar Sanación.
Feat/&PowerAlchemistHealElixirsTitle	Sanar
Feat/&PowerAlchemistRestorativeElixirsDescription	Puedes lanzar Rotación menor sin gastar una ranura de hechizo. Puedes hacer esto un número de veces por descanso largo igual a tu modificador de Inteligencia.
Feat/&PowerAlchemistRestorativeElixirsTitle	Elixires reconstituyentes
Feat/&PowerAttackFeatDescription	Has aprendido a cambiar la precisión por golpes más mortíferos. Cuando atacas con armas cuerpo a cuerpo, puedes elegir tener una penalización de -3 a tu golpe para hacer un daño adicional igual a 3 + tu bonificador de competencia.
Feat/&PowerAttackFeatTitle	Ataque de poder
Feat/&PowerFalseLifeFromFeatDescription	Al reforzarte con un facsímil nigromántico de vida, ganas 1d4+4 puntos de golpe temporales durante la duración.
Feat/&PowerFalseLifeFromFeatTitle	Vida falsa
Feat/&PowerInflictWoundsFromFeatDescription	Realiza un ataque de hechizo cuerpo a cuerpo contra una criatura que puedas alcanzar. Si aciertas, el objetivo recibe 3d10 puntos de daño necrótico.
Feat/&PowerInflictWoundsFromFeatTitle	Infligir Heridas
Feat/&PowerInvisibilityFromFeatDescription	Una criatura que toques se vuelve Invisible hasta que el hechizo termine. Cualquier cosa que el objetivo lleve puesta o porte es Invisible mientras esté en su persona. El hechizo termina para un objetivo que ataca o lanza un hechizo.
Feat/&PowerInvisibilityFromFeatTitle	Invisibilidad
