AttributeModifier/&AncientForestAttributeModifierBarkskinDescription	AC ist auf 16 eingestellt.
Monster/&PactOfChainCustomSpriteTitle	Sprite (Kettenpakt)
MonsterAttack/&AttackWarlockDragonStingDescription	1W4 Stichschaden und dem Ziel muss ein Konstitutionswurf gegen SG 11 gelingen oder es wird vergiftet.
MonsterAttack/&AttackWarlockDragonStingTitle	Giftiger Stich
MonsterAttack/&AttackWarlockImpStingDescription	Giftiger Stachel eines Kobolds.
MonsterAttack/&AttackWarlockImpStingTitle	Giftiger Stich
MonsterAttack/&AttackWarlockQuasitStingTitle	Giftiger Stich
Power/&AncientForestLifeSapDescription	Wenn du einem Feind mit einem Zauber Schaden zufügst, heilst du einmal pro Zug HP in Höhe deiner halben Stufe. Wenn du weniger als die Hälfte deiner HP hast, heilst du stattdessen HP in Höhe deines Levels, aber nur bis zur Hälfte deiner maximalen HP.
Power/&AncientForestLifeSapTitle	Lebenssaft
Power/&AncientForestRootedPowerDescription	Baumranken wachsen aus deinen Füßen und graben sich in den Boden. Deine Geschwindigkeit wird 0 und du erhältst einen Vorteil bei Rettungswürfen, um dich zu stoßen, zu ziehen oder dich zu Boden zu werfen. Du kannst Verschränken nach Belieben wirken.
Power/&AncientForestRootedPowerTitle	Verwurzelt
Power/&DH_ElementalFormPoolDescription	Du kannst pro langer Pause so oft zwischen den Elementarformen wechseln, wie es deinem Fertigkeitsbonus entspricht, indem du Elementarenergie kanalisierst. Du erhältst Resistenz gegen den entsprechenden Schaden und wendest einmal pro Runde deinen Fertigkeitsbonus als Schaden derselben Art auf den ersten Zauberschaden an, der in dieser Runde verursacht wird. Die Formulare dauern 1 Minute.
Power/&DH_ElementalFormPoolEnhancedDescription	Du kannst zwischen verbesserten Elementarformen so oft wechseln, wie es deinem Kompetenzbonus pro Tag entspricht, indem du Elementarenergie kanalisierst. Du erhältst Immunität gegen den entsprechenden Schaden und wendest in jeder Runde einen Fähigkeitsbonus als Schaden derselben Art auf den ersten Zauberschaden an. Die Formulare dauern 1 Minute.
Power/&DH_ElementalFormPoolEnhancedTitle	Verbesserte elementare Formen
Power/&DH_ElementalFormPoolEnhancedTitleShort	Elementare Formen
Power/&DH_ElementalFormPoolTitle	Elementare Formen
Power/&FindFamiliarBundlePowerDescription	Beschwöre Vertraute in Form von Pseudorgagon, Sprite, Imp oder Quasit.
Power/&FindFamiliarBundlePowerTitle	Vertraut finden
Power/&MoonlitDanceoftheNightSkyDescription	Du kannst Fliegen einmal pro Tag auf 4 Ziele wirken.
Power/&MoonlitDanceoftheNightSkyTitle	Tanz des Nachthimmels
Power/&MoonlitDarkMoonDescription	Du kannst „Dunkelheit“ pro langer Pause so oft wirken, wie es deinem Fertigkeitsbonus entspricht.
Power/&MoonlitDarkMoonTitle	Dunkler Mond
Power/&MoonlitFullMoonDescription	Du kannst Tageslicht so oft pro langer Pause wirken, wie es deinem Fertigkeitsbonus entspricht.
Power/&MoonlitFullMoonTitle	Vollmond
Power/&MoonlitMoonTouchedDescription	Du beschwörst die Anziehungskraft des Mondes in einem kleinen Bereich herauf und lässt Kreaturen, denen ein Rettungswurf misslingt, nach oben schweben.
Power/&MoonlitMoonTouchedTitle	Mond berührt
Power/&PactofChainFamiliarInvisibilityPowerDescription	Die Kreatur wird auf magische Weise unsichtbar, bis sie angreift oder einen Zauber wirkt oder bis ihre Konzentration endet (als würde sie sich auf einen Zauber konzentrieren). Jegliche Ausrüstung, die die Kreatur trägt oder trägt, ist damit unsichtbar.
Power/&PactofChainFamiliarInvisibilityPowerTitle	Unsichtbarkeit
Power/&PactofChainFamiliarScarePowerDescription	Einer Kreatur deiner Wahl innerhalb von 20 Fuß muss ein Weisheitswurf gegen SG 10 gelingen, sonst ist sie 1 Minute lang verängstigt. Das Ziel kann den Rettungswurf am Ende jedes seiner Züge wiederholen und den Effekt bei einem Erfolg auf sich selbst beenden.
Power/&PactofChainFamiliarScarePowerTitle	Schrecken
Reaction/&SpendPowerDH_RiftStrikeDescription	Wenn Sie durch einen Nahkampfangriff beschädigt werden, können Sie einmal pro langer Pause Ihre Reaktion nutzen, um ein Portal zu erstellen, das den Angreifer für 1 Runde aus Ihrer Existenzebene verbannt.
Reaction/&SpendPowerDH_RiftStrikeReactTitle	Rissschlag
Reaction/&SpendPowerDH_RiftStrikeTitle	Rissschlag
Reaction/&SpendSpellSlotEldritchSmiteDescription	{0} kann einen Zauberslot ausgeben, um dem Ziel 1W8 Machtschaden und zusätzlich 1W8 Schaden pro Slot-Stufe zuzufügen.
Reaction/&SpendSpellSlotEldritchSmiteReactDescription	Klicken Sie, um einen Zauberslot auszugeben und den Schaden am Ziel zu erhöhen.
Reaction/&SpendSpellSlotEldritchSmiteReactTitle	Schlagen
Reaction/&SpendSpellSlotEldritchSmiteTitle	Eldritch Smite
Reaction/&SubitemSelectEldritchSmiteDescription	Wählen Sie eine Slot-Stufe aus, die Sie für Ihr Eldritch Smite verbrauchen möchten.
Reaction/&SubitemSelectEldritchSmiteTitle	Slot-Level
Requirement/&WarlockMissingEldritchBlast	Eldritch Blast Cantrip
Requirement/&WarlockRequiresNoMoonLit	Nicht Moonlit Patron
Requirement/&WarlockRequiresOneWithShadows	Eldritch-Anrufung "Eins mit den Schatten".
Requirement/&WarlockRequiresPactOfBlade	Pakt der Klinge
Requirement/&WarlockRequiresPactOfChain	Pakt der Ketten
Requirement/&WarlockRequiresPactOfTome	Pakt des Wälzers
Rules/&CounterFormDismissCreatureFormat	Tüftlerkonstrukt verwerfen
Spell/&AHPactMarkAdditionalDamageDescription	Eine mit einem Pakt markierte Kreatur erleidet zusätzlich 1W6 Schaden derselben Art, wenn sie von einer Waffe oder einem Zauberangriff des Markers getroffen wird.
Spell/&AHPactMarkAdditionalDamageTitle	Paktmarke Schaden
Spell/&AHPactMarkMarkedByPactConditionDescription	Diese Kreatur wurde durch einen Pakt markiert und erleidet zusätzlich 1W6 Schaden derselben Art, wenn sie von einer Waffe oder einem Zauberangriff des Markers getroffen wird.
Spell/&AHPactMarkMarkedByPactConditionTitle	Pakt markiert
Spell/&AHPactMarkPactMarkConditionDescription	Du kannst andere Kreaturen mit einem Paktzeichen markieren und fügst ihnen mit Waffen- oder Zauberangriffen zusätzlich 1W6 Schaden zu.
Spell/&AHPactMarkPactMarkConditionTitle	Paktmarke
Spell/&AHPactMarkSpellDescription	Sie platzieren ein Zeichen Ihres Pakts auf einer Kreatur, die Sie innerhalb von 90 Fuß sehen können. Es wird für dich verwundbar und erleidet zusätzlich 1W6 Schaden, wenn du es mit einer Waffe oder einem Zauberangriff triffst. Dieser Schaden ist vom gleichen Typ wie der Angriff, der trifft.
Spell/&AHPactMarkSpellTitle	Paktmarke
Spell/&AirBlastDescription	Feuern Sie einen Strahl fokussierter Luft auf Ihr Ziel ab.
Spell/&AirBlastTitle	Luftstoß
Spell/&EldritchBlastDescription	Ein Strahl knisternder Energie schießt auf eine Kreatur in Reichweite zu. Führen Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\nDer Zauber erzeugt mehr als einen Strahl, wenn Sie höhere Stufen erreichen: zwei Strahlen auf der 5. Stufe, drei Strahlen auf der 11. Stufe und vier Strahlen auf der 17. Stufe. Sie können die Strahlen auf dasselbe oder auf unterschiedliche Ziele richten. Führen Sie für jeden Strahl einen separaten Angriffswurf durch.
Spell/&EldritchBlastGraspingHandDescription	Ein Strahl knisternder Energie schießt auf eine Kreatur in Reichweite zu. Führen Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\n(Wenn du eine Kreatur mit deiner unheimlichen Explosion triffst, kannst du diese Kreatur in einer geraden Linie 3 m näher an dich heranbewegen.)
Spell/&EldritchBlastGraspingHandTitle	Eldritch Blast (Greifen)
Spell/&EldritchBlastRepellingBlastDescription	Ein Strahl knisternder Energie schießt auf eine Kreatur in Reichweite zu. Führen Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\n(Wenn du eine Kreatur mit einer unheimlichen Explosion triffst, kannst du die Kreatur in einer geraden Linie bis zu 3 m von dir wegstoßen.)
Spell/&EldritchBlastRepellingBlastTitle	Eldritch Blast (Abstoßend)
Spell/&EldritchBlastTitle	Eldritch-Explosion
Spell/&EldritchOrbDescription	Du schleuderst eine Kugel unheimlicher Energie auf eine Kreatur oder ein Objekt in Reichweite und fügst in einem kleinen Radius Gewaltschaden zu.
Spell/&EldritchOrbTitle	Unheimliche Kugel
Spell/&HinderingBlastDescription	Ein Strahl knisternder Energie schießt auf eine Kreatur in Reichweite zu. Führen Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\n(Wenn du eine Kreatur mit deiner unheimlichen Explosion triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nächsten Zuges um 3 m reduzieren.)
Spell/&HinderingBlastTitle	Eldritch Blast (Behinderung)
SpellList/&ClassWarlockSpellListDescription	Hexenmeister-Zauberliste.
SpellList/&ClassWarlockSpellListTitle	Hexenmeister-Zauberliste
SpellList/&RiftWalkerSpellsListDescription	RiftWalker-Zauberliste.
SpellList/&RiftWalkerSpellsListTitle	Rift Walker-Zauberliste
Stage/&SubclassSelectionStagePatronDescription	Ein Hexenmeister wird durch einen Pakt mit einem jenseitigen Wesen definiert. Manchmal ist die Beziehung zwischen Hexenmeister und Gönner wie die eines Klerikers und einer Gottheit, obwohl die Wesen, die als Gönner dienen, keine Götter sind.
Stage/&SubclassSelectionStagePatronFeatures	Funktionen von Patrons aus einer anderen Welt
Stage/&SubclassSelectionStagePatronHeader	Warlock Gönner aus einer anderen Welt
Stage/&SubclassSelectionStagePatronTitle	Außerweltliche Gönner
Subclass/&AHWarlockSubclassSoulBladePactDescription	Du hast einen Handel mit einer empfindungsfähigen Waffe abgeschlossen, die du im Gegenzug für Macht mit Seelen fütterst.
Subclass/&AHWarlockSubclassSoulBladePactTitle	Seelenklingen-Pakt
Subclass/&ClassWarlockPatronDescription	Ein Hexenmeister wird durch einen Pakt mit einem jenseitigen Wesen definiert. Manchmal ist die Beziehung zwischen Hexenmeister und Gönner wie die eines Klerikers und einer Gottheit, obwohl die Wesen, die als Gönner dienen, keine Götter sind.
Subclass/&ClassWarlockPatronTitle	Jenseitiger Patron
Subclass/&DHWarlockSubclassElementalPatronDescription	Du wurdest mit Urmenschen, die in den Ödlanden der Elemente präsent sind, paktiert und verändert. Das Elementarchaos des Patrons hat deine Seele durchdrungen und lässt dich die Kraft verschiedener Elementartypen nutzen.
Subclass/&DHWarlockSubclassElementalPatronTitle	Pakt der Elementarmagier
Subclass/&DHWarlockSubclassRiftWalkerDescription	Ihr Gönner ist eines der seltenen Wesen, das die Leere zwischen den Welten sein Zuhause nennt. Sie gleiten mit Leichtigkeit zwischen den Ebenen hin und her, und das Wissen, das Sie durch die Interaktion mit ihnen gewonnen haben, ermöglicht es Ihnen, verbleibende Rift-Energien zu Ihrem Vorteil in Solasta zu nutzen. Vielleicht verspürst du manchmal Sehnsucht nach dem fernen Reich deines Gönners, den Wunsch, für den Rest deiner Tage zwischen den Dimensionen zu wandern oder nach Anzeichen für ein weiteres Rift-Ereignis Ausschau zu halten, entweder um es zu verhindern oder zu fördern.
Subclass/&DHWarlockSubclassRiftWalkerTitle	Rift Walker-Pakt
Subclass/&WarlockAncientForestDescription	Du hast eine Beziehung zu einer mächtigen Naturentität geschmiedet: Uralte Dryaden, Erzdruiden, Manifestationen der Feywild, die in die materielle Ebene eindringen, Vergessene Götter aus einem Urzeitalter. Ihr Gönner möchte vielleicht, dass Sie die Natur schützen, in ferne Länder reisen, die er nicht kann, oder er hat vielleicht ein anderes Motiv, das kurzlebigen Sterblichen unergründlich erscheint.
Subclass/&WarlockAncientForestTitle	Urwaldpakt
Subclass/&WarlockMoonLitDescription	Ihr Patron ist ein Geist des Mondes, ein Wesen, das die zyklische Natur von Licht und Dunkelheit verkörpert. Diese Geister versuchen, die Macht des Mondes über dem Nachthimmel aufrechtzuerhalten, während sie profane Mächte, die die Dunkelheit heimsuchen, in Schach halten und ihre Hexenmeister damit beauftragen, indem sie ihnen das Kommando über die Mächte des Mondes und seine Auswirkungen verleihen.
Subclass/&WarlockMoonLitTitle	Mondheller Pakt
Subclass/&WarlockToadKingDescription	Fey, Dämon oder Verirrung, verursacht durch die Katastrophe, die wahre Natur des Krötenkönigs ist nicht bekannt, aber es ist bekannt, dass der Krötenkönig ein großes Gebiet von Sümpfen und Sümpfen in den Badlands beherrscht und denen, die bereit sind zu dienen, Macht verleiht.
Subclass/&WarlockToadKingTitle	Pakt des Krötenkönigs
Subclass/&WarlockUrPriestDescription	Während die überwiegende Mehrheit der göttlichen Zauberkundigen ihre Kräfte von einer Gottheit bezieht, gibt es diejenigen, die die Götter verachten. Diejenigen, die sich selbst Urpriester nennen, haben gelernt, die göttlichen Energien abzuschöpfen, die die Götter ihren göttlichen Zauberkundigen gewährt haben, und sie für ihre eigenen Bedürfnisse zu nutzen, ohne auch nur ein Lippenbekenntnis zu irgendeinem Gott abzugeben. Als Urpriester unterscheiden Sie sich von den meisten Hexenmeistern, denn es fehlt Ihnen ein Gönner, der Ihnen Ihre Macht verleiht. Eldritch Invocations, die Sie entdecken, sind verzerrte Formen der Magie, die die Götter ihren Gönnern gewähren könnten, während Pact Boons wahrscheinlich göttliche Artefakte sind, die Sie stehlen konnten.
Subclass/&WarlockUrPriestTitle	Urpriester Pakt
