ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken.
Feat/&ArtilleristForceCannon15Title	Kraftkanone
Feat/&ArtilleristForceCannon9Description	Führe als Bonusaktion einen Fernkampfangriff durch, der bei einem Treffer 3W8 Machtschaden verursacht.
Feat/&ArtilleristForceCannon9Title	Kraftkanone
Feat/&ArtilleristForceCannonDescription	Führe als Bonusaktion einen Fernkampfangriff durch, der bei einem Treffer 2W8 Machtschaden verursacht.
Feat/&ArtilleristForceCannonTitle	Kraftkanone
Feat/&ArtilleristProtectorCannon15Description	Sende positive Energie als Bonusaktion aus. Verbündete innerhalb von 20 Fuß erhalten temporäre HP in Höhe von 1W8 + Ihrem Intelligenzmodifikator.
Feat/&ArtilleristProtectorCannon15Title	Arkaner Schild
Feat/&ArtilleristProtectorCannonDescription	Sende positive Energie als Bonusaktion aus. Verbündete innerhalb von 3 m erhalten temporäre HP in Höhe von 1W8 + deinem Intelligenzmodifikator.
Feat/&ArtilleristProtectorCannonTitle	Arkaner Schild
Feat/&ArtilleristSubclassSpellsDescription	{0}.
Feat/&ArtilleristSubclassSpellsTitle	Lerne Blaster-Zauber
Feat/&ArtilleryConstructDescription	Kann Verbündete beschädigen oder schützen.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsDescription	Cantrips: Ausbesserungskonstrukt, Entlassungskonstrukt\nLevel 1: Artilleriekonstrukt wiederbeschwören.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsTitle	Zauber konstruieren
Feat/&ArtilleryConstructLevel09AutopreparedSpellsDescription	Du erhältst Bonuszauber, die für dich als Tüftlerzauber gelten, sie sind immer vorbereitet und zählen nicht zu der Anzahl an Tüftlerzaubern, die du kennst.
Feat/&ArtilleryConstructLevel09AutopreparedSpellsTitle	Zauber konstruieren
Feat/&ArtilleryConstructLevel15AutopreparedSpellsDescription	Du erhältst Bonuszauber, die für dich als Tüftlerzauber gelten, sie sind immer vorbereitet und zählen nicht zu der Anzahl an Tüftlerzaubern, die du kennst.
Feat/&ArtilleryConstructLevel15AutopreparedSpellsTitle	Zauber konstruieren
Feat/&ArtilleryConstructTitle	Artillerie-Konstrukt
Feat/&ArtilleryConstructTitle_3	Artillerie-Konstrukt
Feat/&ArtilleryConstructTitle_5	Artillerie-Konstrukt
Feat/&ArtilleryModePoolDescription	Wählen Sie Ihren Artillerie-Modus.
Feat/&ArtilleryModePoolTitle	Artillerie-Modus
Feat/&AttackModifierArtificerBattleSmithJolt2Description	Eure Waffenangriffe verursachen zusätzlich 3 Schaden.
Feat/&AttackModifierArtificerBattleSmithJolt2Title	Verbesserter Waffenangriffsruck
Feat/&AttackModifierArtificerBattleSmithJoltDescription	Eure Waffenangriffe verursachen zusätzlich 3 Schaden.
Feat/&AttackModifierArtificerBattleSmithJoltTitle	Waffenangriffsruck
Feat/&AutoPreparedSpellsDescription	{0}.
Feat/&AutoPreparedSpellsTitle	Lernen Sie Scout Sentinel-Zauber
Feat/&BattleSmithSubclassSpellsDescription	{0}.
Feat/&BattleSmithSubclassSpellsTitle	Waffenschmiede-Zauber lernen
Feat/&CancelFlyingConditionDescription	Beenden Sie den Flugzustand, um Springen und Kriechen zu ermöglichen.
Feat/&CancelFlyingConditionTitle	Fliegen abbrechen
Feat/&ChefConDescription	Erhöhe deine Konstitution um 1 bis maximal 20.\nDu kannst 1 Stunde damit verbringen, eine Mahlzeit zu kochen, um dich und deine Gefährten für 1W8 HP zu heilen.\nEinmal am Tag können Sie eine Stunde damit verbringen, Leckereien zu kochen, die beim Verzehr vorübergehend HP liefern.
Feat/&ChefConTitle	Koch (Verfassung)
Feat/&ChefShortRestFeastDescription	Du kannst 1 Stunde damit verbringen, eine Mahlzeit zu kochen, um dich und deine Gefährten für 1W8 HP zu heilen.
Feat/&ChefShortRestFeastTitle	Kurze Pausenmahlzeit
Feat/&ChefWisDescription	Erhöhe deine Weisheit um 1 bis maximal 20.\nDu kannst 1 Stunde damit verbringen, eine Mahlzeit zu kochen, um dich und deine Gefährten für 1W8 HP zu heilen.\nEinmal am Tag können Sie eine Stunde damit verbringen, Leckereien zu kochen, die beim Verzehr vorübergehend HP liefern.
Feat/&ChefWisTitle	Koch (Weisheit)
Feat/&ConstructSelectingPoolDescription	Wählen Sie den Modus für Ihr Konstrukt.
Feat/&ConstructSelectingPoolTitle	Artillerie-Modus
Feat/&DeadeyeFeatDescription	Sie beherrschen Fernkampfwaffen und können Schüsse abgeben, die andere unmöglich finden.\n• Angriffe aus großer Entfernung benachteiligen Ihre Angriffswürfe für Fernkampfwaffen nicht.\n• Ihre Fernkampfangriffe ignorieren Halbdeckung und Dreivierteldeckung.\n• Sie können wählen, ob Sie einen Malus von -5 auf Ihren Angriffswurf mit Fernkampfwaffen nehmen möchten. Wenn der Angriff trifft, fügst du zusätzlich 10 Schaden des Waffentyps zu.
Feat/&DeadeyeFeatTitle	Deadeye
Feat/&DismissConstructDescription	Beschwöre dein Konstrukt.
Feat/&DismissConstructTitle	Konstrukt verwerfen
Feat/&DualFlurryDescription	Du bist ein Meister im Kampf mit gepaarten Waffen. In jedem Zug, in dem du zweimal mit Nahkampfangriffen triffst, während du eine Waffe in jeder Hand führst, kannst du einen zusätzlichen Nebenhandangriff ausführen, wenn du mit deiner Bonusaktion angreifst.
Feat/&DualFlurryTitle	Zweifacher Flurry
Feat/&ExtraInfusionSlotsDescription	Sie erhalten zusätzliche Infusionsplätze, die für Rüstungen/Waffen verwendet werden müssen.
Feat/&ExtraInfusionSlotsTitle	Zusätzliche Aufgüsse
Feat/&FeatArcaneDefenseDescription	Erhöhe deine Intelligenz um 1 bis maximal 20.\nSolange du keine Rüstung trägst, beträgt deine RK 10 + deinen Geschicklichkeitsmodifikator + deinen Intelligenzmodifikator.
Feat/&FeatArcaneDefenseTitle	Arkane Verteidigung
Feat/&FeatArcanePrecisionDescription	Sie können eine Bonusaktion verwenden, um eine Waffe auszuwählen. Seine Angriffe zählen als magisch und du verwendest deine Intelligenz für deine Angriffs- und Schadenswürfe für 1 Minute. Diese Funktion kann zweimal pro langer Pause verwendet werden.
Feat/&FeatArcanePrecisionTitle	Arkane Präzision
Feat/&FeatBlindFightingStlyeDescription	Sie haben Blindsicht mit einer Reichweite von 10 Fuß.
Feat/&FeatBlindFightingStlyeTitle	Kampfstil: Blindes Kämpfen
Feat/&FeatBrutalThugDescription	Du landest mächtige Schläge an den richtigen Stellen.\nDu erlangst einfache und kriegerische Waffenfertigkeiten.\nSie können mit Kampfwaffen einen Schleichangriff durchführen.
Feat/&FeatBrutalThugTitle	Brutaler Schläger
Feat/&FeatChaIncrementDescription	Erhöhe dein Charisma um 1 bis maximal 20.
Feat/&FeatChaIncrementTitle	Erhöhung des Charisma-Attributs
Feat/&FeatCharismaticDefenseDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nSolange du keine Rüstung trägst, beträgt deine RK 10 + dein Geschicklichkeitsmodifikator + dein Charismamodifikator.
Feat/&FeatCharismaticDefenseTitle	Charismatische Verteidigung
Feat/&FeatCharismaticPrecisionDescription	Sie können eine Bonusaktion verwenden, um eine Waffe auszuwählen. Seine Angriffe zählen als magisch und du verwendest dein Charisma 1 Minute lang für deine Angriffs- und Schadenswürfe. Diese Funktion kann zweimal pro langer Pause verwendet werden.
Feat/&FeatCharismaticPrecisionTitle	Charismatische Präzision
Feat/&FeatChefConIncrementDescription	Erhöhe deine Konstitution um 1 bis maximal 20.
Feat/&FeatChefConIncrementTitle	Attributerhöhung
Feat/&FeatChefWisIncrementDescription	Erhöhe deine Weisheit um 1 bis maximal 20.
Feat/&FeatChefWisIncrementTitle	Attributerhöhung
Feat/&FeatCripplingDescription	Wenn Sie mit einem Nahkampfangriff treffen, können Sie die Geschwindigkeit Ihres Gegners bis zum Beginn Ihres nächsten Zuges um 10 Fuß reduzieren.
Feat/&FeatCripplingTitle	Kampfstil: Verkrüppeln
Feat/&FeatDexIncrementDescription	Erhöhe deine Geschicklichkeit um 1 bis maximal 20.
Feat/&FeatDexIncrementTitle	Attributerhöhung
Feat/&FeatDualWeaponDefenseDescription	Du erhältst einen Bonus von +1 auf die RK, während du in jeder Hand eine separate Nahkampfwaffe führst.
Feat/&FeatDualWeaponDefenseTitle	Verteidigung mit zwei Waffen
Feat/&FeatFastHandsDescription	Du erhältst Listige Aktion. Du kannst die Aktionen „Verstecken“ oder „Ausrücken“ als Bonusaktion verwenden.\nDu kannst deine List-Aktion nutzen, um einen Geschicklichkeitswurf (Handfertigkeit) zu machen, die Werkzeuge deiner Diebe verwenden, um eine Falle zu entschärfen oder ein Schloss zu öffnen, oder die Aktion „Objekt benutzen“.
Feat/&FeatFastHandsTitle	Schnelle Hände
Feat/&FeatFeyTeleportationChaDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nDu kannst Misty Step einmal pro kurzer Pause verwenden, und du kannst diesen Zauber mit deinen Zauberslots wirken.\nDu erlangst Kenntnisse in Tirmarian.
Feat/&FeatFeyTeleportationChaTitle	Feen-Teleportation (Charisma)
Feat/&FeatFeyTeleportationIntDescription	Erhöhe deine Intelligenz um 1 bis maximal 20.\nDu kannst Misty Step einmal pro kurzer Pause verwenden, und du kannst diesen Zauber mit deinen Zauberslots wirken.\nDu erlangst Kenntnisse in Tirmarian.
Feat/&FeatFeyTeleportationIntTitle	Feen-Teleportation (Intelligenz)
Feat/&FeatFeyTeleportationWisDescription	Erhöhe deine Weisheit um 1 bis maximal 20.\nDu kannst Misty Step einmal pro kurzer Pause verwenden, und du kannst diesen Zauber mit deinen Zauberslots wirken.\nDu erlangst Kenntnisse in Tirmarian.
Feat/&FeatFeyTeleportationWisTitle	Feen-Teleportation (Weisheit)
Feat/&FeatFightingSurgeDexterityDescription	Erhöhe deine Geschicklichkeit um 1 bis maximal 20.\nWenn du am Zug bist, kannst du zusätzlich zu deiner regulären Aktion eine zusätzliche Aktion ausführen. Sobald Sie diese Funktion verwenden, müssen Sie eine lange Pause einlegen, bevor Sie sie erneut verwenden können.
Feat/&FeatFightingSurgeDexterityTitle	Kampfwoge (Geschicklichkeit)
Feat/&FeatFightingSurgeStrengthDescription	Erhöhe deine Stärke um 1 bis maximal 20.\nWenn du am Zug bist, kannst du zusätzlich zu deiner regulären Aktion eine zusätzliche Aktion ausführen. Sobald Sie diese Funktion verwenden, müssen Sie eine lange Pause einlegen, bevor Sie sie erneut verwenden können.
Feat/&FeatFightingSurgeStrengthTitle	Kampf gegen Woge (Stärke)
Feat/&FeatHeavyArmorMasterClassDescription	Du erhältst Resistenz gegen Knüppel-, Hieb- und Stichschaden.
Feat/&FeatHeavyArmorMasterClassTitle	Beherrschung der schweren Verteidigung
Feat/&FeatImprovedCriticalDescription	Ihre Angriffe sind kritische Treffer bei einem Wurf von 19 oder 20.
Feat/&FeatImprovedCriticalTitle	Kritisch verbessert
Feat/&FeatIntIncrementDescription	Erhöhe deine Intelligenz um 1 bis maximal 20.
Feat/&FeatIntIncrementTitle	Erhöhung der Intelligenzattribute
Feat/&FeatLightArmorDescription	Erhöhe deine Stärke um 1 bis maximal 20.\nDu erlangst Kenntnisse im Umgang mit leichter Rüstung.
Feat/&FeatLightArmorProficiencyDescription	Erwerben Sie Kenntnisse im Umgang mit Leichter Rüstung.
Feat/&FeatLightArmorProficiencyTitle	Leichte Rüstung
Feat/&FeatLightArmorTitle	Leichte Rüstung
Feat/&FeatMarksmanDescription	Wenn ein Gegner, den du sehen kannst, dich mit einer Fernkampfwaffe oder einem Zauber angreift und mindestens 3 m von dir entfernt ist, kannst du deine Reaktion nutzen, um einen Fernkampfangriff auszuführen, nachdem der auslösende Angriff beendet ist.
Feat/&FeatMarksmanTitle	Schütze
Feat/&FeatMediumArmorDexDescription	Erhöhe deine Geschicklichkeit um 1 bis maximal 20.\nDu erlangst Kenntnisse im Umgang mit mittlerer Rüstung und Schilden.
Feat/&FeatMediumArmorDexTitle	Mittlere Rüstung (Geschicklichkeit)
Feat/&FeatMediumArmorProficiencyDescription	Du erlangst Kenntnisse im Umgang mit mittlerer Rüstung und Schilden.
Feat/&FeatMediumArmorProficiencyTitle	Mittlere Rüstung
Feat/&FeatMediumArmorStrengthDescription	Erhöhe deine Stärke um 1 bis maximal 20.\nDu erlangst Kenntnisse im Umgang mit mittlerer Rüstung und Schilden.
Feat/&FeatMediumArmorStrengthTitle	Mittlere Rüstung (Stärke)
Feat/&FeatMetamagicAdeptCarefulDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nDu lernst die Vorsichtige Metamagie und erhältst 2 Hexereipunkte.
Feat/&FeatMetamagicAdeptCarefulTitle	Metamagie: Vorsicht
Feat/&FeatMetamagicAdeptDistantDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nDu erlernst die Metamagie der Ferne und erhältst 2 Hexereipunkte.
Feat/&FeatMetamagicAdeptDistantTitle	Metamagisch: Fern
Feat/&FeatMetamagicAdeptEmpoweredDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nDu lernst die ermächtigte Metamagie und erhältst 2 Hexereipunkte.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Metamagisch: Ermächtigt
Feat/&FeatMetamagicAdeptExtendedDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nDu lernst die Erweiterte Metamagie und erhältst 2 Hexereipunkte.
Feat/&FeatMetamagicAdeptExtendedTitle	Metamagie: Erweitert
Feat/&FeatMetamagicAdeptHeightenedDescription	Du erlernst die erhöhte Metamagie und erhältst 4 Hexereipunkte.
Feat/&FeatMetamagicAdeptHeightenedTitle	Metamagie: Erhöht
Feat/&FeatMetamagicAdeptQuickenedDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nDu lernst die beschleunigte Metamagie und erhältst 2 Hexereipunkte.
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamagie: Beschleunigt
Feat/&FeatMetamagicAdeptTwinnedDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nDu lernst die Zwillings-Metamagie und erhältst 2 Hexereipunkte.
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamagisch: Zwillinge
Feat/&FeatPolearmExpertDescription	Diese Vorteile bietet Ihnen Ihre Expertenausbildung mit Stangenwaffen:\n• Wenn du die Aktion „Angriff“ ausführst und nur mit einer Stangenwaffe angreifst, kannst du eine Bonusaktion verwenden, um einen Nahkampfangriff mit dem anderen Ende der Waffe durchzuführen. Dieser Angriff verwendet denselben Fähigkeitsmodifikator wie der Primärangriff. Der Schadenswürfel der Waffe für diesen Angriff ist ein W4 und verursacht Knüppelschaden.\n• Während Sie eine Stangenwaffe führen, provozieren andere Kreaturen einen Gelegenheitsangriff von Ihnen, wenn sie in die Reichweite dieser Waffe gelangen.
Feat/&FeatPolearmExpertTitle	Stangenwaffen-Experte
Feat/&FeatPrimalConstitutionDescription	Erhöhe deine Konstitution um 1 bis maximal 20.\nDu kannst eine Wut als Bonusaktion eingeben, wie in der Klassenfunktion der Wut des Barbaren definiert, mit einem Wutschaden von +1, der mit der Wut des Barbaren kumuliert werden kann. Sobald Sie auf diese Weise gewütet haben, müssen Sie eine lange Pause einlegen, bevor Sie diese Funktion erneut verwenden.\nSolange du keine Rüstung trägst, beträgt deine RK 10 + deinen Geschicklichkeitsmodifikator + deinen Konstitutionsmodifikator.
Feat/&FeatPrimalConstitutionTitle	Urwut (Konstitution)
Feat/&FeatPrimalStrengthDescription	Erhöhe deine Stärke um 1 bis maximal 20.\nDu kannst eine Wut als Bonusaktion eingeben, wie in der Klassenfunktion der Wut des Barbaren definiert, mit einem Wutschaden von +1, der mit der Wut des Barbaren kumuliert werden kann. Sobald Sie auf diese Weise gewütet haben, müssen Sie eine lange Pause einlegen, bevor Sie diese Funktion erneut verwenden.\nSolange du keine Rüstung trägst, beträgt deine RK 10 + deinen Geschicklichkeitsmodifikator + deinen Konstitutionsmodifikator.
Feat/&FeatPrimalStrengthTitle	Urwut (Stärke)
Feat/&FeatPugilistFightingStlyeDescription	Deine waffenlosen Schläge verursachen zusätzlich 1W4 Knüppelschaden und du kannst als Bonusaktion mit deiner Nebenhand schlagen.\nWenn Sie eine freie Hand haben, können Sie als Bonusaktion schubsen.
Feat/&FeatPugilistFightingStlyeTitle	Kampfstil: Faustkämpfer
Feat/&FeatRangedExpertDescription	Ihre Expertenausbildung mit Fernkampfwaffen gewährt Ihnen diese Vorteile:\n• Sie haben keinen Nachteil mehr bei Fernkampfangriffen, wenn sich ein Feind im Umkreis von 1,50 m um Sie befindet.\n• Wenn Sie in Ihrem Zug die Angriffsaktion ausführen, können Sie eine Bonusaktion verwenden, um einen Angriff mit einer einhändigen Fern- oder Wurfwaffe auszuführen.
Feat/&FeatRangedExpertTitle	Fernkampfexperte
Feat/&FeatSavageAttackerDescription	Würfeln Sie Waffen- und Zauberschadenswürfel neu, wenn Sie eine 1 würfeln.
Feat/&FeatSavageAttackerReroll	Da er ein Wilder Angreifer ist, würfelt {0} den {1}-Würfel von einer {2} zu einer {3} neu.
Feat/&FeatSavageAttackerTitle	Wilder Angreifer
Feat/&FeatSentinelDescription	Du hast Techniken gemeistert, um jeden Rückgang der feindlichen Deckung auszunutzen und die folgenden Vorteile zu erzielen:\n• Wenn du eine Kreatur mit einem Gelegenheitsangriff triffst, wird die Geschwindigkeit der Kreatur für den Rest des Zuges 0.\n• Kreaturen provozieren Gelegenheitsangriffe von dir, selbst wenn sie die Aktion Lösen ausführen, bevor sie deine Reichweite verlassen.\n• Wenn eine Kreatur ein anderes Ziel als dich angreift (und dieses Ziel nicht über dieses Talent verfügt), kannst du deine Reaktion nutzen, um einen Nahkampfwaffenangriff gegen die angreifende Kreatur durchzuführen.
Feat/&FeatSentinelTitle	Wächter
Feat/&FeatShadowTouchedChaDescription	Erhöhe dein Charisma-Attribut um 1 bis maximal 20.\nSie erhalten die Fähigkeit, die Unsichtbarkeit zu wirken, Wunden zuzufügen und falsche Lebenszauber einmal pro langer Pause zu wirken, und Sie können diese Zauber mit Ihren Zauberslots wirken.
Feat/&FeatShadowTouchedChaTitle	Schatten berührt (Charisma)
Feat/&FeatShadowTouchedIntDescription	Erhöhe dein Intelligenzattribut um 1 bis maximal 20.\nSie erhalten die Fähigkeit, die Unsichtbarkeit zu wirken, Wunden zuzufügen und falsche Lebenszauber einmal pro langer Pause zu wirken, und Sie können diese Zauber mit Ihren Zauberslots wirken.
Feat/&FeatShadowTouchedIntTitle	Schattenberührt (Intelligenz)
Feat/&FeatShadowTouchedWisDescription	Erhöhe dein Weisheitsattribut um 1 bis maximal 20.\nSie erhalten die Fähigkeit, die Unsichtbarkeit zu wirken, Wunden zuzufügen und falsche Lebenszauber einmal pro langer Pause zu wirken, und Sie können diese Zauber mit Ihren Zauberslots wirken.
Feat/&FeatShadowTouchedWisTitle	Schatten berührt (Weisheit)
Feat/&FeatShadyDescription	Erhöhe deine Geschicklichkeit um 1 bis maximal 20.\nEinmal pro Zug kannst du einer Kreatur, die du mit einem Angriff triffst, der die Voraussetzungen für den Hinterhältigen Angriff des Schurken erfüllt, 1W6 zusätzlichen Schaden zufügen. Auf der 12. Stufe steigt dieser Schaden auf 2W6 und auf der 20. Stufe auf 4W6.
Feat/&FeatShadyTitle	Schattig
Feat/&FeatShieldExpertDescription	Du hast den Umgang mit einem Schild als Waffe geübt. Für dich wird es zu einer Nahkampfwaffe, mit der du vertraut bist und die 1W4 Knüppelschaden verursacht.\nDu verschaffst dir einen Vorteil bei Stoßversuchen, während du einen Schild führst.
Feat/&FeatShieldExpertTitle	Schild-Experte
Feat/&FeatStrengthIncrementDescription	Erhöhe deine Stärke um 1 bis maximal 20.
Feat/&FeatStrengthIncrementTitle	Attributerhöhung
Feat/&FeatTelekineticChaDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nAls Bonusaktion kannst du telekinetisch eine Kreatur schieben oder ziehen, die du innerhalb von 30 Fuß von dir sehen kannst. Dem Ziel muss ein Kraftrettungswurf (SG 8 + dein Kompetenzbonus + dein CH-Modifikator) gelingen oder es muss 1,50 m weit bewegt werden.
Feat/&FeatTelekineticChaPullDescription	Ziehe telekinetisch eine Kreatur zu dir.
Feat/&FeatTelekineticChaPullTitle	Telekinetischer Zug
Feat/&FeatTelekineticChaPushDescription	Schiebe eine Kreatur telekinetisch von dir weg.
Feat/&FeatTelekineticChaPushTitle	Telekinetischer Schub
Feat/&FeatTelekineticChaTitle	Telekinese (Charisma)
Feat/&FeatTelekineticIntDescription	Erhöhe deine Intelligenz um 1 bis maximal 20.\nAls Bonusaktion kannst du telekinetisch eine Kreatur schieben oder ziehen, die du innerhalb von 30 Fuß von dir sehen kannst. Dem Ziel muss ein Kraftrettungswurf (SG 8 + Ihr Kompetenzbonus + Ihr Intelligenzmodifikator) gelingen oder es muss 1,50 m weit bewegt werden.
Feat/&FeatTelekineticIntPullDescription	Ziehe telekinetisch eine Kreatur zu dir.
Feat/&FeatTelekineticIntPullTitle	Telekinetischer Zug
Feat/&FeatTelekineticIntPushDescription	Schiebe eine Kreatur telekinetisch von dir weg.
Feat/&FeatTelekineticIntPushTitle	Telekinetischer Schub
Feat/&FeatTelekineticIntTitle	Telekinetik (Intelligenz)
Feat/&FeatTelekineticWisDescription	Erhöhe deine Weisheit um 1 bis maximal 20.\nAls Bonusaktion kannst du telekinetisch eine Kreatur schieben oder ziehen, die du innerhalb von 30 Fuß von dir sehen kannst. Dem Ziel muss ein Kraftrettungswurf (SG 8 + dein Kompetenzbonus + dein WE-Modifikator) gelingen oder es muss 1,50 m weit bewegt werden.
Feat/&FeatTelekineticWisPullDescription	Ziehe telekinetisch eine Kreatur zu dir.
Feat/&FeatTelekineticWisPullTitle	Telekinetischer Zug
Feat/&FeatTelekineticWisPushDescription	Schiebe eine Kreatur telekinetisch von dir weg.
Feat/&FeatTelekineticWisPushTitle	Telekinetischer Schub
Feat/&FeatTelekineticWisTitle	Telekinese (Weisheit)
Feat/&FeatTitanFightingDescription	Du erhältst +2 auf Treffer gegen Kreaturen der Größe Large oder größer.
Feat/&FeatTitanFightingTitle	Kampfstil: Titanenkampf
Feat/&FeatToughDescription	Dein Trefferpunktmaximum erhöht sich um das Zweifache deiner Stufe, wenn du dieses Talent erlangst. Jedes Mal, wenn Sie danach eine Stufe aufsteigen, erhöht sich Ihr Trefferpunktmaximum um weitere 2 Trefferpunkte.
Feat/&FeatToughTitle	Hart
Feat/&FeatWarCasterDescription	Du verschaffst dir einen Vorteil bei Würfen, um die Konzentration aufrechtzuerhalten.\nDu erhältst die Fähigkeit, die somatische Komponente von Zaubersprüchen auch dann auszuführen, wenn du beide Hände voll hast.\nWenn die Bewegung einer feindlichen Kreatur einen Gelegenheitsangriff von dir provoziert, kannst du deine Reaktion nutzen, um einen Cantrip auf die Kreatur zu wirken, anstatt einen Gelegenheitsangriff durchzuführen. Der Cantrip muss eine Zauberzeit von 1 Aktion oder Bonusaktion haben und darf nur diese Kreatur zum Ziel haben.
Feat/&FeatWarCasterTitle	Kriegswirker
Feat/&FeatWiseDefenseDescription	Erhöhe deine Weisheit um 1 bis maximal 20.\nSolange du keine Rüstung trägst, beträgt deine RK 10 + deinen Geschicklichkeitsmodifikator + deinen Weisheitsmodifikator.
Feat/&FeatWiseDefenseTitle	Weise Verteidigung
Feat/&FeatWisePrecisionDescription	Sie können eine Bonusaktion verwenden, um eine Waffe auszuwählen. Seine Angriffe zählen als magisch und du verwendest deine Weisheit 1 Minute lang für deine Angriffs- und Schadenswürfe. Diese Funktion kann zweimal pro langer Pause verwendet werden.
Feat/&FeatWisePrecisionTitle	Weise Präzision
Feat/&FeatWisIncrementDescription	Erhöhe deine Weisheit um 1 bis maximal 20.
Feat/&FeatWisIncrementTitle	Erhöhung des Weisheitsattributs
Feat/&FeyTeleportationLanguageTirmarianDescription	Du erlangst Kenntnisse in Tirmarian.
Feat/&FeyTeleportationLanguageTirmarianTitle	Tirmarian
Feat/&FightingStyleArcheryDescription	Du erhältst einen Bonus von +2 auf Angriffswürfe mit Fernkampfwaffen.
Feat/&FightingStyleArcheryTitle	Kampfstil: Bogenschießen
Feat/&FightingStyleDefenseDescription	Während du eine Rüstung trägst, erhältst du einen Bonus von +1 auf deine RK.
Feat/&FightingStyleDefenseTitle	Kampfstil: Verteidigung
Feat/&FightingStyleDuelingDescription	Wenn du eine Nahkampfwaffe in einer Hand führst und keine anderen Waffen, erhältst du mit dieser Waffe einen Bonus von +2 auf Schadenswürfe.
Feat/&FightingStyleDuelingTitle	Kampfstil: Duell
Feat/&FightingStyleGeneralFeatDescription	Du kannst einen Kampfstil auswählen.
Feat/&FightingStyleGeneralFeatitle	Kampfstil
Feat/&FightingStyleGreatWeaponDescription	Wenn Sie für einen Angriff, den Sie mit einer Nahkampfwaffe ausführen, die Sie mit zwei Händen führen, eine 1 oder 2 auf einem Schadenswürfel würfeln, können Sie den Würfel erneut würfeln. Sie müssen den neuen Wurf verwenden, auch wenn es eine 1 oder 2 ist. Die Waffe muss die Eigenschaft Zweihand oder Vielseitigkeit haben, damit Sie diesen Vorteil erhalten.
Feat/&FightingStyleGreatWeaponTitle	Kampfstil: Große Waffe
Feat/&FightingStyleProtectionDescription	Wenn eine Kreatur, die du sehen kannst, ein anderes Ziel als dich angreift, das sich innerhalb von 1,50 m von dir entfernt befindet, kannst du deine Reaktion nutzen, um den Angriffswurf zu benachteiligen. Sie müssen einen Schild tragen.
Feat/&FightingStyleProtectionTitle	Kampfstil: Schutz
Feat/&FightingStyleTwoWeaponDescription	Wenn Sie mit zwei Waffen kämpfen, können Sie Ihren Fähigkeitsmodifikator zum Schaden des zweiten Angriffs hinzufügen.
Feat/&FightingStyleTwoWeaponTitle	Kampfstil: Zwei Waffen
Feat/&FlameArtillery_2Description	3W8 Feuerschaden (Kegel).
Feat/&FlameArtillery_2Title	Flammenartillerie (Verbessert)
Feat/&FlameArtilleryConstructDescription	Erzeugt einen Feuerkegel, der bei einem gescheiterten Rettungswurf 2W8 Schaden verursacht.
Feat/&FlameArtilleryConstructDescription_3	Erzeugt einen Feuerkegel, der bei einem fehlgeschlagenen Rettungswurf 3W8 Schaden verursacht.
Feat/&FlameArtilleryConstructTitle	Flammenartillerie-Konstrukt
Feat/&FlameArtilleryConstructTitle_3	Flammenartillerie-Konstrukt
Feat/&FlameArtilleryConstructTitle_5	Flammenartillerie-Konstrukt
Feat/&FlameArtilleryDescription	2W8 Feuerschaden (Kegel).
Feat/&FlameArtilleryTitle	Flammenartillerie
Feat/&ForceArtillery_2Description	3W8 erzwingen Schaden und stoßen das Ziel 1,50 m weit.
Feat/&ForceArtillery_2Title	Force Artillery (Verbessert)
Feat/&ForceArtilleryAdditionalDamageDescription	Das aufgewertete Konstrukt verursacht 1W8 mehr Schaden pro Treffer.
Feat/&ForceArtilleryConstructDescription	Verursacht 2W8 Kraftschaden und stößt das Ziel 1,50 m vom Konstrukt weg.
Feat/&ForceArtilleryConstructDescription_3	Verursacht 3W8 Kraftschaden und stößt das Ziel 1,50 m vom Konstrukt weg.
Feat/&ForceArtilleryConstructTitle	Force-Artillerie-Konstrukt
Feat/&ForceArtilleryConstructTitle_3	Force-Artillerie-Konstrukt
Feat/&ForceArtilleryConstructTitle_5	Force-Artillerie-Konstrukt
Feat/&ForceArtilleryDescription	2W8 Schaden erzwingen und 1,50 m vorstoßen.
Feat/&ForceStrikePowerDescription	Fernkampfangriff 1W6 Machtschaden von deinem treuen Kumpel.
Feat/&ForceStrikePowerTitle	Force Sling (Künstlicher Diener)
Feat/&GauntletsGrappleDescription	Kann Gegner jetzt mit einer Bonusaktion in Nahkampfreichweite ziehen und 1W8 Donnerschaden zufügen.
Feat/&GauntletsGrappleTitle	Gauntlet-Greifer
Feat/&HalfCoverShieldDescription	Verbündete innerhalb von 3 m erhalten +2 RK.
