ActionAffinity/&DHFeeblemindSpellDescription	Невозможно использовать заклинания
Equipment/&Enchanted_Quarterstaff_Dragonblade_Title	Боевой посох драконьего клинка
Equipment/&Enchanted_Quarterstaff_Frostburn_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Оно было разработано Келиандиром Пламенным Сердцем, который выковал это оружие для борьбы с саламандрами после того, как исследование стихийных планов пошло наперекосяк.
Equipment/&Enchanted_Quarterstaff_Frostburn_Title	Боевой посох Frostburn
Equipment/&Enchanted_Quarterstaff_Lightbringer_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Колтаннина. Он был разработан Эльгадором Кинспиритом, Магом-кузнецом Арканеума, для борьбы с нежитью.
Equipment/&Enchanted_Quarterstaff_Lightbringer_Title	Боевой посох Светоносного
Equipment/&Enchanted_Quarterstaff_Souldrinker_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Любимец агентов Silent Whisper, это оружие было разработано Cylordir Redblade.
Equipment/&Enchanted_Quarterstaff_Souldrinker_Title	Боевой посох Испивающего Души
Equipment/&Enchanted_Quarterstaff_Stormblade_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Манакалона. Он был разработан Галаром Стромфорджем, первым дварфским кузнецом, который использовал силу бури в оружии — с разрушительным эффектом!
Equipment/&Enchanted_Quarterstaff_Stormblade_Title	Боевой посох клинка бури
Equipment/&Enchanted_Quarterstaff_Warden_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Манакалона. Он был разработан Илдуриалом Стронгармом, известным мастером клинков из Манакалона. Первый такой клинок, Manacalon Warden, был предложен командиру Еврайда.
Equipment/&Enchanted_Quarterstaff_Warden_Title	Боевой посох надзирателя
Equipment/&Enchanted_Quarterstaff_Whiteburn_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Вайтберн был создан первым Данантаром для борьбы с вторжением троллей, пришедшим из болот к югу от его владений между Сиолтафином и Скарафином.
Equipment/&Enchanted_Quarterstaff_Whiteburn_Title	Посох Уайтберна
Equipment/&Enchanted_Rapier_Dragonblade_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Он был разработан Лесторетом Стилармом для сражения на замерзшем севере Империи.
Equipment/&Enchanted_Rapier_Dragonblade_Title	Рапира драконьего клинка
Equipment/&Enchanted_Rapier_Frostburn_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Оно было разработано Келиандиром Пламенным Сердцем, который выковал это оружие для борьбы с саламандрами после того, как исследование стихийных планов пошло наперекосяк.
Equipment/&Enchanted_Rapier_Frostburn_Title	Ледяная рапира
Equipment/&Enchanted_Rapier_Lightbringer_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Колтаннина. Он был разработан Эльгадором Кинспиритом, Магом-кузнецом Арканеума, для борьбы с нежитью.
Equipment/&Enchanted_Rapier_Lightbringer_Title	Светоносная рапира
Equipment/&Enchanted_Rapier_Power_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Манакалона. Некоторые существа уважают только физическую силу. Чародеи-манакалоны создали эту рапиру, чтобы дать чемпионам Железных легионов силу, которой не давали их эльфийские тела.
Equipment/&Enchanted_Rapier_Power_Title	Рапира силы
Equipment/&Enchanted_Rapier_Souldrinker_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Любимец агентов Silent Whisper, это оружие было разработано Cylordir Redblade.
Equipment/&Enchanted_Rapier_Souldrinker_Title	Рапира пожирателя душ
Equipment/&Enchanted_Rapier_Stormblade_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Манакалона. Он был разработан Галаром Стромфорджем, первым дварфским кузнецом, который использовал силу бури в оружии — с разрушительным эффектом!
Equipment/&Enchanted_Rapier_Stormblade_Title	Рапира клинка бури
Equipment/&Enchanted_Rapier_Warden_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Манакалона. Он был разработан Илдуриалом Стронгармом, известным мастером клинков из Манакалона. Первый такой клинок, Manacalon Warden, был предложен командиру Еврайда.
Equipment/&Enchanted_Rapier_Warden_Title	Рапира надзирателя
Equipment/&Enchanted_Rapier_Whiteburn_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Вайтберн был создан первым Данантаром для борьбы с вторжением троллей, пришедшим из болот к югу от его владений между Сиолтафином и Скарафином.
Equipment/&Enchanted_Rapier_Whiteburn_Title	Уайтберн Рапира
Equipment/&Enchanted_Scimitar_Dragonblade_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Он был разработан Лесторетом Стилармом для сражения на замерзшем севере Империи.
Equipment/&Enchanted_Scimitar_Dragonblade_Title	Ятаган драконьего клинка
Equipment/&Enchanted_Scimitar_Frostburn_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Оно было разработано Келиандиром Пламенным Сердцем, который выковал это оружие для борьбы с саламандрами после того, как исследование стихийных планов пошло наперекосяк.
Equipment/&Enchanted_Scimitar_Frostburn_Title	Ледяной ятаган
Equipment/&Enchanted_Scimitar_Lightbringer_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Колтаннина. Он был разработан Эльгадором Кинспиритом, Магом-кузнецом Арканеума, для борьбы с нежитью.
Equipment/&Enchanted_Scimitar_Lightbringer_Title	Светоносный ятаган
Equipment/&Enchanted_Scimitar_Souldrinker_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Любимец агентов Silent Whisper, это оружие было разработано Cylordir Redblade.
Equipment/&Enchanted_Scimitar_Souldrinker_Title	Скимитар Пожирателя душ
Equipment/&Enchanted_Scimitar_Stormblade_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Манакалона. Он был разработан Галаром Стромфорджем, первым дварфским кузнецом, который использовал силу бури в оружии — с разрушительным эффектом!
Equipment/&Enchanted_Scimitar_Stormblade_Title	Скимитар клинка бури
Equipment/&Enchanted_Scimitar_Warden_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Манакалона. Он был разработан Илдуриалом Стронгармом, известным мастером клинков из Манакалона. Первый такой клинок, Manacalon Warden, был предложен командиру Еврайда.
Equipment/&Enchanted_Scimitar_Warden_Title	Страж Ятаган
Equipment/&Enchanted_Scimitar_Whiteburn_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Вайтберн был создан первым Данантаром для борьбы с вторжением троллей, пришедшим из болот к югу от его владений между Сиолтафином и Скарафином.
Equipment/&Enchanted_Scimitar_Whiteburn_Title	Уайтберн Ятаган
Equipment/&Enchanted_Shield_Deflection_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхенд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_Shield_Deflection_Title	Щит Отражения
Equipment/&Enchanted_Shield_FlameDancing_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_Shield_FlameDancing_Title	Танцующий щит пламени
Equipment/&Enchanted_Shield_FrostWalking_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_Shield_FrostWalking_Title	Щит мороза
Equipment/&Enchanted_Shield_Robustness_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_Shield_Robustness_Title	Щит прочности
Equipment/&Enchanted_Shield_Sturdiness_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_Shield_Sturdiness_Title	Щит прочности
Equipment/&Enchanted_Shield_Survival_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_Shield_Survival_Title	Щит выживания
Equipment/&Enchanted_Shield_Wooden_Deflection_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхенд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_Shield_Wooden_Deflection_Title	Деревянный щит отражения
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Title	Танцующий деревянный щит пламени
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхенд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Title	Деревянный щит ледяной ходьбы
Equipment/&Enchanted_Shield_Wooden_Robustness_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_Shield_Wooden_Robustness_Title	Деревянный щит стойкости
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Title	Деревянный щит прочности
Equipment/&Enchanted_Shield_Wooden_Survival_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_Shield_Wooden_Survival_Title	Деревянный щит выживания
Equipment/&Enchanted_Spear_Acuteness_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Его дизайн был одной из ранних работ Эльгадора Кинспирита, мага-кузнеца Арканеума.
Equipment/&Enchanted_Spear_Acuteness_Title	Копье остроты
Equipment/&Enchanted_Spear_BlackViper_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Манакалона, с использованием копья и яда легендарного паука из глубин Соласты. Создателем клинка был Григг Блэкхарт, печально известный болотный халфлинг-кузнец, работавший в кузницах Аэр Элаи.
Equipment/&Enchanted_Spear_BlackViper_Title	Копье черной гадюки
Equipment/&Enchanted_Spear_Doomblade_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Манакалона. Кеналот Даркмайнд изобрел Роковые клинки как инструмент наказания тех, кто сопротивлялся магии Империи.
Equipment/&Enchanted_Spear_Doomblade_Title	Копье с наконечником рока
Equipment/&Enchanted_Spear_Lightbringer_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Колтаннина. Он был разработан Эльгадором Кинспиритом, Магом-кузнецом Арканеума, для борьбы с нежитью.
Equipment/&Enchanted_Spear_Lightbringer_Title	Копье Светоносного
Equipment/&Enchanted_Spear_Sharpness_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Его дизайн был одной из ранних работ Эльгадора Кинспирита, мага-кузнеца Арканеума.
Equipment/&Enchanted_Spear_Sharpness_Title	Копье остроты
Equipment/&Enchanted_Spear_Whiteburn_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Вайтберн был создан первым Данантаром для борьбы с вторжением троллей, пришедшим из болот к югу от его владений между Сиолтафином и Скарафином.
Equipment/&Enchanted_Spear_Whiteburn_Title	Уайтберн Копье
Equipment/&Enchanted_StuddedLeather_Deflection_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхенд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_StuddedLeather_Deflection_Title	Шипованная кожа отклонения
Equipment/&Enchanted_StuddedLeather_FlameDancing_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_StuddedLeather_FlameDancing_Title	Шипованная кожа огненного танца
Equipment/&Enchanted_StuddedLeather_FrostWalking_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхэнд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_StuddedLeather_FrostWalking_Title	Шипованная кожа ледяной походки
Equipment/&Enchanted_StuddedLeather_Robustness_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхенд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_StuddedLeather_Robustness_Title	Шипованная кожа прочности
Equipment/&Enchanted_StuddedLeather_Sturdiness_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхенд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_StuddedLeather_Sturdiness_Title	Шипованная кожа прочности
Equipment/&Enchanted_StuddedLeather_Survival_Description	Эта зачарованная броня была создана с использованием древних знаний мастеров-оружейников Манакалона. Илдуриал Стронгхенд выковал первый из этих доспехов для личной охраны Императора.
Equipment/&Enchanted_StuddedLeather_Survival_Title	Шипованная кожа выживания
Equipment/&Enchanted_Warhammer_Acuteness_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Его дизайн был одной из ранних работ Эльгадора Кинспирита, мага-кузнеца Арканеума.
Equipment/&Enchanted_Warhammer_Acuteness_Title	Боевой молот остроты
Equipment/&Enchanted_Warhammer_Bearclaw_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Манакалона. Острые шипы медвежьих когтей разрывают броню, нанося дополнительный урон — как и ожидал Ильдуриал Стронгхэнд, создавший первое оружие такого рода.
Equipment/&Enchanted_Warhammer_Bearclaw_Title	Боевой молот медвежьего когтя
Equipment/&Enchanted_Warhammer_Lightbringer_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Колтаннина. Он был разработан Эльгадором Кинспиритом, Магом-кузнецом Арканеума, для борьбы с нежитью.
Equipment/&Enchanted_Warhammer_Lightbringer_Title	Светоносный боевой молот
Equipment/&Enchanted_Warhammer_Power_Description	Это зачарованное оружие было выковано с использованием древних знаний мастеров-кузнецов Манакалона. Некоторые существа уважают только физическую силу. Маги манакалона создали этот боевой молот, чтобы дать чемпионам Железных легионов силу, которую их эльфийские тела не давали.
Equipment/&Enchanted_Warhammer_Power_Title	Боевой молот силы
Equipment/&Enchanted_Warhammer_Punisher_Description	Это зачарованное оружие было создано с использованием древних знаний мастеров-кузнецов Манакалона. Сочетание лучшего металла и рабского камня придало этому топору невероятную пробивную силу.
Equipment/&Enchanted_Warhammer_Punisher_Title	Каратель Вархаммер
Equipment/&HerbalBrewDamageAffinityAcidResistanceDescription	Дает защиту Кислоте на 1 час.
Equipment/&HerbalBrewDamageAffinityAcidResistanceTitle	Отвар кислотной защиты
Equipment/&HerbalBrewDamageAffinityLightningResistanceDescription	Дает защиту молнии на 1 час.
Equipment/&HerbalBrewDamageAffinityLightningResistanceTitle	Отвар защиты от молнии
Equipment/&HerbalBrewDamageAffinityNecroticResistanceDescription	Дает защиту Некротику на 1 час.
Equipment/&HerbalBrewDamageAffinityNecroticResistanceTitle	Отвар некротической защиты
Equipment/&HerbalBrewDamageAffinityPoisonResistanceDescription	Дает защиту от яда на 1 час.
Equipment/&HerbalBrewDamageAffinityPoisonResistanceTitle	Отвар защиты от яда
Equipment/&HerbalBrewDamageAffinityRadiantResistanceDescription	Дает защиту Свету на 1 час.
Equipment/&HerbalBrewDamageAffinityRadiantResistanceTitle	Отвар сияющей защиты
Equipment/&HerbalBrewHealingTitle	Отвар ускорения
Equipment/&HerbalBrewToxifyingTitle	Отравляющий отвар
Equipment/&ImprovedLightningSpearDescription	Теперь может создать преимущество для союзников и неудобство для врагов с помощью одной атаки.
Equipment/&ImprovedLightningSpearTitle	Улучшенное копье молнии
Equipment/&ImprovedThunderPunchDescription	Теперь может притягивать врагов в ближний бой дополнительным действием и наносить урон громом 1D8.
Equipment/&ImprovedThunderPunchTitle	Улучшенный громовой удар
Equipment/&LightningSpearDescription	Урон от молнии 1d6 плюс дополнительно 1D6 один раз за ход
Equipment/&LightningSpearTitle	Молниеносное копье
Equipment/&LivewoodClubDescription	Этот клуб состоит из живого дерева с прорастающими листьями и, возможно, сезонными цветами. Его можно использовать в качестве фокуса для произнесения заклинаний друидов.
Equipment/&LivewoodClubTitle	Клуб Ливвуд
Equipment/&LivewoodStaffDescription	Этот посох состоит из живой древесины с прорастающими листьями и, возможно, сезонными цветами. Его можно использовать в качестве фокуса для произнесения заклинаний друидов.
Equipment/&LivewoodStaffTitle	Посох Ливвуда
Equipment/&ThunderPunchDescription	1D8 урона громом и накладывает помеху на броски атаки против союзников
Equipment/&ThunderPunchTitle	Громовой удар
Equipment/&WandIdentifyDescription	Текст Идентифицирует заклинание, расходуя один заряд. Жезл имеет 3 заряда и восстанавливает 1d3 заряда каждый рассвет.
Equipment/&WandIdentifyTitle	Текстовая палочка идентификации
Failure/&FailureFlagTargetMeleeWeaponError	Невозможно атаковать эту цель в ближнем бою текущим оружием.
Feat/&AddConstructCantripsDescription	Добавляет колдовство, чтобы исцелять и увольнять ваши конструкции.
Feat/&AddConstructCantripsTitle	Создание колдовства
Feat/&AddProtectorConstructCantripDescription	Добавляет заклинания Mending Construct и Dismiss Construct, чтобы повысить гибкость ваших конструкций.
Feat/&AddProtectorConstructCantripTitle	Бонусные колдовские конструкции
Feat/&AlchemistSubclassElixirsDescription	Научитесь делать экспериментальные эликсиры: Исцеление, Быстрота, Стойкость, Смелость, Полет.
Feat/&AlchemistSubclassElixirsTitle	Экспериментальные эликсиры
Feat/&AlchemistSubclassSpellsDescription	{0}
Feat/&AlchemistSubclassSpellsTitle	Изучите заклинания зельеварения
Feat/&ArmorModePoolDescription	Позволяет переключаться между режимами брони
Feat/&ArmorModePoolTitle	Режим брони
Feat/&ArtificerAlchemistAlchemicalSavantDescription	Когда вы исцеляете, вы исцеляете дополнительно 1d4 + ваш уровень HP.
Feat/&ArtificerAlchemistAlchemicalSavantTitle	Выученный эликсир
Feat/&ArtificerAlchemistBoldnessElixirDescription	Цель может бросить d4 и прибавлять выпавшее число к каждому броску атаки и спасброску в следующую минуту.
Feat/&ArtificerAlchemistBoldnessElixirTitle	Эликсир смелости
Feat/&ArtificerAlchemistFlyElixirDescription	Цель может медленно лететь в течение 10 минут.
Feat/&ArtificerAlchemistFlyElixirTitle	Эликсир полета
Feat/&ArtificerAlchemistHealElixirDescription	Исцеляет цель на 2d4 + модификатор Интеллекта
Feat/&ArtificerAlchemistHealElixirTitle	Эликсир исцеления
Feat/&ArtificerAlchemistResilienceElixirDescription	Повышает целевой КД на +1 на 10 минут.
Feat/&ArtificerAlchemistResilienceElixirTitle	Эликсир стойкости
Feat/&ArtificerAlchemistSwiftnessElixirDescription	Увеличивает скорость передвижения цели на 10 футов на 1 час.
Feat/&ArtificerAlchemistSwiftnessElixirTitle	Эликсир скорости
Feat/&ArtificerArtilleristArcaneFirearmDescription	При использовании заклинаний призыва наносит дополнительно 1к8 урона один раз за ход.
Feat/&ArtificerArtilleristArcaneFirearmTitle	Улучшение взрыва
Feat/&ArtificerArtillerstDetonationSpellPreparedDescription	Вы получаете возможность взорвать одно из своих устройств, нанося урон тем, кто находится рядом с целью.
Feat/&ArtificerArtillerstDetonationSpellPreparedTitle	Детонация устройства
Feat/&ArtificerArtillerstImprovedCannonsDescription	Эффект от ваших пушек увеличивается. Дополнительный урон от огня, дополнительная цель от силы и дополнительные временные ХП от щита.
Feat/&ArtificerArtillerstImprovedCannonsTitle	Улучшенные пушки
Feat/&ArtificialServantAttackDescription	Атака на расстоянии 1к6 силового урона от вашего верного помощника
Feat/&ArtificialServantAttackTitle	Силовая праща
Feat/&ArtificialServantDescription	Слуга дружелюбен к вам и вашим спутникам и подчиняется вашим командам
Feat/&ArtificialServantTitle	Искусственный слуга
Feat/&ArtilleristCannonDetonationDescription	Взорвать одно из своих устройств, нанеся 3d8 урона тем, кто находится в пределах 20 футов от целевого местоположения. Спасбросок ловкости позволяет пораженным получить половину урона.
Feat/&ArtilleristCannonDetonationTitle	Детонация устройства
Feat/&ArtilleristFlameCannon15Description	Изрыгайте огонь, нанося врагам 6к8 урона от огня бонусным действием.
Feat/&ArtilleristFlameCannon15Title	Огнемет
Feat/&ArtilleristFlameCannon9Description	Изрыгайте огонь, нанося врагам 3к8 урона от огня бонусным действием.
Feat/&ArtilleristFlameCannon9Title	Огнемет
Feat/&ArtilleristFlameCannonDescription	Изрыгайте огонь, нанося врагам 2к8 урона от огня бонусным действием.
Feat/&ArtilleristFlameCannonTitle	Огнемет
Feat/&ArtilleristForceCannon15Description	Используйте силовую атаку, наносящую 3к8 силового урона цели в качестве бонусного действия на 2 цели.
Feat/&ArtilleristForceCannon15Title	Силовая пушка
Feat/&ArtilleristForceCannon9Description	Используйте силовую атаку, наносящую цели силовой урон 3d8 в качестве бонусного действия.
Feat/&ArtilleristForceCannon9Title	Силовая пушка
Feat/&ArtilleristForceCannonDescription	Используйте силовую атаку, наносящую цели силовой урон 2d8 бонусным действием.
Feat/&ArtilleristForceCannonTitle	Силовая пушка
Feat/&ArtilleristProtectorCannon15Description	Излучайте положительную энергию в качестве бонусного действия. Союзники в пределах 20 футов получают временные хиты 3d8 + ваш модификатор Интеллекта.
Feat/&ArtilleristProtectorCannon15Title	Чародейский щит
Feat/&ArtilleristProtectorCannonDescription	Излучайте положительную энергию в качестве бонусного действия. Союзники в пределах 10 футов получают временные хиты на 1d8 + ваш модификатор Интеллекта.
Feat/&ArtilleristProtectorCannonTitle	Чародейский щит
Feat/&ArtilleristSubclassSpellsDescription	{0}
Feat/&ArtilleristSubclassSpellsTitle	Изучите заклинания бластера
Feat/&ArtilleryConstructDescription	Может повредить или защитить союзников
Feat/&ArtilleryConstructLevel03AutopreparedSpellsDescription	Заговоры: Исправление конструкции, Отключение конструкции\nУровень 1: Возобновление артиллерийской конструкции
Feat/&ArtilleryConstructLevel03AutopreparedSpellsTitle	Создание заклинаний
Feat/&ArtilleryConstructLevel09AutopreparedSpellsDescription	Создание заклинаний
Feat/&ArtilleryConstructLevel09AutopreparedSpellsTitle	Создание заклинаний
Feat/&ArtilleryConstructLevel15AutopreparedSpellsDescription	Создание заклинаний
Feat/&ArtilleryConstructLevel15AutopreparedSpellsTitle	Создание заклинаний
Feat/&ArtilleryConstructTitle	Артиллерийская конструкция
Feat/&ArtilleryConstructTitle_3	Артиллерийская конструкция
Feat/&ArtilleryConstructTitle_5	Артиллерийская конструкция
Feat/&ArtilleryModePoolDescription	Выберите свой артиллерийский режим
Feat/&ArtilleryModePoolTitle	Артиллерийский режим
Feat/&AttackModifierArtificerBattleSmithJolt2Description	Ваши атаки оружием наносят 3 дополнительных урона
Feat/&AttackModifierArtificerBattleSmithJolt2Title	Улучшенный толчок атаки оружием
Feat/&AttackModifierArtificerBattleSmithJoltDescription	Ваши атаки оружием наносят 3 дополнительных урона
Feat/&AttackModifierArtificerBattleSmithJoltTitle	Толчок атаки оружием
Feat/&AutoPreparedSpellsDescription	{0}
Feat/&AutoPreparedSpellsTitle	Изучите заклинания разведчика-стража
Feat/&BattleSmithSubclassSpellsDescription	{0}
Feat/&BattleSmithSubclassSpellsTitle	Изучите заклинания кузнеца оружия
Feat/&CancelFlyingConditionDescription	Завершите состояние полета, чтобы разрешить прыжки и ползание.
Feat/&CancelFlyingConditionTitle	Отменить полет
Feat/&ChefConDescription	Вы получаете +1 к Телосложению. Потратьте 1 час на приготовление еды, чтобы исцелить себя и своих спутников 1d8. Раз в день вы можете потратить час на приготовление угощений, которые при употреблении дают временное здоровье.
Feat/&ChefConTitle	Шеф (Конституция)
Feat/&ChefShortRestFeastDescription	Потратьте 1 час на приготовление еды, которая поможет исцелить вас и ваших спутников 1d8
Feat/&ChefShortRestFeastTitle	Короткий прием пищи
Feat/&ChefWisDescription	Вы получаете +1 к Мудрости. Потратьте 1 час на приготовление еды, чтобы исцелить себя и своих спутников. Раз в день вы можете потратить час на приготовление угощений, которые при употреблении дают временное здоровье.
Feat/&ChefWisTitle	Шеф-повар (Мудрость)
Feat/&ConstructSelectingPoolDescription	Выберите режим для вашей конструкции
Feat/&ConstructSelectingPoolTitle	Артиллерийский режим
Feat/&DismissConstructDescription	Отмените вызов вашей конструкции
Feat/&DismissConstructTitle	Отклонить конструкцию
Feat/&DualFlurryDescription	Вы мастер боя спаренным оружием. В любой ход, когда вы дважды попадаете в ближнем бою, держа по оружию в каждой руке, вы можете совершить дополнительную атаку левой рукой.
Feat/&DualFlurryTitle	Двойной шквал
Feat/&ExtraInfusionSlotsDescription	Вы получаете дополнительные слоты для инфузии, которые следует использовать на доспехах/оружии.
Feat/&ExtraInfusionSlotsTitle	Дополнительные инфузии
Feat/&FeatArcaneDefenseDescription	Увеличьте свой Интеллект на 1, максимум до 20.\nПока вы не носите никаких доспехов, ваш КД равен 10 + ваш модификатор Ловкости + ваш модификатор Интеллекта.
Feat/&FeatArcaneDefenseTitle	Тайная защита
Feat/&FeatArcanePrecisionDescription	При активации на оружии его атаки считаются магическими, и вы используете свой интеллект для бросков атаки и урона. Он длится 1 минуту и ​​может быть использован дважды перед длительным отдыхом.
Feat/&FeatArcanePrecisionTitle	Тайная точность
Feat/&FeatBlindFightingStlyeDescription	У вас есть слепое зрение с диапазоном 10 футов
Feat/&FeatBlindFightingStlyeTitle	Боевой стиль: Бой вслепую
Feat/&FeatBrutalThugDescription	Вы наносите мощные удары в нужных местах.\nВы можете скрытно атаковать боевым оружием и получить мастерство владения оружием.
Feat/&FeatBrutalThugTitle	Жестокий бандит
Feat/&FeatChaIncrementDescription	+1 Харизма
Feat/&FeatChaIncrementTitle	Увеличение атрибута харизмы
Feat/&FeatCharismaticDefenseDescription	Увеличьте свою харизму на 1, максимум до 20.\nПока вы не носите никаких доспехов, ваш КД равен 10 + ваш модификатор Ловкости + ваш модификатор Харизмы.
Feat/&FeatCharismaticDefenseTitle	Харизматическая защита
Feat/&FeatCharismaticPrecisionDescription	При активации на оружии его атаки считаются магическими, и вы используете свою харизму для бросков атаки и урона. Он длится 1 минуту и ​​может быть использован дважды перед длительным отдыхом.
Feat/&FeatCharismaticPrecisionTitle	Харизматическая точность
Feat/&FeatChefConIncrementDescription	+1 Телосложение
Feat/&FeatChefConIncrementTitle	Увеличение атрибута
Feat/&FeatChefWisIncrementDescription	+1 Мудрость
Feat/&FeatChefWisIncrementTitle	Увеличение атрибута
Feat/&FeatCripplingDescription	Уменьшите скорость вашего противника при атаке в ближнем бою до 10 до конца следующего хода.
Feat/&FeatCripplingTitle	Боевой стиль: Калечащий
Feat/&FeatDexIncrementDescription	+1 к ловкости
Feat/&FeatDexIncrementTitle	Увеличение атрибута
Feat/&FeatDualWeaponDefenseDescription	При получении 2 единиц оружия ваш КД увеличивается на 1
Feat/&FeatDualWeaponDefenseTitle	Двойная защита от оружия
Feat/&FeatFastHandsDescription	Вы получаете Хитрое Действие и можете использовать его Бонусное Действие, чтобы совершить проверку Ловкости (Ловкость рук), использовать воровские инструменты, чтобы обезвредить ловушку или открыть замок, или выполнить действие «Использовать предмет».
Feat/&FeatFastHandsTitle	Быстрые руки
