ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken
Feat/&ArtilleristProtectorCannonTitle	Arkaner Schild
Feat/&ArtilleristSubclassSpellsDescription	Stufe 3: Schild, Donnerwelle\nLevel 5: Sengender Strahl, Splitter\nLevel 9: Feuerball, Windwand\nLevel 13: Eissturm, Feuerwand\nLevel 17: Kältekegel, Machtwand
Feat/&ArtilleristSubclassSpellsTitle	Lerne Blaster-Zauber
Feat/&ArtilleryConstructDescription	Kann Verbündete beschädigen oder schützen
Feat/&ArtilleryConstructLevel03AutopreparedSpellsDescription	Cantrips: Ausbesserungskonstrukt, Entlassungskonstrukt\nLevel 1: Artilleriekonstrukt wiederbeschwören
Feat/&ArtilleryConstructLevel03AutopreparedSpellsTitle	Zauber konstruieren
Feat/&ArtilleryConstructLevel09AutopreparedSpellsDescription	Zauber konstruieren
Feat/&ArtilleryConstructLevel09AutopreparedSpellsTitle	Zauber konstruieren
Feat/&ArtilleryConstructLevel15AutopreparedSpellsDescription	Zauber konstruieren
Feat/&ArtilleryConstructLevel15AutopreparedSpellsTitle	Zauber konstruieren
Feat/&ArtilleryConstructTitle	Artillerie-Konstrukt
Feat/&ArtilleryConstructTitle_3	Artillerie-Konstrukt
Feat/&ArtilleryConstructTitle_5	Artillerie-Konstrukt
Feat/&ArtilleryModePoolDescription	Wählen Sie Ihren Artillerie-Modus
Feat/&ArtilleryModePoolTitle	Artillerie-Modus
Feat/&AttackModifierArtificerBattleSmithJolt2Description	Eure Waffenangriffe verursachen 3 zusätzlichen Schaden
Feat/&AttackModifierArtificerBattleSmithJolt2Title	Verbesserter Waffenangriffsruck
Feat/&AttackModifierArtificerBattleSmithJoltDescription	Eure Waffenangriffe verursachen 3 zusätzlichen Schaden
Feat/&AttackModifierArtificerBattleSmithJoltTitle	Waffenangriffsruck
Feat/&AutoPreparedSpellsDescription	Stufe 3 Magische Rakete, Donnerwelle\nLevel 5 Unschärfe, Zerschmetterung\nLevel 9 Lightning Bolt, Wind Wall, Wall of Fire
Feat/&AutoPreparedSpellsTitle	Lernen Sie Scout Sentinel-Zauber
Feat/&BattleSmithSubclassSpellsDescription	Level 3: Schild, Heldentum, Zeichen des Jägers\nLevel 5: Branding Smite, Spirituelle Waffe\nLevel 9: Entferne den Fluch, Leuchtfeuer der Hoffnung\nLevel 13: Feuerschild, Death Ward Level\n17: Massenheilung von Wunden, Mauer der Macht
Feat/&BattleSmithSubclassSpellsTitle	Waffenschmiede-Zauber lernen
Feat/&CancelFlyingConditionDescription	Beenden Sie den Flugzustand, um Springen und Kriechen zu ermöglichen
Feat/&CancelFlyingConditionTitle	Fliegen abbrechen
Feat/&ChefConDescription	Du erhältst +1 auf Konstitution. Verbringen Sie 1 Stunde damit, eine Mahlzeit zu kochen, um sich selbst und Ihre Gefährten zu heilen 1W8. Einmal am Tag können Sie eine Stunde damit verbringen, Leckereien zu kochen, die beim Verzehr vorübergehend HP liefern
Feat/&ChefConTitle	Koch (Verfassung)
Feat/&ChefShortRestFeastDescription	Verbringen Sie 1 Stunde damit, eine Mahlzeit zuzubereiten, die Ihnen und Ihren Gefährten hilft 1W8
Feat/&ChefShortRestFeastTitle	Kurze Pausenmahlzeit
Feat/&ChefWisDescription	Du erhältst +1 auf Weisheit. Verbringen Sie 1 Stunde damit, eine Mahlzeit zu kochen, um sich und Ihre Gefährten zu heilen. Einmal am Tag können Sie eine Stunde damit verbringen, Leckereien zu kochen, die beim Verzehr vorübergehend HP liefern
Feat/&ChefWisTitle	Koch (Weisheit)
Feat/&ConstructSelectingPoolDescription	Wählen Sie den Modus für Ihr Konstrukt
Feat/&ConstructSelectingPoolTitle	Artillerie-Modus
Feat/&DismissConstructDescription	Beschwöre dein Konstrukt
Feat/&DismissConstructTitle	Konstrukt verwerfen
Feat/&DualFlurryDescription	Du bist ein Meister im Kampf mit gepaarten Waffen. In jedem Zug, in dem du zweimal mit Nahkampfangriffen triffst, während du eine Waffe in jeder Hand führst, darfst du einen zusätzlichen Nebenhandangriff ausführen
Feat/&DualFlurryTitle	Zweifacher Flurry
Feat/&ExtraInfusionSlotsDescription	Sie erhalten zusätzliche Infusionsplätze, die für Rüstungen/Waffen verwendet werden sollten
Feat/&ExtraInfusionSlotsTitle	Zusätzliche Aufgüsse
Feat/&FeatArcaneDefenseDescription	Erhöhe deine Intelligenz um 1 bis maximal 20.\nSolange du keine Rüstung trägst, beträgt deine RK 10 + deinen Geschicklichkeitsmodifikator + deinen Intelligenzmodifikator
Feat/&FeatArcaneDefenseTitle	Arkane Verteidigung
Feat/&FeatArcanePrecisionDescription	Wenn eine Waffe aktiv ist, zählen ihre Angriffe als magisch und Sie nutzen Ihre Intelligenz für Ihre Angriffs- und Schadenswürfe. Es hat eine Dauer von 1 Minute und kann vor einer langen Pause zweimal verwendet werden
Feat/&FeatArcanePrecisionTitle	Arkane Präzision
Feat/&FeatBlindFightingStlyeDescription	Sie haben Blindsicht mit einer Reichweite von 10 Fuß
Feat/&FeatBlindFightingStlyeTitle	Kampfstil: Blindes Kämpfen
Feat/&FeatBrutalThugDescription	Du landest mächtige Schläge an den richtigen Stellen.\nSie können Angriffe mit Kampfwaffen heimlich angreifen und Kampfwaffen beherrschen
Feat/&FeatBrutalThugTitle	Brutaler Schläger
Feat/&FeatChaIncrementDescription	+1 Ausstrahlung
Feat/&FeatChaIncrementTitle	Erhöhung des Charisma-Attributs
Feat/&FeatCharismaticDefenseDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nSolange du keine Rüstung trägst, beträgt deine RK 10 + dein Geschicklichkeitsmodifikator + dein Charismamodifikator
Feat/&FeatCharismaticDefenseTitle	Charismatische Verteidigung
Feat/&FeatCharismaticPrecisionDescription	Wenn eine Waffe aktiv ist, zählen ihre Angriffe als magisch und Sie verwenden Ihr Charisma für Ihre Angriffs- und Schadenswürfe. Es hat eine Dauer von 1 Minute und kann vor einer langen Pause zweimal verwendet werden
Feat/&FeatCharismaticPrecisionTitle	Charismatische Präzision
Feat/&FeatChefConIncrementDescription	+1 Verfassung
Feat/&FeatChefConIncrementTitle	Attributerhöhung
Feat/&FeatChefWisIncrementDescription	+1 Weisheit
Feat/&FeatChefWisIncrementTitle	Attributerhöhung
Feat/&FeatDexIncrementDescription	+1 Geschicklichkeit
Feat/&FeatDexIncrementTitle	Attributerhöhung
Feat/&FeatDualWeaponDefenseDescription	Wenn Sie 2 Waffen abgeben, erhöht sich Ihr AC um 1
Feat/&FeatDualWeaponDefenseTitle	Verteidigung mit zwei Waffen
Feat/&FeatFastHandsDescription	Du erhältst eine List-Aktion und kannst die dadurch gewährte Bonus-Aktion verwenden, um eine Geschicklichkeitsprobe (Handfertigkeit) zu machen, die Werkzeuge deiner Diebe zu verwenden, um eine Falle zu entschärfen oder ein Schloss zu öffnen, oder die Aktion Objekt verwenden ausführen
Feat/&FeatFastHandsTitle	Schnelle Hände
Feat/&FeatFeyTeleportationChaDescription	Erhöhe das Charisma-Attribut um 1. Erhalte die Fähigkeit zu Misty Step einmal pro kurzer Pause und lerne den Zauber. Erwerben Sie Kenntnisse in Tirmarian
Feat/&FeatFeyTeleportationChaTitle	Feen-Teleportation (Charisma)
Feat/&FeatFeyTeleportationIntDescription	Erhöhe das Intelligenzattribut um 1. Erhalte die Fähigkeit zu Misty Step einmal pro kurzer Pause und lerne den Zauber. Erwerben Sie Kenntnisse in Tirmarian
Feat/&FeatFeyTeleportationIntTitle	Feen-Teleportation (Intelligenz)
Feat/&FeatFeyTeleportationWisDescription	Erhöhe das Weisheitsattribut um 1. Erhalte die Fähigkeit Nebelschritt einmal pro kurzer Pause und lerne den Zauber. Erwerben Sie Kenntnisse in Tirmarian
Feat/&FeatFeyTeleportationWisTitle	Feen-Teleportation (Weisheit)
Feat/&FeatFightingSurgeDexterityDescription	Erhöhe deine Geschicklichkeit um 1 bis maximal 20.\nIn deinem Zug kannst du zusätzlich zu deiner regulären Aktion und einer möglichen Bonusaktion eine zusätzliche Aktion ausführen. Sobald Sie diese Funktion verwenden, müssen Sie eine lange Pause einlegen, bevor Sie sie erneut verwenden können
Feat/&FeatFightingSurgeDexterityTitle	Kampfwoge (Geschicklichkeit)
Feat/&FeatFightingSurgeStrengthDescription	Erhöhe deine Stärke um 1 bis maximal 20.\nIn deinem Zug kannst du zusätzlich zu deiner regulären Aktion und einer möglichen Bonusaktion eine zusätzliche Aktion ausführen. Sobald Sie diese Funktion verwenden, müssen Sie eine lange Pause einlegen, bevor Sie sie erneut verwenden können
Feat/&FeatFightingSurgeStrengthTitle	Kampf gegen Woge (Stärke)
Feat/&FeatHeavyArmorMasterClassDescription	Resistenz gegen Knüppel-, Hieb- und Stichschaden
Feat/&FeatHeavyArmorMasterClassTitle	Beherrschung der schweren Verteidigung
Feat/&FeatImprovedCriticalDescription	Ihre Angriffe sind kritische Treffer bei einem Wurf von 19 oder 20
Feat/&FeatImprovedCriticalTitle	Kritisch verbessert
Feat/&FeatIntIncrementDescription	+1 Intelligenz
Feat/&FeatIntIncrementTitle	Erhöhung der Intelligenzattribute
Feat/&FeatLightArmorDescription	Erlangen Sie Kenntnisse im Umgang mit Leichter Rüstung und +1 Geschicklichkeit
Feat/&FeatLightArmorProficiencyDescription	Erwerben Sie Kenntnisse im Umgang mit Leichter Rüstung
Feat/&FeatLightArmorProficiencyTitle	Leichte Rüstung
Feat/&FeatLightArmorTitle	Leichte Rüstung
Feat/&FeatMarksmanDescription	Wenn ein sichtbarer Gegner 2 Zellen oder mehr von dir entfernt mit einer Fernkampfwaffe oder einem Zauber angreift, kannst du deine Reaktion nutzen, um nach dem auslösenden Angriff einen Schuss abzugeben
Feat/&FeatMarksmanTitle	Schütze
Feat/&FeatMediumArmorDexDescription	Erlangen Sie Kenntnisse im Umgang mit mittlerer Rüstung und Schilden und +1 Geschicklichkeit
Feat/&FeatMediumArmorDexTitle	Mittlere Rüstung (Geschicklichkeit)
Feat/&FeatMediumArmorProficiencyDescription	Erwerben Sie Kenntnisse im Umgang mit mittlerer Rüstung und Schilden
Feat/&FeatMediumArmorProficiencyTitle	Mittlere Rüstung
Feat/&FeatMediumArmorStrengthDescription	Erlangen Sie Kenntnisse im Umgang mit mittlerer Rüstung und Schilden und +1 Stärke
Feat/&FeatMediumArmorStrengthTitle	Mittlere Rüstung (Stärke)
Feat/&FeatMetamagicAdeptCarefulDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nDu lernst die Vorsichtige Metamagie und erhältst 2 Hexereipunkte
Feat/&FeatMetamagicAdeptCarefulTitle	Metamagie: Vorsicht
Feat/&FeatMetamagicAdeptDistantDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nDu erlernst die Metamagie der Ferne und erhältst 2 Hexereipunkte
Feat/&FeatMetamagicAdeptDistantTitle	Metamagisch: Fern
Feat/&FeatMetamagicAdeptEmpoweredDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nDu lernst die Ermächtigte Metamgik und erhältst 2 Hexereipunkte
Feat/&FeatMetamagicAdeptEmpoweredTitle	Metamagisch: Ermächtigt
Feat/&FeatMetamagicAdeptExtendedDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nDu lernst die Erweiterte Metamagie und erhältst 2 Hexereipunkte
Feat/&FeatMetamagicAdeptExtendedTitle	Metamagie: Erweitert
Feat/&FeatMetamagicAdeptHeightenedDescription	Du erlernst die erhöhte Metamagie und erhältst 4 Hexereipunkte
Feat/&FeatMetamagicAdeptHeightenedTitle	Metamagie: Erhöht
Feat/&FeatMetamagicAdeptQuickenedDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nDu lernst die Quickned-Metamagie und erhältst 2 Hexereipunkte
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamagie: Beschleunigt
Feat/&FeatMetamagicAdeptTwinnedDescription	Erhöhe dein Charisma um 1 bis maximal 20.\nDu lernst die Zwillings-Metamagie und erhältst 2 Hexereipunkte
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamagisch: Zwillinge
Feat/&FeatPrimalConstitutionDescription	Erhöhe deine Konstitution um 1 bis maximal 20.\nDu kannst eine Wut als Bonusaktion eingeben, wie in der Klassenfunktion der Wut des Barbaren definiert, mit einem Wutschaden von +1, der mit der Wut des Barbaren kumuliert werden kann. Sobald Sie auf diese Weise gewütet haben, müssen Sie eine lange Pause einlegen, bevor Sie diese Funktion erneut verwenden.\nSolange du keine Rüstung trägst, beträgt deine RK 10 + deinen Geschicklichkeitsmodifikator + deinen Konstitutionsmodifikator
Feat/&FeatPrimalConstitutionTitle	Urwut (Konstitution)
Feat/&FeatPrimalStrengthDescription	Erhöhe deine Stärke um 1 bis maximal 20.\nDu kannst eine Wut als Bonusaktion eingeben, wie in der Klassenfunktion der Wut des Barbaren definiert, mit einem Wutschaden von +1, der mit der Wut des Barbaren kumuliert werden kann. Sobald Sie auf diese Weise gewütet haben, müssen Sie eine lange Pause einlegen, bevor Sie diese Funktion erneut verwenden.\nSolange du keine Rüstung trägst, beträgt deine RK 10 + deinen Geschicklichkeitsmodifikator + deinen Konstitutionsmodifikator
Feat/&FeatPrimalStrengthTitle	Urwut (Stärke)
Feat/&FeatPugilistFightingStlyeDescription	Während Sie völlig unbewaffnet sind, verursachen Ihre unbewaffneten Schläge einen zusätzlichen W8 Schaden und Sie können als Bonusaktion mit Ihrer Nebenhand schlagen
Feat/&FeatPugilistFightingStlyeTitle	Kampfstil: Faustkämpfer
Feat/&FeatSavageAttackerDescription	Waffen- und Zauberschadenswürfel neu würfeln, wenn sie eine 1 würfeln (nicht alle Schadensquellen neu würfeln, z. B. ausgenommen Sneak Attack und Smite)
Feat/&FeatSavageAttackerReroll	Da er ein Wilder Angreifer ist, würfelt {0} den {1}-Würfel von einer {2} zu einer {3} neu.
Feat/&FeatSavageAttackerTitle	Wilder Angreifer
Feat/&FeatShadowTouchedChaDescription	Erhöhe das Charisma-Attribut um 1. Erhalte die Fähigkeit, Unsichtbarkeit, Wunden zufügen und Falsches Leben einmal pro langer Pause zu wirken und lerne die Zauber
Feat/&FeatShadowTouchedChaTitle	Schatten berührt (Charisma)
Feat/&FeatShadowTouchedIntDescription	Erhöhe das Intelligenzattribut um 1. Erhalte die Fähigkeit, Unsichtbarkeit, Wunden zufügen und Falsches Leben einmal pro langer Pause zu wirken und lerne die Zauber
Feat/&FeatShadowTouchedIntTitle	Schattenberührt (Intelligenz)
Feat/&FeatShadowTouchedWisDescription	Erhöhe das Weisheitsattribut um 1. Erhalte die Fähigkeit, Unsichtbarkeit, Wunden zufügen und Falsches Leben einmal pro langer Pause zu wirken und lerne die Zauber
Feat/&FeatShadowTouchedWisTitle	Schatten berührt (Weisheit)
Feat/&FeatShadyDescription	Erhöhe deine Geschicklichkeit um 1 bis maximal 20.\nEinmal pro Zug kannst du einer Kreatur, die du mit einem Angriff triffst, der einem Hinterhältigen Angriff des Schurken entspricht, 1W6 zusätzlichen Schaden zufügen. Auf der 12. Stufe erhöht sich dieser Schaden auf 2W6 und auf der 20. Stufe auf 4W6. Dies kann mit Rogue's Sneak Attack gestapelt werden
Feat/&FeatShadyTitle	Schattig
Feat/&FeatStrengthIncrementDescription	+1 Stärke
Feat/&FeatStrengthIncrementTitle	Attributerhöhung
Feat/&FeatTelekineticChaDescription	Erhöhe das Charisma-Attribut um 1. Erhalte eine Bonus-Aktionsfähigkeit, um Kreaturen zu schieben oder zu ziehen
Feat/&FeatTelekineticChaPullDescription	Ziehe telekinetisch eine Kreatur zu dir
Feat/&FeatTelekineticChaPullTitle	Telekinetischer Zug
Feat/&FeatTelekineticChaPushDescription	Schiebe eine Kreatur telekinetisch von dir weg
Feat/&FeatTelekineticChaPushTitle	Telekinetischer Schub
Feat/&FeatTelekineticChaTitle	Telekinese (Charisma)
Feat/&FeatTelekineticIntDescription	Erhöhe das Intelligenzattribut um 1. Erhalte eine Bonus-Aktionsfähigkeit, um Kreaturen zu schieben oder zu ziehen
Feat/&FeatTelekineticIntPullDescription	Ziehe telekinetisch eine Kreatur zu dir
Feat/&FeatTelekineticIntPullTitle	Telekinetischer Zug
Feat/&FeatTelekineticIntPushDescription	Schiebe eine Kreatur telekinetisch von dir weg
Feat/&FeatTelekineticIntPushTitle	Telekinetischer Schub
Feat/&FeatTelekineticIntTitle	Telekinetik (Intelligenz)
Feat/&FeatTelekineticWisDescription	Erhöhe das Weisheitsattribut um 1. Erhalte eine Bonus-Aktionsfähigkeit, um Kreaturen zu schieben oder zu ziehen
Feat/&FeatTelekineticWisPullDescription	Ziehe telekinetisch eine Kreatur zu dir
Feat/&FeatTelekineticWisPullTitle	Telekinetischer Zug
Feat/&FeatTelekineticWisPushDescription	Schiebe eine Kreatur telekinetisch von dir weg
Feat/&FeatTelekineticWisPushTitle	Telekinetischer Schub
Feat/&FeatTelekineticWisTitle	Telekinese (Weisheit)
Feat/&FeatToughDescription	Dein Trefferpunktmaximum erhöht sich um das Zweifache deiner Stufe, wenn du dieses Talent erlangst. Jedes Mal, wenn Sie danach eine Stufe aufsteigen, erhöht sich Ihr Trefferpunktmaximum um weitere 2 Trefferpunkte
Feat/&FeatToughTitle	Hart
Feat/&FeatWarCasterDescription	Du verschaffst dir einen Vorteil bei Würfen, um die Konzentration aufrechtzuerhalten. Sie erhalten die Fähigkeit, die somatische Komponente von Zaubersprüchen auch mit vollen Händen auszuführen. Du erhältst +2 auf Zauberangriffswürfe
Feat/&FeatWarCasterTitle	Kriegswirker
Feat/&FeatWiseDefenseDescription	Erhöhe deine Weisheit um 1 bis maximal 20.\nSolange du keine Rüstung trägst, beträgt deine RK 10 + deinen Geschicklichkeitsmodifikator + deinen Weisheitsmodifikator
Feat/&FeatWiseDefenseTitle	Weise Verteidigung
Feat/&FeatWisePrecisionDescription	Wenn eine Waffe aktiv ist, zählen ihre Angriffe als magisch und Sie verwenden Ihre Weisheit für Ihre Angriffs- und Schadenswürfe. Es hat eine Dauer von 1 Minute und kann vor einer langen Pause zweimal verwendet werden
Feat/&FeatWisePrecisionTitle	Weise Präzision
Feat/&FeatWisIncrementDescription	+1 Weisheit
Feat/&FeatWisIncrementTitle	Erhöhung des Weisheitsattributs
Feat/&FeyTeleportationLanguageTirmarianDescription	Erwerben Sie Kenntnisse in Tirmarian
Feat/&FeyTeleportationLanguageTirmarianTitle	Tirmarian
Feat/&FightingStyleArcheryDescription	Du erhältst einen Bonus von +2 auf Angriffswürfe mit Fernkampfwaffen
Feat/&FightingStyleArcheryTitle	Kampfstil: Bogenschießen
Feat/&FightingStyleDefenseDescription	Während du eine Rüstung trägst, erhältst du einen Bonus von +1 auf die RK
Feat/&FightingStyleDefenseTitle	Kampfstil: Verteidigung
Feat/&FightingStyleDuelingDescription	Wenn du eine Nahkampfwaffe in einer Hand führst und keine anderen Waffen, erhältst du mit dieser Waffe einen Bonus von +2 auf Schadenswürfe
Feat/&FightingStyleDuelingTitle	Kampfstil: Duell
Feat/&FightingStyleGeneralFeatDescription	Du kannst einen Kampfstil auswählen
Feat/&FightingStyleGeneralFeatitle	Kampfstil
Feat/&FightingStyleGreatWeaponDescription	Wenn Sie für einen Angriff, den Sie mit einer Nahkampfwaffe ausführen, die Sie mit zwei Händen führen, eine 1 oder 2 auf einem Schadenswürfel würfeln, können Sie den Würfel erneut würfeln. Sie müssen den neuen Wurf verwenden, auch wenn es eine 1 oder 2 ist. Die Waffe muss die Eigenschaft Zweihand oder Vielseitigkeit haben, damit Sie diesen Vorteil erhalten
Feat/&FightingStyleGreatWeaponTitle	Kampfstil: Große Waffe
Feat/&FightingStyleProtectionDescription	Wenn eine Kreatur, die du sehen kannst, ein anderes Ziel als dich angreift, das sich innerhalb von 1,50 m von dir entfernt befindet, kannst du deine Reaktion nutzen, um den Angriffswurf zu benachteiligen. Sie müssen einen Schild tragen
Feat/&FightingStyleProtectionTitle	Kampfstil: Schutz
Feat/&FightingStyleTwoWeaponDescription	Wenn Sie mit zwei Waffen kämpfen, können Sie Ihren Fähigkeitsmodifikator zum Schaden des zweiten Angriffs hinzufügen
Feat/&FightingStyleTwoWeaponTitle	Kampfstil: Zwei Waffen
Feat/&FlameArtillery_2Description	3W8 Feuerschaden (Kegel)
Feat/&FlameArtillery_2Title	Flammenartillerie (Verbessert)
Feat/&FlameArtilleryConstructDescription	Erzeugt einen Feuerkegel, der bei einem gescheiterten Rettungswurf 2W8 Schaden verursacht
Feat/&FlameArtilleryConstructDescription_3	Erzeugt einen Feuerkegel, der bei einem fehlgeschlagenen Rettungswurf 3W8 Schaden verursacht.
Feat/&FlameArtilleryConstructTitle	Flammenartillerie-Konstrukt
Feat/&FlameArtilleryConstructTitle_3	Flammenartillerie-Konstrukt
Feat/&FlameArtilleryConstructTitle_5	Flammenartillerie-Konstrukt
Feat/&FlameArtilleryDescription	2W8 Feuerschaden (Kegel)
Feat/&FlameArtilleryTitle	Flammenartillerie
Feat/&ForceArtillery_2Description	3W8 Schaden erzwingen und Ziel 1,50 m weit schieben
Feat/&ForceArtillery_2Title	Force Artillery (Verbessert)
Feat/&ForceArtilleryAdditionalDamageDescription	Das aufgewertete Konstrukt verursacht 1W8 mehr Schaden pro Treffer
Feat/&ForceArtilleryConstructDescription	Verursacht 2W8 Kraftschaden und stößt den Gegner 1,50 m vom Konstrukt weg
Feat/&ForceArtilleryConstructDescription_3	Verursacht 3W8 Kraftschaden und stößt den Gegner 1,50 m vom Konstrukt weg.
Feat/&ForceArtilleryConstructTitle	Force-Artillerie-Konstrukt
Feat/&ForceArtilleryConstructTitle_3	Force-Artillerie-Konstrukt
Feat/&ForceArtilleryConstructTitle_5	Force-Artillerie-Konstrukt
Feat/&ForceArtilleryDescription	2W8 Schaden erzwingen und 1,50 m vorstoßen
Feat/&ForceStrikePowerDescription	Fernkampfangriff 1W6 Machtschaden von deinem treuen Kumpel
Feat/&ForceStrikePowerTitle	Force Sling (Künstlicher Diener)
Feat/&GauntletsGrappleDescription	Kann Gegner jetzt mit einer Bonusaktion in Nahkampfreichweite ziehen und 1W8 Donnerschaden zufügen
Feat/&GauntletsGrappleTitle	Gauntlet-Greifer
Feat/&HalfCoverShieldDescription	Gibt 2 AC innerhalb von 10 Fuß
Feat/&HalfCoverShieldTitle	Kuppel mit halber Abdeckung
Feat/&HealerDescription	Sie erwerben Kenntnisse oder Fachkenntnisse in Medizinprüfungen. Du erhältst die Fähigkeit, eine sterbende Kreatur zu stabilisieren sowie eine Kreatur, die in den letzten 12 Sekunden gestorben ist, einmal pro langer Pause wiederzubeleben. Du kannst eine Aktion verwenden, um 1W6 + 4 + Trefferpunkte auf Charakterstufe so oft pro kurzer Pause wiederherzustellen, wie es deinem WE-Modifikator entspricht
Feat/&HealerResuscitateDescription	Verwenden Sie eine Aktion, um eine Kreatur wiederzubeleben, die innerhalb der letzten 15 Sekunden gestorben ist
Feat/&HealerResuscitateTitle	Reanimieren
Feat/&HealerStabilizeDescription	Verwenden Sie eine Aktion, um eine sterbende Kreatur zu stabilisieren
Feat/&HealerStabilizeTitle	Stabilisieren
Feat/&HealerTitle	Heiler
Feat/&HealerUseMedicineDescription	Du kannst eine Aktion verwenden, um 1W6 + 4 + Trefferpunkte auf Charakterstufe so oft pro kurzer Pause wiederherzustellen, wie es deinem WE-Modifikator entspricht
Feat/&HealerUseMedicineTitle	Verwenden Sie Medizin
Feat/&IncreaseConstructSelectingDescription	Du kannst jetzt zwei Artilleriekonstrukte beschwören. Die Konstrukte können den gleichen oder unterschiedliche Modi aufweisen
Feat/&IncreaseConstructSelectingTitle	Verstärkung
Feat/&InspiringLeaderDescription	Verbringen Sie 10 Minuten damit, bis zu 6 freundliche Kreaturen (darunter auch Sie selbst) innerhalb von 30 Fuß von Ihnen zu inspirieren. Jede Kreatur erhält temporäre Trefferpunkte in Höhe deiner Stufe + deines Charisma-Modifikators. Einmal pro kurzer Pause verwendbar
Feat/&InspiringLeaderTitle	Inspirierende Führungskraft
Feat/&IntToAttackAndDamageDescription	Fügen Sie Int anstelle von Str oder Dex zu Ihren Rüstungswaffen hinzu
Feat/&IntToAttackAndDamageTitle	Amror-Waffe
Feat/&MendingConstructDescription	Repariere dein Konstrukt für 2W6 über 1 Minute
Feat/&MendingConstructTitle	Ausbesserungskonstrukt
Feat/&ModeSwitchingPoolDescription	Sie können einmal täglich zwischen den Modi wechseln, indem Sie temporäre Waffen erstellen und verwenden
Feat/&ModeSwitchingPoolTitle	Rüstungsmodus
Feat/&MoonlitBonusCantripsDescription	Ihre Kontrolle über das Mondlicht hat sich so weit verbessert, dass Sie Moonbeam und Feenfeuer nach Belieben wirken können
Feat/&MoonlitBonusCantripsTitle	Lichtsteuerung
Feat/&PickPocketFeatDescription	Sie erwerben Kenntnisse im Umgang mit Fingerfertigkeit oder Fachwissen, wenn Sie bereits geübt sind. Sie haben auch einen Vorteil bei Fertigkeitswürfen für Fingerfertigkeit
Feat/&PickPocketFeatTitle	Taschendieb
Feat/&PowerAlchemistEmboldeningShotsDescription	Du erhältst die Fähigkeit, ein Elixier zu verabreichen, das deine Verbündeten ermutigt und ihnen vorübergehend 4W6+Intelligenzmodifikator-Trefferpunkte verleiht
Feat/&PowerAlchemistEmboldeningShotsTitle	Ermutigende Aufnahmen
Feat/&PowerAlchemistGreaterRestorativeElixirsDescription	Einmal am Tag kannst du „Große Wiederherstellung“ wirken
Feat/&PowerAlchemistGreaterRestorativeElixirsTitle	Größere Wiederherstellung
Feat/&PowerAlchemistHealElixirsDescription	Einmal am Tag kannst du Heilen wirken
Feat/&PowerAlchemistHealElixirsTitle	Heilen
Feat/&PowerAlchemistRestorativeElixirsDescription	Du kannst Geringe Rotation wirken, ohne einen Zauberslot zu verbrauchen. Du kannst dies so oft pro langer Pause tun, wie es deinem Intelligenzmodifikator entspricht
Feat/&PowerAlchemistRestorativeElixirsTitle	Wiederherstellende Elixiere
Feat/&PowerAttackFeatDescription	Sie haben gelernt, Genauigkeit gegen tödlichere/härtere Schläge einzutauschen. Du kannst einen Malus von -{0} auf deinen Treffer erleiden, um mehr Schaden zu verursachen (+{0} Schaden für einhändige Waffen, +{1} Schaden für zweihändige Waffen). Hält nach Aktivierung für die gesamte Runde an. Funktioniert mit Nah- und Fernkampfwaffen
Feat/&PowerAttackFeatTitle	Machtangriff
Feat/&PowerFalseLifeFromFeatDescription	Wenn du dich mit einem nekromantischen Abbild des Lebens stärkst, erhältst du für die Dauer 1W4+4 temporäre Trefferpunkte
Feat/&PowerFalseLifeFromFeatTitle	Falsches Leben
Feat/&PowerInflictWoundsFromFeatDescription	Führe einen Nahkampfzauberangriff gegen eine Kreatur durch, die du erreichen kannst. Bei einem Treffer erleidet das Ziel 3W10 nekrotischen Schaden
Feat/&PowerInflictWoundsFromFeatTitle	Wunden zufügen
Feat/&PowerInvisibilityFromFeatDescription	Eine Kreatur, die du berührst, wird unsichtbar, bis der Zauber endet. Alles, was das Ziel trägt oder trägt, ist unsichtbar, solange es am Körper des Ziels ist. Der Zauber endet für ein Ziel, das angreift oder einen Zauber wirkt
Feat/&PowerInvisibilityFromFeatTitle	Unsichtbarkeit
Feat/&PowerMistyStepFromFeatDescription	Kurz von silbrigem Nebel umgeben, teleportierst du dich bis zu 30 Fuß zu einem unbesetzten Raum, den du sehen kannst
Feat/&PowerMistyStepFromFeatTitle	Nebliger Schritt
Feat/&PowerShadowTouchedFromFeatDescription	Lerne, die Zauber Unsichtbarkeit, Falsches Leben und Wunden zufügen zu wirken
Feat/&PowerShadowTouchedFromFeatTitle	Lerne Unsichtbarkeit, falsches Leben und füge Wunden zu
Feat/&ProfChefTreatActionDescription	Iss eine Leckerei als Bonusaktion und erhalte 5 temporäre Trefferpunkte
Feat/&ProfChefTreatActionTitle	Leckerbissen des Chefkochs essen
