ActionAffinity/&DHFeeblemindSpellDescription	Unfähig zu zaubern
Feat/&FeatFightingSurgeStrengthTitle	Kampfeswut (Stärke)
Feat/&FeatHeavyArmorMasterClassDescription	Resistenz gegen Hieb-, Stich- und Stoßschaden.
Feat/&FeatHeavyArmorMasterClassTitle	Schwere-Verteidigungs-Meisterschaft
Feat/&FeatImprovedCriticalDescription	Deine Angriffe sind kritische Treffer bei einem Wurf von 19 oder 20.
Feat/&FeatImprovedCriticalTitle	Verbesserter kritischer Treffer
Feat/&FeatIntIncrementDescription	+1 Intelligenz
Feat/&FeatIntIncrementTitle	Intelligenz-Attribut-Erhöhung
Feat/&FeatLightArmorDescription	Beherrschung von Leichter Rüstung und +1 Geschicklichkeit
Feat/&FeatLightArmorProficiencyDescription	Beherrschung von Leichter Rüstung
Feat/&FeatLightArmorProficiencyTitle	Leichte Rüstung
Feat/&FeatLightArmorTitle	Leichte Rüstung
Feat/&FeatMediumArmorDexDescription	Beherrschung von Mittlerer Rüstung und Schilden und +1 Geschicklichkeit
Feat/&FeatMediumArmorDexTitle	Mittlere Rüstung (Geschicklichkeit)
Feat/&FeatMediumArmorProficiencyDescription	Erlangt die Befähigung für Mittlere Rüstung und Schilde
Feat/&FeatMediumArmorProficiencyTitle	Mittlere Rüstung
Feat/&FeatMediumArmorStrengthDescription	Erlangt die Befähigung für Mittlere Rüstung und Schilde und +1 Stärke
Feat/&FeatMediumArmorStrengthTitle	Mittlere Rüstung (Stärke)
Feat/&FeatMetamagicAdeptCarefulDescription	Erhöhe dein Charisma um 1, bis zu einem Maximum von 20.\nDu erlernst die Metamagie Vorsicht und erhältst 2 Zauberpunkte.
Feat/&FeatMetamagicAdeptCarefulTitle	Metamagie: Sorgfältig
Feat/&FeatMetamagicAdeptDistantDescription	Erhöhe dein Charisma um 1 auf maximal 20.\nDu erlernst die Metamagie Distanz und erhältst 2 Zauberpunkte.
Feat/&FeatMetamagicAdeptDistantTitle	Metamagie: Ferne
Feat/&FeatMetamagicAdeptEmpoweredDescription	Erhöhe dein Charisma um 1 auf maximal 20.\nDu erlernst die Metamagie Ermächtigt und erhältst 2 Zauberpunkte.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Metamagie: Mächtig
Feat/&FeatMetamagicAdeptExtendedDescription	Erhöhe dein Charisma um 1 auf maximal 20.\n Du erlernst die Metamagie Erweitert und erhältst 2 Zaubereipunkte.
Feat/&FeatMetamagicAdeptExtendedTitle	Metamagie: Erweitert
Feat/&FeatMetamagicAdeptHeightenedDescription	Du erlernst die Metamagie Erhöht und erhältst 4 Zaubereipunkte.
Feat/&FeatMetamagicAdeptHeightenedTitle	Metamagie: Erhöht
Feat/&FeatMetamagicAdeptQuickenedDescription	Erhöhe dein Charisma um 1, bis zu einem Maximum von 20. Du erlernst die Metamagie Schnelligkeit und erhältst 2 Zauberpunkte.
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamagie: Beflügelt
Feat/&FeatMetamagicAdeptTwinnedDescription	Erhöhe dein Charisma um 1 auf maximal 20.\n Du erlernst die Metamagie Zwillinge und erhältst 2 Zaubereipunkte.
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamagie: Zwillinge
Feat/&FeatPrimalConstitutionDescription	Erhöhe deine Konstitution um 1 auf maximal 20.\nDu kannst eine Wut als Bonusaktion ausführen, wie in der Klassenfunktion Wut des Barbaren definiert, mit +1 Wutschaden, der sich mit der Wut des Barbaren stapeln kann. Sobald du auf diese Weise gewütet hast, musst du eine lange Ruhepause einlegen, bevor du diese Eigenschaft erneut einsetzen kannst.\n Solange du keine Rüstung trägst, entsprechen deine AC 10 + dein Konstitutionsmodifikator.
Feat/&FeatPrimalConstitutionTitle	Ursprüngliche Wut (Konstitution)
Feat/&FeatPrimalStrengthDescription	Erhöhe deine Stärke um 1, bis zu einem Maximum von 20.\nDu kannst eine Wut als Bonusaktion einsetzen, wie in der Klassenfunktion Wut des Barbaren definiert, mit +1 Wutschaden, der sich mit der Wut des Barbaren stapeln kann. Sobald du auf diese Weise gewütet hast, musst du eine lange Ruhepause einlegen, bevor du diese Eigenschaft erneut einsetzen kannst.\n Solange du keine Rüstung trägst, entsprechen deine AC 10 + dein Konstitutionsmodifikator.
Feat/&FeatPrimalStrengthTitle	Ursprüngliche Wut (Stärke)
Feat/&FeatPugilistFightingStlyeDescription	Solange du völlig unbewaffnet bist, verursachen deine unbewaffneten Schläge zusätzlich d8 Schaden und du kannst als Bonusaktion mit deiner Unterhand zuschlagen.
Feat/&FeatPugilistFightingStlyeTitle	Kampfstil: Pugilist
Feat/&FeatSavageAttackerDescription	Wirf Waffen- und Zauberschadenswürfel neu, wenn sie eine 1 würfeln (es werden nicht alle Schadensquellen neu gewürfelt, z. B. sind Schleichangriff und Peiniger ausgeschlossen).
Feat/&FeatSavageAttackerReroll	Da es sich um einen Wilden Angreifer handelt, würfelt {0} den {1} Würfel von {2} auf {3} um.
Feat/&FeatSavageAttackerTitle	Wilder Angreifer
Feat/&FeatShadowTouchedChaDescription	Erhöhe das Charisma-Attribut um 1. Erhalte die Fähigkeit, Unsichtbarkeit, Wunden zufügen und Falsches Leben einmal pro langer Pause zu wirken und die Zauber zu erlernen.
Feat/&FeatShadowTouchedChaTitle	Vom Schatten berührt (Charisma)
Feat/&FeatShadowTouchedIntDescription	Erhöht das Intelligenz-Attribut um 1. Erlangt die Fähigkeit, einmal pro langer Ruhezeit Unsichtbarkeit, Wunden zufügen und Falsches Leben zu wirken und erlernt die Zaubersprüche.
Feat/&FeatShadowTouchedIntTitle	Schattenberührt (Intelligenz)
Feat/&FeatShadowTouchedWisDescription	Erhöht das Attribut Weisheit um 1. Erlangt die Fähigkeit, einmal pro langer Ruhezeit Unsichtbarkeit, Wunden zufügen und Falsches Leben zu wirken und erlernt die Zaubersprüche.
Feat/&FeatShadowTouchedWisTitle	Schattenberührt (Weisheit)
Feat/&FeatShadyDescription	Erhöhe deine Geschicklichkeit um 1, bis zu einem Maximum von 20.\nEinmal pro Runde kannst du einer Kreatur, die du mit einem Angriff triffst, der dem Schleichangriff des Schurken entspricht, zusätzlich 1d6 Schaden zufügen. Ab Stufe 12 erhöht sich dieser Schaden auf 2d6 und ab Stufe 20 auf 4d6. Diese Fähigkeit kann mit dem Schleichangriff des Schurken kombiniert werden.
Feat/&FeatShadyTitle	Schattig
Feat/&FeatStrengthIncrementDescription	+1 Stärke
Feat/&FeatStrengthIncrementTitle	Attribut Erhöhung
Feat/&FeatTelekineticChaDescription	Erhöhe das Charisma-Attribut um 1. Erhalte eine Bonusaktionsfähigkeit, um Kreaturen zu schubsen oder zu ziehen.
Feat/&FeatTelekineticChaPullDescription	Ziehe eine Kreatur telekinetisch zu dir.
Feat/&FeatTelekineticChaPullTitle	Telekinetisches Ziehen
Feat/&FeatTelekineticChaPushDescription	Stoße eine Kreatur telekinetisch von dir weg.
Feat/&FeatTelekineticChaPushTitle	Telekinetischer Stoß
Feat/&FeatTelekineticChaTitle	Telekinetisch (Charisma)
Feat/&FeatTelekineticIntDescription	Erhöhe das Intelligenz-Attribut um 1. Erhalte eine Bonus-Aktionsfähigkeit, um Kreaturen zu schieben oder zu ziehen.
Feat/&FeatTelekineticIntPullDescription	Ziehe eine Kreatur telekinetisch zu dir.
Feat/&FeatTelekineticIntPullTitle	Telekinetisches Ziehen
Feat/&FeatTelekineticIntPushDescription	Stoße eine Kreatur telekinetisch von dir weg.
Feat/&FeatTelekineticIntPushTitle	Telekinetischer Stoß
Feat/&FeatTelekineticIntTitle	Telekinetisch (Intelligenz)
Feat/&FeatTelekineticWisDescription	Erhöhe das Weisheitsattribut um 1. Erhalte eine Bonusaktionsfähigkeit, um Kreaturen zu schieben oder zu ziehen.
Feat/&FeatTelekineticWisPullDescription	Ziehe eine Kreatur telekinetisch zu dir.
Feat/&FeatTelekineticWisPullTitle	Telekinetisches Ziehen
Feat/&FeatTelekineticWisPushDescription	Stoße eine Kreatur telekinetisch von dir weg.
Feat/&FeatTelekineticWisPushTitle	Telekinetischer Stoß
Feat/&FeatTelekineticWisTitle	Telekinetisch (Weisheit)
Feat/&FeatToughDescription	Wenn du diese Fähigkeit erlangst, erhöht sich dein Trefferpunkte-Maximum um den doppelten Wert deiner Stufe. Jedes Mal, wenn du danach eine Stufe aufsteigst, erhöht sich dein Trefferpunktemaximum um weitere 2 Trefferpunkte.
Feat/&FeatToughTitle	Zäh
Feat/&FeatWarCasterDescription	Du erhältst einen Vorteil bei Prüfungen zur Aufrechterhaltung der Konzentration. Du erhältst die Fähigkeit, die somatische Komponente von Zaubern auch mit vollen Händen auszuführen. Du erhältst +2 auf Angriffswürfe mit Zaubern.
Feat/&FeatWarCasterTitle	Kriegswirker
Feat/&FeatWiseDefenseDescription	Erhöhe deine Weisheit um 1, bis zu einem Maximum von 20. Solange du keine Rüstung trägst, ist dein AC gleich 10 + dein Weisheitsmodifikator.
Feat/&FeatWiseDefenseTitle	Kluge Verteidigung
Feat/&FeatWisePrecisionDescription	Wenn diese Fähigkeit bei einer Waffe aktiv ist, zählen ihre Angriffe als magisch und du verwendest deine Weisheit für deine Angriffs- und Schadenswürfe. Sie hat eine Dauer von 1 Minute und kann zweimal vor einer langen Ruhepause eingesetzt werden.
Feat/&FeatWisePrecisionTitle	Kluge Präzision
Feat/&FeatWisIncrementDescription	+1 Weisheit
Feat/&FeatWisIncrementTitle	Erhöhung des Attributs Weisheit
Feat/&FeyTeleportationLanguageTirmarianDescription	Erreiche die Beherrschung von Tirmarianisch.
Feat/&FeyTeleportationLanguageTirmarianTitle	Tirmarisch
Feat/&FightingStyleArcheryDescription	Du erhältst einen Bonus von +2 auf Angriffswürfe mit Fernkampfwaffen.
Feat/&FightingStyleArcheryTitle	Kampfstil: Bogenschießen
Feat/&FightingStyleDefenseDescription	Während du eine Rüstung trägst, erhältst du einen Bonus von +1 auf AC.
Feat/&FightingStyleDefenseTitle	Kampfstil: Verteidigung
Feat/&FightingStyleDuelingDescription	Wenn du eine Nahkampfwaffe in einer Hand hältst und keine anderen Waffen trägst, erhältst du einen Bonus von +2 auf Schadenswürfe mit dieser Waffe.
Feat/&FightingStyleDuelingTitle	Kampfstil: Duellieren
Feat/&FightingStyleGeneralFeatDescription	Du kannst einen Kampfstil wählen.
Feat/&FightingStyleGeneralFeatitle	Kampfstil
Feat/&FightingStyleGreatWeaponDescription	Wenn du bei einem Angriff mit einer Nahkampfwaffe, die du mit beiden Händen führst, eine 1 oder 2 auf einen Schadenswürfel wirfst, kannst du den Würfel neu werfen. Du musst den neuen Wurf verwenden, auch wenn er eine 1 oder eine 2 ergibt. Die Waffe muss die Eigenschaft Zweihändig oder Vielseitig haben, damit du diesen Vorteil erhältst.
Feat/&FightingStyleGreatWeaponTitle	Kampfstil: Große Waffe
Feat/&FightingStyleProtectionDescription	Wenn eine Kreatur, die du sehen kannst, ein anderes Ziel als dich angreift, das sich innerhalb von 5 Fuß um dich herum befindet, kannst du deine Reaktion nutzen, um einen Nachteil auf den Angriffswurf zu legen. Du musst einen Schild tragen.
Feat/&FightingStyleProtectionTitle	Kampfstil: Schutz
Feat/&FightingStyleTwoWeaponDescription	Wenn du einen Zwei-Waffen-Kampf führst, kannst du deinen Fähigkeitsmodifikator zum Schaden des zweiten Angriffs addieren.
Feat/&FightingStyleTwoWeaponTitle	Kampfstil: Zweiwaffe
Feat/&FlameArtillery_2Description	3D8 Feuerschaden (Kegel)
Feat/&FlameArtillery_2Title	Flammenartillerie (Verbessert)
Feat/&FlameArtilleryConstructDescription	Erzeugt einen Feuerkegel, der bei einem misslungenen Schutzwurf 2D8 Schaden verursacht.
Feat/&FlameArtilleryConstructDescription_3	Erzeugt einen Feuerkegel, der bei einem misslungenen Schutzversuch 3D8 Schaden verursacht.
Feat/&FlameArtilleryConstructTitle	Flammenartillerie-Konstrukt
Feat/&FlameArtilleryConstructTitle_3	Flammenartillerie-Konstrukt
Feat/&FlameArtilleryConstructTitle_5	Flammenartillerie-Konstrukt
Feat/&FlameArtilleryDescription	2D8 Feuerschaden (Kegel)
Feat/&FlameArtilleryTitle	Flammen-Artillerie
Feat/&ForceArtillery_2Description	3D8 Kraftschaden und Ziel 5ft stoßen
Feat/&ForceArtillery_2Title	Kraftartillerie (Verbessert)
Feat/&ForceArtilleryAdditionalDamageDescription	Das verbesserte Konstrukt verursacht 1D8 mehr Schaden pro Treffer
Feat/&ForceArtilleryConstructDescription	Verursacht 2D8 Kraftschaden und stößt den Gegner 5ft vom Konstrukt weg.
Feat/&ForceArtilleryConstructDescription_3	Verursacht 3D8 Kraftschaden und stößt den Gegner 5ft vom Konstrukt weg.
Feat/&ForceArtilleryConstructTitle	Kraft-Artillerie-Konstrukt
Feat/&ForceArtilleryConstructTitle_3	Kraft-Artillerie-Konstrukt
Feat/&ForceArtilleryConstructTitle_5	Kraft-Artillerie-Konstrukt
Feat/&ForceArtilleryDescription	2D8 Kraftschaden und Schub von 5ft
Feat/&ForceStrikePowerDescription	Fernkampfangriff 1d6 Kraftschaden von deinem treuen Gehilfen
Feat/&ForceStrikePowerTitle	Machtschleuder (Künstlicher Diener)
Feat/&GauntletsGrappleDescription	Kann nun Feinde mit einer Bonusaktion in Nahkampfreichweite ziehen und 1D8 Donnerschaden zufügen
Feat/&GauntletsGrappleTitle	Panzerhandschuh-Greifling
Feat/&HalfCoverShieldDescription	Gewährt 2 AC innerhalb von 10ft
Feat/&HalfCoverShieldTitle	Halbe Deckung - Kuppel
Feat/&HealerDescription	Du erhältst eine Befähigung oder Expertise in Medizin-Proben. Du erhältst die Fähigkeit, eine sterbende Kreatur zu stabilisieren und eine Kreatur, die innerhalb der letzten 12 Sekunden gestorben ist, einmal pro langer Pause wiederzubeleben. Du kannst mit einer Aktion 1d6 + 4 + Charakterstufe Trefferpunkte so oft pro kurzer Pause wiederherstellen, wie es deinem Weisheitsmodifikator entspricht.
Feat/&HealerResuscitateDescription	Benutze eine Aktion, um eine Kreatur wiederzubeleben, die innerhalb der letzten 15 Sekunden gestorben ist.
Feat/&HealerResuscitateTitle	Wiederbelebung
Feat/&HealerStabilizeDescription	Verwende eine Aktion, um eine sterbende Kreatur zu stabilisieren.
Feat/&HealerStabilizeTitle	Stabilisieren
Feat/&HealerTitle	Heiler
Feat/&HealerUseMedicineDescription	Du kannst mit einer Aktion 1d6 + 4 + Charakterstufe Trefferpunkte so oft pro kurzer Pause wiederherstellen, wie es deinem Weisheitsmodifikator entspricht.
Feat/&HealerUseMedicineTitle	Medizin verwenden
Feat/&IncreaseConstructSelectingDescription	Du kannst jetzt zwei Artillerie-Konstrukte beschwören. Die Konstrukte können den gleichen oder einen anderen Modus haben
Feat/&IncreaseConstructSelectingTitle	Verstärkung
Feat/&InspiringLeaderDescription	Verbringe 10 Minuten damit, bis zu 6 befreundete Kreaturen (zu denen auch du selbst gehören kannst) im Umkreis von 30 Fuß zu inspirieren. Jede Kreatur erhält vorübergehend Trefferpunkte in Höhe deiner Stufe + deines Charisma-Modifikators. Kann einmal pro kurzer Ruhepause verwendet werden.
Feat/&InspiringLeaderTitle	Inspirierender Anführer
Feat/&IntToAttackAndDamageDescription	Füge Int anstelle von Str oder Dex zu deinen Rüstungswaffen hinzu
Feat/&IntToAttackAndDamageTitle	Amror-Waffe
Feat/&MendingConstructDescription	Repariert dein Konstrukt für 2D6 über 1 Minute
Feat/&MendingConstructTitle	Flickendes Konstrukt
Feat/&ModeSwitchingPoolDescription	Du kannst einmal pro Tag zwischen den Modi wechseln, indem du temporäre Waffen herstellst und benutzt
Feat/&ModeSwitchingPoolTitle	Rüstungsmodus
Feat/&MoonlitBonusCantripsDescription	Deine Kontrolle über das Mondlicht hat sich so weit verbessert, dass du nach Belieben Mondstrahl und Feenfeuer zaubern kannst.
Feat/&MoonlitBonusCantripsTitle	Lichtkontrolle
Feat/&PickPocketFeatDescription	Du erlangst Fertigkeit in Schläue der Hand oder Erfahrung, wenn du sie bereits beherrschst. Du hast außerdem einen Vorteil bei Geschicklichkeits-Proben.
Feat/&PickPocketFeatTitle	Taschendieb
Feat/&PowerAlchemistEmboldeningShotsDescription	Du erhältst die Fähigkeit, ein Elixier zu verabreichen, das deine Verbündeten ermutigt und ihnen 4d6+Intelligenzmodifikator temporäre Trefferpunkte verleiht.
Feat/&PowerAlchemistEmboldeningShotsTitle	Ermutigende Schüsse
Feat/&PowerAlchemistGreaterRestorativeElixirsDescription	Einmal pro Tag kannst du "Größere Wiederherstellung" wirken.
Feat/&PowerAlchemistGreaterRestorativeElixirsTitle	Größere Wiederherstellung
Feat/&PowerAlchemistHealElixirsDescription	Einmal pro Tag kannst du Heilung wirken
Feat/&PowerAlchemistHealElixirsTitle	Heilen
Feat/&PowerAlchemistRestorativeElixirsDescription	Du kannst Geringere Drehung wirken, ohne einen Zauberslot zu verbrauchen. Du kannst dies so oft pro langer Pause tun, wie es deinem Intelligenzmodifikator entspricht.
Feat/&PowerAlchemistRestorativeElixirsTitle	Stärkende Elixiere
Feat/&PowerAttackFeatDescription	Du hast gelernt, Genauigkeit einzutauschen, um tödlichere/härtere Schläge zu landen. Du kannst einen Malus von -{0} auf deinen Trefferwert in Kauf nehmen, um mehr Schaden zu verursachen (+{0} Schaden für Einhandwaffen, +{1} Schaden für Zweihandwaffen). Hält nach der Aktivierung eine ganze Runde lang an. Funktioniert mit Nahkampf- und Fernkampfwaffen.
Feat/&PowerAttackFeatTitle	Macht-Angriff
Feat/&PowerFalseLifeFromFeatDescription	Indem du dich mit einem nekromantischen Faksimile des Lebens verstärkst, erhältst du für die Dauer des Angriffs 1d4+4 temporäre Trefferpunkte.
Feat/&PowerFalseLifeFromFeatTitle	Falsches Leben
Feat/&PowerInflictWoundsFromFeatDescription	Führe einen Nahkampf-Zauberangriff gegen eine Kreatur aus, die du erreichen kannst. Bei einem Treffer erleidet das Ziel 3d10 nekrotischen Schaden.
Feat/&PowerInflictWoundsFromFeatTitle	Wunden zufügen
Feat/&PowerInvisibilityFromFeatDescription	Eine Kreatur, die du berührst, wird bis zum Ende des Zaubers unsichtbar. Alles, was das Ziel trägt oder bei sich hat, ist unsichtbar, solange es sich an der Person des Ziels befindet. Der Zauber endet für ein Ziel, das angreift oder einen Zauber wirkt.
Feat/&PowerInvisibilityFromFeatTitle	Unsichtbarkeit
Feat/&PowerMistyStepFromFeatDescription	Du bist kurzzeitig von silbrigem Nebel umgeben und teleportierst dich bis zu 30 Fuß weit in einen unbesetzten Raum, den du sehen kannst.
Feat/&PowerMistyStepFromFeatTitle	Nebliger Schritt
Feat/&PowerShadowTouchedFromFeatDescription	Lerne die Zauber Unsichtbarkeit, Falsches Leben und Wunden zufügen zu wirken.
Feat/&PowerShadowTouchedFromFeatTitle	Erlerne Unsichtbarkeit, Falsches Leben und Wunden zufügen
Feat/&ProfChefTreatActionDescription	Iss eine Leckerei als Bonusaktion und gewinne 5 temporäre Trefferpunkte.
Feat/&ProfChefTreatActionTitle	Leckerei des Kochs essen
Feat/&ProfChefTreatCookDescription	Verbringe eine Stunde damit, Leckereien zuzubereiten, die beim Verzehr 5 temporäre Trefferpunkte verleihen.
Feat/&ProfChefTreatCookTitle	Leckerei des Kochs kochen
Feat/&ProfChefTreatDescription	Iss als Bonusaktion und erhalte 5 temporäre Trefferpunkte.
Feat/&ProfChefTreatTitle	Leckerbissen des Kochs
Feat/&ProfHealerMedicineDescription	Erlange Medizin-Kenntnisse oder Expertise, wenn du sie bereits hast.
Feat/&ProfHealerMedicineTitle	Medizinisches Wissen
Feat/&ProtectorConstructAttackDescription	Nahkampf 1d10 Kraftschaden durch das Beschützerkonstrukt
Feat/&ProtectorConstructAttackTitle	Kraftzerrung
Feat/&ProtectorConstructDescription	Es ist freundlich zu dir und deinen Begleitern und gehorcht deinen Befehlen.
Feat/&ProtectorConstructDescription_5	Upgrade des Beschützerkonstrukts
Feat/&ProtectorConstructLevel15AutopreparedSpellsDescription	Beschützerkonstrukt AutopreparedSpells
Feat/&ProtectorConstructLevel15AutopreparedSpellsTitle	Beschützerkonstrukt AutopreparedSpells
Feat/&ProtectorConstructLevel3AutopreparedSpellsDescription	Beschützer-Konstrukt AutopreparedSpells
Feat/&ProtectorConstructLevel3AutopreparedSpellsTitle	Beschützer-Konstrukt AutopreparedSpells
Feat/&ProtectorConstructTitle	Beschützer-Konstrukt
Feat/&ProtectorConstructTitle_5	Upgrade des Beschützerkonstrukts
Feat/&RecklessFuryFeatDescription	Du erhältst die Fähigkeit, einmal pro Tag für eine Minute in Wut zu geraten (beachte die Rüstungsbeschränkung). Du kannst rücksichtslos angreifen und erhältst dadurch Vorteil bei deinen Nahkampfangriffen, während du deinen Angreifern bis zu deinem nächsten Zug Vorteil verschaffst.
Feat/&RecklessFuryFeatTitle	Rücksichtslose Wut
Feat/&ResummonArtilleryConstruct_03Title	Artillerie-Konstrukt 1 wiederbeschwören
Feat/&ResummonArtilleryConstruct_09Title	Artillerie-Konstrukt 2 wiederbeschwören
Feat/&ResummonArtilleryConstruct_15Title	Artillerie-Konstrukt 3 wiederbeschwören
Feat/&ResummonArtilleryConstructDescription	Dieser Zauber erlaubt es dem Tüftler, ein Artillerie-Konstrukt in einem von mehreren Modi erneut zu beschwören, nachdem die ursprüngliche Beschwörung abgelaufen ist. Das wiederbeschworene Konstrukt bleibt ebenfalls 1 Stunde lang bestehen.
Feat/&RetributionDescription	Das Konstrukt verursacht bei einem Angriff 1D4 + Int.
Feat/&RetributionTitle	Vergeltung
Feat/&ScoutSentinelFeatureSet_level03Description	<size=17><color=#add8e6ff>Späherwächter-Zauber erlernen</color></size>\nStufe 3: Magisches Geschoss, Donnerwelle\nStufe 5: Verwischen, Zerschmettern\nStufe 9: Blitzschlag, Hypnotisches Muster\nStufe 13: Feuerschild, Größere Unsichtbarkeit\nStufe 17: Dimensionstor, Windwand, Feuerwand\n\n<size=17><color=#add8e6ff>Mehrere Rüstungsfunktionen</color></size>\nDu kannst einmal pro Tag zwischen den Funktionsmodi wechseln, indem du temporäre Waffen herstellst und benutzt\n\n<size=17><color=#add8e6ff>Wächtermodus</color></size>\nErhalte eine begrenzte Anzahl temporärer HP, basierend auf der Stufe. Benachteiligung von Gegnern, die Verbündete angreifen\n\n<size=17><color=#add8e6ff>Scout-Modus</color></size>\nErhalte erhöhte Bewegung, Tarnvorteil und einen Fernkampfangriff, der einmal pro Runde einen zusätzlichen Schadenswürfel verursacht. \n\n<size=17><color=#add8e6ff>Eigenschaften</color></size>\nDu kannst die Waffen der Rüstung als Zauberfokus für deine Zauber verwenden\nSchwere Rüstung hat keine Stärkeanforderung\nDu erlangst die Beherrschung von Schmiedewerkzeug und schwerer Rüstung.
Feat/&ScoutSentinelFeatureSet_level03Title	Späher-Wächter
Feat/&ScoutSentinelFeatureSet_level05Description	<size=17><color=#add8e6ff>Zusätzlicher Angriff</color></size>\nDu kannst pro Kampfrunde ein weiteres Mal angreifen, wenn du die Aktionen Angriff oder Schieben verwendest.
Feat/&ScoutSentinelFeatureSet_level05Title	Späher-Wachtposten
Feat/&ScoutSentinelFeatureSet_level09Description	<size=17><color=#add8e6ff>Zusätzliche Infusionsplätze</color></size>\nDu erhältst zusätzliche Infusionsplätze, die für Rüstungen verwendet werden sollten
Feat/&ScoutSentinelFeatureSet_level09Title	Späher-Wächter
Feat/&ScoutSentinelFeatureSet_level15Description	<size=17><color=#add8e6ff>Verbesserter Wächtermodus</color></size>\nKann nun Feinde mit einer Bonusaktion in Nahkampfreichweite ziehen und ihnen 1D8 Donnerschaden durch die Macht des Stulpengreifers zufügen\n<size=17><color=#add8e6ff>Verbesserter Spähmodus</color></size>\nKann nun mit einem einzigen Angriff Verbündeten einen Vorteil und Feinden einen Nachteil verschaffen
Feat/&ScoutSentinelFeatureSet_level15Title	Späher-Wächter
Feat/&SelfDestructDescription	Selbstzerstörung und Erzwingen eines Dex-Wurfs für 3D8 Kraftschaden innerhalb von 10ft
Feat/&SelfDestructTitle	Selbstzerstörung
Feat/&SelfRepairDescription	Heilt 2D8 HP, 3 Mal am Tag
Feat/&SelfRepairTitle	Selbstreparatur
Feat/&SubclassMovementDescription	Schwere Rüstung hat keine Stärkeanforderung
Feat/&SubclassMovementTitle	Immunität gegen schwere Rüstung
Feat/&SubclassProficienciesDescription	Du erhältst die Beherrschung von Schmiedewerkzeug und schwerer Rüstung
Feat/&SubclassProficienciesTitle	Unterklassen-Fähigkeiten
Feat/&SummonArtificialServantDescription	Der Diener ist freundlich zu dir und deinen Gefährten und gehorcht deinen Befehlen.
Feat/&SummonArtificialServantTitle	Künstlichen Diener beschwören
Feat/&SummonArtilleryConstructDescription	Der Blaster erschafft und befehligt ein Artillerie-Konstrukt in einem von mehreren Modi. Die HP des Konstrukts steigen mit der Stufe seines Beschwörers und es kann einmal pro Tag für 1 Stunde kostenlos beschworen werden. Das Konstrukt kann mit einem Zauber der Stufe 1 erneut beschworen werden. Die drei Modi sind: \n<color=#add8e6ff>Schutzkuppel-Konstrukt:</color>\nGewährt 1D8 + 4 temporäre HP an Verbündete im Umkreis von 10ft \n<color=#add8e6ff>Flammen-Artillerie-Konstrukt: </color>\nErzeugt einen Feuerkegel, der bei einem fehlgeschlagenen Dex-Save 2D8 Schaden verursacht\n<color=#add8e6ff>Kraft-Artillerie-Konstrukt:</color>\nVerursacht 2D8 Kraftschaden und stößt den Gegner 5ft weit weg.
Feat/&SummonArtilleryConstructlevel09Description	Es wurde eine neue Funktion hinzugefügt. Das Artillerie-Konstrukt kann sich selbst zerstören und bei einem misslungenen Schutzversuch 3D8 Kraftschaden verursachen. \nZusätzlich erhöhen sich die Schadenswürfe für Flammen- und Kraftartillerie um 1D8 auf insgesamt 3D8
Feat/&SummonArtilleryConstructlevel09Title	Artillerie-Konstrukt-Upgrade: Selbstzerstörung
Feat/&SummonArtilleryConstructlevel15Description	Es wurde eine neue Funktion hinzugefügt. Das Artillerie-Konstrukt gibt nun Verbündeten im Umkreis von 10ft halbe Deckung \n<size=17><color=#add8e6ff>Artillerie-Konstrukt Upgrade : Verstärkung</color></size>\nSie können nun zwei Artillerie-Konstrukte beschwören. Die Konstrukte können den gleichen oder unterschiedliche Modi haben
Feat/&SummonArtilleryConstructlevel15Title	Artillerie-Konstrukt-Upgrade: Halbe Kuppel
Feat/&SummonArtilleryConstructTitle	Artillerie-Konstrukt beschwören
Feat/&SummonProtectorConstructDescription	Dein ganz persönlicher Kampfgefährte steht bereit, um dich zu verteidigen und Feinde anzugreifen. Das Beschützerkonstrukt kann sich 3 Mal am Tag selbst reparieren und kann Angriffe auf Verbündete mit Nachteilen belegen
Feat/&SummonProtectorConstructDescription_2	Upgrade Beschützerkonstrukt beschwören
Feat/&SummonProtectorConstructDescription_Upgrade	Beschwörungsbeschützer-Konstrukt Upgrade
Feat/&SummonProtectorConstructTitle	Beschützer-Konstrukt beschwören
Feat/&SummonProtectorConstructTitle_2	Beschwörungsbeschützer-Konstrukt-Upgrade
Feat/&SummonProtectorConstructTitle_Upgrade	Beschwörungsbeschützer-Konstrukt-Upgrade
Feat/&TempHPShieldConstructDescription	Gewährt Verbündeten innerhalb von 10ft. 1D8 + 4 temporäre HP.
Feat/&TempHPShieldConstructTitle	Schutzkuppel-Konstrukt
Feat/&TempHPShieldConstructTitle_3	Schützendes Kuppel-Konstrukt
Feat/&TempHPShieldConstructTitle_5	Schutzkuppel-Konstrukt
Feat/&TempHPShieldDescription	Gewährt 1D8 + 4 TempHP an Verbündete innerhalb von 10ft
Feat/&ThunderShieldDescription	Denfensiver Schild liefert TempHP x Stufe. 5 Mal pro Tag
Feat/&ThunderShieldTitle	Donner-Schild
Feat/&TinkererConstructFamilyDescription	Erschaffen von Tinkerer
Feat/&TinkererConstructFamilyTitle	Kesselflicker-Konstrukt
