ActionAffinity/&DHFeeblemindSpellDescription	Unable to cast spells
Feat/&ArtificerArtillerstDetonationSpellPreparedTitle	Device Detonation
Feat/&ArtificerArtillerstImprovedCannonsDescription	The effect from your cannons increases. Additional damage from the fire, an additional target from the force, and additional temp HP from the shield
Feat/&ArtificerArtillerstImprovedCannonsTitle	Improved Cannons
Feat/&ArtificialServantAttackDescription	Ranged attack 1d6 force damage from your trusty sidekick
Feat/&ArtificialServantAttackTitle	Force Sling
Feat/&ArtificialServantDescription	The servant is friendly to you and your companions, and it obeys your commands
Feat/&ArtificialServantTitle	Artificial Servant
Feat/&ArtilleristCannonDetonationDescription	Detonate one of your devices causing 3d8 damage to those within 20 feet of the targeted location. A dexterity save allows those effected to take half damage
Feat/&ArtilleristCannonDetonationTitle	Device Detonation
Feat/&ArtilleristFlameCannon15Description	Spew fire, dealing 6d8 fire damage at your enemies as a bonus action
Feat/&ArtilleristFlameCannon15Title	Flamethrower
Feat/&ArtilleristFlameCannon9Description	Spew fire, dealing 3d8 fire damage at your enemies as a bonus action
Feat/&ArtilleristFlameCannon9Title	Flamethrower
Feat/&ArtilleristFlameCannonDescription	Spew fire, dealing 2d8 fire damage at your enemies as a bonus action
Feat/&ArtilleristFlameCannonTitle	Flamethrower
Feat/&ArtilleristForceCannon15Description	Use a force attack dealing 3d8 force damage at a target as a bonus action to 2 targets
Feat/&ArtilleristForceCannon15Title	Force Cannon
Feat/&ArtilleristForceCannon9Description	Use a force attack dealing 3d8 force damage at a target as a bonus action
Feat/&ArtilleristForceCannon9Title	Force Cannon
Feat/&ArtilleristForceCannonDescription	Use a force attack dealing 2d8 force damage at a target as a bonus action
Feat/&ArtilleristForceCannonTitle	Force Cannon
Feat/&ArtilleristProtectorCannon15Description	Emit positive energy as a bonus action. Allies within 20 feet gain 3d8 + your Intelligence modifier temporary hit points
Feat/&ArtilleristProtectorCannon15Title	Arcane Shield
Feat/&ArtilleristProtectorCannonDescription	Emit positive energy as a bonus action. Allies within 10 feet gain 1d8 + your Intelligence modifier temporary hit points
Feat/&ArtilleristProtectorCannonTitle	Arcane Shield
Feat/&ArtilleristSubclassSpellsDescription	Level 3: Shield, Thunderwave\nLevel 5: Scorching Ray, Shatter\nLevel 9: Fireball, Wind Wall\nLevel 13: Ice Storm, Wall of Fire\nLevel 17: Cone of Cold, Wall of Force
Feat/&ArtilleristSubclassSpellsTitle	Learn Blaster Spells
Feat/&ArtilleryConstructDescription	Can damage or protect allies
Feat/&ArtilleryConstructLevel03AutopreparedSpellsDescription	Cantrips:Mending Construct, Dismiss Construct \nLevel 1: Resummon Artillery Construct
Feat/&ArtilleryConstructLevel03AutopreparedSpellsTitle	Construct Spells
Feat/&ArtilleryConstructLevel09AutopreparedSpellsDescription	Construct Spells
Feat/&ArtilleryConstructLevel09AutopreparedSpellsTitle	Construct Spells
Feat/&ArtilleryConstructLevel15AutopreparedSpellsDescription	Construct Spells
Feat/&ArtilleryConstructLevel15AutopreparedSpellsTitle	Construct Spells
Feat/&ArtilleryConstructTitle	Artillery Construct
Feat/&ArtilleryConstructTitle_3	Artillery Construct
Feat/&ArtilleryConstructTitle_5	Artillery Construct
Feat/&ArtilleryModePoolDescription	Choose your Artillery Mode
Feat/&ArtilleryModePoolTitle	Artillery Mode
Feat/&AttackModifierArtificerBattleSmithJolt2Description	Your weapon attacks deal 3 additional damage
Feat/&AttackModifierArtificerBattleSmithJolt2Title	Improved Weapon Attack Jolt
Feat/&AttackModifierArtificerBattleSmithJoltDescription	Your weapon attacks deal 3 additional damage
Feat/&AttackModifierArtificerBattleSmithJoltTitle	Weapon Attack Jolt
Feat/&AutoPreparedSpellsDescription	Level 3 Magic Missile, Thunderwave\nLevel 5 Blur, Shatter\nLevel 9 Lightning Bolt, Wind Wall, Wall of Fire
Feat/&AutoPreparedSpellsTitle	Learn Scout Sentinel spells
Feat/&BattleSmithSubclassSpellsDescription	Level 3: Shield, Heroism, Hunter's Mark\nLevel 5: Branding Smite, Spiritual Weapon\nLevel 9: Remove Curse, Beacon of Hope\nLevel 13: Fire Shield, Death Ward Level\n17: Mass Cure Wounds, Wall of Force
Feat/&BattleSmithSubclassSpellsTitle	Learn Weapon Smith Spells
Feat/&CancelFlyingConditionDescription	End flying condtion to allow jumping and crawling
Feat/&CancelFlyingConditionTitle	Cancel Fly
Feat/&ChefConDescription	You gain +1 to Constitution. Spend 1 hour to cook a meal to heal yourself and your companions 1d8. Once a day you may spend an hour to cook treats that provide temporary HP when eaten
Feat/&ChefConTitle	Chef (Constitution)
Feat/&ChefShortRestFeastDescription	Spend 1 hour to prepare a meal that helps heal you and your companions 1d8
Feat/&ChefShortRestFeastTitle	Short Rest Meal
Feat/&ChefWisDescription	You gain +1 to Wisdom. Spend 1 hour to cook a meal to heal yourself and your companions. Once a day you may spend an hour to cook treats that provide temporary HP when eaten
Feat/&ChefWisTitle	Chef (Wisdom)
Feat/&ConstructSelectingPoolDescription	Select the mode for your Construct
Feat/&ConstructSelectingPoolTitle	Artillery Mode
Feat/&DismissConstructDescription	Unsummon your construct
Feat/&DismissConstructTitle	Dismiss Construct
Feat/&DualFlurryDescription	You are a master of fighting with paired weapons. On any turn where you hit twice with melee attacks while wielding a weapon in each hand, you may make an additional off-hand attack
Feat/&DualFlurryTitle	Dual Flurry
Feat/&ExtraInfusionSlotsDescription	You gain extra infusion slots, should be used on armor/weapons
Feat/&ExtraInfusionSlotsTitle	Extra Infusions
Feat/&FeatArcaneDefenseDescription	Increase your Intelligence by 1, to a maximum of 20.\nWhile you are not wearing any armor, your AC equals 10 + your Dexterity modifier + your Intelligence modifier
Feat/&FeatArcaneDefenseTitle	Arcane Defense
Feat/&FeatArcanePrecisionDescription	When active on a weapon, it's attacks count as Magical and you use your intelligence for your attack and damage rolls. It has 1 minute duration and can be used twice before a long rest
Feat/&FeatArcanePrecisionTitle	Arcane Precision
Feat/&FeatBlindFightingStlyeDescription	You have blindsight with a range of 10 feet
Feat/&FeatBlindFightingStlyeTitle	Fighting Style: Blind Fighting
Feat/&FeatBrutalThugDescription	You land powerful blows in the right places.\nYou can sneak attack with martial based weapons and get figther weapon proficiency
Feat/&FeatBrutalThugTitle	Brutal Thug
Feat/&FeatChaIncrementDescription	+1 Charisma
Feat/&FeatChaIncrementTitle	Charisma Attribute Increase
Feat/&FeatCharismaticDefenseDescription	Increase your Charisma by 1, to a maximum of 20.\nWhile you are not wearing any armor, your AC equals 10 + your Dexterity modifier + your Charisma modifier
Feat/&FeatCharismaticDefenseTitle	Charismatic Defense
Feat/&FeatCharismaticPrecisionDescription	When active on a weapon, it's attacks count as Magical and you use your charisma for your attack and damage rolls. It has 1 minute duration and can be used twice before a long rest
Feat/&FeatCharismaticPrecisionTitle	Charismatic Precision
Feat/&FeatChefConIncrementDescription	+1 Constitution
Feat/&FeatChefConIncrementTitle	Attribute Increase
Feat/&FeatChefWisIncrementDescription	+1 Wisdom
Feat/&FeatChefWisIncrementTitle	Attribute Increase
Feat/&FeatDexIncrementDescription	+1 Dexterity
Feat/&FeatDexIncrementTitle	Attribute Increase
Feat/&FeatDualWeaponDefenseDescription	When yielding 2 weapons your AC increases by 1
Feat/&FeatDualWeaponDefenseTitle	Dual Weapon Defense
Feat/&FeatFastHandsDescription	You gain a Cunning Action and can use the Bonus Action granted by it to make a Dexterity (Sleight of Hand) check, use your thieves’ tools to Disarm a trap or open a lock, or take the Use an Object action
Feat/&FeatFastHandsTitle	Fast Hands
Feat/&FeatFeyTeleportationChaDescription	Increase Charisma attribute by 1. Gain the ability to Misty Step once per short rest and learn the spell. Gain proficiency in Tirmarian
Feat/&FeatFeyTeleportationChaTitle	Fey Teleportation (Charisma)
Feat/&FeatFeyTeleportationIntDescription	Increase Intelligence attribute by 1. Gain the ability to Misty Step once per short rest and learn the spell. Gain proficiency in Tirmarian
Feat/&FeatFeyTeleportationIntTitle	Fey Teleportation (Intelligence)
Feat/&FeatFeyTeleportationWisDescription	Increase Wisdom attribute by 1. Gain the ability to Misty Step once per short rest and learn the spell. Gain proficiency in Tirmarian
Feat/&FeatFeyTeleportationWisTitle	Fey Teleportation (Wisdom)
Feat/&FeatFightingSurgeDexterityDescription	Increase your Dexterity by 1, to a maximum of 20.\nOn your turn, you can take one additional action on top of your regular action and a possible bonus action. Once you use this feature, you must finish a long rest before you can use it again
Feat/&FeatFightingSurgeDexterityTitle	Fighting Surge (Dexterity)
Feat/&FeatFightingSurgeStrengthDescription	Increase your Strength by 1, to a maximum of 20.\nOn your turn, you can take one additional action on top of your regular action and a possible bonus action. Once you use this feature, you must finish a long rest before you can use it again
Feat/&FeatFightingSurgeStrengthTitle	Fighting Surge (Strength)
Feat/&FeatHeavyArmorMasterClassDescription	Resistance to Bludgeoning, Slashing, and Piercing damage
Feat/&FeatHeavyArmorMasterClassTitle	Heavy Defense Mastery
Feat/&FeatImprovedCriticalDescription	Your attacks are critical hits on a roll of 19 or 20
Feat/&FeatImprovedCriticalTitle	Improved Critical
Feat/&FeatIntIncrementDescription	+1 Intelligence
Feat/&FeatIntIncrementTitle	Intelligence Attribute Increase
Feat/&FeatLightArmorDescription	Gain proficiency with Light Armor and +1 Dexterity
Feat/&FeatLightArmorProficiencyDescription	Gain proficiency with Light Armor
Feat/&FeatLightArmorProficiencyTitle	Light Armor
Feat/&FeatLightArmorTitle	Light Armor
Feat/&FeatMarksmanDescription	When a visible opponent 2 cells or more from you attacks you with a ranged weapon or a spell, you can use your reaction to take a shot after the triggering attack
Feat/&FeatMarksmanTitle	Marksman
Feat/&FeatMediumArmorDexDescription	Gain proficiency with Medium Armor and Shields and +1 Dexterity
Feat/&FeatMediumArmorDexTitle	Medium Armor (Dexterity)
Feat/&FeatMediumArmorProficiencyDescription	Gain proficiency with Medium Armor and Shields
Feat/&FeatMediumArmorProficiencyTitle	Medium Armor
Feat/&FeatMediumArmorStrengthDescription	Gain proficiency with Medium Armor and Shields and +1 Strength
Feat/&FeatMediumArmorStrengthTitle	Medium Armor (Strength)
Feat/&FeatMetamagicAdeptCarefulDescription	Increase your Charisma by 1, to a maximum of 20.\nYou learn the Careful metamagic and gain 2 sorcery points
Feat/&FeatMetamagicAdeptCarefulTitle	Metamagic: Careful
Feat/&FeatMetamagicAdeptDistantDescription	Increase your Charisma by 1, to a maximum of 20.\nYou learn the Distant metamagic and gain 2 sorcery points
Feat/&FeatMetamagicAdeptDistantTitle	Metamagic: Distant
Feat/&FeatMetamagicAdeptEmpoweredDescription	Increase your Charisma by 1, to a maximum of 20.\nYou learn the Emporewed metamgic and gain 2 sorcery points
Feat/&FeatMetamagicAdeptEmpoweredTitle	Metamagic: Empowered
Feat/&FeatMetamagicAdeptExtendedDescription	Increase your Charisma by 1, to a maximum of 20.\nYou learn the Extended metamagic and gain 2 sorcery points
Feat/&FeatMetamagicAdeptExtendedTitle	Metamagic: Extended
Feat/&FeatMetamagicAdeptHeightenedDescription	You learn the Heightened metamagic and gain 4 sorcery points
Feat/&FeatMetamagicAdeptHeightenedTitle	Metamagic: Heightened
Feat/&FeatMetamagicAdeptQuickenedDescription	Increase your Charisma by 1, to a maximum of 20.\nYou learn the Quickned metamagic and gain 2 sorcery points
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamagic: Quickened
Feat/&FeatMetamagicAdeptTwinnedDescription	Increase your Charisma by 1, to a maximum of 20.\nYou learn the Twinned metamagic and gain 2 sorcery points
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamagic: Twinned
Feat/&FeatPrimalConstitutionDescription	Increase your Constitution by 1, to a maximum of 20.\nYou can enter a rage as a bonus action as defined in the Barbarian's rage class feature with a +1 rage damage that can stack with Barbarian's rage. Once you have raged this way you must finish a long rest before using this feature again.\nWhile you are not wearing any armor, your AC equals 10 + your Dexterity modifier + your Constitution modifier
Feat/&FeatPrimalConstitutionTitle	Primal Rage (Constitution)
Feat/&FeatPrimalStrengthDescription	Increase your Strength by 1, to a maximum of 20.\nYou can enter a rage as a bonus action as defined in the Barbarian's rage class feature with a +1 rage damage that can stack with Barbarian's rage. Once you have raged this way you must finish a long rest before using this feature again.\nWhile you are not wearing any armor, your AC equals 10 + your Dexterity modifier + your Constitution modifier
Feat/&FeatPrimalStrengthTitle	Primal Rage (Strength)
Feat/&FeatPugilistFightingStlyeDescription	While you are completely unarmed, your unarmed strikes deal an additional d8 of damage and you can punch with your offhand as a bonus action
Feat/&FeatPugilistFightingStlyeTitle	Fighting Style: Pugilist
Feat/&FeatSavageAttackerDescription	Reroll weapon and spell damage dice when they roll a 1 (does not reroll all damage sources, for example excludes Sneak Attack and Smite)
Feat/&FeatSavageAttackerReroll	Due to being a Savage Attacker {0} rerolls the {1} die from a {2} to a {3}
Feat/&FeatSavageAttackerTitle	Savage Attacker
Feat/&FeatShadowTouchedChaDescription	Increase Charisma attribute by 1. Gain the ability to cast Invisibility, Inflict Wounds, and False Life once per long rest and learn the spells
Feat/&FeatShadowTouchedChaTitle	Shadow Touched (Charisma)
Feat/&FeatShadowTouchedIntDescription	Increase Intelligence attribute by 1. Gain the ability to cast Invisibility, Inflict Wounds, and False Life once per long rest and learn the spells
Feat/&FeatShadowTouchedIntTitle	Shadow Touched (Intelligence)
Feat/&FeatShadowTouchedWisDescription	Increase Wisdom attribute by 1. Gain the ability to cast Invisibility, Inflict Wounds, and False Life once per long rest and learn the spells
Feat/&FeatShadowTouchedWisTitle	Shadow Touched (Wisdom)
Feat/&FeatShadyDescription	Increase your Dexterity by 1, to a maximum of 20.\nOnce per turn, you can deal an extra 1d6 damage to one creature you hit with an attack that meets Rogue's Sneak Attack. At 12th level this damage increases to 2d6 and at 20th level to 4d6. This can stack with Rogue's Sneak Attack
Feat/&FeatShadyTitle	Shady
Feat/&FeatStrengthIncrementDescription	+1 Strength
Feat/&FeatStrengthIncrementTitle	Attribute Increase
Feat/&FeatTelekineticChaDescription	Increase Charisma attribute by 1. Gain a bonus action ability to shove or pull creatures
Feat/&FeatTelekineticChaPullDescription	Telekinetically pull a creature toward you
Feat/&FeatTelekineticChaPullTitle	Telekinetic Pull
Feat/&FeatTelekineticChaPushDescription	Telekinetically shove a creature away from you
Feat/&FeatTelekineticChaPushTitle	Telekinetic Push
Feat/&FeatTelekineticChaTitle	Telekinetic (Charisma)
Feat/&FeatTelekineticIntDescription	Increase Intelligence attribute by 1. Gain a bonus action ability to shove or pull creatures
Feat/&FeatTelekineticIntPullDescription	Telekinetically pull a creature toward you
Feat/&FeatTelekineticIntPullTitle	Telekinetic Pull
Feat/&FeatTelekineticIntPushDescription	Telekinetically shove a creature away from you
Feat/&FeatTelekineticIntPushTitle	Telekinetic Push
Feat/&FeatTelekineticIntTitle	Telekinetic (Intelligence)
Feat/&FeatTelekineticWisDescription	Increase Wisdom attribute by 1. Gain a bonus action ability to shove or pull creatures
Feat/&FeatTelekineticWisPullDescription	Telekinetically pull a creature toward you
Feat/&FeatTelekineticWisPullTitle	Telekinetic Pull
Feat/&FeatTelekineticWisPushDescription	Telekinetically shove a creature away from you
Feat/&FeatTelekineticWisPushTitle	Telekinetic Push
Feat/&FeatTelekineticWisTitle	Telekinetic (Wisdom)
Feat/&FeatToughDescription	Your hit point maximum increases by an amount equal to twice your level when you gain this feat. Whenever you gain a level thereafter, your hit point maximum increases by an additional 2 hit points
Feat/&FeatToughTitle	Tough
Feat/&FeatWarCasterDescription	You gain advantage on checks to maintain concentration. You gain the ability to perform the somatic component of spells even with full hands. You gain +2 on spell attack rolls
Feat/&FeatWarCasterTitle	War Caster
Feat/&FeatWiseDefenseDescription	Increase your Wisdom by 1, to a maximum of 20.\nWhile you are not wearing any armor, your AC equals 10 + your Dexterity modifier + your Wisdom modifier
Feat/&FeatWiseDefenseTitle	Wise Defense
Feat/&FeatWisePrecisionDescription	When active on a weapon, it's attacks count as Magical and you use your wisdom for your attack and damage rolls. It has 1 minute duration and can be used twice before a long rest
Feat/&FeatWisePrecisionTitle	Wise Precision
Feat/&FeatWisIncrementDescription	+1 Wisdom
Feat/&FeatWisIncrementTitle	Wisdom Attribute Increase
Feat/&FeyTeleportationLanguageTirmarianDescription	Gain proficiency in Tirmarian
Feat/&FeyTeleportationLanguageTirmarianTitle	Tirmarian
Feat/&FightingStyleArcheryDescription	You gain a +2 bonus to attack rolls with ranged weapons
Feat/&FightingStyleArcheryTitle	Fighting Style: Archery
Feat/&FightingStyleDefenseDescription	While you are wearing armor you gain a +1 bonus to AC
Feat/&FightingStyleDefenseTitle	Fighting Style: Defense
Feat/&FightingStyleDuelingDescription	When you are wielding a melee weapon in one hand and no other weapons, you gain a +2 bonus to damage rolls with that weapon
Feat/&FightingStyleDuelingTitle	Fighting Style: Dueling
Feat/&FightingStyleGeneralFeatDescription	You can select a fighting style
Feat/&FightingStyleGeneralFeatitle	Fighting Style
Feat/&FightingStyleGreatWeaponDescription	When you roll a 1 or 2 on a damage die for an attack you make with a melee weapon that you are wielding with two hands, you can reroll the die. You must use the new roll, even if it is a 1 or a 2. The weapon must have the two-handed or versatile property for you to gain this benefit
Feat/&FightingStyleGreatWeaponTitle	Fighting Style: Great Weapon
Feat/&FightingStyleProtectionDescription	When a creature you can see attacks a target other than you that is within 5 feet of you, you can use your reaction to impose disadvantage on the attack roll. You must be wielding a shield
Feat/&FightingStyleProtectionTitle	Fighting Style: Protection
Feat/&FightingStyleTwoWeaponDescription	When you engage in two-weapon fighting, you can add your ability modifier to the damage of the second attack
Feat/&FightingStyleTwoWeaponTitle	Fighting Style: Two Weapon
Feat/&FlameArtillery_2Description	3D8 fire damage (Cone)
Feat/&FlameArtillery_2Title	Flame Artillery (Improved)
Feat/&FlameArtilleryConstructDescription	Creates a cone of fire that deals 2D8 damage on a failed save
Feat/&FlameArtilleryConstructDescription_3	Creates a cone of fire that deals 3D8 damage on a failed save.
Feat/&FlameArtilleryConstructTitle	Flame Artillery Construct
Feat/&FlameArtilleryConstructTitle_3	Flame Artillery Construct
Feat/&FlameArtilleryConstructTitle_5	Flame Artillery Construct
Feat/&FlameArtilleryDescription	2D8 fire damage (Cone)
Feat/&FlameArtilleryTitle	Flame Artillery
Feat/&ForceArtillery_2Description	3D8 Force damage and push target 5ft
Feat/&ForceArtillery_2Title	Force Artillery (Improved)
Feat/&ForceArtilleryAdditionalDamageDescription	The upgraded construct deals 1D8 more damage per hit
Feat/&ForceArtilleryConstructDescription	Deals 2D8 force damage and pushs enemy 5ft away from Construct
Feat/&ForceArtilleryConstructDescription_3	Deals 3D8 force damage and pushs enemy 5ft away from Construct.
Feat/&ForceArtilleryConstructTitle	Force Artillery Construct
Feat/&ForceArtilleryConstructTitle_3	Force Artillery Construct
Feat/&ForceArtilleryConstructTitle_5	Force Artillery Construct
Feat/&ForceArtilleryDescription	2D8 Force damage and push 5ft
Feat/&ForceStrikePowerDescription	Ranged attack 1d6 force damage from your trusty sidekick
Feat/&ForceStrikePowerTitle	Force Sling (Artifical Servant)
Feat/&GauntletsGrappleDescription	Can now pull enemies into melee range with a bonus action and inflict 1D8 thunder damage
Feat/&GauntletsGrappleTitle	Gauntlet grapple
Feat/&HalfCoverShieldDescription	Gives 2 AC within 10ft
Feat/&HalfCoverShieldTitle	Half Cover Dome
Feat/&HealerDescription	You gain proficiency or expertise in Medicine checks. You gain the ability to stabilize a dying creature as well as to revive a creature that died within the last 12 seconds once per long rest. You can use an action to restore 1d6 + 4 + character level hit points a number of times per short rest equal to your Wisdom modifier
Feat/&HealerResuscitateDescription	Use an action to revive a creature that died within the last 15 seconds
Feat/&HealerResuscitateTitle	Resuscitate
Feat/&HealerStabilizeDescription	Use an action to stabilize a dying creature
Feat/&HealerStabilizeTitle	Stabilize
Feat/&HealerTitle	Healer
Feat/&HealerUseMedicineDescription	You can use an action to restore 1d6 + 4 + character level hit points a number of times per short rest equal to your Wisdom modifier
Feat/&HealerUseMedicineTitle	Use Medicine
Feat/&IncreaseConstructSelectingDescription	You can now summon two Artillery Constructs. The constructs can be of the same or different modes
Feat/&IncreaseConstructSelectingTitle	Reinforcements
Feat/&InspiringLeaderDescription	Spend 10 minutes to inspire up to 6 friendly creatures (which can include yourself) within 30 feet of you. Each creature gains temporary hit points equal to your level + your Charisma modifier. Useable once per short rest
Feat/&InspiringLeaderTitle	Inspiring Leader
Feat/&IntToAttackAndDamageDescription	Add Int instead of Str or Dex to your Armor Weapons
Feat/&IntToAttackAndDamageTitle	Amror Weapon
Feat/&MendingConstructDescription	Repair your construct for 2D6 over 1 min
Feat/&MendingConstructTitle	Mending Construct
Feat/&ModeSwitchingPoolDescription	You can switch between modes once per day by creating and using temporary weapons
Feat/&ModeSwitchingPoolTitle	Armor Mode
Feat/&MoonlitBonusCantripsDescription	Your control of moon light has increased to the point than you can cast Moonbeam and Faerie Fire at will
Feat/&MoonlitBonusCantripsTitle	Light Control
Feat/&PickPocketFeatDescription	You gain proficiency with Sleight Of Hand, or expertise if already proficient. You also have advantage on Sleight of Hand Dexterity checks
Feat/&PickPocketFeatTitle	Pickpocket
Feat/&PowerAlchemistEmboldeningShotsDescription	You gain the ability to administer an elixier that emboldens your allies, providing them 4d6+intelligence modifier temporary hit points
Feat/&PowerAlchemistEmboldeningShotsTitle	Emboldening Shots
Feat/&PowerAlchemistGreaterRestorativeElixirsDescription	Once per day you can cast Greater Restoration
Feat/&PowerAlchemistGreaterRestorativeElixirsTitle	Greater Restoration
Feat/&PowerAlchemistHealElixirsDescription	Once per day you can cast Heal
Feat/&PowerAlchemistHealElixirsTitle	Heal
Feat/&PowerAlchemistRestorativeElixirsDescription	You can cast Lesser Rotation without expending a spell slot. You can do this a number of times per long rest equal to your intelligence modifier
Feat/&PowerAlchemistRestorativeElixirsTitle	Restorative Elixirs
Feat/&PowerAttackFeatDescription	You learned to trade accuracy to lander deadlier/harder blows. You can choose to take a -{0} penalty to your to hit in order to do more damage (+{0} damage for one handed weapons, +{1} damage for two handed weapons). Lasts for the whole turn once activated. Works with melee and ranged weapons
Feat/&PowerAttackFeatTitle	Power attack
Feat/&PowerFalseLifeFromFeatDescription	Bolstering yourself with a necromantic facsimile of life, you gain 1d4+4 Temporary Hit Points for the Duration
Feat/&PowerFalseLifeFromFeatTitle	False Life
Feat/&PowerInflictWoundsFromFeatDescription	Make a melee spell Attack against a creature you can reach. On a hit, the target takes 3d10 necrotic damage
Feat/&PowerInflictWoundsFromFeatTitle	Inflict Wounds
Feat/&PowerInvisibilityFromFeatDescription	A creature you touch becomes Invisible until the spell ends. Anything the target is wearing or carrying is Invisible as long as it is on the target's person. The spell ends for a target that attacks or casts a spell
Feat/&PowerInvisibilityFromFeatTitle	Invisibility
Feat/&PowerMistyStepFromFeatDescription	Briefly surrounded by silvery mist, you teleport up to 30 feet to an unoccupied space that you can see
Feat/&PowerMistyStepFromFeatTitle	Misty Step
Feat/&PowerShadowTouchedFromFeatDescription	Learn to cast the spells Invisibility, False Life, and Inflict Wounds
Feat/&PowerShadowTouchedFromFeatTitle	Learn Invisibility, False Life, and Inflict Wounds
Feat/&ProfChefTreatActionDescription	Eat a treat as a bonus action and gain 5 temporary hit points
Feat/&ProfChefTreatActionTitle	Eat Chef's Treat
Feat/&ProfChefTreatCookDescription	Spend one hour to cook treats that when eaten provide 5 temporary hit points
Feat/&ProfChefTreatCookTitle	Cook Chef's Treat
Feat/&ProfChefTreatDescription	Eat as a bonus action and gain 5 temporary hit points
Feat/&ProfChefTreatTitle	Chef's Treat
Feat/&ProfHealerMedicineDescription	Gain Proficiency in Medicine, or Expertise if you are already proficient
Feat/&ProfHealerMedicineTitle	Medicine Knowledge
Feat/&ProtectorConstructAttackDescription	Melee 1d10 force damage from the protector construct
Feat/&ProtectorConstructAttackTitle	Force Rend
Feat/&ProtectorConstructDescription	It is friendly to you and your companions, and it obeys your commands
Feat/&ProtectorConstructDescription_5	Protector Construct Upgrade
Feat/&ProtectorConstructLevel15AutopreparedSpellsDescription	Protector Construct AutopreparedSpells
Feat/&ProtectorConstructLevel15AutopreparedSpellsTitle	Protector Construct AutopreparedSpells
Feat/&ProtectorConstructLevel3AutopreparedSpellsDescription	Protector Construct AutopreparedSpells
Feat/&ProtectorConstructLevel3AutopreparedSpellsTitle	Protector Construct AutopreparedSpells
Feat/&ProtectorConstructTitle	Protector Construct
Feat/&ProtectorConstructTitle_5	Protector Construct Upgrade
Feat/&RecklessFuryFeatDescription	You gain the ability to enter a rage for one minute once per day (note no armor restriction), and you can attack recklessly gaining advantage on your melee attacks while giving advantage to your attackers until your next turn
Feat/&RecklessFuryFeatTitle	Reckless Fury
Feat/&ResummonArtilleryConstruct_03Title	Resummon Artillery Construct 1
Feat/&ResummonArtilleryConstruct_09Title	Resummon Artillery Construct 2
Feat/&ResummonArtilleryConstruct_15Title	Resummon Artillery Construct 3
Feat/&ResummonArtilleryConstructDescription	This spell allows the tinkerer to resummon an Artillery Construct in one of multiple modes after the initial summons expires. The resummoned construct also lasts 1 hour
Feat/&RetributionDescription	Construct damages 1D4 + Int when attacked
Feat/&RetributionTitle	Retribution
Feat/&ScoutSentinelFeatureSet_level03Description	<size=17><color=#add8e6ff>Learn Scout Sentinel Spells</color></size>\nLevel 3: Magic Missile, Thunderwave\nLevel 5: Blur, Shatter\nLevel 9: Lightning Bolt, Hypnotic Pattern \nLevel 13: Fire Shield, Greater Invisibility\nLevel 17: Dimension Door, Wind Wall, Wall of Fire\n\n<size=17><color=#add8e6ff>Multiple Armor Functions</color></size>\nYou can switch between function modes once per day by creating and using temporary weapons\n\n<size=17><color=#add8e6ff>Sentinel Mode</color></size>\nGain a limited number of temporary HP based on level. Impose disadvantage on enemies attacking allies\n\n<size=17><color=#add8e6ff>Scout Mode</color></size>\nGain increased movement, stealth advantage and a ranged attack which deals an extra die of damage once a turn.\n\n<size=17><color=#add8e6ff>Features</color></size>\nYou can use the armor's weapons as a spellcasting focus for your spells\nHeavy Armor does not have a strength requirement\nYou gain proficiency in smith's tools and heavy armor
Feat/&ScoutSentinelFeatureSet_level03Title	Scout Sentinel
Feat/&ScoutSentinelFeatureSet_level05Description	<size=17><color=#add8e6ff>Extra Attack</color></size>\nYou can attack one more time, per combat turn, when you use the attack or shove actions
Feat/&ScoutSentinelFeatureSet_level05Title	Scout Sentinel
Feat/&ScoutSentinelFeatureSet_level09Description	<size=17><color=#add8e6ff>Extra Infusion Slots</color></size>\nYou gain extra infusion slots, should be used on armor
Feat/&ScoutSentinelFeatureSet_level09Title	Scout Sentinel
Feat/&ScoutSentinelFeatureSet_level15Description	<size=17><color=#add8e6ff>Improved Sentinel Mode</color></size>\nCan now pull enemies into melee range with a bonus action and inflict 1D8 thunder damage via the Gauntlet Grapple power\n\n<size=17><color=#add8e6ff>Improved Scout Mode</color></size>\nCan now create advantage for allies and disadvantage for enemies with a single attack
Feat/&ScoutSentinelFeatureSet_level15Title	Scout Sentinel
Feat/&SelfDestructDescription	Self-destruct and force a Dex saving throw for 3D8 force damage within 10ft
Feat/&SelfDestructTitle	Self-Destruct
Feat/&SelfRepairDescription	Heal 2D8 HP, 3 times per day
Feat/&SelfRepairTitle	Self-Repair
Feat/&SubclassMovementDescription	Heavy armor does not have a strength requirement
Feat/&SubclassMovementTitle	Heavy armor immunity
Feat/&SubclassProficienciesDescription	You gain proficiency in smith's tools and heavy armor
Feat/&SubclassProficienciesTitle	Subclass Proficiencies
Feat/&SummonArtificialServantDescription	The servant is friendly to you and your companions, and it obeys your commands
Feat/&SummonArtificialServantTitle	Summon Artificial Servant
