ActionAffinity/&DHFeeblemindSpellDescription	Incapable de lancer des sorts
Equipment/&ImprovedThunderPunchTitle	Coup de tonnerre amélioré
Equipment/&LightningSpearDescription	1d6 dégâts de foudre avec 1D6 supplémentaires une fois par tour
Equipment/&LightningSpearTitle	Lance de foudre
Equipment/&LivewoodClubDescription	Cette massue est composée de bois vivant, avec des feuilles qui poussent et peut-être des fleurs saisonnières. Elle peut être utilisée comme point focal pour lancer des sorts druidiques.
Equipment/&LivewoodClubTitle	Gourdin de bois vivant
Equipment/&LivewoodStaffDescription	Ce bâton est composé de bois vivant avec des feuilles qui poussent et peut-être des fleurs saisonnières. Il peut être utilisé comme point focal pour l'incantation de sorts druidiques.
Equipment/&LivewoodStaffTitle	Bâton de bois vivant
Equipment/&ThunderPunchDescription	1D8 dégâts de tonnerre et impose un désavantage aux jets d'attaque contre les alliés.
Equipment/&ThunderPunchTitle	Coup de tonnerre
Equipment/&WandIdentifyDescription	Texte Lance le sort identifier en dépensant une charge. La baguette a 3 charges et récupère 1d3 charges à chaque aube.
Equipment/&WandIdentifyTitle	Texte Baguette d'identification
Feat/&AddConstructCantripsDescription	Ajoute des cantrips pour soigner et renvoyer vos constructions.
Feat/&AddConstructCantripsTitle	Cantrips de construction
Feat/&AddProtectorConstructCantripDescription	Ajoute des cantrips de réparation et d'élimination des constructions pour augmenter la flexibilité de vos constructions.
Feat/&AddProtectorConstructCantripTitle	Cantrips de construction bonus
Feat/&AlchemistSubclassElixirsDescription	Apprenez à fabriquer des élixirs expérimentaux : Guérison, Rapidité, Résilience, Audace, Vol.
Feat/&AlchemistSubclassElixirsTitle	Elixirs expérimentaux
Feat/&AlchemistSubclassSpellsDescription	Niveau 3 : Mot de Guérison, Infliger des Blessures, Détecter le Poison, Maladie\nNiveau 5 : Sphère de Feu, Flèche Acide, Rayon d'Effacement\nNiveau 9 : Mot de Guérison de Masse, Toucher Vampirique, Enlever la Malédiction, Ralentir\nNiveau 13 : Fléau, Quartier de la Mort\nNiveau 17 : Mort Nuageuse, Réveil des Morts
Feat/&AlchemistSubclassSpellsTitle	Apprendre les sorts de fabrication de potions
Feat/&ArmorModePoolDescription	Permet de passer d'un mode d'armure à l'autre
Feat/&ArmorModePoolTitle	Mode armure
Feat/&ArtificerAlchemistAlchemicalSavantDescription	Lorsque tu guéris, tu guéris 1d4 + HP de ton niveau en plus.
Feat/&ArtificerAlchemistAlchemicalSavantTitle	Savant Elixir
Feat/&ArtificerAlchemistBoldnessElixirDescription	La cible peut lancer un d4 et ajouter le nombre obtenu à tous ses jets d'attaque et de sauvegarde pendant la minute suivante.
Feat/&ArtificerAlchemistBoldnessElixirTitle	Elixir d'audace
Feat/&ArtificerAlchemistFlyElixirDescription	La cible peut voler lentement pendant 10 minutes
Feat/&ArtificerAlchemistFlyElixirTitle	Élixir de vol
Feat/&ArtificerAlchemistHealElixirDescription	Guérison de la cible pour 2d4 + modificateur d'intelligence
Feat/&ArtificerAlchemistHealElixirTitle	Élixir de guérison
Feat/&ArtificerAlchemistResilienceElixirDescription	Augmente la CA de la cible de +1 pendant 10 minutes
Feat/&ArtificerAlchemistResilienceElixirTitle	Élixir de résilience
Feat/&ArtificerAlchemistSwiftnessElixirDescription	Augmente la vitesse de déplacement de la cible de 3 m pendant 1 heure.
Feat/&ArtificerAlchemistSwiftnessElixirTitle	Élixir de rapidité
Feat/&ArtificerArtilleristArcaneFirearmDescription	Lorsque vous lancez des sorts d'évocation, vous pouvez infliger 1d8 points de dégâts supplémentaires une fois par tour.
Feat/&ArtificerArtilleristArcaneFirearmTitle	Amélioration des explosions
Feat/&ArtificerArtillerstDetonationSpellPreparedDescription	Vous gagnez la capacité de faire exploser l'un de vos dispositifs, causant des dégâts aux personnes proches de la cible.
Feat/&ArtificerArtillerstDetonationSpellPreparedTitle	Détonation de dispositif
Feat/&ArtificerArtillerstImprovedCannonsDescription	L'effet de vos canons augmente. Des dégâts supplémentaires sont infligés par le feu, une cible supplémentaire par la force, et des HP temporaires supplémentaires par le bouclier.
Feat/&ArtificerArtillerstImprovedCannonsTitle	Canons améliorés
Feat/&ArtificialServantAttackDescription	Attaque à distance de 1d6 dégâts de force par votre fidèle acolyte.
Feat/&ArtificialServantAttackTitle	Fronde de Force
Feat/&ArtificialServantDescription	Le serviteur est amical envers vous et vos compagnons, et il obéit à vos ordres.
Feat/&ArtificialServantTitle	Serviteur artificiel
Feat/&ArtilleristCannonDetonationDescription	Déclenchement d'un de vos appareils causant 3d8 points de dégâts à ceux qui se trouvent dans un rayon de 6 mètres de l'endroit ciblé. Une sauvegarde de dextérité permet aux personnes affectées de subir la moitié des dégâts.
Feat/&ArtilleristCannonDetonationTitle	Détonation d'appareil
Feat/&ArtilleristFlameCannon15Description	Crache du feu, infligeant 6d8 points de dégâts de feu à vos ennemis comme action bonus.
Feat/&ArtilleristFlameCannon15Title	Lance-flammes
Feat/&ArtilleristFlameCannon9Description	Crache du feu, infligeant 3d8 points de dégâts de feu à vos ennemis comme action bonus.
Feat/&ArtilleristFlameCannon9Title	Lance-flammes
Feat/&ArtilleristFlameCannonDescription	Crache du feu, inflige 2d8 points de dégâts de feu à vos ennemis comme action bonus.
Feat/&ArtilleristFlameCannonTitle	Lance-flammes
Feat/&ArtilleristForceCannon15Description	Utilise une attaque de force infligeant 3d8 points de dégâts de force à une cible comme action bonus à 2 cibles.
Feat/&ArtilleristForceCannon15Title	Canon de force
Feat/&ArtilleristForceCannon9Description	Utilisez une attaque de force infligeant 3d8 points de dégâts de force à une cible comme action bonus.
Feat/&ArtilleristForceCannon9Title	Canon de force
Feat/&ArtilleristForceCannonDescription	Utiliser une attaque de force infligeant 2d8 points de dégâts de force à une cible comme action bonus.
Feat/&ArtilleristForceCannonTitle	Canon de force
Feat/&ArtilleristProtectorCannon15Description	Émettre de l'énergie positive comme action bonus. Les alliés situés dans un rayon de 6 mètres gagnent 3d8 + votre modificateur d'Intelligence en points de vie temporaires.
Feat/&ArtilleristProtectorCannon15Title	Bouclier arcanique
Feat/&ArtilleristProtectorCannonDescription	Émet de l'énergie positive en tant qu'action bonus. Les alliés dans un rayon de 10 pieds gagnent 1d8 + votre modificateur d'Intelligence.
Feat/&ArtilleristProtectorCannonTitle	Bouclier des arcanes
Feat/&ArtilleristSubclassSpellsDescription	Niveau 3 : Bouclier, Onde de tonnerre\nNiveau 5 : Rayon brûlant, Eclat\nNiveau 9 : Boule de feu, Mur de vent\nNiveau 13 : Tempête de glace, Mur de feu\niveau 17 : Cône de froid, Mur de force
Feat/&ArtilleristSubclassSpellsTitle	Apprendre les sorts de blaster
Feat/&ArtilleryConstructDescription	Peut endommager ou protéger les alliés.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsDescription	Cantrips : Constructrice Réparatrice, Constructrice Renvoyée. Niveau 1 : Constructrice d'Artillerie Renvoyée.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsTitle	Sorts de construction
Feat/&ArtilleryConstructLevel09AutopreparedSpellsDescription	Sorts de construction
Feat/&ArtilleryConstructLevel09AutopreparedSpellsTitle	Sorts de construction
Feat/&ArtilleryConstructLevel15AutopreparedSpellsDescription	Sorts de construction
Feat/&ArtilleryConstructLevel15AutopreparedSpellsTitle	Sorts de construction
Feat/&ArtilleryConstructTitle	Construction d'artillerie
Feat/&ArtilleryConstructTitle_3	Construction d'une artillerie
Feat/&ArtilleryConstructTitle_5	Construction d'artillerie
Feat/&ArtilleryModePoolDescription	Choisissez votre mode d'artillerie
Feat/&ArtilleryModePoolTitle	Mode d'artillerie
Feat/&AttackModifierArtificerBattleSmithJolt2Description	Vos attaques d'armes infligent 3 dégâts supplémentaires
Feat/&AttackModifierArtificerBattleSmithJolt2Title	Attaque d'arme améliorée Jolt
Feat/&AttackModifierArtificerBattleSmithJoltDescription	Vos attaques d'armes infligent 3 dégâts supplémentaires
Feat/&AttackModifierArtificerBattleSmithJoltTitle	Coup d'attaque de l'arme
Feat/&AutoPreparedSpellsDescription	Niveau 3 Missile magique, Onde de tonnerre\NNiveau 5 Flou, Éclat\Niveau 9 Éclair, Mur de vent, Mur de feu
Feat/&AutoPreparedSpellsTitle	Apprendre les sorts de Sentinelle Scout
Feat/&BattleSmithSubclassSpellsDescription	Niveau 3 : Bouclier, Héroïsme, Marque du chasseur\nNiveau 5 : Frappe au fer rouge, Arme spirituelle\nNiveau 9 : Suppression de la malédiction, Lueur d'espoir\nNiveau 13 : Bouclier de feu, Quartier de la mort\nNiveau 17 : Guérison massive des blessures, Mur de force
Feat/&BattleSmithSubclassSpellsTitle	Apprendre les sorts de forgeron d'arme
Feat/&CancelFlyingConditionDescription	Fin de la condition de vol pour permettre de sauter et de ramper.
Feat/&CancelFlyingConditionTitle	Annuler le vol
Feat/&ChefConDescription	Vous gagnez +1 à la Constitution. Consacrez 1 heure à la préparation d'un repas pour vous soigner et soigner vos compagnons 1d8. Une fois par jour, vous pouvez dépenser une heure pour cuisiner des friandises qui fournissent des HP temporaires lorsqu'elles sont mangées.
Feat/&ChefConTitle	Chef (Constitution)
Feat/&ChefShortRestFeastDescription	Consacrez 1 heure à la préparation d'un repas qui vous guérit, vous et vos compagnons, 1d8.
Feat/&ChefShortRestFeastTitle	Repas de repos court
Feat/&ChefWisDescription	Vous gagnez +1 à la Sagesse. Dépensez 1 heure pour préparer un repas qui vous guérit, vous et vos compagnons. Une fois par jour, vous pouvez dépenser une heure pour cuisiner des friandises qui fournissent des HP temporaires lorsqu'elles sont mangées.
Feat/&ChefWisTitle	Chef (Sagesse)
Feat/&ConstructSelectingPoolDescription	Sélectionnez le mode pour votre Construct
Feat/&ConstructSelectingPoolTitle	Mode artillerie
Feat/&DismissConstructDescription	Démontez votre construction
Feat/&DismissConstructTitle	Renvoyer la construction
Feat/&DualFlurryDescription	Vous êtes un maître du combat avec des armes jumelées. À chaque tour où vous touchez deux fois avec des attaques de mêlée en brandissant une arme dans chaque main, vous pouvez effectuer une attaque supplémentaire à mains nues.
Feat/&DualFlurryTitle	Rafale double
Feat/&ExtraInfusionSlotsDescription	Vous gagnez des emplacements d'infusion supplémentaires, à utiliser sur les armures/armes.
Feat/&ExtraInfusionSlotsTitle	Infusions supplémentaires
Feat/&FeatArcaneDefenseDescription	Augmente ton Intelligence de 1, jusqu'à un maximum de 20. Lorsque tu ne portes pas d'armure, ta CA est égale à 10 + ton modificateur d'Intelligence.
Feat/&FeatArcaneDefenseTitle	Défense arcanique
Feat/&FeatArcanePrecisionDescription	Lorsqu'elle est active sur une arme, ses attaques comptent comme magiques et vous utilisez votre intelligence pour vos jets d'attaque et de dégâts. Elle a une durée de 1 minute et peut être utilisée deux fois avant un long repos.
Feat/&FeatArcanePrecisionTitle	Précision arcanique
Feat/&FeatBlindFightingStlyeDescription	Vous avez une vision aveugle avec une portée de 10 pieds.
Feat/&FeatBlindFightingStlyeTitle	Style de combat : Combat à l'aveugle
Feat/&FeatBrutalThugDescription	Tu portes des coups puissants aux bons endroits. Tu peux attaquer sournoisement avec des armes basées sur les arts martiaux et obtenir la compétence d'arme de fantaisie.
Feat/&FeatBrutalThugTitle	Voyou brutal
Feat/&FeatChaIncrementDescription	+1 Charisme
Feat/&FeatChaIncrementTitle	Augmentation de l'attribut Charisma
Feat/&FeatCharismaticDefenseDescription	Augmente ton Charisme de 1, jusqu'à un maximum de 20. Lorsque tu ne portes pas d'armure, ta CA est égale à 10 + ton modificateur de Charisme.
Feat/&FeatCharismaticDefenseTitle	Défense charismatique
Feat/&FeatCharismaticPrecisionDescription	Lorsqu'elle est active sur une arme, ses attaques comptent comme magiques et vous utilisez votre charisme pour vos jets d'attaque et de dégâts. Elle a une durée de 1 minute et peut être utilisée deux fois avant un long repos.
Feat/&FeatCharismaticPrecisionTitle	Précision charismatique
Feat/&FeatChefConIncrementDescription	+1 Constitution
Feat/&FeatChefConIncrementTitle	Augmentation des attributs
Feat/&FeatChefWisIncrementDescription	+1 Sagesse
Feat/&FeatChefWisIncrementTitle	Augmentation d'attribut
Feat/&FeatDexIncrementDescription	+1 Dexterity
Feat/&FeatDexIncrementTitle	Augmentation des attributs
Feat/&FeatFeyTeleportationChaDescription	Augmente l'attribut Charisme de 1. Gagne la capacité de faire un pas brumeux une fois par repos court et apprend le sort. Gagne la maîtrise du tirmarian.
Feat/&FeatFeyTeleportationChaTitle	Téléportation Fey (Charisme)
Feat/&FeatFeyTeleportationIntDescription	Augmente l'attribut Intelligence de 1. Gagne la capacité de faire un pas brumeux une fois par court repos et d'apprendre le sort. Gagne en compétence en tirmarian.
Feat/&FeatFeyTeleportationIntTitle	Téléportation Fey (Intelligence)
Feat/&FeatFeyTeleportationWisDescription	Augmente l'attribut Sagesse de 1. Gagne la capacité de faire un pas brumeux une fois par court repos et d'apprendre le sort. Gagne en compétence en tirmarian.
Feat/&FeatFeyTeleportationWisTitle	Téléportation Fey (Sagesse)
Feat/&FeatFightingSurgeDexterityDescription	Augmente votre Dextérité de 1, jusqu'à un maximum de 20.\NÀ votre tour, vous pouvez effectuer une action supplémentaire en plus de votre action normale et d'une éventuelle action bonus. Une fois que vous avez utilisé cette caractéristique, vous devez terminer un long repos avant de pouvoir l'utiliser à nouveau.
Feat/&FeatFightingSurgeDexterityTitle	Poussée de combat (Dextérité)
Feat/&FeatFightingSurgeStrengthDescription	Augmentez votre Force de 1, jusqu'à un maximum de 20. À votre tour, vous pouvez effectuer une action supplémentaire en plus de votre action normale et d'une éventuelle action bonus. Une fois que vous avez utilisé cette caractéristique, vous devez terminer un long repos avant de pouvoir l'utiliser à nouveau.
Feat/&FeatFightingSurgeStrengthTitle	Poussée de combat (Force)
Feat/&FeatHeavyArmorMasterClassDescription	Résistance aux dégâts de matraquage, de cisaillement et de perforation.
Feat/&FeatHeavyArmorMasterClassTitle	Maîtrise de la défense lourde
Feat/&FeatImprovedCriticalDescription	Vos attaques sont des coups critiques sur un jet de 19 ou 20.
Feat/&FeatImprovedCriticalTitle	Coup critique amélioré
Feat/&FeatIntIncrementDescription	+1 Intelligence
Feat/&FeatIntIncrementTitle	Augmentation de l'attribut Intelligence
Feat/&FeatLightArmorDescription	Maîtrise de l'armure légère et +1 Dextérité
Feat/&FeatLightArmorProficiencyDescription	Maîtrise de l'armure légère
Feat/&FeatLightArmorProficiencyTitle	Armure légère
Feat/&FeatLightArmorTitle	Armure légère
Feat/&FeatMediumArmorDexDescription	Gagne la maîtrise des armures et boucliers moyens et +1 Dextérité
Feat/&FeatMediumArmorDexTitle	Armure moyenne (Dextérité)
Feat/&FeatMediumArmorProficiencyDescription	Gagne en compétence avec les armures et boucliers moyens
Feat/&FeatMediumArmorProficiencyTitle	Armure moyenne
Feat/&FeatMediumArmorStrengthDescription	Gagne en compétence avec les armures et boucliers moyens et +1 Force
Feat/&FeatMediumArmorStrengthTitle	Armure moyenne (Force)
Feat/&FeatMetamagicAdeptCarefulDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20. Vous apprenez la métamagie Attention et gagnez 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptCarefulTitle	Métamagie : Prudence
Feat/&FeatMetamagicAdeptDistantDescription	Augmente ton Charisme de 1, jusqu'à un maximum de 20.\NTu apprends la métamagie Distant et gagnes 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptDistantTitle	Métamagie : Distant
Feat/&FeatMetamagicAdeptEmpoweredDescription	Augmente ton Charisme de 1, jusqu'à un maximum de 20.\NTu apprends la métamagie Empreinte et gagnes 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Métamagie : Empowered
Feat/&FeatMetamagicAdeptExtendedDescription	Augmente ton Charisme de 1, jusqu'à un maximum de 20.\NTu apprends la métamagie étendue et gagnes 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptExtendedTitle	Métamagie : Étendue
Feat/&FeatMetamagicAdeptHeightenedDescription	Vous apprenez la métamagie intensifiée et gagnez 4 points de sorcellerie.
Feat/&FeatMetamagicAdeptHeightenedTitle	Métamagie : Intensifiée
Feat/&FeatMetamagicAdeptQuickenedDescription	Augmente ton Charisme de 1, jusqu'à un maximum de 20.\NTu apprends la métamagie Rapide et gagnes 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptQuickenedTitle	Métamagie : Accéléré
Feat/&FeatMetamagicAdeptTwinnedDescription	Augmente ton Charisme de 1, jusqu'à un maximum de 20.\NTu apprends la métamagie Jumelé et gagnes 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptTwinnedTitle	Métamagie : Jumelé
Feat/&FeatPrimalConstitutionDescription	Augmente ta Constitution de 1, jusqu'à un maximum de 20. Tu peux entrer en rage comme une action bonus telle que définie dans le trait de classe Rage du barbare avec +1 aux dégâts de rage qui peut s'empiler avec la rage du barbare. Une fois que vous vous êtes emporté de cette manière, vous devez vous reposer longuement avant de pouvoir utiliser à nouveau cette caractéristique. \NLorsque vous ne portez pas d'armure, votre CA est égale à 10 + votre modificateur de Constitution.
Feat/&FeatPrimalConstitutionTitle	Rage primitive (Constitution)
Feat/&FeatPrimalStrengthDescription	Augmentez votre Force de 1, jusqu'à un maximum de 20. Vous pouvez entrer en rage comme une action bonus telle que définie dans le trait de classe Rage du barbare avec +1 aux dégâts de rage qui peut s'empiler avec la rage du barbare. Une fois que vous vous êtes emporté de cette manière, vous devez vous reposer longuement avant de pouvoir utiliser à nouveau cette caractéristique. \NLorsque vous ne portez pas d'armure, votre CA est égale à 10 + votre modificateur de Constitution.
Feat/&FeatPrimalStrengthTitle	Rage primitive (Force)
Feat/&FeatPugilistFightingStlyeDescription	Lorsque vous êtes complètement désarmé, vos frappes à mains nues infligent d8 points de dégâts supplémentaires et vous pouvez donner des coups de poing avec votre main extérieure comme action bonus.
Feat/&FeatPugilistFightingStlyeTitle	Style de combat : Pugiliste
Feat/&FeatSavageAttackerDescription	Relancez les dés de dégâts des armes et des sorts lorsqu'ils obtiennent un 1 (ne relance pas toutes les sources de dégâts, ce qui exclut par exemple l'Attaque sournoise et la Frappe).
Feat/&FeatSavageAttackerReroll	Comme il s'agit d'un attaquant sauvage, {0} relance le dé {1} d'un {2} à un {3}.
Feat/&FeatSavageAttackerTitle	Attaquant sauvage
Feat/&FeatShadowTouchedChaDescription	Augmentez l'attribut Charisme de 1. Gagnez la capacité de lancer Invisibilité, Infliger des Blessures, et Fausse Vie une fois par long repos et apprenez les sorts.
Feat/&FeatShadowTouchedChaTitle	Touché par l'ombre (Charisme)
Feat/&FeatShadowTouchedIntDescription	Augmente l'attribut Intelligence de 1. Gagne la possibilité de jeter des sorts d'Invisibilité, d'Infliger des Blessures et de Fausse Vie une fois par long repos et d'apprendre les sorts.
Feat/&FeatShadowTouchedIntTitle	Touché par l'ombre (Intelligence)
Feat/&FeatShadowTouchedWisDescription	Augmente l'attribut Sagesse de 1. Gagne la possibilité de lancer les sorts Invisibilité, Infliger des blessures et Fausse vie une fois par repos long et d'apprendre les sorts.
Feat/&FeatShadowTouchedWisTitle	Touché par l'ombre (Sagesse)
Feat/&FeatShadyDescription	Augmente votre Dextérité de 1, jusqu'à un maximum de 20.\NUne fois par tour, vous pouvez infliger 1d6 points de dégâts supplémentaires à une créature que vous touchez avec une attaque qui répond à l'Attaque sournoise de Rogue. Au 12e niveau, ces dégâts passent à 2d6 et au 20e niveau à 4d6. Ceci peut s'empiler avec l'Attaque sournoise de Rogue.
Feat/&FeatShadyTitle	Ombrageux
Feat/&FeatStrengthIncrementDescription	+1 Force
Feat/&FeatStrengthIncrementTitle	Augmentation des attributs
Feat/&FeatTelekineticChaDescription	Augmente l'attribut Charisme de 1. Gagne une capacité d'action bonus pour pousser ou tirer les créatures.
Feat/&FeatTelekineticChaPullDescription	Tirez télékinésiquement une créature vers vous.
Feat/&FeatTelekineticChaPullTitle	Tirer télékinétiquement
Feat/&FeatTelekineticChaPushDescription	Pousser télékinésiquement une créature loin de vous.
Feat/&FeatTelekineticChaPushTitle	Poussée télékinétique
Feat/&FeatTelekineticChaTitle	Télékinésie (Charisme)
Feat/&FeatTelekineticIntDescription	Augmentez l'attribut Intelligence de 1. Obtenez un bonus d'action pour pousser ou tirer des créatures.
Feat/&FeatTelekineticIntPullDescription	Tirez télékinésiquement une créature vers vous.
Feat/&FeatTelekineticIntPullTitle	Tirer télékinétiquement
Feat/&FeatTelekineticIntPushDescription	Pousse télékinétiquement une créature loin de vous.
Feat/&FeatTelekineticIntPushTitle	Poussée télékinétique
Feat/&FeatTelekineticIntTitle	Télékinésie (Intelligence)
Feat/&FeatTelekineticWisDescription	Augmentez l'attribut Sagesse de 1. Obtenez un bonus d'action pour pousser ou tirer des créatures.
Feat/&FeatTelekineticWisPullDescription	Tirez télékinésiquement une créature vers vous.
Feat/&FeatTelekineticWisPullTitle	Tirer télékinétiquement
Feat/&FeatTelekineticWisPushDescription	Pousse télékinétiquement une créature loin de vous.
Feat/&FeatTelekineticWisPushTitle	Poussée télékinétique
Feat/&FeatTelekineticWisTitle	Télékinésie (Sagesse)
Feat/&FeatToughDescription	Votre maximum de points de vie augmente d'un montant égal à deux fois votre niveau lorsque vous gagnez cet exploit. Par la suite, chaque fois que vous gagnez un niveau, votre maximum de points de vie augmente de 2 points de vie supplémentaires.
Feat/&FeatToughTitle	Dur à cuire
Feat/&FeatWarCasterDescription	Vous gagnez un avantage sur les tests de maintien de la concentration. Vous gagnez la capacité d'exécuter la composante somatique des sorts même avec les mains pleines. Vous gagnez +2 aux jets d'attaque des sorts.
Feat/&FeatWarCasterTitle	Maître de guerre
Feat/&FeatWiseDefenseDescription	Augmente ta Sagesse de 1, jusqu'à un maximum de 20. Lorsque tu ne portes pas d'armure, ta CA est égale à 10 + ton modificateur de Sagesse.
Feat/&FeatWiseDefenseTitle	Défense sage
Feat/&FeatWisePrecisionDescription	Lorsqu'il est actif sur une arme, ses attaques comptent comme magiques et vous utilisez votre sagesse pour vos jets d'attaque et de dégâts. Elle a une durée de 1 minute et peut être utilisée deux fois avant un long repos.
Feat/&FeatWisePrecisionTitle	Précision sage
Feat/&FeatWisIncrementDescription	+1 Sagesse
Feat/&FeatWisIncrementTitle	Augmentation de l'attribut Sagesse
Feat/&FeyTeleportationLanguageTirmarianDescription	Gagnez la compétence en tirmarian.
Feat/&FeyTeleportationLanguageTirmarianTitle	Tirmarian
Feat/&FightingStyleArcheryDescription	Vous gagnez un bonus de +2 aux jets d'attaque avec les armes à distance.
Feat/&FightingStyleArcheryTitle	Style de combat : Tir à l'arc
Feat/&FightingStyleDefenseDescription	Lorsque vous portez une armure, vous gagnez un bonus de +1 à la CA.
Feat/&FightingStyleDefenseTitle	Style de combat : Défense
Feat/&FightingStyleDuelingDescription	Lorsque vous brandissez une arme de mêlée dans une main et aucune autre arme, vous gagnez un bonus de +2 aux jets de dégâts avec cette arme.
Feat/&FightingStyleDuelingTitle	Style de combat : Duel :
Feat/&FightingStyleGeneralFeatDescription	Vous pouvez choisir un style de combat.
Feat/&FightingStyleGeneralFeatitle	Style de combat
Feat/&FightingStyleGreatWeaponDescription	Lorsque vous obtenez un 1 ou un 2 sur un dé de dégâts pour une attaque que vous effectuez avec une arme de mêlée que vous maniez à deux mains, vous pouvez relancer le dé. Vous devez utiliser le nouveau jet, même si c'est un 1 ou un 2. L'arme doit avoir la propriété à deux mains ou polyvalente pour que vous puissiez bénéficier de cet avantage.
Feat/&FightingStyleGreatWeaponTitle	Style de combat : Grande arme
Feat/&FightingStyleProtectionDescription	Lorsqu'une créature que vous pouvez voir attaque une cible autre que vous qui se trouve à moins de 1,5 m de vous, vous pouvez utiliser votre réaction pour imposer un désavantage au jet d'attaque. Vous devez brandir un bouclier.
Feat/&FightingStyleProtectionTitle	Style de combat : Protection
Feat/&FightingStyleTwoWeaponDescription	Lorsque vous engagez un combat à deux armes, vous pouvez ajouter votre modificateur de capacité aux dégâts de la deuxième attaque.
Feat/&FightingStyleTwoWeaponTitle	Style de combat : Deux armes
Feat/&FlameArtillery_2Description	3D8 dégâts de feu (Cône)
Feat/&FlameArtillery_2Title	Artillerie de flammes (améliorée)
Feat/&FlameArtilleryConstructDescription	Crée un cône de feu qui inflige 2D8 points de dégâts en cas de sauvegarde ratée.
Feat/&FlameArtilleryConstructDescription_3	Crée un cône de feu qui inflige 3D8 points de dégâts en cas d'échec de la sauvegarde.
Feat/&FlameArtilleryConstructTitle	Construction d'artillerie de feu
Feat/&FlameArtilleryConstructTitle_3	Construction d'artillerie de feu
Feat/&FlameArtilleryConstructTitle_5	Construction d'artillerie de feu
Feat/&FlameArtilleryDescription	2D8 points de dégâts de feu (cône)
Feat/&FlameArtilleryTitle	Artillerie de flammes
Feat/&ForceArtillery_2Description	3D8 dégâts de Force et pousse la cible de 1,5 m
Feat/&ForceArtillery_2Title	Artillerie de force (améliorée)
Feat/&ForceArtilleryAdditionalDamageDescription	La construction améliorée inflige 1D8 points de dégâts supplémentaires par coup.
Feat/&ForceArtilleryConstructDescription	Inflige 2D8 dégâts de force et pousse l'ennemi à 1,5 m de la construction.
Feat/&ForceArtilleryConstructDescription_3	Inflige 3D8 dégâts de force et repousse l'ennemi à 1,5 m de la Construct.
Feat/&ForceArtilleryConstructTitle	Construction d'artillerie de force
Feat/&ForceArtilleryConstructTitle_3	Construction d'artillerie de force
Feat/&ForceArtilleryConstructTitle_5	Construction d'artillerie de force
Feat/&ForceArtilleryDescription	Inflige 2D8 dégâts de force et pousse l'ennemi à 5ft
Feat/&ForceStrikePowerDescription	Attaque à distance 1d6 points de dégâts de force de votre fidèle acolyte.
Feat/&ForceStrikePowerTitle	Fronde de Force (serviteur artificiel)
Feat/&GauntletsGrappleDescription	Peut maintenant tirer les ennemis à portée de mêlée avec une action bonus et infliger 1D8 dégâts de tonnerre.
Feat/&GauntletsGrappleTitle	Grappin de gantelet
Feat/&HalfCoverShieldDescription	Donne 2 CA dans un rayon de 3 m
Feat/&HalfCoverShieldTitle	Dôme à demi-couvert
Feat/&HealerDescription	Vous gagnez une compétence ou une expertise aux tests de médecine. Vous gagnez la capacité de stabiliser une créature mourante ainsi que de ranimer une créature morte dans les 12 dernières secondes, une fois par repos long. Vous pouvez utiliser une action pour restaurer 1d6 + 4 + niveau de personnage points de vie un nombre de fois par repos court égal à votre modificateur de Sagesse.
Feat/&HealerResuscitateDescription	Utilisez une action pour ranimer une créature morte au cours des 15 dernières secondes.
Feat/&HealerResuscitateTitle	Réanimation
Feat/&HealerStabilizeDescription	Utilisez une action pour stabiliser une créature mourante.
Feat/&HealerStabilizeTitle	Stabiliser
Feat/&HealerTitle	Guérisseur
Feat/&HealerUseMedicineDescription	Vous pouvez utiliser une action pour restaurer 1d6 + 4 + niveau du personnage points de vie un nombre de fois par repos court égal à votre modificateur de Sagesse.
Feat/&HealerUseMedicineTitle	Use Medicine
Feat/&IncreaseConstructSelectingDescription	Vous pouvez maintenant invoquer deux constructions d'artillerie. Les constructions peuvent être de même type ou de type différent.
Feat/&IncreaseConstructSelectingTitle	Renforts
Feat/&InspiringLeaderDescription	Dépensez 10 minutes pour inspirer jusqu'à 6 créatures amies (dont vous pouvez faire partie) dans un rayon de 30 pieds autour de vous. Chaque créature gagne des points de vie temporaires égaux à votre niveau + votre modificateur de Charisme. Utilisable une fois par repos court.
Feat/&InspiringLeaderTitle	Chef inspirant
Feat/&IntToAttackAndDamageDescription	Ajoutez Int au lieu de Str ou Dex à vos armes d'armure.
Feat/&IntToAttackAndDamageTitle	Arme Amror
Feat/&MendingConstructDescription	Répare votre construction pour 2D6 sur 1 min
Feat/&MendingConstructTitle	Construct Mending
Feat/&ModeSwitchingPoolDescription	Vous pouvez changer de mode une fois par jour en créant et en utilisant des armes temporaires.
Feat/&ModeSwitchingPoolTitle	Mode Armure
