ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços
Feat/&AddConstructCantripsTitle	Construir Cantrips
Feat/&AddProtectorConstructCantripDescription	Adiciona Construct Mending Construct e Dississississ Construct para aumentar a flexibilidade de suas construções
Feat/&AddProtectorConstructCantripTitle	Bônus de Construção de Cantrips
Feat/&AlchemistSubclassElixirsDescription	Aprenda a fazer elixires experimentais: Cura, Rapidez, Resiliência, Ousadia, Vôo
Feat/&AlchemistSubclassElixirsTitle	Elixires experimentais
Feat/&AlchemistSubclassSpellsDescription	Nível 3: Palavra de cura, feridas inflamadas, detectar veneno, doença Nível 5: Esfera flamejante, Flecha ácida, Raio de enfraquecimento Nível 9: Palavra de cura em massa, toque vampírico, remover maldição, nível 13: Blight, ala da morte Nível 17: Matar nuvens, ressuscitar mortos
Feat/&AlchemistSubclassSpellsTitle	Aprenda o feitiço do Criador de Poção
Feat/&ArmorModePoolDescription	Permite alternar entre os modos de blindagem
Feat/&ArmorModePoolTitle	Modo blindagem
Feat/&ArtificerAlchemistAlchemicalSavantDescription	Quando você cura, você cura um 1d4 extra + Seu nível HP
Feat/&ArtificerAlchemistAlchemicalSavantTitle	Elixir Savant
Feat/&ArtificerAlchemistBoldnessElixirDescription	O alvo pode rolar um d4 e adicionar o número rolado a cada rolo de ataque e salvar o arremesso que eles fazem para o próximo minuto
Feat/&ArtificerAlchemistBoldnessElixirTitle	Ousadia Elixir
Feat/&ArtificerAlchemistFlyElixirDescription	O alvo pode voar lentamente por 10 minutos
Feat/&ArtificerAlchemistFlyElixirTitle	Fly Elixir
Feat/&ArtificerAlchemistHealElixirDescription	Curar o alvo para 2d4 + Modificador de inteligência
Feat/&ArtificerAlchemistHealElixirTitle	Elixir cicatrizante
Feat/&ArtificerAlchemistResilienceElixirDescription	Aumentar a meta AC em +1 por 10 minutos
Feat/&ArtificerAlchemistResilienceElixirTitle	Resiliência Elixir
Feat/&ArtificerAlchemistSwiftnessElixirDescription	Aumentar a velocidade de movimento do alvo em 10 pés por 1 hora
Feat/&ArtificerAlchemistSwiftnessElixirTitle	Rapidez Elixir
Feat/&ArtificerArtilleristArcaneFirearmDescription	Ao lançar feitiços de evocação, lance um 1d8 a mais em danos uma vez por turno
Feat/&ArtificerArtilleristArcaneFirearmTitle	Melhoria do jateamento
Feat/&ArtificerArtillerstDetonationSpellPreparedDescription	Você ganha a capacidade de detonar um de seus dispositivos causando danos aos que estão perto do alvo
Feat/&ArtificerArtillerstDetonationSpellPreparedTitle	Detonação do dispositivo
Feat/&ArtificerArtillerstImprovedCannonsDescription	O efeito de seus canhões aumenta. Danos adicionais do fogo, um alvo adicional da força, e HP adicional da temperatura do escudo.
Feat/&ArtificerArtillerstImprovedCannonsTitle	Canhões melhorados
Feat/&ArtificialServantAttackDescription	Ataque com força 1d6, dano de seu fiel companheiro
Feat/&ArtificialServantAttackTitle	Forçar Funda
Feat/&ArtificialServantDescription	O servo é amigável com você e seus companheiros, e obedece às suas ordens
Feat/&ArtificialServantTitle	Servidor Artificial
Feat/&ArtilleristCannonDetonationDescription	Detonar um de seus dispositivos causando danos 3d8 naqueles a menos de 20 pés do local visado. Uma economia de destreza permite que aqueles afetados sofram metade dos danos.
Feat/&ArtilleristCannonDetonationTitle	Detonação do dispositivo
Feat/&ArtilleristFlameCannon15Description	Fale fogo, lidando com danos de fogo 6d8 contra seus inimigos como uma ação bônus
Feat/&ArtilleristFlameCannon15Title	Lançador de chamas
Feat/&ArtilleristFlameCannon9Description	Fale fogo, lidando com danos de fogo 3d8 em seus inimigos como uma ação bônus
Feat/&ArtilleristFlameCannon9Title	Lançador de chamas
Feat/&ArtilleristFlameCannonDescription	Fale fogo, lidando com danos de fogo 2d8 em seus inimigos como uma ação bônus
Feat/&ArtilleristFlameCannonTitle	Lançador de chamas
Feat/&ArtilleristForceCannon15Description	Use um ataque de força que lide com danos de força 3d8 em um alvo como uma ação bônus para 2 alvos.
Feat/&ArtilleristForceCannon15Title	Forçar o canhão
Feat/&ArtilleristForceCannon9Description	Usar um ataque de força que lide com danos de força 3d8 em um alvo como uma ação bônus
Feat/&ArtilleristForceCannon9Title	Forçar o canhão
Feat/&ArtilleristForceCannonDescription	Usar um ataque de força que lide com danos de força 2d8 em um alvo como ação bônus
Feat/&ArtilleristForceCannonTitle	Forçar o canhão
Feat/&ArtilleristProtectorCannon15Description	Emitir energia positiva como uma ação bônus. Aliados dentro de 20 pés ganham 3d8 + seu modificador de inteligência pontos de golpe temporários
Feat/&ArtilleristProtectorCannon15Title	Escudo Arcano
Feat/&ArtilleristProtectorCannonDescription	Emitir energia positiva como uma ação bônus. Aliados dentro de 3 metros ganham 1d8 + seu modificador de inteligência pontos de golpe temporários
Feat/&ArtilleristProtectorCannonTitle	Escudo Arcano
Feat/&ArtilleristSubclassSpellsDescription	Nível 3: Escudo, Onda de Trovoada Nível 5: Raio Escorregadio, Raios de Fogo Nível 9: Bola de fogo, Parede de Vento Nível 13: Tempestade de Gelo, Parede de Fogo Nível 17: Cone de Frio, Parede de Força
Feat/&ArtilleristSubclassSpellsTitle	Aprenda Feitiços de Explosão
Feat/&ArtilleryConstructDescription	Pode danificar ou proteger os aliados
Feat/&ArtilleryConstructLevel03AutopreparedSpellsDescription	Cantrips: Construcção de reparo, Demissão Construcção de demolição Nível 1: Resummon Artillery Construct
Feat/&ArtilleryConstructLevel03AutopreparedSpellsTitle	Feitiços de Construção
Feat/&ArtilleryConstructLevel09AutopreparedSpellsDescription	Feitiços de Construção
Feat/&ArtilleryConstructLevel09AutopreparedSpellsTitle	Feitiços de Construção
Feat/&ArtilleryConstructLevel15AutopreparedSpellsDescription	Feitiços de Construção
Feat/&ArtilleryConstructLevel15AutopreparedSpellsTitle	Feitiços de Construção
Feat/&ArtilleryConstructTitle	Construção de artilharia
Feat/&ArtilleryConstructTitle_3	Construção de artilharia
Feat/&ArtilleryConstructTitle_5	Construção de artilharia
Feat/&ArtilleryModePoolDescription	Escolha seu modo de artilharia
Feat/&ArtilleryModePoolTitle	Modo de Artilharia
Feat/&AttackModifierArtificerBattleSmithJolt2Description	Seus ataques com armas causam 3 danos adicionais
Feat/&AttackModifierArtificerBattleSmithJolt2Title	Ataque de Arma Melhorada Jolt
Feat/&AttackModifierArtificerBattleSmithJoltDescription	Seus ataques com armas causam 3 danos adicionais
Feat/&AttackModifierArtificerBattleSmithJoltTitle	Ataque de Arma Jolt
Feat/&AutoPreparedSpellsDescription	Nível 3 Míssil Mágico, Nível 5 Onda de Trovão, Nível 9 Parafuso de Raios, Parede de Vento, Parede de Fogo
Feat/&AutoPreparedSpellsTitle	Aprenda os feitiços de Sentinela dos Escoteiros
Feat/&BattleSmithSubclassSpellsDescription	Nível 3: Escudo, Heroísmo, Marca de Caçador Nível 5: Marca de Fogo, Arma Espiritual Nível 9: Remover Maldição, Farol da Esperança Nível 13: Escudo de Fogo, Ala da Morte Nível 17: Feridas de Cura em Massa, Muro de Força
Feat/&BattleSmithSubclassSpellsTitle	Aprenda o feitiço do Smith Arma
Feat/&CancelFlyingConditionDescription	Acabe com a condição de vôo para permitir saltar e rastejar.
Feat/&CancelFlyingConditionTitle	Cancelar vôo
Feat/&ChefConDescription	Você ganha +1 para a Constituição. Passe 1 hora para cozinhar uma refeição para se curar e curar seus companheiros 1d8. Uma vez por dia você pode passar uma hora para cozinhar guloseimas que proporcionam HP temporários quando comidas.
Feat/&ChefConTitle	Chef (Constituição)
Feat/&ChefShortRestFeastDescription	Passe 1 hora para preparar uma refeição que ajude a curar você e seus companheiros 1d8.
Feat/&ChefShortRestFeastTitle	Refeição de Descanso Curto
Feat/&ChefWisDescription	Você ganha +1 para o Wisdom. Passe 1 hora para cozinhar uma refeição para se curar e curar seus companheiros. Uma vez por dia você pode passar uma hora para cozinhar guloseimas que proporcionam HP temporários quando comidas.
Feat/&ChefWisTitle	Chef (Wisdom)
Feat/&ConstructSelectingPoolDescription	Selecione o modo para sua construção
Feat/&ConstructSelectingPoolTitle	Modo de Artilharia
Feat/&DismissConstructDescription	Não se preocupe com a sua construção
Feat/&DismissConstructTitle	Despedir Construir
Feat/&DualFlurryDescription	Você é um mestre da luta com armas emparelhadas. Em qualquer turno em que você acerte duas vezes com ataques corpo a corpo enquanto empunha uma arma em cada mão, você pode fazer um ataque adicional fora de mão.
Feat/&DualFlurryTitle	Duplo Flurry
Feat/&ExtraInfusionSlotsDescription	Você ganha slots de infusão extras, deve ser usado em armaduras/armas
Feat/&ExtraInfusionSlotsTitle	Infusões extras
Feat/&FeatArcaneDefenseDescription	Aumente sua Inteligência em 1, até um máximo de 20,\nEmbora você não esteja usando nenhuma armadura, seu AC é igual a 10 + seu modificador de Inteligência.
Feat/&FeatArcaneDefenseTitle	Arcano de Defesa
Feat/&FeatArcanePrecisionDescription	Quando ativo em uma arma, seus ataques contam como mágicos e você usa sua inteligência para seus ataques e rolos de danos. Ela tem duração de 1 minuto e pode ser usada duas vezes antes de um longo descanso.
Feat/&FeatArcanePrecisionTitle	Precisão Arcana
Feat/&FeatBlindFightingStlyeDescription	Você tem uma persiana com alcance de 3 metros.
Feat/&FeatBlindFightingStlyeTitle	Estilo de luta: Combate às cegas
Feat/&FeatBrutalThugDescription	Você consegue golpes poderosos nos lugares certos.\n Você pode atacar sorrateiramente com armas de base marcial e obter proficiência em armas de figueira.
Feat/&FeatBrutalThugTitle	Bandido brutal
Feat/&FeatChaIncrementDescription	+1 Carisma
Feat/&FeatChaIncrementTitle	Aumento do Atributo de Carisma
Feat/&FeatCharismaticDefenseDescription	Aumente seu Carisma em 1, até um máximo de 20,\nEmbora você não esteja usando nenhuma armadura, seu AC é igual a 10 + seu modificador de Carisma.
Feat/&FeatCharismaticDefenseTitle	Defesa Carismática
Feat/&FeatCharismaticPrecisionDescription	Quando ativo em uma arma, seus ataques contam como mágicos e você usa seu carisma para seus ataques e rolos de danos. Ela tem duração de 1 minuto e pode ser usada duas vezes antes de um longo descanso.
Feat/&FeatCharismaticPrecisionTitle	Precisão Carismática
Feat/&FeatChefConIncrementDescription	+1 Constituição
Feat/&FeatChefConIncrementTitle	Aumento de Atributos
Feat/&FeatChefWisIncrementDescription	+1 Sabedoria
Feat/&FeatChefWisIncrementTitle	Aumento de Atributos
Feat/&FeatDexIncrementDescription	+1 Destreza
Feat/&FeatDexIncrementTitle	Aumento de Atributos
Feat/&FeatFeyTeleportationChaDescription	Aumentar o atributo Carisma em 1. Ganhar a habilidade de Passo Mágico uma vez por breve descanso e aprender o feitiço. Ganhar proficiência em Tirmariano.
Feat/&FeatFeyTeleportationChaTitle	Teleportação de Fey (Carisma)
Feat/&FeatFeyTeleportationIntDescription	Aumentar o atributo de Inteligência em 1. Ganhar a capacidade de Misty Step uma vez por breve descanso e aprender o feitiço. Ganhar proficiência em Tirmarian.
Feat/&FeatFeyTeleportationIntTitle	Teleportação de Fey (Inteligência)
Feat/&FeatFeyTeleportationWisDescription	Aumentar o atributo Sabedoria em 1. Ganhar a habilidade de Passo Nebuloso uma vez por breve descanso e aprender o feitiço. Ganhar proficiência em Tirmariano.
Feat/&FeatFeyTeleportationWisTitle	Teleportação de Fey (Sabedoria)
Feat/&FeatFightingSurgeDexterityDescription	Aumente sua destreza em 1, até um máximo de 20,\nEm sua vez, você pode tomar uma ação adicional em cima de sua ação regular e uma possível ação bônus. Uma vez usado este recurso, você deve terminar um longo descanso antes de poder utilizá-lo novamente.
Feat/&FeatFightingSurgeDexterityTitle	Fighting Surge (Dexteridade)
Feat/&FeatFightingSurgeStrengthDescription	Aumente sua força em 1, até um máximo de 20,\nEm sua vez, você pode tomar uma ação adicional em cima de sua ação regular e uma possível ação bônus. Uma vez usado este recurso, você deve terminar um longo descanso antes de poder utilizá-lo novamente.
Feat/&FeatFightingSurgeStrengthTitle	Combate a surtos (Força)
Feat/&FeatHeavyArmorMasterClassDescription	Resistência a danos por batidas, cortes e piercings.
Feat/&FeatHeavyArmorMasterClassTitle	Domínio da Defesa Pesada
Feat/&FeatImprovedCriticalDescription	Seus ataques são acertos críticos em um rolo de 19 ou 20.
Feat/&FeatImprovedCriticalTitle	Críticos melhorados
Feat/&FeatIntIncrementDescription	+1 Inteligência
Feat/&FeatIntIncrementTitle	Aumento do Atributo de Inteligência
Feat/&FeatLightArmorDescription	Ganhe proficiência com Armadura Leve e +1 Dexterity
Feat/&FeatLightArmorProficiencyDescription	Ganhe proficiência com a Armadura Leve
Feat/&FeatLightArmorProficiencyTitle	Armadura leve
Feat/&FeatLightArmorTitle	Armadura leve
Feat/&FeatMediumArmorDexDescription	Ganhe proficiência com Armaduras e Escudos Médios e +1 Dexteridade
Feat/&FeatMediumArmorDexTitle	Armadura média (Dexterity)
Feat/&FeatMediumArmorProficiencyDescription	Ganhe proficiência com Armaduras e Escudos Médios
Feat/&FeatMediumArmorProficiencyTitle	Armadura média
Feat/&FeatMediumArmorStrengthDescription	Ganhe proficiência com Armaduras e Escudos Médios e +1 Força
Feat/&FeatMediumArmorStrengthTitle	Armadura média (Força)
Feat/&FeatMetamagicAdeptCarefulDescription	Aumente seu carisma em 1, até um máximo de 20,\n Você aprende o metamágico Cuidadoso e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptCarefulTitle	Metamágico: Cuidadoso
Feat/&FeatMetamagicAdeptDistantDescription	Aumente seu carisma em 1, até um máximo de 20,\n Você aprende o metamágico Distante e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptDistantTitle	Metamágico: Distante:
Feat/&FeatMetamagicAdeptEmpoweredDescription	Aumente seu Carisma em 1, até um máximo de 20,\n Você aprende a metamorfose do Imperador e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Metamágico: Empoderado
Feat/&FeatMetamagicAdeptExtendedDescription	Aumente seu Carisma em 1, até um máximo de 20,\n Você aprende o Metamágico Estendido e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptExtendedTitle	Metamágico: Extendido
Feat/&FeatMetamagicAdeptHeightenedDescription	Você aprende o metamágico aumentado e ganha 4 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptHeightenedTitle	Metamágico: Elevado
Feat/&FeatMetamagicAdeptQuickenedDescription	Aumente seu Carisma em 1, até um máximo de 20,\n Você aprende o metamágico Quickned e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamágico: Quickened
Feat/&FeatMetamagicAdeptTwinnedDescription	Aumente seu Carisma em 1, até um máximo de 20,\n Você aprende a metamágica Twinned e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamágico: Gêmeos
Feat/&FeatPrimalConstitutionDescription	Aumente sua Constituição em 1, até um máximo de 20,\n Você pode entrar em uma ação de raiva como uma ação bônus, conforme definido na característica da classe de raiva do bárbaro, com um dano de raiva +1 que pode empilhar com a raiva do bárbaro. Uma vez que você tenha raiva desta forma, você deve terminar um longo descanso antes de usar este recurso novamente.\nEmbora você não esteja usando nenhuma armadura, seu AC é igual a 10 + seu modificador de Constituição.
Feat/&FeatPrimalConstitutionTitle	Raiva Primal (Constituição)
Feat/&FeatPrimalStrengthDescription	Aumente sua força em 1, até um máximo de 20,\n Você pode entrar em uma ação de raiva como uma ação bônus, conforme definido na característica da classe de raiva do bárbaro, com um dano de raiva de +1 que pode empilhar com a raiva do bárbaro. Uma vez que você tenha raiva desta forma, você deve terminar um longo descanso antes de usar este recurso novamente.\nEmbora você não esteja usando nenhuma armadura, seu AC é igual a 10 + seu modificador de Constituição.
Feat/&FeatPrimalStrengthTitle	Fúria Primal (Força)
Feat/&FeatPugilistFightingStlyeDescription	Enquanto você está completamente desarmado, suas greves desarmadas provocam um d8 adicional de dano e você pode dar um soco com sua mão, como uma ação bônus.
Feat/&FeatPugilistFightingStlyeTitle	Estilo de luta: Pugilista:
Feat/&FeatSavageAttackerDescription	Reroll arma e feitiço de dano quando lançam um 1 (não replica todas as fontes de dano, por exemplo, exclui Sneak Attack e Smite).
Feat/&FeatSavageAttackerReroll	Devido a ser um Ataque Savage Attacker {0}, o {1} morre de um {2} a um {3}.
Feat/&FeatSavageAttackerTitle	Atacante Selvagem
Feat/&FeatShadowTouchedChaDescription	Aumentar o atributo Carisma em 1. Ganhar a capacidade de lançar Invisibilidade, Feridas Infligidas e Falsa Vida uma vez por longo descanso e aprender os feitiços.
Feat/&FeatShadowTouchedChaTitle	Sombra Tocada (Carisma)
Feat/&FeatShadowTouchedIntDescription	Aumentar o atributo Inteligência em 1. Ganhar a capacidade de lançar Invisibilidade, Feridas Infligidas e Falsa Vida uma vez por longo descanso e aprender os feitiços.
Feat/&FeatShadowTouchedIntTitle	Sombra Tocada (Inteligência)
Feat/&FeatShadowTouchedWisDescription	Aumentar o atributo Sabedoria em 1. Ganhar a capacidade de lançar Invisibilidade, Feridas Infligidas e Falsa Vida uma vez por longo descanso e aprender os feitiços.
Feat/&FeatShadowTouchedWisTitle	Sombra Tocada (Sabedoria)
Feat/&FeatShadyDescription	Aumente sua destreza em 1, até um máximo de 20,ÕOnça por turno, você pode lidar com um dano extra de 1d6 a uma criatura que você atinge com um ataque que encontra o Rogue's Sneak Attack. No 12º nível, este dano aumenta para 2d6 e no 20º nível para 4d6. Isto pode ser empilhado com o Rogue's Sneak Attack.
Feat/&FeatShadyTitle	Shady
Feat/&FeatStrengthIncrementDescription	+1 Força
Feat/&FeatStrengthIncrementTitle	Aumento de Atributos
Feat/&FeatTelekineticChaDescription	Aumente o atributo Carisma em 1. Ganhe uma habilidade de ação bônus para empurrar ou puxar criaturas.
Feat/&FeatTelekineticChaPullDescription	Puxar telekineticamente uma criatura na sua direção.
Feat/&FeatTelekineticChaPullTitle	Puxar telecinético
Feat/&FeatTelekineticChaPushDescription	Telecineticamente empurra uma criatura para longe de você.
Feat/&FeatTelekineticChaPushTitle	Empurrão telecinético
Feat/&FeatTelekineticChaTitle	Telecinético (Carisma)
Feat/&FeatTelekineticIntDescription	Aumentar o atributo Inteligência em 1. Ganhar uma habilidade de ação bônus para empurrar ou puxar criaturas.
Feat/&FeatTelekineticIntPullDescription	Puxar telekineticamente uma criatura na sua direção.
Feat/&FeatTelekineticIntPullTitle	Puxar telecinético
Feat/&FeatTelekineticIntPushDescription	Telecineticamente empurra uma criatura para longe de você.
Feat/&FeatTelekineticIntPushTitle	Empurrão telecinético
Feat/&FeatTelekineticIntTitle	Telecinético (Inteligência)
Feat/&FeatTelekineticWisDescription	Aumente o atributo Sabedoria em 1. Ganhe uma habilidade de ação bônus para empurrar ou puxar criaturas.
Feat/&FeatTelekineticWisPullDescription	Puxar telekineticamente uma criatura na sua direção.
Feat/&FeatTelekineticWisPullTitle	Puxar telecinéticamente
Feat/&FeatTelekineticWisPushDescription	Telecineticamente empurra uma criatura para longe de você.
Feat/&FeatTelekineticWisPushTitle	Empurrão telecinético
Feat/&FeatTelekineticWisTitle	Telecinético (Sabedoria)
Feat/&FeatToughDescription	Seu ponto de golpe máximo aumenta em uma quantidade igual ao dobro de seu nível quando você ganha esta proeza. Sempre que você ganhar um nível depois disso, seu ponto de acerto máximo aumenta em 2 pontos de acerto adicionais.
Feat/&FeatToughTitle	Resistente
Feat/&FeatWarCasterDescription	Você ganha vantagem nos controles para manter a concentração. Você ganha a capacidade de executar o componente somático dos feitiços, mesmo com as mãos cheias. Você ganha +2 em rolos de ataque de feitiços.
Feat/&FeatWarCasterTitle	Rodízio de Guerra
Feat/&FeatWiseDefenseDescription	Aumente sua Sabedoria em 1, até um máximo de 20,\nEmbora você não esteja usando nenhuma armadura, seu CA é igual a 10 + seu modificador de Sabedoria.
Feat/&FeatWiseDefenseTitle	Defesa Sábia
Feat/&FeatWisePrecisionDescription	Quando ativo em uma arma, seus ataques contam como mágicos e você usa sua sabedoria para seus ataques e rolos de danos. Ela tem duração de 1 minuto e pode ser usada duas vezes antes de um longo descanso.
Feat/&FeatWisePrecisionTitle	Precisão Sábia
Feat/&FeatWisIncrementDescription	+1 Sabedoria
Feat/&FeatWisIncrementTitle	Aumento do Atributo de Sabedoria
Feat/&FeyTeleportationLanguageTirmarianDescription	Ganhar proficiência em Tirmarian.
Feat/&FeyTeleportationLanguageTirmarianTitle	Tirmariano
Feat/&FightingStyleArcheryDescription	Você ganha um bônus de +2 para atacar rolos com armas à distância.
Feat/&FightingStyleArcheryTitle	Estilo de combate: Arco e flecha
Feat/&FightingStyleDefenseDescription	Enquanto você estiver usando uma armadura você ganha um bônus de +1 para AC.
Feat/&FightingStyleDefenseTitle	Estilo de luta: Defesa
Feat/&FightingStyleDuelingDescription	Quando você está empunhando uma arma de combate corpo a corpo em uma mão e nenhuma outra arma, você ganha um bônus de +2 para danificar rolos com essa arma.
Feat/&FightingStyleDuelingTitle	Estilo de luta: Duelo
Feat/&FightingStyleGeneralFeatDescription	Você pode selecionar um estilo de luta.
Feat/&FightingStyleGeneralFeatitle	Estilo de luta
Feat/&FightingStyleGreatWeaponDescription	Quando você enrola um 1 ou 2 em um dado de dano por um ataque que você faz com uma arma branca que você está empunhando com duas mãos, você pode refazer o dado. Você deve usar o novo rolo, mesmo que seja um 1 ou um 2. A arma deve ter a propriedade de duas mãos ou versátil para que você obtenha este benefício.
Feat/&FightingStyleGreatWeaponTitle	Estilo de luta: Grande Arma
Feat/&FightingStyleProtectionDescription	Quando uma criatura que você pode ver ataca um alvo diferente de você que está a menos de 1 metro de distância, você pode usar sua reação para impor desvantagem no rolo de ataque. Você deve estar empunhando um escudo.
Feat/&FightingStyleProtectionTitle	Estilo de combate: Proteção
Feat/&FightingStyleTwoWeaponDescription	Quando você se envolve em lutas com duas armas, você pode adicionar seu modificador de habilidade aos danos do segundo ataque.
Feat/&FightingStyleTwoWeaponTitle	Estilo de luta: Duas armas
Feat/&FlameArtillery_2Description	Danos causados pelo fogo 3D8 (Cone)
Feat/&FlameArtillery_2Title	Artilharia de Chama (Melhorada)
Feat/&FlameArtilleryConstructDescription	Cria um cone de fogo que trata de danos 2D8 em uma economia fracassada.
Feat/&FlameArtilleryConstructDescription_3	Cria um cone de fogo que reparte os danos 3D8 em um salvamento falhado.
Feat/&FlameArtilleryConstructTitle	Construção de Artilharia de Chama
Feat/&FlameArtilleryConstructTitle_3	Construção de Artilharia de Chama
Feat/&FlameArtilleryConstructTitle_5	Construção de Artilharia de Chama
Feat/&FlameArtilleryDescription	2D8 danos causados pelo fogo (Cone)
Feat/&FlameArtilleryTitle	Artilharia de Chama
Feat/&ForceArtillery_2Description	3D8 Dano de força e empurrar o alvo 5ft
Feat/&ForceArtillery_2Title	Artilharia Forçada (Melhorada)
Feat/&ForceArtilleryAdditionalDamageDescription	A construção melhorada oferece mais danos 1D8 por golpe
Feat/&ForceArtilleryConstructDescription	Lida com danos 2D8 e afasta o inimigo 5ft da Construct.
Feat/&ForceArtilleryConstructDescription_3	Deal 3D8 força o dano e empurra o inimigo 5ft para longe da Construct.
Feat/&ForceArtilleryConstructTitle	Forçar a construção de artilharia
Feat/&ForceArtilleryConstructTitle_3	Forçar a construção de artilharia
Feat/&ForceArtilleryConstructTitle_5	Forçar a construção de artilharia
Feat/&ForceArtilleryDescription	2D8 Forçar danos e empurrar 5ft
Feat/&ForceStrikePowerDescription	Ataque com força 1d6, dano de seu fiel companheiro
Feat/&ForceStrikePowerTitle	Funda de Força (Servidor Artificial)
Feat/&GauntletsGrappleDescription	Pode agora puxar os inimigos para dentro do alcance melee com uma ação bônus e infligir danos de 1D8 trovões
Feat/&GauntletsGrappleTitle	Gauntlet garra
Feat/&HalfCoverShieldDescription	Dá 2 AC dentro de 10 pés
Feat/&HalfCoverShieldTitle	Cúpula de meia tampa
Feat/&HealerDescription	Você ganha proficiência ou perícia em checagem de medicamentos. Você ganha a habilidade de estabilizar uma criatura moribunda, bem como de reviver uma criatura que morreu nos últimos 12 segundos uma vez por longo descanso. Você pode usar uma ação para restaurar 1d6 + 4 + pontos de golpe de nível de caráter um número de vezes por descanso curto igual ao seu modificador de Sabedoria.
Feat/&HealerResuscitateDescription	Use uma ação para reanimar uma criatura que morreu nos últimos 15 segundos.
Feat/&HealerResuscitateTitle	Ressuscite
Feat/&HealerStabilizeDescription	Use uma ação para estabilizar uma criatura moribunda.
Feat/&HealerStabilizeTitle	Estabilizar
Feat/&HealerTitle	Curandeiro
Feat/&HealerUseMedicineDescription	Você pode usar uma ação para restaurar 1d6 + 4 + pontos de acerto de nível de caracteres um número de vezes por curto descanso igual ao seu modificador de Sabedoria.
Feat/&HealerUseMedicineTitle	Use a medicina
Feat/&IncreaseConstructSelectingDescription	Agora você pode convocar duas Construções de Artilharia. As construções podem ser do mesmo modo ou de modos diferentes
Feat/&IncreaseConstructSelectingTitle	Reforços
Feat/&InspiringLeaderDescription	Passe 10 minutos para inspirar até 6 criaturas amigáveis (que podem incluir você mesmo) a menos de 30 metros de você. Cada criatura ganha pontos de golpe temporários iguais ao seu nível + seu modificador de Carisma. Útil uma vez por curto descanso.
Feat/&InspiringLeaderTitle	Líder inspirador
Feat/&IntToAttackAndDamageDescription	Adicione Int em vez de Str ou Dex a suas Armas de Armaduras
Feat/&IntToAttackAndDamageTitle	Arma de Amror
Feat/&MendingConstructDescription	Conserte sua construção para 2D6 durante 1 min
Feat/&MendingConstructTitle	Construcção de reparos
Feat/&ModeSwitchingPoolDescription	Você pode alternar entre modos uma vez por dia, criando e usando armas temporárias
Feat/&ModeSwitchingPoolTitle	Modo blindagem
Feat/&MoonlitBonusCantripsDescription	Seu controle da luz da lua aumentou ao ponto de você poder lançar à vontade o feixe de lua e o Fogo Faerie
Feat/&MoonlitBonusCantripsTitle	Controle de luz
Feat/&PickPocketFeatDescription	Você ganha proficiência com Sleight Of Hand, ou perícia se já for proficiente. Você também tem vantagem nas verificações de destreza de mão.
Feat/&PickPocketFeatTitle	Pickpocket
Feat/&PowerAlchemistEmboldeningShotsDescription	Você ganha a capacidade de administrar um elixier que embala seus aliados, fornecendo-lhes pontos de acerto temporários 4d6+ modificadores de inteligência
Feat/&PowerAlchemistEmboldeningShotsTitle	Tiros de Emboldening
Feat/&PowerAlchemistGreaterRestorativeElixirsDescription	Uma vez por dia você pode lançar a Grande Restauração
Feat/&PowerAlchemistGreaterRestorativeElixirsTitle	Grande Restauração
Feat/&PowerAlchemistHealElixirsDescription	Uma vez por dia você pode lançar Cura
Feat/&PowerAlchemistHealElixirsTitle	Curar
Feat/&PowerAlchemistRestorativeElixirsDescription	Você pode lançar a Rotação Menor sem gastar um feitiço. Você pode fazer isto um número de vezes por descanso longo igual ao seu modificador de inteligência
Feat/&PowerAlchemistRestorativeElixirsTitle	Elixires restauradores
Feat/&PowerAttackFeatDescription	Você aprendeu a trocar precisão para golpes mais mortais/mais duros. Você pode optar por levar uma penalidade de -{0} para seu acerto a fim de causar mais danos (+{0} danos por armas de uma mão, +{1} danos por armas de duas mãos). Dura para toda a volta, uma vez ativado. Funciona com armas de combate corpo a corpo e à distância.
Feat/&PowerAttackFeatTitle	Ataque de força
Feat/&PowerFalseLifeFromFeatDescription	Reforçando-se com um fac-símile necromântico da vida, você ganha 1d4+4 Pontos de Golpe Temporários para a Duração.
Feat/&PowerFalseLifeFromFeatTitle	Vida Falsa
Feat/&PowerInflictWoundsFromFeatDescription	Faça um feitiço de ataque corpo a corpo contra uma criatura que você possa alcançar. Em um acerto, o alvo leva danos necróticos 3d10.
Feat/&PowerInflictWoundsFromFeatTitle	Feridas de Inflição
Feat/&PowerInvisibilityFromFeatDescription	Uma criatura que você toca torna-se Invisível até que o feitiço termine. Qualquer coisa que o alvo esteja usando ou carregando é Invisível, desde que esteja sobre a pessoa do alvo. O feitiço termina para um alvo que ataca ou lança um feitiço.
