ActionAffinity/&DHFeeblemindSpellDescription	Impossibile lanciare incantesimi.
Equipment/&Enchanted_Shield_Sturdiness_Title	Scudo di Robustezza
Equipment/&Enchanted_Shield_Survival_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_Shield_Survival_Title	Scudo di sopravvivenza
Equipment/&Enchanted_Shield_Wooden_Deflection_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_Shield_Wooden_Deflection_Title	Scudo di deviazione in legno
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Title	Scudo di legno della danza della fiamma
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Title	Scudo di legno del gelo che cammina
Equipment/&Enchanted_Shield_Wooden_Robustness_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_Shield_Wooden_Robustness_Title	Scudo in legno di robustezza
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Title	Scudo in legno della robustezza
Equipment/&Enchanted_Shield_Wooden_Survival_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_Shield_Wooden_Survival_Title	Scudo di sopravvivenza in legno
Equipment/&Enchanted_Spear_Acuteness_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Il suo design è stato uno dei primi lavori di Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Spear_Acuteness_Title	Lancia dell'acutezza
Equipment/&Enchanted_Spear_BlackViper_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon, usando una lancia e il veleno di un ragno leggendario dalle profondità di Solasta. Il progettista della lama era Grigg Blackheart, un famigerato fabbro halfling Marsh che lavorava nelle fucine dell'Aer Elai.
Equipment/&Enchanted_Spear_BlackViper_Title	Lancia di vipera nera
Equipment/&Enchanted_Spear_Doomblade_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Kenaloth Darkmind ha ideato le Doomblade come strumento di punizione per coloro che hanno resistito alla magia dell'Impero.
Equipment/&Enchanted_Spear_Doomblade_Title	Lancia con punta del destino
Equipment/&Enchanted_Spear_Lightbringer_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri fabbri di Colthannin. È stato progettato da Elgador Keenspirit, Magesmith dell'Arcaneum per supportare il combattimento contro le creature non morte.
Equipment/&Enchanted_Spear_Lightbringer_Title	Lancia del Portatore di Luce
Equipment/&Enchanted_Spear_Sharpness_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Il suo design è stato uno dei primi lavori di Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Spear_Sharpness_Title	Lancia di nitidezza
Equipment/&Enchanted_Spear_Whiteburn_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Whiteburn è stato creato dal primo Danantar per combattere un'invasione di troll proveniente dalle paludi a sud del suo dominio tra i Sioltafin e gli Scarafin.
Equipment/&Enchanted_Spear_Whiteburn_Title	Lancia di Whiteburn
Equipment/&Enchanted_StuddedLeather_Deflection_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_StuddedLeather_Deflection_Title	Pelle di deflessione borchiata
Equipment/&Enchanted_StuddedLeather_FlameDancing_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_StuddedLeather_FlameDancing_Title	Pelle borchiata di Flame Dancing
Equipment/&Enchanted_StuddedLeather_FrostWalking_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_StuddedLeather_FrostWalking_Title	Pelle Borchiata di Frost Walking
Equipment/&Enchanted_StuddedLeather_Robustness_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_StuddedLeather_Robustness_Title	Pelle Borchiata di Robustezza
Equipment/&Enchanted_StuddedLeather_Sturdiness_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_StuddedLeather_Sturdiness_Title	Pelle borchiata di robustezza
Equipment/&Enchanted_StuddedLeather_Survival_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_StuddedLeather_Survival_Title	Pelle di sopravvivenza con borchie
Equipment/&Enchanted_Warhammer_Acuteness_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Il suo design è stato uno dei primi lavori di Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Warhammer_Acuteness_Title	Warhammer dell'Acutezza
Equipment/&Enchanted_Warhammer_Bearclaw_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Le punte aguzze dell'artiglio dell'orso distruggono l'armatura per infliggere danni aggiuntivi. La prima arma di questo tipo è stata progettata da Ildurial Stronghand.
Equipment/&Enchanted_Warhammer_Bearclaw_Title	Martello da guerra artiglio d'orso
Equipment/&Enchanted_Warhammer_Lightbringer_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri fabbri di Colthannin. È stato progettato da Elgador Keenspirit, Magesmith dell'Arcaneum per supportare il combattimento contro le creature non morte.
Equipment/&Enchanted_Warhammer_Lightbringer_Title	Warhammer Portatore di Luce
Equipment/&Enchanted_Warhammer_Power_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Alcune creature rispettano solo le forze fisiche. Gli arcanisti di Manacalon hanno creato questo Warhammer per dare ai campioni delle Legioni di Ferro la forza che i loro corpi elfici non fornivano.
Equipment/&Enchanted_Warhammer_Power_Title	Warhammer del potere
Equipment/&Enchanted_Warhammer_Punisher_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. La combinazione del miglior metallo e Slavestone ha conferito a questa ascia un incredibile potere perforante.
Equipment/&Enchanted_Warhammer_Punisher_Title	Punitore Warhammer
Equipment/&HerbalBrewDamageAffinityAcidResistanceDescription	Ottieni resistenza ai danni da acido per 1 ora.
Equipment/&HerbalBrewDamageAffinityAcidResistanceTitle	Birra di protezione dagli acidi
Equipment/&HerbalBrewDamageAffinityLightningResistanceDescription	Ottieni resistenza ai danni da fulmine per 1 ora.
Equipment/&HerbalBrewDamageAffinityLightningResistanceTitle	Brew di protezione contro i fulmini
Equipment/&HerbalBrewDamageAffinityNecroticResistanceDescription	Ottieni resistenza ai danni necrotici per 1 ora.
Equipment/&HerbalBrewDamageAffinityNecroticResistanceTitle	Birra di protezione necrotica
Equipment/&HerbalBrewDamageAffinityPoisonResistanceDescription	Ottieni resistenza ai danni da veleno per 1 ora.
Equipment/&HerbalBrewDamageAffinityPoisonResistanceTitle	Birra di protezione dal veleno
Equipment/&HerbalBrewDamageAffinityRadiantResistanceDescription	Ottieni resistenza ai danni radianti per 1 ora.
Equipment/&HerbalBrewDamageAffinityRadiantResistanceTitle	Birra di protezione dai raggi
Equipment/&HerbalBrewHealingTitle	Birra di accelerazione
Equipment/&HerbalBrewToxifyingTitle	Birra di Tossico
Equipment/&ImprovedLightningSpearDescription	Infligge 1d6 danni da fulmine con 1d6 danni da fulmine aggiuntivi una volta per turno.\nPuò creare vantaggio per gli alleati e svantaggio per i nemici con un solo attacco.
Equipment/&ImprovedLightningSpearTitle	Lancia fulmine migliorata
Equipment/&ImprovedThunderPunchDescription	Infligge 1d8 danni da tuono al colpo e infligge svantaggio ai tiri per colpire contro gli alleati.\nTira i nemici fino a 9 metri con un'azione bonus, quindi infliggi 1d8 danni da tuono.
Equipment/&ImprovedThunderPunchTitle	Pugno tuono migliorato
Equipment/&LightningSpearDescription	Infligge 1d6 danni da fulmine con 1d6 danni da fulmine aggiuntivi una volta per turno.
Equipment/&LightningSpearTitle	Lancia fulminea
Equipment/&LivewoodClubDescription	Questo club è composto da legno vivo completo di foglie che germogliano e forse fioriture stagionali. Può essere usato come punto focale per lanciare incantesimi druidici.
Equipment/&LivewoodClubTitle	Livewood Club
Equipment/&LivewoodStaffDescription	Questo bastone è composto da legno vivo completo di foglie che germogliano e forse fioriture stagionali. Può essere usato come punto focale per lanciare incantesimi druidici.
Equipment/&LivewoodStaffTitle	Personale di Livewood
Equipment/&ThunderPunchDescription	Infligge 1d8 danni da tuono al colpo e infligge svantaggio ai tiri per colpire contro gli alleati.
Equipment/&ThunderPunchTitle	Pugno di tuono
Equipment/&WandIdentifyDescription	Lancia l'incantesimo Identifica spendendo una carica. La bacchetta ha 3 cariche e recupera 1d3 cariche ogni alba.
Equipment/&WandIdentifyTitle	Bacchetta di identificazione
Failure/&FailureFlagTargetMeleeWeaponError	Non è possibile eseguire attacchi in mischia su questo bersaglio con l'arma attuale
Feat/&AddConstructCantripsDescription	Aggiunge trucchetti per curare e respingere i tuoi costrutti.
Feat/&AddConstructCantripsTitle	Costruisci trucchetti
Feat/&AddProtectorConstructCantripDescription	Aggiunge trucchetti Riparare Costrutto e Elimina Costrutto per aumentare la flessibilità dei costrutti.
Feat/&AddProtectorConstructCantripTitle	Trucchetti per costruire bonus
Feat/&AlchemistSubclassElixirsDescription	Impara a fare elisir sperimentali: Guarigione, Rapidità, Resilienza, Audacia, Volo.
Feat/&AlchemistSubclassElixirsTitle	Elisir sperimentali
Feat/&AlchemistSubclassSpellsDescription	{0}.
Feat/&AlchemistSubclassSpellsTitle	Impara gli incantesimi del creatore di pozioni
Feat/&ArmorModePoolDescription	Ti consente di attivare le modalità armatura una volta per riposo breve.
Feat/&ArmorModePoolTitle	Modalità armatura
Feat/&ArtificerAlchemistAlchemicalSavantDescription	Quando guarisci, guarisci HP aggiuntivi pari a 1d4 + il tuo livello.
Feat/&ArtificerAlchemistAlchemicalSavantTitle	Elisir appreso
Feat/&ArtificerAlchemistBoldnessElixirDescription	Può tirare un d4 e sommare il numero ottenuto a ogni tiro di attacco e tiro salvezza effettuato per 1 minuto.
Feat/&ArtificerAlchemistBoldnessElixirTitle	Elisir di audacia
Feat/&ArtificerAlchemistFlyElixirDescription	Ottieni una velocità di volo di 10 piedi per 10 minuti.
Feat/&ArtificerAlchemistFlyElixirTitle	Elisir di volo
Feat/&ArtificerAlchemistHealElixirDescription	Cura il bersaglio di 2d4 + modificatore di Intelligenza.
Feat/&ArtificerAlchemistHealElixirTitle	Elisir curativo
Feat/&ArtificerAlchemistResilienceElixirDescription	Aumenta la CA bersaglio di +1 per 10 minuti.
Feat/&ArtificerAlchemistResilienceElixirTitle	Elisir di resilienza
Feat/&ArtificerAlchemistSwiftnessElixirDescription	Aumenta la velocità di movimento del bersaglio di 3 metri per 1 ora.
Feat/&ArtificerAlchemistSwiftnessElixirTitle	Elisir di rapidità
Feat/&ArtificerArtilleristArcaneFirearmDescription	Quando lanci incantesimi di evocazione, infliggi 1d8 danni extra una volta per turno.
Feat/&ArtificerArtilleristArcaneFirearmTitle	Miglioramento della sabbiatura
Feat/&ArtificerArtillerstDetonationSpellPreparedDescription	Ottieni la capacità di far esplodere uno dei tuoi dispositivi causando danni a quelli vicini al bersaglio.
Feat/&ArtificerArtillerstDetonationSpellPreparedTitle	Detonazione del dispositivo
Feat/&ArtificerArtillerstImprovedCannonsDescription	L'effetto dei tuoi cannoni aumenta. Danno aggiuntivo dal fuoco, un bersaglio aggiuntivo dalla forza e HP temporanei aggiuntivi dallo scudo.
Feat/&ArtificerArtillerstImprovedCannonsTitle	Cannoni migliorati
Feat/&ArtificialServantAttackDescription	Attacco a distanza 1d6 danni da forza dal tuo fidato compagno.
Feat/&ArtificialServantAttackTitle	imbracatura della forza
Feat/&ArtificialServantDescription	Il servo è amico di te e dei tuoi compagni e obbedisce ai tuoi comandi.
Feat/&ArtificialServantTitle	Servo artificiale
Feat/&ArtilleristCannonDetonationDescription	Fai esplodere uno dei tuoi dispositivi facendo sì che le creature entro 20 piedi dalla posizione bersaglio effettuino un tiro salvezza su Destrezza. Le creature subiscono 3d8 danni da forza se fallisce un tiro salvezza e la metà dei danni se riesce.
Feat/&ArtilleristCannonDetonationTitle	Detonazione del dispositivo
Feat/&ArtilleristFlameCannon15Description	Sputa fuoco in un cono come azione bonus, infliggendo 6d8 danni da fuoco se i bersagli falliscono un tiro salvezza di DEX.
Feat/&ArtilleristFlameCannon15Title	Lanciafiamme
Feat/&ArtilleristFlameCannon9Description	Sputa fuoco in un cono come azione bonus, infliggendo 3d8 danni da fuoco se i bersagli falliscono un tiro salvezza di DEX.
Feat/&ArtilleristFlameCannon9Title	Lanciafiamme
Feat/&ArtilleristFlameCannonDescription	Sputa fuoco in un cono come azione bonus, infliggendo 2d8 danni da fuoco se i bersagli falliscono un tiro salvezza di DEX.
Feat/&ArtilleristFlameCannonTitle	Lanciafiamme
Feat/&ArtilleristForceCannon15Description	Effettua un attacco a distanza contro un massimo di 2 bersagli come azione bonus, infliggendo 3d8 danni da forza su un colpo.
Feat/&ArtilleristForceCannon15Title	Cannone di forza
Feat/&ArtilleristForceCannon9Description	Effettua un attacco a distanza come azione bonus, infliggendo 3d8 danni da forza su un colpo.
Feat/&ArtilleristForceCannon9Title	Cannone di forza
Feat/&ArtilleristForceCannonDescription	Effettua un attacco a distanza come azione bonus, infliggendo 2d8 danni da forza su un colpo.
Feat/&ArtilleristForceCannonTitle	Cannone di forza
Feat/&ArtilleristProtectorCannon15Description	Emetti energia positiva come azione bonus. Gli alleati entro 6 metri ottengono PS temporanei pari a 1d8 + il tuo modificatore di Intelligenza.
Feat/&ArtilleristProtectorCannon15Title	Scudo Arcano
Feat/&ArtilleristProtectorCannonDescription	Emetti energia positiva come azione bonus. Gli alleati entro 3 metri ottengono HP temporanei pari a 1d8 + il tuo modificatore di Intelligenza.
Feat/&ArtilleristProtectorCannonTitle	Scudo Arcano
Feat/&ArtilleristSubclassSpellsDescription	{0}.
Feat/&ArtilleristSubclassSpellsTitle	Impara gli incantesimi blaster
Feat/&ArtilleryConstructDescription	Può danneggiare o proteggere gli alleati.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsDescription	Trucchetti: riparare il costrutto, eliminare il costrutto\nLivello 1: Richiama il costrutto di artiglieria.
Feat/&ArtilleryConstructLevel03AutopreparedSpellsTitle	Costruisci incantesimi
Feat/&ArtilleryConstructLevel09AutopreparedSpellsDescription	Ottieni incantesimi bonus che sono considerati incantesimi da Riparatore per te, sono sempre preparati e non contano per il numero di incantesimi da Riparatore che conosci.
Feat/&ArtilleryConstructLevel09AutopreparedSpellsTitle	Costruisci incantesimi
Feat/&ArtilleryConstructLevel15AutopreparedSpellsDescription	Ottieni incantesimi bonus che sono considerati incantesimi da Riparatore per te, sono sempre preparati e non contano per il numero di incantesimi da Riparatore che conosci.
Feat/&ArtilleryConstructLevel15AutopreparedSpellsTitle	Costruisci incantesimi
Feat/&ArtilleryConstructTitle	Costrutto di artiglieria
Feat/&ArtilleryConstructTitle_3	Costrutto di artiglieria
Feat/&ArtilleryConstructTitle_5	Costrutto di artiglieria
Feat/&ArtilleryModePoolDescription	Scegli la tua modalità di artiglieria.
Feat/&ArtilleryModePoolTitle	Modalità artiglieria
Feat/&AttackModifierArtificerBattleSmithJolt2Description	I tuoi attacchi con le armi infliggono 3 danni aggiuntivi.
Feat/&AttackModifierArtificerBattleSmithJolt2Title	Colpo d'attacco dell'arma migliorato
Feat/&AttackModifierArtificerBattleSmithJoltDescription	I tuoi attacchi con le armi infliggono 3 danni aggiuntivi.
Feat/&AttackModifierArtificerBattleSmithJoltTitle	Colpo d'attacco dell'arma
Feat/&AutoPreparedSpellsDescription	{0}.
Feat/&AutoPreparedSpellsTitle	Impara gli incantesimi della Sentinella Scout
Feat/&BattleSmithSubclassSpellsDescription	{0}.
Feat/&BattleSmithSubclassSpellsTitle	Impara gli incantesimi del fabbro d'armi
Feat/&CancelFlyingConditionDescription	Termina la condizione di volo per consentire di saltare e gattonare.
Feat/&CancelFlyingConditionTitle	Annulla Vola
Feat/&ChefConDescription	Aumenta la tua Costituzione di 1, fino a un massimo di 20.\nPuoi spendere 1 ora per cucinare un pasto per curare te e i tuoi compagni di 1d8 HP.\nUna volta al giorno, puoi dedicare un'ora a cucinare prelibatezze che forniscono HP temporanei quando vengono mangiate.
Feat/&ChefConTitle	Chef (Costituzione)
Feat/&ChefShortRestFeastDescription	Puoi spendere 1 ora per cucinare un pasto per curare te e i tuoi compagni di 1d8 HP.
Feat/&ChefShortRestFeastTitle	Pasto di riposo breve
Feat/&ChefWisDescription	Aumenta la tua Saggezza di 1, fino a un massimo di 20.\nPuoi spendere 1 ora per cucinare un pasto per curare te e i tuoi compagni di 1d8 HP.\nUna volta al giorno, puoi dedicare un'ora a cucinare prelibatezze che forniscono HP temporanei quando vengono mangiate.
Feat/&ChefWisTitle	Chef (Saggezza)
Feat/&ConstructSelectingPoolDescription	Seleziona la modalità per il tuo Costrutto.
Feat/&ConstructSelectingPoolTitle	Modalità artiglieria
Feat/&DeadeyeFeatDescription	Hai imparato le armi a distanza e puoi fare colpi che altri trovano impossibili.\n• Attaccare a lunga distanza non impone svantaggio ai tiri per colpire con armi a distanza.\n• I tuoi attacchi con armi a distanza ignorano la copertura per metà e per tre quarti.\n• Puoi scegliere di subire una penalità di -5 al tiro per colpire con le armi a distanza. Se l'attacco va a segno, infliggi 10 danni aggiuntivi del tipo dell'arma.
Feat/&DeadeyeFeatTitle	Deadeye
Feat/&DismissConstructDescription	Richiama il tuo costrutto.
Feat/&DismissConstructTitle	Ignora il costrutto
Feat/&DualFlurryDescription	Sei un maestro nel combattere con armi accoppiate. In qualsiasi turno in cui colpisci due volte con attacchi in mischia mentre impugna un'arma in ciascuna mano, puoi effettuare un attacco secondario aggiuntivo quando attacchi con la tua azione bonus.
Feat/&DualFlurryTitle	Doppia raffica
Feat/&ExtraInfusionSlotsDescription	Ottieni slot di infusione extra che devono essere usati su armature/armi.
Feat/&ExtraInfusionSlotsTitle	Infusi Extra
Feat/&FeatArcaneDefenseDescription	Aumenta la tua Intelligenza di 1, fino a un massimo di 20.\nMentre non indossi alcuna armatura, la tua CA è pari a 10 + il tuo modificatore di Destrezza + il tuo modificatore di Intelligenza.
Feat/&FeatArcaneDefenseTitle	Difesa Arcana
Feat/&FeatArcanePrecisionDescription	Puoi usare un'azione bonus per selezionare un'arma. I suoi attacchi contano come magici e usi la tua Intelligenza per i tuoi tiri per colpire e per i danni per 1 minuto. Questa funzione può essere utilizzata due volte per riposo lungo.
Feat/&FeatArcanePrecisionTitle	Precisione Arcana
Feat/&FeatBlindFightingStlyeDescription	Hai la vista cieca con un raggio di 10 piedi.
Feat/&FeatBlindFightingStlyeTitle	Stile di combattimento: combattimento alla cieca
Feat/&FeatBrutalThugDescription	Sferra colpi potenti nei posti giusti.\nOttieni competenze nelle armi semplici e marziali.\nPuoi attaccare furtivamente usando armi da guerra.
Feat/&FeatBrutalThugTitle	Brutale delinquente
Feat/&FeatChaIncrementDescription	Aumenta il tuo Carisma di 1, fino a un massimo di 20.
Feat/&FeatChaIncrementTitle	Aumento dell'attributo del carisma
Feat/&FeatCharismaticDefenseDescription	Aumenta il tuo Carisma di 1, fino a un massimo di 20.\nMentre non indossi alcuna armatura, la tua CA è pari a 10 + il tuo modificatore di Destrezza + il tuo modificatore di Carisma.
Feat/&FeatCharismaticDefenseTitle	Difesa carismatica
Feat/&FeatCharismaticPrecisionDescription	Puoi usare un'azione bonus per selezionare un'arma. I suoi attacchi contano come magici e usi il tuo Carisma per i tuoi tiri per colpire e per i danni per 1 minuto. Questa funzione può essere utilizzata due volte per riposo lungo.
Feat/&FeatCharismaticPrecisionTitle	Precisione carismatica
Feat/&FeatChefConIncrementDescription	Aumenta la tua Costituzione di 1, fino a un massimo di 20.
Feat/&FeatChefConIncrementTitle	Attributo Aumento
Feat/&FeatChefWisIncrementDescription	Aumenta la tua Saggezza di 1, fino a un massimo di 20.
Feat/&FeatChefWisIncrementTitle	Attributo Aumento
Feat/&FeatCripplingDescription	Quando colpisci con un attacco in mischia, puoi ridurre la velocità del tuo avversario di 3 metri fino all'inizio del tuo prossimo turno.
Feat/&FeatCripplingTitle	Stile di combattimento: paralizzante
Feat/&FeatDexIncrementDescription	Aumenta la tua Destrezza di 1, fino a un massimo di 20.
Feat/&FeatDexIncrementTitle	Attributo Aumento
Feat/&FeatDualWeaponDefenseDescription	Ottieni un bonus di +1 alla CA mentre impugna un'arma da mischia separata in ciascuna mano.
Feat/&FeatDualWeaponDefenseTitle	Difesa a doppia arma
Feat/&FeatFastHandsDescription	Ottieni Azione Astuta. Puoi usare le azioni Nascondi o Disimpegna come azione bonus.\nPuoi usare la tua Azione Astuzia per effettuare una prova di Destrezza (Gestione di Mano), usare gli strumenti dei tuoi ladri per Disarmare una trappola o aprire un lucchetto, oppure effettuare l'azione Usa un Oggetto.
Feat/&FeatFastHandsTitle	Mani veloci
Feat/&FeatFeyTeleportationChaDescription	Aumenta il tuo Carisma di 1, fino a un massimo di 20.\nPuoi usare Nebbioso Passo una volta per riposo breve e puoi lanciare questo incantesimo con i tuoi slot incantesimo.\nAcquisisci competenza in Tirmarian.
Feat/&FeatFeyTeleportationChaTitle	Teletrasporto fatato (carisma)
Feat/&FeatFeyTeleportationIntDescription	Aumenta la tua Intelligenza di 1, fino a un massimo di 20.\nPuoi usare Nebbioso Passo una volta per riposo breve e puoi lanciare questo incantesimo con i tuoi slot incantesimo.\nAcquisisci competenza in Tirmarian.
Feat/&FeatFeyTeleportationIntTitle	Teletrasporto Fey (Intelligence)
Feat/&FeatFeyTeleportationWisDescription	Aumenta la tua Saggezza di 1, fino a un massimo di 20.\nPuoi usare Nebbioso Passo una volta per riposo breve e puoi lanciare questo incantesimo con i tuoi slot incantesimo.\nAcquisisci competenza in Tirmarian.
Feat/&FeatFeyTeleportationWisTitle	Teletrasporto fatato (saggezza)
Feat/&FeatFightingSurgeDexterityDescription	Aumenta la tua Destrezza di 1, fino a un massimo di 20.\nNel tuo turno, puoi compiere un'azione aggiuntiva in aggiunta alla tua azione regolare. Una volta utilizzata questa funzione, è necessario terminare un lungo riposo prima di poterla riutilizzare.
Feat/&FeatFightingSurgeDexterityTitle	Surge di combattimento (destrezza)
Feat/&FeatFightingSurgeStrengthDescription	Aumenta la tua Forza di 1, fino a un massimo di 20.\nNel tuo turno, puoi compiere un'azione aggiuntiva in aggiunta alla tua azione regolare. Una volta utilizzata questa funzione, è necessario terminare un lungo riposo prima di poterla riutilizzare.
Feat/&FeatFightingSurgeStrengthTitle	Ondata di Combattimento (Forza)
Feat/&FeatHeavyArmorMasterClassDescription	Ottieni resistenza ai danni contundenti, taglienti e perforanti.
Feat/&FeatHeavyArmorMasterClassTitle	Maestria della difesa pesante
Feat/&FeatImprovedCriticalDescription	I tuoi attacchi sono colpi critici con un risultato di 19 o 20.
Feat/&FeatImprovedCriticalTitle	Critico migliorato
Feat/&FeatIntIncrementDescription	Aumenta la tua Intelligenza di 1, fino a un massimo di 20.
Feat/&FeatIntIncrementTitle	Incremento degli attributi di intelligenza
Feat/&FeatLightArmorDescription	Aumenta la tua Forza di 1, fino a un massimo di 20.\nAcquisisci competenza nelle armature leggere.
Feat/&FeatLightArmorProficiencyDescription	Ottieni la competenza con le armature leggere.
Feat/&FeatLightArmorProficiencyTitle	Armatura leggera
Feat/&FeatLightArmorTitle	Armatura leggera
Feat/&FeatMarksmanDescription	Quando un avversario che puoi vedere ti attacca con un'arma a distanza o un incantesimo e si trova ad almeno 3 metri di distanza da te, puoi usare la tua reazione per effettuare un attacco con un'arma a distanza al termine dell'attacco innescante.
Feat/&FeatMarksmanTitle	tiratore scelto
Feat/&FeatMediumArmorDexDescription	Aumenta la tua Destrezza di 1, fino a un massimo di 20.\nOttieni competenza con armature medie e scudi.
Feat/&FeatMediumArmorDexTitle	Armatura media (destrezza)
Feat/&FeatMediumArmorProficiencyDescription	Ottieni competenza con armature e scudi medi.
Feat/&FeatMediumArmorProficiencyTitle	Armatura media
Feat/&FeatMediumArmorStrengthDescription	Aumenta la tua Forza di 1, fino a un massimo di 20.\nOttieni competenza con armature e scudi medi.
Feat/&FeatMediumArmorStrengthTitle	Armatura media (forza)
Feat/&FeatMetamagicAdeptCarefulDescription	Aumenta il tuo Carisma di 1, fino a un massimo di 20.\nImpari la metamagia Attento e guadagni 2 punti stregoneria.
Feat/&FeatMetamagicAdeptCarefulTitle	Metamagia: Attento
Feat/&FeatMetamagicAdeptDistantDescription	Aumenta il tuo Carisma di 1, fino a un massimo di 20.\nImpari la metamagia Distante e guadagni 2 punti stregoneria.
Feat/&FeatMetamagicAdeptDistantTitle	Metamagia: Distante
Feat/&FeatMetamagicAdeptEmpoweredDescription	Aumenta il tuo Carisma di 1, fino a un massimo di 20.\nImpari la metamagia potenziata e guadagni 2 punti stregoneria.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Metamagia: potenziato
Feat/&FeatMetamagicAdeptExtendedDescription	Aumenta il tuo Carisma di 1, fino a un massimo di 20.\nImpari la metamagia estesa e guadagni 2 punti stregoneria.
Feat/&FeatMetamagicAdeptExtendedTitle	Metamagia: estesa
Feat/&FeatMetamagicAdeptHeightenedDescription	Impari la metamagia potenziata e guadagni 4 punti stregoneria.
Feat/&FeatMetamagicAdeptHeightenedTitle	Metamagia: potenziata
Feat/&FeatMetamagicAdeptQuickenedDescription	Aumenta il tuo Carisma di 1, fino a un massimo di 20.\nImpari la metamagia Quickened e guadagni 2 punti stregoneria.
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamagia: accelerata
Feat/&FeatMetamagicAdeptTwinnedDescription	Aumenta il tuo Carisma di 1, fino a un massimo di 20.\nImpari la metamagia Gemellata e guadagni 2 punti stregoneria.
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamagia: gemellata
