Setting/&ApplyDescription	Appliquez les changements sélectionnés.
Setting/&EncumbranceRuleTypeDefaultDescription	Vos personnages peuvent porter jusqu'à 15x leur FOR.
Setting/&EncumbranceRuleTypeVariantTitle	Solasta (variante)
Setting/&EncumbranceRuleTypeVariantDescription	Vos personnages peuvent porter jusqu'à 15x leur FOR, mais seront encombrés au-delà de 5x leur FOR et lourdement encombrés au-delà de 10x leur FOR.
Setting/&EncumbranceRuleTypeEasyTitle	Simplifié
Setting/&EncumbranceRuleTypeEasyDescription	Vos personnages peuvent porter jusqu'à 150x leur FOR.
Setting/&SpellcastingSettingsHeaderTitle	Lancement de sort
Setting/&NeverLoseConcentrationOnSpellsTitle	Ne jamais perdre sa concentration
Setting/&NeverLoseConcentrationOnSpellsDescription	Un lanceur qui se concentre sur un sort n'aura pas besoin d'un jet de sauvegarde de Constitution s'il subit des dégâts.
Setting/&ScrollsCanBeUsedByAnyCharacterTitle	Parchemins universels
Setting/&ScrollsCanBeUsedByAnyCharacterDescription	Tous les personnages peuvent utiliser un parchemin, même si le sort n'appartient pas à leur liste de sorts.
Setting/&RandomnessSettingsHeaderTitle	Jets de dés
Setting/&RandomnessModeTitle	Mode aléatoire
Setting/&RandomnessModeDescription	Choisissez le mode aléatoire utilisé lorsque vous jetez les dés.
Setting/&RandomnessModeTrueRandomTitle	Véritablement aléatoire
Setting/&RandomnessModeTrueRandomDescription	Votre sort sera entre les mains du dieu des dés.
Setting/&RandomnessModeNiceDiceTitle	Dés karmiques
Setting/&RandomnessModeNiceDiceDescription	Un joueur obtenant un mauvais résultat lors d'un jet de dés aura plus de chances d'en obtenir de bons la fois suivante.
Setting/&ForceCritEveryFewRollsTitle	Coup critique garanti
Setting/&ForceCritEveryFewRollsDescription	Garantit au joueur d'obtenir un coup critique au moins une fois tous les 15 jets de dés.
Setting/&StorySettingsHeaderTitle	Histoire
Setting/&ForceSuccessOnDialogRollsTitle	Succès garanti durant un cycle de dialogue
Setting/&ForceSuccessOnDialogRollsDescription	Tous les jets de compétence lancés lors d'un dialogue aboutiront.
Setting/&AlwaysDisplayDialogChancesTitle	Toujours afficher les chances de succès durant un dialogue
Setting/&AlwaysDisplayDialogChancesDescription	Les chances de succès d'un jet de compétence seront toujours affichées, plutôt que seulement en fonction du succès d'un jet de Perspicacité.
Setting/&UnlockAllBestiaryContentTitle	Afficher les informations du bestiaire
Setting/&UnlockAllBestiaryContentDescription	Toutes les informations relatives aux créatures sont affichées dans le bestiaire. Cela ne remplace pas les jets de survie pour les attributs de jeu comme ennemi juré du rôdeur.
Setting/&DisableRandomEncountersTitle	Désactiver les rencontres fortuites
Setting/&DisableRandomEncountersDescription	Supprime toutes les rencontres fortuites lors de votre exploration de la carte du monde, à l'exception des rencontres scénarisées.
Setting/&ExplorationSettingsHeaderTitle	Exploration
Setting/&AuthorizeRetryOnGadgetsTitle	Jets supplémentaires lors de l'exploration
Setting/&AuthorizeRetryOnGadgetsDescription	Vous permet de réessayer de crocheter une serrure ou de désarmer un piège même lorsque le personnage a préalablement échoué.
Setting/&AutoDetectTrapsTitle	Détection automatique des pièges
Setting/&AutoDetectTrapsDescription	Les pièges alentour seront automatiquement détectés même s'ils nécessitaient normalement un jet de compétence.
Setting/&ForceCraftingRollSuccessTitle	Succès garanti du jet de fabrication
Setting/&ForceCraftingRollSuccessDescription	Chaque jet de fabrication aboutira automatiquement.
Setting/&NoToolRequirementTitle	Aucun outil nécessaire
Setting/&NoToolRequirementDescription	Les personnages peuvent fabriquer et déverrouiller des coffres ou des portes sans avoir besoin d'outils.
Setting/&SomaticComponentFullDescription	Les personnages doivent avoir une main libre.
Setting/&QualityHeaderTitle	Qualité
Setting/&ColorCalibrationHeaderTitle	Calibrage des couleurs
Setting/&FasterTravelOnWorldMapTitle	Voyage accéléré sur la carte du monde
Setting/&FasterTravelOnWorldMapDescription	Augmente la vitesse de voyage lorsque vous explorez la carte du monde.
Setting/&ScrollSensitivityDescription	Définit la vitesse de défilement avec la molette de la souris dans les zones concernées.
Setting/&ScrollSensitivityTitle	Sensibilité du défilement
Setting/&ShadowsTitle	Ombres
Setting/&ShadowsDescription	Active ou désactive les ombres.
Setting/&SubtitlesHeaderTitle	Sous-titres
Setting/&SubtitlesEnabledDescription	Active ou désactive les sous-titres pendant les cinématiques
Setting/&SubtitlesEnabledTitle	Activés
Setting/&SubtitlesDisplaySpeakerNameDescription	Affiche le nom du locuteur pendant les cinématiques
Setting/&SubtitlesDisplaySpeakerNameTitle	Affichage du nom du locuteur
Setting/&SubtitlesBlackBackgroundDescription	Affiche un arrière-plan noir derrière les sous-titres
Setting/&SubtitlesBlackBackgroundTitle	Arrière-plan noir
Setting/&AllowAttuningUnknownItemsTitle	Autoriser la création d'un lien avec des objets inconnus
Setting/&AllowAttuningUnknownItemsDescription	Un personnage sera capable de créer un lien avec un objet magique même si ses propriétés magiques sont inconnues.
Setting/&MoveCameraWithScreenBordersTitle	Déplacement de la caméra via les bordures d'écran
Setting/&SpellbookPagesConstraintTitle	Restriction de pages dans le grimoire
Setting/&SpellbookPagesConstraintDescription	Lorsque cette option est activée, les grimoires ne peuvent contenir qu'un nombre de sorts dans la limite de pages disponibles (habituellement 100 pages). Chaque sort retranscrit (qu'il provienne d'un parchemin ou que vous l'ayez acquis en montant de niveau) occupe un nombre de pages équivalant à son niveau dans le grimoire. Un magicien pourrait bien avoir à acheter un autre grimoire avant la fin de la campagne de Solasta s'il veut pouvoir passer au niveau supérieur
Setting/&FadingFogOfWarTitle	Brouillard de guerre animé
Setting/&TextLanguageruTitle	Русский
Setting/&TextLanguageruDescription	Русский
Setting/&TextLanguagept-BRTitle	Português (Brasil)
Setting/&TextLanguagept-BRDescription	Português (Brasil)
Setting/&VocalSpellIncantationTitle	Activez la vocalisation des composantes de sorts verbales.
Setting/&FSRTitle	AMD FidelityFX Super Resolution
Setting/&FSRDescription	Utilisez une technologie de mise à l'échelle temporelle pour améliorer les performances de votre carte graphique. Vous pouvez choisir entre des paramètres de qualité très élevés avec des améliorations de performances faibles ou un mode axé sur les performances avec un crénelage plus visible.
Setting/&FSRDisabledTitle	Désactivée
Setting/&FSRDisabledDescription	Utilisez la résolution native (100 %).
Setting/&FSRUltraQualityTitle	Qualité ultra
Setting/&FSRUltraQualityDescription	Utilisez une résolution proche de la résolution native (77 %).
Setting/&FSRQualityTitle	Qualité
Setting/&FSRQualityDescription	Utilisez une résolution plus basse (67 %).
Setting/&FSRBalancedTitle	Équilibrée
Setting/&FSRBalancedDescription	Utilisez une résolution encore plus basse (59 %).
Setting/&FSRPerformanceTitle	Représentation
Setting/&FSRPerformanceDescription	Utilisez une résolution très basse (50 %).
