Modal/&AssertionFailedTtitle	Échec de la confirmation
Modal/&DialogSettingsAdditionalNpcsTitle	PNJ supplémentaires
Modal/&DialogSettingsAdditionalNpcsDescription	En plus du PNJ principal avec lequel le groupe parle, vous pouvez choisir d'autres PNJ qui ajouteront de nouvelles options de rôle aux boîtes de dialogue du PNJ. Assurez-vous que ces PNJ soient déjà générés quand le dialogue commence.
Modal/&ContentPropertyMagicOvercomesTitle	La magie l'emporte ?
Modal/&ContentPropertyMagicOvercomesDescription	Si vous sélectionnez cette option, l'affinité des dégâts sera annulée par un effet ou une attaque magique.
Modal/&MapWaypointNavigateVoteTitle	Vote de déplacement vers un point de repère
Modal/&MapWaypointNavigateVoteHostDescription	Vous avez suggéré un déplacement vers :
Modal/&MapWaypointNavigateVoteClientDescription	{0} a suggéré un déplacement vers le point de repère {1}. Cela nécessite votre accord.
Modal/&MultiplayerVotePlayerAnswersTitle	En attente de la réponse des autres joueurs
Modal/&MultiplayerVoteCancelTitle	Annuler le vote
Modal/&MultiplayerVoteCancelDescription	Annule le vote en cours.
Modal/&MultiplayerVoteAcceptTitle	Accepter
Modal/&MultiplayerVoteRejectTitle	Rejeter
Modal/&MultiplayerVoteClientStatusPendingTitle	En attente…
Modal/&MultiplayerVoteClientStatusPendingDescription	En attente de l'acceptation de cette demande par le joueur.
Modal/&MultiplayerVoteClientStatusAcceptedTitle	Acceptée
Modal/&MultiplayerVoteClientStatusAcceptedDescription	Le joueur a accepté la demande.
Modal/&MultiplayerWaitNotifyTitle	Notifier
Modal/&MultiplayerWaitNotifyDescription	Notifie ce joueur que vous l'attendez.
Modal/&MultiplayerWaitKickTitle	Exclure
Modal/&MultiplayerWaitKickDescription	Exclut ce joueur de la partie.
Modal/&MultiplayerWaitYouTitle	Vous êtes prêt·e
Modal/&PostRestWaitTitle	Synchronisation post-repos
Modal/&PostRestWaitDescription	En attente des autres joueurs terminant leur séquence de repos :
Modal/&MultiplayerWaitClientStatusPendingTitle	En attente…
Modal/&MultiplayerWaitClientStatusPendingDescription	En attente de l'acceptation de cette demande par le joueur.
Modal/&MultiplayerWaitClientStatusReadyTitle	Prêt
Modal/&MultiplayerWaitClientStatusReadyDescription	Le joueur est prêt à continuer.
Modal/&MultiplayerWaitQuitGameTitle	Quitter le jeu
Modal/&MultiplayerWaitQuitGameDescription	Dans le cas où quelque chose empêcherait la partie multijoueurs de se poursuivre, vous pouvez toujours quitter le jeu à partir d'ici.
Modal/&DefaultTextInputTitle	Entrez du texte
Modal/&DefaultPasswordInputTitle	Entrez un mot de passe
Modal/&ClearTitle	Retirer
Modal/&PostRestReadyPlayersDescription	Joueurs prêts :
Modal/&KickTitle	Exclure un joueur
Modal/&KickDescription	Excluez un joueur de votre session :
Modal/&ModioLoginTitle	Connectez-vous pour gérer vos mods
Modal/&ModioLoginEmail	Entrez votre adresse e-mail
Modal/&ModioLoginSecurityCode	Entrez le code de sécurité
Modal/&ModioLoginRequest	Demander un code de sécurité
Modal/&ModioLoginAuthenticate	S'authentifier
Modal/&ModioLoginPoweredModio	Généré par mod.io
Modal/&ModioLoginAbout	À propos
Modal/&ModioLoginPrivacy	Confidentialité
Modal/&MissingDLCMultiplayerStoreWarningTitle	Avertissement
Modal/&MissingDLCMultiplayerStoreWarningDescription	En achetant ce DLC, vous ne le rendrez pas disponible dans cette session multijoueur. Seuls les DLC de l'hôte sont disponibles dans une session multijoueur.
Modal/&MissingDLCMultiplayerAlreadyOwnedDescription	Vous possédez déjà ce DLC, mais seuls les DLC de l'hôte sont disponibles dans les sessions multijoueurs. Continuer quand même ?
Modal/&CreateSpellSlotTitle	Création d'emplacements de sort
Modal/&CreateSpellSlotDescription	Sélectionnez un emplacement de sort à créer contre des points de sorcellerie :
Modal/&CreateSpellSlotCostTitle	Coût en points de sorcellerie
Modal/&CreateSorceryPointsTitle	Création de points de sorcellerie
Modal/&CreateSorceryPointsDescription	Sélectionnez un emplacement de sort à dépenser pour le convertir en points de sorcellerie :
Modal/&CreateSorceryPointsGainTitle	Points de sorcellerie obtenus
Modal/&DefeatIronManAdditionalDescription	Votre aventure s'arrête ici. Rassemblez vos forces et trouvez le courage de relever le défi du mode Iron Man une nouvelle fois !
Modal/&CharacterReviveModalDisintegratedFormat	Cette option ne peut pas être utilisée sur {0} car ce personnage est désintégré.
Modal/&SpellSlotRecoveryTitle	Récupération d'emplacement de sort
Modal/&SpellSlotRecoveryDescription	Sélectionnez les emplacements de sort dépensés à récupérer :
Modal/&SpellSlotCapitalFormat	Capital total : {0}
Modal/&SpellSlotCapitalDescription	Votre capital de récupération est déterminé par la moitié de votre niveau de lanceur arrondi à l'entier supérieur. Chaque emplacement de sort récupéré coûte du capital de récupération égal à son niveau de sort : par exemple, un emplacement de sort de niveau 3 coûte 3 points de récupération.
Modal/&SpellSlotRecoverLevelButtonTitle	Récupérer ({0})
Modal/&SpellSlotRecoverLevelButtonDescription	Récupérez un emplacement de sort de ce niveau pour un coût de {0} de votre capital total.
Modal/&SpellSlotCancelButtonTitle	Annuler
Modal/&SpellSlotCancelButtonDescription	Annule la récupération d'emplacement de sort. Aucun capital de récupération n'est dépensé.
Modal/&SpellSlotClearButtonTitle	Retirer
Modal/&SpellSlotClearButtonDescription	Retire tous les emplacements de sorts récupérés pour recommencer le processus de sélection.
Modal/&SpellSlotAutoButtonTitle	Sélection automatique
Modal/&SpellSlotAutoButtonDescription	Sélectionne automatiquement les emplacements de sort à récupérer. Vous pouvez vérifier les choix automatiques avant de confirmer.
Modal/&SpellSlotRecoverButtonTitle	Récupérer
Modal/&SpellSlotRecoverButtonDescription	Confirmez pour récupérer les emplacements de sorts sélectionnés.
Modal/&MultiplayerRoomCreationErrorTitle	Erreur lors de la création de la salle
Modal/&MultiplayerRoomCreationErrorDuplicateDescription	Il existe déjà une salle à ce nom. Veuillez en essayer un autre.
Modal/&MultiplayerRoomCreationErrorUnknownDescriptionFormat	La salle n'a pas pu être créée : code {0}.
Modal/&MultiplayerConnexionErrorTitle	Échec de la connexion
Modal/&MultiplayerConnexionErrorDescription	Impossible de se connecter aux services multijoueurs de Photon. Assurez-vous que vous disposez d'une connexion stable et réessayez.
Modal/&MultiplayerRoomJoinErrorTitle	Échec de l'accès à la salle
Modal/&MultiplayerRoomJoinErrorFullDescription	La salle est complète.
Modal/&MultiplayerRoomJoinErrorClosedDescription	La salle est close.
Modal/&MultiplayerRoomJoinErrorInexistantDescription	La salle n'existe pas.
Modal/&MultiplayerRoomJoinErrorUnknownDescriptionFormat	Vous n'avez pas pu rejoindre la salle : code {0}.
Modal/&MultiplayerRoomJoinErrorNotFoundDescription	La salle n'a pas pu être trouvée. Vérifiez le nom et réessayez.
Modal/&MultiplayerRoomJoinErrorWrongPasswordDescription	Le mot de passe est incorrect.
Modal/&MultiplayerDisconnectedTitle	Connexion au Photon impossible
Modal/&MultiplayerDisconnectedDescription	Nous sommes désolés, le Photon Cloud est actuellement indisponible. Vérifiez votre connexion à Internet et réessayez plus tard.
Modal/&MultiplayerDisconnectedReturnToMenuDescription	Le Photon Cloud est actuellement indisponible. Veuillez accepter nos excuses. Vous pouvez continuer de jouer hors ligne ou retourner au menu principal pour réessayer plus tard.
Modal/&SessionPasswordInputTitle	Mot de passe de la session de jeu
Modal/&SessionPasswordInputDescription	Vous devez saisir un mot de passe valide pour accéder à la session de jeu {0}.
Modal/&MultiplayerRoomJoinErrorGameAlreadyStartedDescription	La session a déjà commencé et ne peut être rejointe.
Modal/&NewSavedGameTitle	Nouvelle sauvegarde
Modal/&ShortcutConfigATitle	Passer en config A
Modal/&ShortcutConfigBTitle	Passer en config B
Modal/&ShortcutConfigCTitle	Passer en config C
Modal/&ShortcutCastLightingSpellTitle	Lancer un sort de lumière
Modal/&ShortcutStopConcentratingTitle	Mettre fin à la concentration
Modal/&LoadingProceedButtonConsoleTitle	Appuyer sur une touche pour continuer
Modal/&GamepadControlsTitle	Configuration des touches
Modal/&GamepadControlsShortTitle	Manette
Modal/&GamepadControlsDescription	Affiche un écran qui indique à quelles actions en jeu correspondent les touches de la manette.
Modal/&GamepadControlsToggleExplorationTitle	Exploration
Modal/&GamepadControlsToggleBattleTitle	Combat
Modal/&GamepadControlsToggleMenusTitle	Menus
Modal/&AccessStoreTitle	Accéder à la boutique
Modal/&AccessStoreMicrosoftTitle	Microsoft Store
Modal/&MultiplayerRoomJoinErrorCrossplayCheckFailedDescription	Le cross-play n'est pas activé pour cette session de jeu, et votre plateforme ne correspond pas à la plateforme de la session.
Modal/&ShortcutStopLightingSpellTitle	Stopper un sort de lumière
