Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&SpellLevel7FormatTitle	Niveau 7
Rules/&SpellLevel8FormatTitle	Niveau 8
Rules/&SpellLevel9FormatTitle	Niveau 9
Rules/&SpellSlotFormRecoverHalfLevelUpFormat	Récupérez la moitié du niveau de classe (arrondi) de vos emplacements de sorts dépensés jusqu'au niveau {0}.
Rules/&SummonFormCreaturesMultipleFormat	Invoquez {0} (x{1}).
Rules/&SummonFormCreaturesSingleFormat	Invoquez {0}.
Rules/&SummonFormEffectProxyFormat	Invoquez '{0}' pour pouvoir prendre son contrôle 
Rules/&SummonFormInventoryItemsMultipleFormat	Invoquez {0} (x {1}) dans l'inventaire
Rules/&SummonFormInventoryItemsSingleFormat	Invoquez {0} dans l'inventaire
Rules/&TemporaryHitPointsFormFormat	Points de vie temporaires {0}{1} {2}
Rules/&TopologyFormProjectileBlockerFormat	Bloque les projectiles ordinaires (flèches, carreaux, etc.)
Rules/&TopologyFormSightBlockerFormat	Obstrue le champ de vision
Rules/&TurnOccurenceEndOfTurnFormat	Fin du round
Rules/&TurnOccurenceEndOfTurnNoPerceptionOfSourceFormat	Fin du tour
Rules/&TurnOccurenceStartOfTurnFormat	Début du tour
Rules/&VerboseComponentTitle	V
Rules/&VersatileDamageFormFormat	\nPolyvalent : {0}{1}{2}{3}
Rules/&VersatileTwoHandedTitle	À deux mains : 
Rules/&WeightFormat	{0} {1}
Rules/&WeightRatioFormat	{0}/{1} {2}
Rules/&TopologyFormDifficultThroughFormat	Cette zone ralentit ceux qui la traversent.
Rules/&TopologyFormSightImpairedFormat	Les créatures dans cette zone ne voient rien.
Rules/&TopologyFormDangerousZoneFormat	Cette zone blesse ceux qui la traversent.
Rules/&EffectTargetCubeWithOffsetTitle	Un cube de 3x3 cases autour de vous
Rules/&ConditionBlessingSorrtarrTitle	Bénédiction du Sorr-Tarr
Rules/&ConditionBlessingSorrtarrDescription	Semble soulager les Soraks de leur vulnérabilité à la lumière.
Rules/&ConditionAnnoyedByBeeTitle	Distrait par une abeille agaçante
Rules/&ConditionAnnoyedByBeeDescription	Désavantage en concentration jusqu'au tour suivant.
Rules/&ConditionDetectPoisonAndDiseaseTitle	Détection du poison et des maladies
Rules/&ConditionDetectPoisonAndDiseaseDescription	Vous pouvez détecter les créatures venimeuses et la maladie dans un rayon de 6 cases autour de vous pendant toute la durée du sort.
Rules/&ConditionCharmedByAnimalFrienshipTitle	Charmée par amitié avec les animaux
Rules/&ConditionCharmedByAnimalFrienshipDescription	Cette bête sera charmée pendant la durée du sort ou jusqu'à ce que vous ou un membre de votre groupe la blessiez.
Rules/&ConditionSanctuaryTitle	Sanctuaire
Rules/&ConditionSanctuaryDescription	Vous protégez une créature à votre portée contre les attaques. Pendant toute la durée du sort, toute créature ciblant la créature protégée avec une attaque ou un sort nocif doit effectuer un jet de sauvegarde de Sagesse ou choisir une autre cible.
Rules/&ConditionWardedBySanctuaryTitle	Protégé par sanctuaire
Rules/&ConditionWardedBySanctuaryDescription	Vous êtes protégé jusqu'à la fin du sort ou jusqu'à ce que vous lanciez un sort ou une attaque.
Rules/&ConditionProtectedFromEnergyAcidTitle	Protégé contre l'acide
Rules/&ConditionProtectedFromEnergyAcidDescription	Résistance aux dégâts acides
Rules/&ConditionProtectedFromEnergyColdTitle	Protégé contre le froid
Rules/&ConditionProtectedFromEnergyColdDescription	Résistance aux dégâts de froid
Rules/&ConditionProtectedFromEnergyFireTitle	Protégé contre le feu
Rules/&ConditionProtectedFromEnergyFireDescription	Résistance aux dégâts de feu
Rules/&ConditionProtectedFromEnergyLightningTitle	Protégé contre la foudre
Rules/&ConditionProtectedFromEnergyLightningDescription	Résistance aux dégâts de foudre
Rules/&ConditionProtectedFromEnergyThunderTitle	Protégé contre le tonnerre
Rules/&ConditionProtectedFromEnergyThunderDescription	Résistance aux dégâts de tonnerre
Rules/&AlterationFormDissipateSpellFormat	Dissipe les sorts appliqués aux objets
Rules/&ConditionMindControlledByConjureAnimalTitle	Animal invoqué
Rules/&ConditionMindControlledByConjureAnimalDescription	Cet animal a été invoqué par une autre créature.
Rules/&ConditionSilencedTitle	Réduit au silence
Rules/&ConditionWardedByWardingBondTitle	Protégé par le lien de protection
Rules/&ConditionWardedByWardingBondDescription	Temp
Rules/&ConditionWaterWalkTitle	Marche sur l'eau
Rules/&ConditionWaterWalkDescription	Temp
Rules/&ConditionWaterBreathingTitle	Respiration aquatique
Rules/&ConditionWaterBreathingDescription	Temp
Rules/&ConditionRestrictedInsideMagicCircleDescription	Temp
Rules/&ConditionProtectedInsideMagicCircleDescription	Temp
Rules/&ConditionComprehendLanguagesTitle	Compréhension des langues
Rules/&ConditionComprehendLanguagesDescription	Peut lire et parler toutes les langues.
Rules/&ConditionStaffOfMetisTitle	Resistance aux éléments
Rules/&ConditionStaffOfMetisDescription	Résistance aux dégâts de froid, de feu et de foudre.
Rules/&ConditionFlying6Description	La créature ciblée gagne une vitesse de vol de 6 cases par action de déplacement.
Rules/&AlterationFormAbilityScoreIncreaseValueFormat	Augmente la valeur {0} de {1}.
Rules/&AlterationFormAbilityScoreIncreaseMaximumFormat	Augmente le maximum de {0} de {1}.
Rules/&ConditionHeavyArmorOverloadDescription	FOR insuffisante pour cette armure lourde. La vitesse est réduite de 2.
Rules/&ConditionHeavyArmorOverloadTitle	Surcharge de l'armure lourde
Rules/&MoveModeWalkTitle	Marcher
Rules/&MoveModeClimbTitle	Escalader
Rules/&MoveModeFlyTitle	Voler
Rules/&MoveModeIncorporealTitle	Incorporel
Rules/&MoveModeSwimTitle	Nager
Rules/&MoveModeBurrowTitle	Creuser
Rules/&ConditionCloakOfDisplacementDescription	Les attaques sur cette créature ont un désavantage tant qu'elle est consciente et capable de se déplacer. Cesse de fonctionner jusqu'au prochain tour si la créature subit des dégâts.
Rules/&ConditionCloakOfDisplacementTitle	Intangible
Rules/&ConditionHeavilyObscuredDescription	La créature a une visibilité nulle. Un désavantage sur les jets d'attaque. Les jets d'attaque contre la créature ont un désavantage.
Rules/&ConditionConjuredCreatureDescription	Cette créature a été invoquée par un effet magique
Rules/&ConditionConjuredCreatureTitle	Créature invoquée
Rules/&ConditionBleedingDescription	La créature subit 1d6 dégâts nécrotiques au début de son tour
Rules/&ConditionBleedingTitle	Entaille dévastatrice
Rules/&ConditionSilencedDescription	La créature n'émet aucun bruit et ne peut ni parler ni lancer de sorts à composante verbale
Rules/&ConditionProtectedFromEvilDescription	Les aberrations, les célestes, les élémentaires, les fées, les fiélons et les morts-vivants ont un désavantage pour attaquer la cible et ne peuvent ni la charmer, ni l'effrayer, ni la posséder. Si la cible est déjà charmée, effrayée ou possédée par une telle créature, elle dispose d'un avantage pour chaque nouveau jet de sauvegarde effectué contre l'effet concerné.
Rules/&ConditionMarkedByFateDescription	Subit des dégâts supplémentaires lors de la frappe.
Rules/&ConditionMarkedByFateTitle	Marque du destin
Rules/&ConditionStepbackDescription	Avantage lors de la prochaine attaque avec un arc durant ce tour.
Rules/&ConditionStepbackTitle	Avantage en recul
Rules/&ConditionInvisibleGreaterDescription	Indétectable sans magie ; la créature a un avantage lors des attaques. Les assaillants ont un désavantage. La créature reste invisible même lorsqu'elle attaque ou lance des sorts.
Rules/&ConditionInvisibleGreaterTitle	Invisible (supérieure)
Rules/&ConditionStoneskinDescription	Résistance aux dégâts contondants, tranchants et perforants non magiques.
Rules/&ConditionStoneskinTitle	Peau de pierre
Rules/&ConditionFrightenedPhantasmalKillerDescription	La créature est effrayée et subit des dégâts psychiques à chaque tour jusqu'à ce qu'elle réussisse un jet de sauvegarde.
Rules/&ConditionFrightenedPhantasmalKillerTitle	Effrayée par un fantasme
Rules/&ConditionFireShieldWarmDescription	Résiste au froid et riposte contre les assaillants au corps à corps au moyen de dégâts de feu.
Rules/&ConditionFireShieldColdDescription	Résiste au feu et riposte contre les assaillants au corps à corps au moyen de dégâts de froid.
Rules/&ConditionDeathWardedTitle	Protégée contre la mort
Rules/&ConditionDeathWardedDescription	Lorsque la mort instantanée atteint 0 point de vie, les PV sont ramenés à 1, et elle est ainsi protégée contre des dégâts ou effets considérables.
Rules/&ConditionConfusedTitle	Victime de confusion
Rules/&ConditionConfusedDescription	Au début de ce tour, la créature peut s'éloigner, ne pas agir du tout, attaquer au corps à corps une cible à sa portée ou agir normalement.
Rules/&ConditionBanishedTitle	Banni
Rules/&ConditionBanishedDescription	La créature est retirée du jeu pendant toute la durée du sort, à moins que celui-ci ne soit rompu avant. Dans le cas où il n'est rompu à aucun moment pendant cette durée, la créature est bannie de manière permanente si elle est extraplanaire (céleste, fiélon, élémentaire).
Rules/&SpecialBehaviourConditionDuringTurnFormat	{3} souffre pendant ce tour.
Rules/&SpecialBehaviourNoneFormat	{3} agit normalement.
Rules/&ConditionConfusedAttackTitle	en ciblage aléatoire
Rules/&ConditionConfusedAttackDescription	La créature doit utiliser ses actions pour attaquer de manière aléatoire une créature à sa portée, si possible.
Rules/&ConditionConfusedMoveTitle	En  déplacement aléatoire
Rules/&ConditionConfusedMoveDescription	La créature doit se déplacer dans une direction aléatoire.
Rules/&ConditionConfusedIncapacitatedTitle	Neutralisé
Rules/&ConditionConfusedIncapacitatedDescription	La créature ne peut rien faire du fait de sa confusion.
Rules/&ConditionFeatRaiseShieldDescription	Vous obtenez +3 de CA jusqu'à la fin du tour de l'assaillant.
Rules/&ConditionFeatRaiseShieldTitle	Bouclier levé
Rules/&ConditionFeatTwinBladeDescription	Vous obtenez +3 de CA jusqu'à la fin du tour de l'assaillant.
Rules/&ConditionFeatTwinBladeTitle	Blocage de double lame
Rules/&DurationTurnSingleFormat	{0} tour
Rules/&DurationTurnPluralFormat	{0} tours
Rules/&ConditionFeatTakeAimDescription	Vos attaques avec une arme à distance n'ont ni un désavantage ni un avantage, quelles que soient les conditions.
Rules/&ConditionFeatTakeAimTitle	En train de viser
Rules/&ConditionFeatRushToBattleDescription	Votre vitesse de mouvement est augmentée de 3 cases et votre CA est diminuée de 2 jusqu'au début de votre tour. 
Rules/&ConditionFeatRushToBattleTitle	Fonçant au combat
Rules/&ConditionDispellingEvilAndGoodTitle	En dissipation du mal et du bien
Rules/&ConditionDispellingEvilAndGoodDescription	Les célestes, les élémentaires, les fées, les fiélons et les morts-vivants ont un désavantage lorsqu'ils vous attaquent. Ce sort vous permet également d'annuler les enchantements hostiles ou de renvoyer les créatures extraplanaires touchées par l'une de vos attaques.
Rules/&ConditionMindControlledDescription	La créature rejoint le lanceur qui la contrôle.
Rules/&ConditionMindDominatedDescription	Les actions de la créature sont totalement sous le contrôle du lanceur.
Rules/&ConditionMindDominatedTitle	Sous domination de l'esprit
Rules/&ConditionOnAcidTitle	Brûlure par acide
Rules/&ConditionPheromonedTitle	Phéromone nauséabonde
Rules/&ConditionPheromonedDescription	-3 sur les jets de caractéristique de Charisme.
Rules/&ConditionOnAcidDescription	Subissez 1d3 dégâts acides à la fin de votre tour pendant 3 tours.
Rules/&ActivationTypePermanentTitle	Permanente
Rules/&MonsterSpellcastingTitle	Lancement de sort
Rules/&MonsterSpellcastingDescription	La créature a la capacité de lancer des sorts.
Rules/&ConditionCalmedByCalmEmotionsEnemyTitle	Adversaire apaisé
Rules/&ConditionCalmedByCalmEmotionsEnemyDescription	La créature est indifférente aux adversaires, sauf si celle-ci est blessée.
Rules/&ConditionCalmedByCalmEmotionsAllyTitle	Allié apaisé
Rules/&ConditionCalmedByCalmEmotionsAllyDescription	La créature ne peut être ni charmée ni effrayée.
Rules/&ConditionArcaneShockedTitle	Victime d'un choc arcanique
Rules/&ConditionArcaneShockedDescription	Vos dés d'attaque avec un sort infligent au moins des dégâts moyens.
Rules/&ConditionHidingInPlainSightTitle	En camouflage naturel
Rules/&ConditionHidingInPlainSightDescription	+10 de DEX (Discrétion) lorsque vous êtes contre un mur.
Rules/&KillFormAlwaysFormat	La créature ciblée est tuée.
Rules/&KillFormUnderChallengeRatingFormat	La créature ciblée est tuée si sa difficulté du défi est égale ou inférieure à {0}.
Rules/&KillFormUnderHitPointsFormat	La créature ciblée est tuée si ses points de vie restants sont égaux ou inférieurs à {0}.
Rules/&ConditionSwallowedTitle	Avalé
Rules/&ConditionSwallowedRemorhazDescription	Toute action est rendue impossible, et la créature avalée subit 6d6 dégâts acides à chaque tour. Une simple attaque infligeant 30 points de dégâts peut forcer le rémorhaz à régurgiter.
Rules/&AlterationFormLightUpFormat	Allume les sources de lumière
Rules/&RateD6_56FormatTitle	avec 5 ou 6 sur un 1d6
Rules/&OrientationNorthTitle	Nord
Rules/&OrientationEastTitle	Est
Rules/&OrientationSouthTitle	Sud
Rules/&OrientationWestTitle	Ouest
Rules/&ConditionSwallowedShamblingMoundDescription	Toute action est rendue impossible, et la créature avalée subit 2d6+8 de dégâts contondants à chaque tour. Une simple attaque infligeant 15 points de dégâts peut forcer la créature engloutisseuse à régurgiter.
Rules/&ApplySelfFormat	{0} (soi-même)
Rules/&OnSpecificCreatureTriggerFormat	Sur {0} :
Rules/&ConditionLifeDrainedClayGolemDescription	Les points de vie sont réduits jusqu'à ce que le sort de restauration supérieure d'un clerc vous soigne.
Rules/&ConditionSlowedStoneGolemTitle	Ralenti
Rules/&ConditionSlowedStoneGolemDescription	Les golems de pierre peuvent ralentir les adversaires proches.
Rules/&ConditionParalyzedGhoulTitle	Paralysé(e) par le contact d'une goule ou d'un blême.
Rules/&SpellSlotFormCreateSpellSlotFormat	Créez un emplacement de sort.
Rules/&SpellSlotFormCreateSorceryPointFormat	Crée des points de sorcellerie.
Rules/&MetamagicOptionCarefulSpellTitle	Sort prudent
Rules/&MetamagicOptionCarefulSpellDescription	Les créatures alliées affectées par le sort réussissent automatiquement leur jet de sauvegarde.
Rules/&MetamagicOptionDistantSpellTitle	Sort distant
Rules/&MetamagicOptionDistantSpellDescription	Double la portée d'un sort ou modifie la portée d'un sort de contact de 6 cases.
Rules/&MetamagicOptionEmpoweredSpellTitle	Sort puissant
Rules/&MetamagicOptionEmpoweredSpellDescription	Tous les jets de dés de dégâts égaux à 1 ou à 2 sont relancés, et le nouveau résultat est conservé.
Rules/&MetamagicOptionExtendedSpellTitle	Sort étendu
Rules/&MetamagicOptionExtendedSpellDescription	Double la durée des sorts d'une minute ou plus, jusqu'à un maximum de 24 heures.
Rules/&MetamagicOptionHeightenedSpellTitle	Sort intense
Rules/&MetamagicOptionHeightenedSpellDescription	Oblige une créature à faire un jet de sauvegarde avec un désavantage.
Rules/&MetamagicOptionQuickenedSpellTitle	Sort accéléré
Rules/&MetamagicOptionQuickenedSpellDescription	Permet de lancer un sort d'action principale en tant que sort d'action bonus à la place. Cependant, à l'exception de sorts mineurs, vous ne pouvez pas lancer d'autres sorts pendant votre tour.
Rules/&MetamagicOptionTwinnedSpellTitle	Sort jumeau
Rules/&MetamagicOptionTwinnedSpellDescription	Si le sort d'origine ne cible qu'une seule créature, alors une cible supplémentaire sera également visée.
Rules/&RateSorceryPointsFormatTitle	points de sorcellerie
Rules/&SpellSlotFormRecoverSorceryHalfLevelUpFormat	Récupérez des points de sorcellerie à hauteur de la moitié du niveau de votre ensorceleur (arrondi à l'entier supérieur).
Rules/&ConditionSorcererChildRiftDeflectionTitle	Déflexion de la Faille
Rules/&ConditionSorcererChildRiftDeflectionDescription	Les adversaires ont un désavantage sur les jets d'attaque lancés à votre encontre, et vous avez un avantage sur vos jets de sauvegarde jusqu'au début de votre prochain tour.
Rules/&RateHitPointsFormatTitle	Maximum de pv sacrifiés
Rules/&ConditionDisintegratedTitle	Désintégré
Rules/&ConditionDisintegratedDescription	La créature peut être ramenée à la vie uniquement avec résurrection ou avec un effet similaire.
Rules/&ConditionDiseasedHarmTitle	Contaminé
Rules/&ConditionDiseasedHarmDescription	Les points de vie maximums sont réduits pendant une heure ou jusqu'à ce que la cible affectée soit guérie par un effet curatif.
Rules/&AlterationFormFeastFormatSingle	Le groupe festoie pendant {0} heure.
Rules/&AlterationFormFeastFormatPlural	Le groupe festoie pendant {0} heures.
Rules/&ConditionHeroesFeastTitle	Bien nourri
Rules/&ConditionHeroesFeastDescription	Insensible au poison et à la condition « effrayé », avantage aux jets de sauvegarde de SAG, et points de vie augmentés de 10.
Rules/&EffectTargetArcFromIndividualTitle	1 {0}+ {1}{2}({3}{4})
Rules/&ConditionEyebiteSickenedTitle	Fièvre
Rules/&ConditionEyebiteSickenedDescription	Désavantage aux jets d'attaque et aux jets de caractéristique.
Rules/&ConditionFrightenedEyebitePanickedTitle	Panique
Rules/&ConditionFrightenedEyebitePanickedDescription	Doit fuir l'origine de l'effet.
Rules/&ConditionHeroismDescription	Récupère des points de vie temporaires à chaque tour et devient impossible à effrayer.
Rules/&ConditionRagingTitle	Enragé
Rules/&RateRagePointsFormatTitle	points de rage
Rules/&DurationHourHalfClassLevelFormat	½ niveau de classe (heures)
Rules/&ConditionSpiritBearTitle	Lié à l'esprit de l'ours
Rules/&ConditionSpiritBearDescription	+ 1 pv par niveau
Rules/&ConditionSpiritWolfTitle	Lié à l'esprit du loup
Rules/&ConditionSpiritWolfDescription	+1 de CA
Rules/&ConditionSpiritApeTitle	Lié à l'esprit du singe
Rules/&ConditionSpiritApeDescription	Maîtrise des jets de sauvegarde de DEX
Rules/&ConditionSpiritViperTitle	Lié à l'esprit de la vipère
Rules/&ConditionSpiritViperDescription	+1 de mouvement de case
Rules/&ConditionSpiritSpiderTitle	Lié à l'esprit de l'araignée
Rules/&ConditionSpiritSpiderDescription	Pattes d'araignée
Rules/&ConditionSpiritEagleTitle	Lié à l'esprit de l'aigle
Rules/&ConditionSpiritEagleDescription	Initiative +3
Rules/&EffectTargetFreeSlotTitle	Emplacement libre
Rules/&ConditionHeatMetalDescription	Désavantage sur les jets d'attaque et les jets de caractéristique et peut recevoir des dégâts de feu supplémentaires.
Rules/&ConditionShapeChangedTitle	Forme changée
Rules/&ConditionMindControlledByCasterDescription	Cette créature est contrôlée par le lanceur du sort par lequel elle a été invoquée.
Rules/&ConditionRagingDescription	Vous obtenez de la résistance et augmentez vos dégâts en vous battant avec une férocité primitive.
Rules/&ProficiencyBonusDoubleFormat	+ Bonus de maîtrise x2
Rules/&ConditionGuidingWindsDescription	La prochaine attaque sur la cible a l'avantage.
Rules/&ConditionRecklessTitle	Téméraire
Rules/&ConditionRecklessDescription	Cette créature a un avantage sur les attaques au corps à corps pendant son tour.
Rules/&ConditionRecklessVulnerabilityTitle	Vulnérabilité téméraire
Rules/&ConditionRecklessVulnerabilityDescription	Les attaques contre cette créature auront un avantage jusqu'au début de son prochain tour.
Rules/&ConditionDreadfulGlareImmunityTitle	Insensible aux Regards d'épouvante des momies
Rules/&ConditionDreadfulGlareImmunityDescription	Vous êtes insensible aux Regards d'épouvante des momies et de seigneurs momies pendant 24 heures.
Rules/&ConditionNegativeEnergyTitle	Touché par l'énergie négative
Rules/&ConditionNegativeEnergyDescription	Ne peut pas récupérer de points de vie.
Rules/&ConditionRousingShoutTitle	Motivés par Cri exaltant
Rules/&ConditionRousingShoutDescription	Avantage lors de votre prochaine attaque.
Rules/&ConditionMenacedTargetTitle	Menacé
Rules/&ConditionMenacedTargetDescription	La cible a un désavantage lorsqu'elle attaque la source de la menace.
Rules/&ConditionBorrowedLuckTitle	Chance forcée
Rules/&ConditionBorrowedLuckDescription	Vous avez un désavantage sur votre prochain jet de sauvegarde.
Rules/&ConditionFormAddRandomFormat	Inflige l'une des conditions aléatoires suivantes : {0}
Rules/&ConditionFormNothingTitle	Rien
Rules/&ConditionRangerSwiftBladeBattleFocusTitle	Focus sur le combat
Rules/&ConditionRangerSwiftBladeBattleFocusDescription	Toutes vos attaques avec une arme de corps à corps infligent 1d8 de dégâts d'arme supplémentaires selon le type de dégâts de l'arme jusqu'au début de votre prochain tour.
Rules/&ConditionOathOfJugementWeightOfJusticeTitle	Poids de la justice
Rules/&ConditionOathOfJugementWeightOfJusticeDescription	La prochaine fois que vous toucherez une créature avec une arme de corps à corps, celle-ci devra effectuer un jet de sauvegarde de Charisme pour ne pas être entravée pendant une minute.
Rules/&ConditionOathOfJugementAuraOfRighteousnessTitle	Aura de vertu
Rules/&ConditionOathOfJugementAuraOfRighteousnessDescription	Vous ajoutez des dégâts à vos attaques équivalents au bonus de maîtrise du paladin dégageant l'aura.
Rules/&SpellSlotFormRechargePowerFormat	Recharge le pouvoir de {0}.
Rules/&ConditionCircleBalanceGiftOfLifeTitle	Don de la vie
Rules/&ConditionCircleBalanceGiftOfLifeDescription	Récupérez des points de vie au début du prochain tour du lanceur.
Rules/&ConditionCircleBalanceEmbracedByColdTitle	Étreint par le froid
Rules/&ConditionCircleBalanceEmbracedByColdDescription	La créature ne peut pas récupérer de points de vie.
Rules/&ConditionDistractedTitle	Distrait
Rules/&ConditionDistractedDescription	Désavantage sur les jets de sauvegarde de concentration.
Rules/&ConditionPactChainImpTitle	Lien avec un diablotin
Rules/&ConditionPactChainImpDescription	La créature obtient la vision dans le noir et la résistance aux dégâts de feu et de poison
Rules/&ConditionPactChainPseudodragonTitle	Lien avec un pseudodragon
Rules/&ConditionPactChainPseudodragonDescription	La créature obtient un avantage sur les jets de sauvegarde contre les sorts et autres effets magiques.
Rules/&ConditionPactChainQuasitTitle	Lien avec un quasit
Rules/&ConditionPactChainQuasitDescription	La créature obtient la résistance contre les dégâts contondants, perforants et tranchants non magiques.
Rules/&ConditionPactChainSpriteTitle	Lien avec un esprit follet
Rules/&ConditionPactChainSpriteDescription	La créature obtient +2 cases de vitesse de mouvement et une immunité aux attaques d'opportunité.
Rules/&RateBindChainFormatTitle	Repos long
Rules/&ConditionMaledictionDescription	La créature subit des dégâts supplémentaires lorsqu'elle est attaquée par la source du sort de maléfice.
Rules/&ConditionFiendDarkOnesOwnLuckDescription	Lancez un 1d10 supplémentaire sur tous vos jets de caractéristique et jets de sauvegarde.
Rules/&ConditionPatronHiveWeakeningPheromonesDescription	La créature a un désavantage sur son prochain jet de sauvegarde.
Rules/&ConditionPatronTimekeeperCurseOfTimeDescription	La créature subit des dégâts de force équivalents à la moitié du bonus de maîtrise de la source (arrondi à l'entier supérieur).
Rules/&ConditionCollegeLoreCuttingWordsTitle	Démoralisation ({0})
Rules/&ConditionCollegeLoreCuttingWordsDescription	La valeur du dé d'Inspiration bardique est soustraite aux jets de caractéristique, d'attaque et de dégâts de la créature.
Rules/&RateBardicInspirationFormatTitle	Repos long
Rules/&ConditionBardicInspirationTitle	Inspiration ({0})
Rules/&ConditionBardicInspirationDescription	La créature a reçu un dé d'inspiration {0} qui sera ajouté à un jet d'attaque, un jet de sauvegarde ou un jet de caractéristique et pourra potentiellement transformer un échec en succès.
Rules/&ConditionTraditionSurvivalDefensiveStanceTitle	Posture défensive
Rules/&ConditionTraditionSurvivalDefensiveStanceDescription	Vous obtenez un avantage sur vos jets d'attaque jusqu'au début de votre prochain tour.
Rules/&ConditionTraditionSurvivalUnbreakableBodyTitle	Corps indestructible (régénération)
Rules/&ProficiencyBonusFormat	+ Bonus de maîtrise
Rules/&ConditionTraditionSurvivalUnbreakableBodyDescription	Vous récupérez un nombre de points de vie égal à votre bonus de maîtrise au début de votre prochain tour.
Rules/&ConditionTraditionSurvivalUnbreakableBodyPatientDefenseImprovedTitle	Corps indestructible (résistance)
Rules/&ConditionTraditionSurvivalUnbreakableBodyPatientDefenseImprovedDescription	Vous obtenez une résistance à tous les types de dégâts jusqu'au début de votre prochain tour.
Rules/&ConditionIncapacitatedByHilarityTitle	Neutralisation par hilarité
Rules/&ConditionIncapacitatedByHilarityDescription	À terre et neutralisée, la cible subit des dégâts psychiques jusqu'à ce qu'elle réalise une sauvegarde à la fin de l'un de ses tours ou jusqu'à ce que le sort prenne fin.
Rules/&ConditionOpenHandTechniqueDazzledTitle	Déluge de coups - éblouissement
Rules/&ConditionOpenHandTechniqueDazzledDescription	Utilisation des réactions impossible jusqu'à la fin du tour de l'assaillant.
Rules/&ActivationTypeOnReduceCreatureToZeroHPTitle	Auto
Rules/&ActivationTypeRestSubpowerTitle	Repos
Rules/&CondiitonFeatDistractingGambitDescription	-1 CA
Rules/&ConditionFeatDauntingPushDescription	La vitesse de mouvement est diminuée de moitié.
Rules/&ConditionFeatBlessingOfTheElementsDescription	Résistance aux dégâts de foudre, de froid et de feu.
Rules/&ConditionTraditionFreedomSwiftStepsAttackAdvantageTitle	Pas agiles
Rules/&ConditionTraditionFreedomSwiftStepsAttackAdvantageDescription	Vous avez l'avantage pour votre prochaine attaque.
Rules/&ConditionLuminousKiTitle	Ki lumineux
Rules/&ConditionLuminousKiDescription	Cette créature est affectée par Ki lumineux.
Rules/&ConditionShineTitle	Briller
Rules/&ConditionShineDescription	Cette créature est affectée par brillance.
Rules/&ConditionMockedTitle	Raillé
Rules/&ConditionMockedDescription	La créature a un désavantage sur son prochain jet d'attaque.
Rules/&ConditionBolsteredMoraleTitle	Motivation renforcée
Rules/&ConditionBolsteredMoraleDescription	La prochaine fois que vous utiliserez un dé d'Inspiration bardique, faites 2 lancers et gardez le meilleur résultat.
Rules/&ConditionBolsteredByHeroicTaleTitle	Motivé par Conte héroïque
Rules/&ConditionBolsteredByHeroicTaleDescription	Immunité contre les effets effrayé/peur et avantage pour tous les jets de sauvegarde.
Rules/&ConditionHitByThunderingVoiceTitle	Atteint par Voix tonitruante
Rules/&ConditionHitByThunderingVoiceDescription	Cette créature aura un désavantage sur son prochain jet d'attaque.
Rules/&ConditionCountercharmedTitle	Contrecharmé
Rules/&ConditionCountercharmedDescription	Avantage lors des jets de sauvegarde contre effrayé ou charmé.
Rules/&ConditionCastingCountercharmTitle	Lancer Contre charme
Rules/&ConditionCastingCountercharmDescription	Vous et une créature alliée située dans un rayon de 6 cases bénéficiez d'un avantage lors des jets de sauvegarde contre effrayé ou charmé.
Rules/&RateKiPointsFormatTitle	Points de Ki
Rules/&ConditionChainsCarceriImmunityTitle	Insensible aux chaînes des Carcères
Rules/&ConditionChainsCarceriImmunityDescription	Cette créature ne peut être affectée à nouveau par les chaînes des Carcères pendant 24 heures.
Rules/&AbilityScoreBonusFormat	+ Bonus de Carac.
Rules/&ReviveFormFormat	Ramène à la vie un personnage mort
Rules/&ConditionOnFire_Elemental_Title	En feu (Elementaire de feu)
Rules/&ConditionOnFire_Spider_Title	En feu (Araigne de feu)
Rules/&ConditionOnFire_Osprey_Title	En feu (Balbuzard de feu)
Rules/&ConditionFrightenedByDragonImmunity_Title	Insensible à Présence effrayante
Rules/&EffectTargetClosestWithinDistanceTitle	Cible la plus proche ({0})
Rules/&MotionFormFallProneFormat	Faire tomber à terre
Rules/&RateTurnStartFormatTitle	Début du tour
Rules/&ConditionFlyingAdaptiveDescription	Vous bénéficiez d'une vitesse de vol égale à votre vitesse de marche.
Rules/&ActivationTypeOnAttackHitMeleeAuto	
Rules/&ConditionInsaneTitle	
Rules/&ConditionInsaneDescription	
Rules/&SituationalContextAttackingWithRangedWeaponOrEffectFormat	
