Modal/&AssertionFailedTtitle	Asserção Fracassada
Modal/&MapWaypointNavigateVoteTitle	Votação para Viagem a Ponto de Rota
Modal/&MapWaypointNavigateVoteHostDescription	Você sugeriu ir para:
Modal/&MapWaypointNavigateVoteClientDescription	{0} sugeriu ir para o ponto de rota {1}. É preciso que você concorde.
Modal/&MultiplayerVotePlayerAnswersTitle	Aguardando a resposta dos outros jogadores
Modal/&MultiplayerVoteCancelTitle	Cancelar Votação
Modal/&MultiplayerVoteCancelDescription	Cancela a votação em andamento.
Modal/&MultiplayerVoteAcceptTitle	Aceitar
Modal/&MultiplayerVoteRejectTitle	Rejeitar
Modal/&MultiplayerVoteClientStatusPendingTitle	Pendente...
Modal/&MultiplayerVoteClientStatusPendingDescription	Aguardando jogador aceitar a solicitação.
Modal/&MultiplayerVoteClientStatusAcceptedTitle	Aceita
Modal/&MultiplayerVoteClientStatusAcceptedDescription	Jogador aceitou a solicitação.
Modal/&MultiplayerWaitNotifyTitle	Notificar
Modal/&MultiplayerWaitNotifyDescription	Notifica este jogador de que você está aguardando.
Modal/&MultiplayerWaitKickTitle	Expulsar
Modal/&MultiplayerWaitKickDescription	Expulsa este jogador.
Modal/&MultiplayerWaitYouTitle	Já Me Preparei
Modal/&PostRestWaitTitle	Sincronização Pós-descanso
Modal/&PostRestWaitDescription	Aguardando jogadores terminarem sua sequência de descanso:
Modal/&MultiplayerWaitClientStatusPendingTitle	Pendente...
Modal/&MultiplayerWaitClientStatusPendingDescription	Aguardando jogador aceitar a solicitação.
Modal/&MultiplayerWaitClientStatusReadyTitle	Me Preparei
Modal/&MultiplayerWaitClientStatusReadyDescription	Jogador já se preparou e quer prosseguir.
Modal/&MultiplayerWaitQuitGameTitle	Sair do Jogo
Modal/&MultiplayerWaitQuitGameDescription	Caso haja algo impedindo a saída da partida multijogador, você pode usar isso aqui para sair do jogo.
Modal/&DefaultTextInputTitle	Insira algum texto
Modal/&DefaultPasswordInputTitle	Insira uma senha
Modal/&ClearTitle	Apagar
Modal/&PostRestReadyPlayersDescription	Jogadores prontos:
Modal/&KickTitle	Expulsar um jogador
Modal/&KickDescription	Expulsar um jogador da sessão:
Modal/&ModioLoginTitle	Entre para gerenciar seus mods
Modal/&ModioLoginEmail	Insira seu e-mail
Modal/&ModioLoginSecurityCode	Insira o código de segurança
Modal/&ModioLoginRequest	Pedir código de segurança
Modal/&ModioLoginAuthenticate	Autenticar
Modal/&ModioLoginPoweredModio	Por mod.io
Modal/&ModioLoginAbout	Sobre
Modal/&ModioLoginPrivacy	Privacidade
Modal/&CreateSpellSlotTitle	Criação de Espaço de Magia
Modal/&CreateSpellSlotDescription	Crie um espaço de magia a partir de pontos de feitiçaria.
Modal/&CreateSpellSlotCostTitle	Custo em Pontos de Feitiçaria
Modal/&CreateSorceryPointsTitle	Criação de Pontos de Feitiçaria
Modal/&CreateSorceryPointsDescription	Gaste um espaço de magia para convertê-lo em Pontos de Feitiçaria.
Modal/&CreateSorceryPointsGainTitle	Pontos de Feitiçaria Obtidos
Modal/&DefeatIronManAdditionalDescription	Sua aventura termina aqui. Reúna suas forças e busque a coragem para enfrentar o modo Provação uma vez mais!
Modal/&CharacterReviveModalDisintegratedFormat	Esta opção não pode ser usada em {0} por ter sofrido Desintegração.
Modal/&SpellSlotRecoveryTitle	Recuperação de Espaço de Magia
Modal/&SpellSlotRecoveryDescription	Selecione espaços de magia gastos para recuperar:
Modal/&SpellSlotCapitalFormat	Capital Total: {0}
Modal/&SpellSlotCapitalDescription	Seu capital de recuperação é metade do seu nível de conjuração, arredondada para cima. Cada espaço de magia recuperado custa o nível de magia correspondente em capital de recuperação. Um espaço de magia de nível 3, por exemplo, custa 3 pontos de recuperação.
Modal/&SpellSlotRecoverLevelButtonTitle	Recuperar ({0})
Modal/&SpellSlotRecoverLevelButtonDescription	Clique para recuperar um espaço de magia deste nível por {0} pontos do seu capital total.
Modal/&SpellSlotCancelButtonTitle	Cancelar
Modal/&SpellSlotCancelButtonDescription	Cancela a recuperação do espaço de magia, evitando o gasto de capital de recuperação.
Modal/&SpellSlotClearButtonTitle	Apagar
Modal/&SpellSlotClearButtonDescription	Desfaz a seleção de todos os espaços de magia para recuperação e reinicia o processo escolha.
Modal/&SpellSlotAutoButtonTitle	Automático
Modal/&SpellSlotAutoButtonDescription	Seleciona automaticamente os espaços de magia a recuperar. Antes de confirmar, você pode conferir as escolhas automáticas.
Modal/&SpellSlotRecoverButtonTitle	Recuperar
Modal/&SpellSlotRecoverButtonDescription	Confirme para recuperar os espaços de magia selecionados.
Modal/&MultiplayerRoomCreationErrorTitle	Erro na Criação da Sala
Modal/&MultiplayerRoomCreationErrorDuplicateDescription	Já existe uma sala com esse nome. Tente com outro nome.
Modal/&MultiplayerRoomCreationErrorUnknownDescriptionFormat	Falha ao criar a sala. Código {0}.
Modal/&MultiplayerConnexionErrorTitle	Erro de Conexão
Modal/&MultiplayerConnexionErrorDescription	Não foi possível conectar ao serviço multijogador Photon. Verifique a estabilidade da sua conexão e tente novamente.
Modal/&MultiplayerRoomJoinErrorTitle	Falha ao entrar na sala
Modal/&MultiplayerRoomJoinErrorFullDescription	A sala está cheia.
Modal/&MultiplayerRoomJoinErrorClosedDescription	A sala está fechada.
Modal/&MultiplayerRoomJoinErrorInexistantDescription	A sala não existe.
Modal/&MultiplayerRoomJoinErrorUnknownDescriptionFormat	Não foi possível entrar na sala. Código {0}.
Modal/&MultiplayerRoomJoinErrorNotFoundDescription	A sala não foi encontrada. Verifique o nome e tente novamente.
Modal/&MultiplayerRoomJoinErrorWrongPasswordDescription	A senha está incorreta.
Modal/&MultiplayerDisconnectedTitle	Impossível Conectar-se a Photon
Modal/&MultiplayerDisconnectedDescription	No momento, Photon Cloud não está disponível. Confira sua conexão de rede e tente novamente mais tarde.
Modal/&MultiplayerDisconnectedReturnToMenuDescription	No momento, Photon Cloud não está disponível. Continue jogando offline ou volte ao menu principal e tente novamente mais tarde.
Modal/&SessionPasswordInputTitle	Senha da Sessão de Jogo
Modal/&SessionPasswordInputDescription	Insira uma senha válida para acessar a sessão de jogo de "{0}".
Modal/&MultiplayerRoomJoinErrorGameAlreadyStartedDescription	Não é possível entrar na sessão, pois ela já começou.
Modal/&NewSavedGameTitle	Novo Jogo Salvo
Modal/&ShortcutConfigATitle	Trocar para Config A
Modal/&ShortcutConfigBTitle	Trocar para Config B
Modal/&ShortcutConfigCTitle	Trocar para Config C
Modal/&ShortcutCastLightingSpellTitle	Conjurar Magia de Luz
Modal/&ShortcutStopConcentratingTitle	Cancelar Concentração
Modal/&LoadingProceedButtonConsoleTitle	Aperte qualquer botão para continuar
Modal/&GamepadControlsTitle	Mapeamento do Controle
Modal/&GamepadControlsShortTitle	Controle
Modal/&GamepadControlsDescription	Exibe uma tela com os atalhos do controle associados às ações do jogo.
Modal/&GamepadControlsToggleExplorationTitle	Exploração
Modal/&GamepadControlsToggleBattleTitle	Batalha
Modal/&GamepadControlsToggleMenusTitle	Menus
Modal/&AccessStoreTitle	
Modal/&AccessStoreMicrosoftTitle	
