Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&TopologyFormProjectileBlockerFormat	Bloqueia projéteis comuns, tais como flechas, virotes etc.
Rules/&TopologyFormSightBlockerFormat	Bloqueia o campo de visão
Rules/&TurnOccurenceEndOfTurnFormat	Fim do Turno
Rules/&TurnOccurenceEndOfTurnNoPerceptionOfSourceFormat	Fim do Turno
Rules/&TurnOccurenceStartOfTurnFormat	Início do Turno
Rules/&VerboseComponentTitle	V
Rules/&VersatileDamageFormFormat	\nVersátil: {0}{1}{2}{3}
Rules/&VersatileTwoHandedTitle	Duas Mãos: 
Rules/&WeightFormat	{0} {1}
Rules/&WeightRatioFormat	{0}/{1} {2}
Rules/&TopologyFormDifficultThroughFormat	Esta área desacelera quem caminha sobre ela.
Rules/&TopologyFormSightImpairedFormat	As criaturas nesta área não enxergam nada.
Rules/&TopologyFormDangerousZoneFormat	Esta área fere quem caminha sobre ela.
Rules/&EffectTargetCubeWithOffsetTitle	Cubo de 3 espaços a partir de você
Rules/&ConditionBlessingSorrtarrTitle	Bênção de Sorr-Tarr
Rules/&ConditionBlessingSorrtarrDescription	Aparenta reduzir a vulnerabilidade dos Soraks à luz.
Rules/&ConditionAnnoyedByBeeTitle	Distração por uma Abelha Inconveniente
Rules/&ConditionAnnoyedByBeeDescription	Desvantagem de concentração até o próximo turno.
Rules/&ConditionDetectPoisonAndDiseaseTitle	Detectar Veneno e Doença
Rules/&ConditionDetectPoisonAndDiseaseDescription	Enquanto a magia durar, você percebe a presença de criaturas venenosas e doenças a 6 espaços de você.
Rules/&ConditionCharmedByAnimalFrienshipTitle	Enfeitiçamento por Amizade Animal
Rules/&ConditionCharmedByAnimalFrienshipDescription	O animal continuará enfeitiçado enquanto a magia durar ou se você ou alguém do seu grupo causar dano a ele.
Rules/&ConditionSanctuaryTitle	Santuário
Rules/&ConditionSanctuaryDescription	Você protege uma criatura dentro do alcance. Enquanto o efeito durar, qualquer criatura que realizar um ataque ou conjurar uma magia sobre a criatura protegida deverá passar por um teste de resistência de Sabedoria ou escolher outro alvo.
Rules/&ConditionWardedBySanctuaryTitle	Proteção de Santuário
Rules/&ConditionWardedBySanctuaryDescription	Você recebe proteção enquanto o efeito durar ou até conjurar uma magia ou realizar um ataque.
Rules/&ConditionProtectedFromEnergyAcidTitle	Proteção contra Ácido
Rules/&ConditionProtectedFromEnergyAcidDescription	Resistência a dano de ácido.
Rules/&ConditionProtectedFromEnergyColdTitle	Proteção contra Frio
Rules/&ConditionProtectedFromEnergyColdDescription	Resistência a dano de frio.
Rules/&ConditionProtectedFromEnergyFireTitle	Proteção contra Fogo
Rules/&ConditionProtectedFromEnergyFireDescription	Resistência a dano de fogo.
Rules/&ConditionProtectedFromEnergyLightningTitle	Proteção contra Elétrico
Rules/&ConditionProtectedFromEnergyLightningDescription	Resistência a dano elétrico.
Rules/&ConditionProtectedFromEnergyThunderTitle	Proteção contra Trovão
Rules/&ConditionProtectedFromEnergyThunderDescription	Resistência a dano de trovão.
Rules/&AlterationFormDissipateSpellFormat	Dissipa magias em objetos
Rules/&ConditionMindControlledByConjureAnimalTitle	Animal Invocado
Rules/&ConditionMindControlledByConjureAnimalDescription	Este animal foi invocado por outra criatura.
Rules/&ConditionSilencedTitle	Silêncio
Rules/&ConditionWardedByWardingBondTitle	Proteção de Vínculo
Rules/&ConditionWardedByWardingBondDescription	Temp
Rules/&ConditionWaterWalkTitle	Caminhando na Água
Rules/&ConditionWaterWalkDescription	Temp
Rules/&ConditionWaterBreathingTitle	Respiração Submersa
Rules/&ConditionWaterBreathingDescription	Temp
Rules/&ConditionRestrictedInsideMagicCircleDescription	Temp
Rules/&ConditionProtectedInsideMagicCircleDescription	Temp
Rules/&ConditionComprehendLanguagesTitle	Compreendendo Idiomas
Rules/&ConditionComprehendLanguagesDescription	Consegue ler e falar em qualquer idioma.
Rules/&ConditionStaffOfMetisTitle	Resistência Elemental
Rules/&ConditionStaffOfMetisDescription	Resistência a dano de frio, fogo e elétrico.
Rules/&ConditionFlying6Description	A criatura escolhida ganha velocidade de voo de 6 espaços por ação de movimento.
Rules/&AlterationFormAbilityScoreIncreaseValueFormat	Aumenta em {1} a pontuação de {0}.
Rules/&AlterationFormAbilityScoreIncreaseMaximumFormat	Aumenta em {1} o limite de {0}.
Rules/&ConditionHeavyArmorOverloadDescription	FOR insuficiente para esta armadura pesada. -2 de velocidade.
Rules/&ConditionHeavyArmorOverloadTitle	Sobrecarga por Armadura Pesada
Rules/&MoveModeWalkTitle	Andar
Rules/&MoveModeClimbTitle	Escalada
Rules/&MoveModeFlyTitle	Voar
Rules/&MoveModeIncorporealTitle	Incorpóreo
Rules/&MoveModeSwimTitle	Nadar
Rules/&MoveModeBurrowTitle	Cavar
Rules/&ConditionCloakOfDisplacementDescription	Ataques a esta criatura têm desvantagem enquanto ela estiver consciente e capaz de se movimentar. Deixa de funcionar até o turno seguinte se sofrer dano.
Rules/&ConditionCloakOfDisplacementTitle	Deslocado
Rules/&ConditionHeavilyObscuredDescription	A visão da criatura fica altamente obscurecida. Causa desvantagem em rolagens de ataque e em rolagens de dano contra a criatura.
Rules/&ConditionConjuredCreatureDescription	Esta criatura foi invocada por um efeito mágico.
Rules/&ConditionConjuredCreatureTitle	Criatura Invocada
Rules/&ConditionBleedingDescription	As criaturas sofrem 1d6 de dano necrótico no começo do seu turno.
Rules/&ConditionBleedingTitle	Corte Fatídico
Rules/&ConditionSilencedDescription	A criatura não emite sons e não é capaz de falar ou conjurar magias com componentes verbais.
Rules/&ConditionProtectedFromEvilDescription	Aberrações, celestiais, elementais, fadas, ínferos e mortos-vivos têm desvantagem ao atacar o alvo e não são capazes de encantar, amedrontar ou possuí-lo. Se o alvo já estiver encantado, amedrontado ou possuído por alguma dessas criaturas, terá vantagem em novos testes de resistência contra o efeito em questão mesmo assim.
Rules/&ConditionMarkedByFateDescription	Golpes sofridos causam dano adicional.
Rules/&ConditionMarkedByFateTitle	Marca do Destino
Rules/&ConditionStepbackDescription	Dá vantagem no próximo ataque com um arco nesta rodada.
Rules/&ConditionStepbackTitle	Vantagem de Passo Atrás
Rules/&ConditionInvisibleGreaterDescription	Não é visível sem uso de magia. A criatura ganha vantagem ao atacar, e seus atacantes sofrem desvantagem. A criatura continua invisível mesmo quando atacar ou conjurar magias.
Rules/&ConditionInvisibleGreaterTitle	Invisibilidade (Maior)
Rules/&ConditionStoneskinDescription	Confere resistência a dano que não seja mágico, perfurante, cortante ou de concussão.
Rules/&ConditionStoneskinTitle	Pele de Pedra
Rules/&ConditionFrightenedPhantasmalKillerDescription	A criatura fica amedrontada e sofre dano psíquico uma vez por turno até conseguir passar em um teste de resistência.
Rules/&ConditionFrightenedPhantasmalKillerTitle	Amedrontado por Fantasma
Rules/&ConditionFireShieldWarmDescription	Resiste ao frio e retalia com dano de fogo a ataques corpo a corpo.
Rules/&ConditionFireShieldColdDescription	Resiste ao fogo e retalia com dano de frio a ataques corpo a corpo.
Rules/&ConditionDeathWardedTitle	Proteção Contra Morte
Rules/&ConditionDeathWardedDescription	Em vez de ser reduzida a 0 PV, a criatura fica com 1 PV, evitando uma morte certa por sofrer muito dano ou algum efeito.
Rules/&ConditionConfusedTitle	Confusão
Rules/&ConditionConfusedDescription	No começo deste turno, a criatura pode se afastar, não agir, atacar um alvo corpo a corpo ou agir normalmente.
Rules/&ConditionBanishedTitle	Banimento
Rules/&ConditionBanishedDescription	A criatura é removida do jogo pela duração da magia, a menos que a magia seja interrompida antes. Se a magia não for interrompida até o fim, a criatura é devolvida à sua origem permanentemente caso seja extraplanar (como celestiais, ínferos e elementais).
Rules/&SpecialBehaviourConditionDuringTurnFormat	{3} está sob o efeito neste turno.
Rules/&SpecialBehaviourNoneFormat	{3} age normalmente.
Rules/&ConditionConfusedAttackTitle	Ataque Aleatório
Rules/&ConditionConfusedAttackDescription	A criatura precisa usar sua ação para atacar um alvo aleatório ao seu alcance se puder.
Rules/&ConditionConfusedMoveTitle	Movimentação Aleatória
Rules/&ConditionConfusedMoveDescription	A criatura deve se movimentar em uma direção aleatória.
Rules/&ConditionConfusedIncapacitatedTitle	Incapacitação
Rules/&ConditionConfusedIncapacitatedDescription	A criatura está confusa e não pode fazer nada.
Rules/&ConditionFeatRaiseShieldDescription	Você ganha +3 de CA até o fim do turno do atacante.
Rules/&ConditionFeatRaiseShieldTitle	Escudo Erguido
Rules/&ConditionFeatTwinBladeDescription	Você ganha +3 de CA até o fim do turno do atacante.
Rules/&ConditionFeatTwinBladeTitle	Bloqueio de Duas Lâminas
Rules/&DurationTurnSingleFormat	{0} turno
Rules/&DurationTurnPluralFormat	{0} turnos
Rules/&ConditionFeatTakeAimDescription	Seus ataques com armas de combate à distância não sofrem desvantagens nem ganham vantagens, independentemente das condições.
Rules/&ConditionFeatTakeAimTitle	Mirando
Rules/&ConditionFeatRushToBattleDescription	Sua velocidade de movimento aumenta 3 espaços e sua CA cai 2 pontos até o começo do seu turno. 
Rules/&ConditionFeatRushToBattleTitle	Correndo para a Batalha
Rules/&ConditionDispellingEvilAndGoodTitle	Dissipando Bem e Mal
Rules/&ConditionDispellingEvilAndGoodDescription	Celestiais, elementais, fadas, ínferos e mortos-vivos sofrem desvantagem em ataques contra você. Você também pode cancelar um encantamento hostil ou expulsar uma criatura extraplanar atingida com um dos seus ataques.
Rules/&ConditionMindControlledDescription	A criatura se junta ao conjurador que a controla.
Rules/&ConditionMindDominatedDescription	As ações da criatura são controladas pelo conjurador.
Rules/&ConditionMindDominatedTitle	Mente Dominada
Rules/&ConditionOnAcidTitle	Queimadura por Ácido
Rules/&ConditionPheromonedTitle	Fedor de Feromônio
Rules/&ConditionPheromonedDescription	-3 em testes de habilidade de Carisma.
Rules/&ConditionOnAcidDescription	Sofre 1d3 de dano de ácido ao final do seu turno por 3 turnos.
Rules/&ActivationTypePermanentTitle	Permanente
Rules/&MonsterSpellcastingTitle	Magias
Rules/&MonsterSpellcastingDescription	A criatura tem a capacidade de conjurar magias.
Rules/&ConditionCalmedByCalmEmotionsEnemyTitle	Inimigo Acalmado
Rules/&ConditionCalmedByCalmEmotionsEnemyDescription	A criatura é indiferente aos inimigos, a menos que seja ferida.
Rules/&ConditionCalmedByCalmEmotionsAllyTitle	Aliado Acalmado
Rules/&ConditionCalmedByCalmEmotionsAllyDescription	A criatura não pode ser enfeitiçada ou amedrontada.
Rules/&ConditionArcaneShockedTitle	Choque Arcano
Rules/&ConditionArcaneShockedDescription	Seus dados de magias de ataque causam dano médio, pelo menos.
Rules/&ConditionHidingInPlainSightTitle	Escondendo-se em Plena Vista
Rules/&ConditionHidingInPlainSightDescription	+10 DES (Furtividade) enquanto estiver contra uma parede.
Rules/&KillFormAlwaysFormat	A criatura-alvo é eliminada.
Rules/&KillFormUnderChallengeRatingFormat	A criatura-alvo é eliminada se seu nível de desafio for até {0}.
Rules/&KillFormUnderHitPointsFormat	A criatura-alvo é eliminada se seus PV restantes forem {0} ou menos.
Rules/&ConditionSwallowedTitle	Engolido
Rules/&ConditionSwallowedRemorhazDescription	Não pode agir e sofre 6d6 de dano de ácido a cada turno. Um único ataque de 30 de dano pode forçar a criatura que engoliu a vomitar.
Rules/&AlterationFormLightUpFormat	Acende fontes de iluminação.
Rules/&ReviveFormFormat	Revivifica um personagem morto
Rules/&ConditionHeroismDescription	Não se amedronta e recupera pontos de vida temporários a cada turno.
Rules/&RateD6_56FormatTitle	em 5 ou 6 em 1d6
Rules/&ConditionOnFire_Elemental_Title	Em Chamas por Elemental de Fogo
Rules/&ConditionOnFire_Spider_Title	Em Chamas por Águia de Fogo
Rules/&ConditionOnFire_Osprey_Title	Em Chamas por Aranha Ígnea
Rules/&OrientationNorthTitle	Norte
Rules/&OrientationEastTitle	Leste
Rules/&OrientationSouthTitle	Sul
Rules/&OrientationWestTitle	Oeste
Rules/&ConditionSwallowedShamblingMoundDescription	Não pode agir e sofre 2d6+8 de dano de concussão a cada turno. Um único ataque de 15 de dano pode forçar a criatura que engoliu a vomitar.
Rules/&ApplySelfFormat	{0} (para si)
Rules/&OnSpecificCreatureTriggerFormat	Em {0}:
Rules/&ConditionLifeDrainedClayGolemDescription	Pontos de vida são reduzidos até serem curados pela magia de Restauração Maior de um clérigo.
Rules/&ConditionSlowedStoneGolemTitle	Lentidão
Rules/&ConditionSlowedStoneGolemDescription	Golems de pedra podem deixar inimigos próximos mais lentos.
Rules/&ConditionParalyzedGhoulTitle	
Rules/&SpellSlotFormCreateSpellSlotFormat	Crie um espaço de magia
Rules/&SpellSlotFormCreateSorceryPointFormat	Cria pontos de feitiçaria
Rules/&MetamagicOptionCarefulSpellTitle	Magia Cuidadosa
Rules/&MetamagicOptionCarefulSpellDescription	Criaturas aliadas afetadas pela magia passam automaticamente no teste de resistência.
Rules/&MetamagicOptionDistantSpellTitle	Magia Distante
Rules/&MetamagicOptionDistantSpellDescription	Duplica o alcance de uma magia, ou aumenta em 6 espaços o alcance de uma magia de toque
Rules/&MetamagicOptionEmpoweredSpellTitle	Magia Empoderada
Rules/&MetamagicOptionEmpoweredSpellDescription	Todos os 1s e 2s em rolagens de dano são rolados novamente. Mantém-se o novo resultado.
Rules/&MetamagicOptionExtendedSpellTitle	Magia Prolongada
Rules/&MetamagicOptionExtendedSpellDescription	Duplica a duração das magias de 1 minuto ou mais, até um máximo de 24 horas
Rules/&MetamagicOptionHeightenedSpellTitle	Magia Elevada
Rules/&MetamagicOptionHeightenedSpellDescription	Obriga uma criatura a fazer um teste de resistência com desvantagem
Rules/&MetamagicOptionQuickenedSpellTitle	Magia Acelerada
Rules/&MetamagicOptionQuickenedSpellDescription	Conjura uma magia de ação principal com uma ação bônus, mas perde a possibilidade de conjurar outra magia no mesmo turno, exceto truques.
Rules/&MetamagicOptionTwinnedSpellTitle	Magia Geminada
Rules/&MetamagicOptionTwinnedSpellDescription	Adiciona mais um alvo se a magia original tiver apenas uma criatura como tal.
Rules/&RateSorceryPointsFormatTitle	pontos de feitiçaria
Rules/&SpellSlotFormRecoverSorceryHalfLevelUpFormat	Recupere até metade do seu nível de classe (Feiticeiro) em pontos de feitiçaria.
Rules/&ConditionSorcererChildRiftDeflectionTitle	Reflexo da Fenda
Rules/&ConditionSorcererChildRiftDeflectionDescription	Os inimigos têm desvantagem em rolagens de ataque contra você. E você ganha vantagem em testes de resistência até o começo do próximo turno.
Rules/&RateHitPointsFormatTitle	Sacrificar Máx. de PV
Rules/&ConditionDisintegratedTitle	Desintegração
Rules/&ConditionDisintegratedDescription	Trazer a criatura de volta requer Ressuscitação ou um efeito similar.
Rules/&ConditionDiseasedHarmTitle	Machucado
Rules/&ConditionDiseasedHarmDescription	O limite máximo de PV é reduzido por uma hora ou até um efeito capaz de curar doenças afetar o alvo.
Rules/&AlterationFormFeastFormatSingle	O grupo se esbalda por {0} hora.
Rules/&AlterationFormFeastFormatPlural	O grupo se esbalda por {0} horas.
Rules/&ConditionHeroesFeastTitle	Fome Saciada
Rules/&ConditionHeroesFeastDescription	Fica imune a Veneno e Medo. Ganha vantagem de SAB em testes de resistência. E seu limite máximo de PV aumenta em 10.
Rules/&EffectTargetArcFromIndividualTitle	1{0}+ {1}{2}({3}{4})
Rules/&ConditionEyebiteSickenedTitle	Indisposição
Rules/&ConditionEyebiteSickenedDescription	Desvantagem em rolagens de ataque e testes de habilidade.
Rules/&ConditionFrightenedEyebitePanickedTitle	Pânico
Rules/&ConditionFrightenedEyebitePanickedDescription	Precisa fugir da origem do efeito.
Rules/&ConditionRagingTitle	Em Fúria
Rules/&RateRagePointsFormatTitle	pontos de fúria
Rules/&DurationHourHalfClassLevelFormat	½ do nível de classe (horas)
Rules/&ConditionSpiritBearTitle	Uniu-se ao Urso Espiritual
Rules/&ConditionSpiritBearDescription	+1 PV por nível
Rules/&ConditionSpiritWolfTitle	Uniu-se ao Lobo Espiritual
Rules/&ConditionSpiritWolfDescription	+1 de CA
Rules/&ConditionSpiritApeTitle	Uniu-se ao Símio Espiritual
Rules/&ConditionSpiritApeDescription	Proficiência em testes de resistência de DES
Rules/&ConditionSpiritViperTitle	Uniu-se à Víbora Espiritual
Rules/&ConditionSpiritViperDescription	+1 espaço (movimentação)
Rules/&ConditionSpiritSpiderTitle	Uniu-se à Aranha Espiritual
Rules/&ConditionSpiritSpiderDescription	Escalada de Aranha
Rules/&ConditionSpiritEagleTitle	Uniu-se à Águia Espiritual
Rules/&ConditionSpiritEagleDescription	+3 de Iniciativa
Rules/&EffectTargetFreeSlotTitle	Espaço Livre
Rules/&ConditionHeatMetalDescription	Desvantagem em rolagens de ataque e testes de habilidade. Pode sofrer mais dano de fogo.
Rules/&ConditionShapeChangedTitle	Forma Alterada
Rules/&ConditionMindControlledByCasterDescription	Esta criatura é controlada pelo conjurador da magia que a invocou.
Rules/&ConditionRagingDescription	Ao lutar com ferocidade primitiva, você ganha dano e resistência.
Rules/&ProficiencyBonusDoubleFormat	+ bônus de Proficiência x2
Rules/&ConditionGuidingWindsDescription	O próximo ataque contra o alvo tem vantagem.
Rules/&ConditionRecklessTitle	Imprudente
Rules/&ConditionRecklessDescription	A criatura realiza ataques corpo a corpo com vantagem durante o turno dela.
Rules/&ConditionRecklessVulnerabilityTitle	Vulnerabilidade Imprudente
Rules/&ConditionRecklessVulnerabilityDescription	Ataques contra a criatura têm vantagem até o começo do próximo turno dela.
Rules/&ConditionDreadfulGlareImmunityTitle	Imune ao Olhar Pavoroso de Múmias
Rules/&ConditionDreadfulGlareImmunityDescription	Por 24 horas, você fica imune ao olhar pavoroso das múmias e dos senhores das múmias.
Rules/&ConditionNegativeEnergyTitle	Toque de Energia Negativa
Rules/&ConditionNegativeEnergyDescription	Não pode recuperar pontos de vida.
Rules/&ConditionRousingShoutTitle	Reforço do Grito Inflamado
Rules/&ConditionRousingShoutDescription	Vantagem no próximo ataque.
Rules/&ConditionMenacedTargetTitle	Sob Ameaça
Rules/&ConditionMenacedTargetDescription	O alvo sofre desvantagem em ataques contra a fonte da ameaça.
Rules/&ConditionBorrowedLuckTitle	Sorte Emprestada
Rules/&ConditionBorrowedLuckDescription	Você tem desvantagem no próximo teste de resistência.
Rules/&ConditionFormAddRandomFormat	Inflige uma das seguintes condições: {0}
Rules/&ConditionFormNothingTitle	Nada
Rules/&ConditionRangerSwiftBladeBattleFocusTitle	Foco na Batalha
Rules/&ConditionRangerSwiftBladeBattleFocusDescription	Até o início do próximo turno, todos os seus ataques com arma corpo a corpo causam +1d8 de dano de arma com base no tipo de dano da arma.
Rules/&ConditionOathOfJugementWeightOfJusticeTitle	Peso da Justiça
Rules/&ConditionOathOfJugementWeightOfJusticeDescription	Da próxima vez que você acertar um ataque com arma corpo a corpo em uma criatura, ela terá de passar em um teste de resistência de carisma, ou ficará contida por até 1 minuto.
Rules/&ConditionOathOfJugementAuraOfRighteousnessTitle	Aura da Idoneidade
Rules/&ConditionOathOfJugementAuraOfRighteousnessDescription	Adicione dano aos ataques, equivalente ao bônus de proficiência do paladino que conjura a aura.
Rules/&SpellSlotFormRechargePowerFormat	Recarrega o poder de {0}.
Rules/&ConditionCircleBalanceGiftOfLifeTitle	Dádiva da Vida
Rules/&ConditionCircleBalanceGiftOfLifeDescription	No início do próximo turno do conjurador, recupere pontos de vida.
Rules/&ConditionCircleBalanceEmbracedByColdTitle	Abraço do Frio
Rules/&ConditionCircleBalanceEmbracedByColdDescription	A criatura não pode recuperar pontos de vida.
Rules/&HeightFormatInches	
