Setting/&ApplyDescription	Aplique as alterações escolhidas.
Setting/&RandomnessModeNiceDiceDescription	Rolagens ruins aumentarão as chances de rolagens boas.
Setting/&ForceCritEveryFewRollsTitle	Crítico Garantido
Setting/&ForceCritEveryFewRollsDescription	Garante que o jogador role um acerto crítico pelo menos uma vez a cada 15 rolagens.
Setting/&StorySettingsHeaderTitle	Narrativa
Setting/&ForceSuccessOnDialogRollsTitle	Forçar Sucessos em Diálogos
Setting/&ForceSuccessOnDialogRollsDescription	Todo teste de habilidade rolado durante diálogos terá sucesso.
Setting/&AlwaysDisplayDialogChancesTitle	Mostrar Chances dos Diálogos
Setting/&AlwaysDisplayDialogChancesDescription	A chance de passar no teste de perícia sempre será exibida, em vez de somente após passar em um teste de Intuição.
Setting/&UnlockAllBestiaryContentTitle	Desbloquear Bestiário Completo
Setting/&UnlockAllBestiaryContentDescription	Todo conteúdo do bestiário é desbloqueado desde o começo. Não é preciso rolar testes de sobrevivência para descobrir as informações sobre os monstros.
Setting/&DisableRandomEncountersTitle	Desativar Encontros Aleatórios
Setting/&DisableRandomEncountersDescription	Remove todos os encontros aleatórios ao viajar pelo mapa do mundo, exceto pelos encontros da narrativa.
Setting/&ExplorationSettingsHeaderTitle	Exploração
Setting/&AuthorizeRetryOnGadgetsTitle	Repetir Rolagens de Exploração
Setting/&AuthorizeRetryOnGadgetsDescription	Permite que você tente arrombar uma fechadura ou desarmar uma armadilha de novo se falhar da primeira vez.
Setting/&AutoDetectTrapsTitle	Autodetecção de Armadilhas
Setting/&AutoDetectTrapsDescription	As armadilhas próximas são detectadas automaticamente mesmo que em geral precisem de um teste.
Setting/&ForceCraftingRollSuccessTitle	Forçar Sucessos na Criação de Itens
Setting/&ForceCraftingRollSuccessDescription	Cada teste de criação de item obtém sucesso automaticamente.
Setting/&NoToolRequirementTitle	Ferramentas Desnecessárias
Setting/&NoToolRequirementDescription	Os personagens podem produzir e destrancar baús ou portas sem precisar usar ferramentas.
Setting/&SomaticComponentFullDescription	Requer uma mão livre.
Setting/&QualityHeaderTitle	Qualidade
Setting/&ColorCalibrationHeaderTitle	Calibrar Cor
Setting/&FasterTravelOnWorldMapTitle	Viagem Mais Rápida pelo Mapa do Mundo
Setting/&FasterTravelOnWorldMapDescription	Aumenta a velocidade de viagem pelo Mapa do Mundo.
Setting/&ScrollSensitivityDescription	Determina a velocidade para navegar pelas áreas com o botão do meio do mouse.
Setting/&ScrollSensitivityTitle	Sensibilidade de Rolagem
Setting/&ShadowsTitle	Sombras
Setting/&ShadowsDescription	Ativa ou desativa sombras.
Setting/&SubtitlesHeaderTitle	Legendas
Setting/&SubtitlesEnabledDescription	Ativa ou desativa as legendas durante as sequências cinemáticas.
Setting/&SubtitlesEnabledTitle	Ativadas
Setting/&SubtitlesDisplaySpeakerNameDescription	Exibe o nome do personagem que estiver falando durante as sequências cinemáticas.
Setting/&SubtitlesDisplaySpeakerNameTitle	Exibir Quem Fala
Setting/&SubtitlesBlackBackgroundDescription	Adiciona um fundo preto às legendas.
Setting/&SubtitlesBlackBackgroundTitle	Fundo Preto
Setting/&AllowAttuningUnknownItemsTitle	Permitir Vinculação com Itens Desconhecidos
Setting/&AllowAttuningUnknownItemsDescription	Personagens serão capazes de se vincular a artefatos mágicos mesmo que suas propriedades sejam desconhecidas.
Setting/&MoveCameraWithScreenBordersTitle	Mover a Câmera com as Bordas da Tela
Setting/&SpellbookPagesConstraintTitle	Limite de Páginas de Grimório
Setting/&SpellbookPagesConstraintDescription	Quando esta opção estiver ativada, os grimórios só poderão conter a quantidade de magias que couber no seu total de páginas (geralmente 100). Cada magia transcrita, independentemente de se foi obtida ao subir de nível ou de um pergaminho, ocupa uma página por nível. Magos podem precisar comprar outro grimório antes do fim da campanha de Solasta se quiserem continuar subindo de nível.
Setting/&FadingFogOfWarTitle	Névoa Animada de Guerra
Setting/&TextLanguageruTitle	Русский
Setting/&TextLanguageruDescription	Русский
Setting/&TextLanguagept-BRTitle	Português (Brasil)
Setting/&TextLanguagept-BRDescription	Português (Brasil)
Setting/&VocalSpellIncantationTitle	Ative a vocalização de componentes mágicos verbais.
Setting/&QualityLevelVery	
