Race/&DarkelfSurName1Title	Za'Moryra
Feature/&RageStrengthSavingThrowAffinityDescription	You get advantage on Strength saves while raging.
Feature/&RageStrengthSavingThrowAffinityTitle	Rage Strength save advantage
Feature/&RallyingCryPowerTitleShort	Rallying Cry
Feature/&SignofIllOmenTitle	Sign of Ill Omen
Feature/&SpellAsInvocationAtWillDescription	Cast {0} at will.
Feature/&SpellAsInvocationOncePerDayDescription	Cast {0} once until long rest.
Feature/&ThiefofFiveFates	Cast {0} once per day
Feature/&ToadKingBasicToxinTitle	Basic Toxin
Feature/&ToadKingExpandedSpelllistAfinityDescription	You choose from an expanded list of spells when you learn a Warlock spell. The following spells are added to the Warlock spell list for you: {0}\n\n
Feature/&ToadKingExpandedSpelllistAfinityTitle	Toad King Spells
Feature/&ToadKingHallucinogenicToxinAffintyDescription	Your body has changed to become resistant to toxins and to produce a defensive toxin when hit by melee attacks, up to a number of times per long rest equal to your proficiency bonus. If the attacker fails a Constitution saving throw, they suffer from a hallucinogenic toxin until they are attacked or otherwise interrupted.
Feature/&ToadKingHallucinogenicToxinAffintyTitle	Hallucinogenic Toxin
Feature/&ToadKingJumpTitle	Jump
Feature/&ToadKingPoisonConditionAffinityTitle	Immune to Poison Condition
Feature/&ToadKingPoisonDamageAffinityTitle	Immune to Poison Damage
Feature/&ToadKingStickyFeetTitle	Webbed Feet
Feature/&UrPriestDomainTheftDescription	You snatch the secrets that a god grants all of its devout clerics. Choose a Cleric domain: you gain the features that domain grants at 1st level.
Feature/&UrPriestDomainTheftTitle	Domain Theft
Feature/&UrPriestExpandedSpelllistAfinityDescription	You choose from an expanded list of spells when you learn a Warlock spell. Cleric spells are added to the Warlock spell list for you.
Feature/&UrPriestExpandedSpelllistAfinityTitle	UrPriest Spells
Feedback/&AdditionalDamageAgonizing_BlastFormat	Agonizing Blast
Feedback/&AdditionalDamageAgonizing_BlastLine	When you cast eldritch blast, you add your Charisma modifier to the damage it deals on a hit.
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageFormat	Additional Damage from Magically Powered Attacks
Feedback/&AdditionalDamageArcaneFighterBonusWeaponDamageLine	Additional Damage from Magically Powered Attacks
Feedback/&AdditionalDamageArcaneFirearmFormat	Blasting Enhancement!
Feedback/&AdditionalDamageArcaneFirearmLine	Dealing additional damage from Blasting Enhancement
Feedback/&AdditionalDamageArcanistMarkFormat	Arcanist's Mark!
Feedback/&AdditionalDamageArcanistMarkLine	Arcanist's Mark detonates and deals extra damage to the target!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeFormat	Illuminating Strike!
Feedback/&AdditionalDamageBarbarianPathOfTheLightIlluminatingStrikeLine	Illuminating Strike deals extra damage to the target!
Feedback/&AdditionalDamageBlindingWeaponStrikeFormat	Blinding Weapon
Feedback/&AdditionalDamageBlindingWeaponStrikeLine	Additional damage and trying to apply Blindness from Blinding Weapon
Feedback/&AdditionalDamageEldritchSmiteFormat	Eldritch Smite!
Feedback/&AdditionalDamageEldritchSmiteLine	{0} smites {1} (+{2})
Feedback/&AdditionalDamageElementalDamageFormat	Elemental Damage
Feedback/&AdditionalDamageElementalDamageLine	Elemental form grants additional damage
Feedback/&AdditionalDamageLightningSpearFormat	Lightning Spear!
Feedback/&AdditionalDamageLightningSpearLine	{0} strikes {1} with Lightning Spear! (+{2})
Feedback/&AdditionalDamagePactMarkedFormat	Pact mark!
Feedback/&AdditionalDamagePactMarkedLine	Pact mark does additional damage!
Feedback/&AdditionalDamagePactSoulTakerFormat	Soul taker!
Feedback/&AdditionalDamagePactSoulTakerLine	Soul taker does additional damage!
Feedback/&AdditionalDamageResonatingStrikeFormat	Resonating Strike!
Feedback/&AdditionalDamageResonatingStrikeLine	{0} resonates {1}! (+{2})
Feedback/&AdditionalDamageSoulEmpoweredFormat	Soul Empowered!
Feedback/&AdditionalDamageSoulEmpoweredLine	Soul Empowered does additional damage!
Feedback/&AdditionalDamageSunlightBladeFormat	Sunlit Blade!
Feedback/&AdditionalDamageSunlightBladeLine	{0} burns {1} with Sunlit Blade! (+{2})
Feedback/&AdditionalDamageUpgradedConstructFormat	Upgraded Damage
Feedback/&AdditionalDamageUpgradedConstructLine	The upgraded construct deals 1d8 more damage per hit.
Feedback/&AncientForestHerbalBrewDamageAffinityAcidResistancePowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewDamageAffinityLightningResistancePowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewDamageAffinityNecroticResistancePowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewDamageAffinityPoisonResistancePowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewDamageAffinityRadiantResistancePowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewHealingPowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&AncientForestHerbalBrewToxifyingPowerUsedWhileTravellingFormat	{0} creates {1}
Feedback/&ExtraDamageDescription	Extra damage from Lighting Spear.
Feedback/&ExtraDamageTitle	Lightning Spear extra damage
Feedback/&NotifyEffectResonatingStrikeLine	{0} resonates {1}!
Format/&LevelAndExperienceFormat	Level: {0}\nExperience: {1}\n{2} points required to reach level {3}
Format/&LevelAndExperienceMaxedFormat	Level: {0}\nExperience: {1}\nmax level reached
Item/&CEHalberd+1UnidentifiedTitle	Quality Halberd
Item/&CEHalberd+2UnidentifiedTitle	Magnificent Halberd
Item/&CEHalberdLightningUnidentifiedTitle	Magnificent Halberd 
Item/&CEHandXbow+1UnidentifiedTitle	Quality Hand Crossbow
Item/&CEHandXbow+2UnidentifiedTitle	Magnificent Hand Crossbow
Item/&CEHandXbowAcidUnidentifiedTitle	Magnificent Hand Crossbow
Item/&CELongMace+1UnidentifiedTitle	Quality Long Mace
Item/&CELongMace+2UnidentifiedTitle	Magnificent Long Mace
Item/&CELongMaceThunderUnidentifiedTitle	Magnificent Long Mace
Item/&CEPike+1UnidentifiedTitle	Quality Pike
Item/&CEPike+2UnidentifiedTitle	Magnificent Pike
Item/&CEPikePsychicUnidentifiedTitle	Magnificent Pike
Item/&Handwraps+1UnidentifiedTitle	Good Quality Handwraps
Item/&Handwraps+2UnidentifiedTitle	Magnificent Handwraps
Item/&HandwrapsOfForceUnidentifiedTitle	Magnificent Handwraps
Item/&HandwrapsOfPullingUnidentifiedTitle	Magnificent Handwraps
Language/&AbyssalDescription	Abyssal language was the form of primordial language which has been wrapped and twisted by the evil of the abyss.
Language/&AbyssalTitle	Abyssal
Message/&CharacterExportDuplicateNameErrorDescription	Export Cancelled:\n\nA hero with this name already exists in the pool.\nPlease try a different name.
Message/&CharacterExportEmptyNameErrorDescription	Export Cancelled:\n\nPlease try a non empty name.
Message/&CharacterExportModalContentDescription	Enter the hero name to export:
Message/&CharacterExportModalTitleDescription	Character Export.
Message/&LevelDownConfirmationDescription	Level down this Hero?
Message/&LevelDownMultiplayerAbortDescription	Cannot Level Down during a multiplayer session.
Message/&MessageModWelcomeDescription	The Community Expansion Mod is packed full of exciting features, but by default none are enabled. Press <color=yellow>Ctrl-F10</color> to open the Unity Mod Manager UI [UMM], then click on the settings icon next to 'Community Expansion' to open the settings pages.\n\n Explore the options and select the ones you like. The UMM UI will now open.
Message/&MessageModWelcomeTitle	Community Expansion Mod
Message/&RespecMultiplayerAbortDescription	Cannot Respec during a multiplayer session or on exploration map.
Message/&SpawnCustomEncounterDescription	Spawn encounter at coordinates ({0}, {1})?
Message/&SpawnCustomEncounterErrorDescription	Cannot spawn encounters on a multiplayer game. Yet...
Message/&SpawnCustomEncounterTitle	Encounter
Message/&TeleportPartyDescription	Teleport party to coordinates ({0}, {1})?\nYou might break quests or maps if you teleport to an undiscovered place.
Message/&TeleportPartyTitle	Teleport
MonsterAttack/&AttackWarlockQuasitStingTitle	Poisonous Sting
Power/&ClassMonkZenArrowTechniqueShortTitle	Distant Hand
Power/&ClassMonkZenArrowUpgradedTechniqueShortTitle	Distant Hand
Power/&DH_ElementalFormPoolEnhancedTitleShort	Elemental Forms
Power/&ToadKingCroakDescription	Emit a wave of sound that causes damage and pushes creatures and objects away.
Power/&ToadKingCroakTitle	Croak
Power/&ToadKingGraspingTongueDescription	Pull enemies towards yourself.
Power/&ToadKingGraspingTongueTitle	Grasping Tongue
Power/&ToadKingHallucinogenicToxinPowerDescription	Your body has changed to become resistant to toxins and to produce a defensive toxin when hit by melee attacks, up to a number of times per long rest equal to your proficiency bonus. If the attacker fails a Constitution saving throw, they suffer from lucinogenic toxin until they are attacked or otherwise interrupted.
Power/&ToadKingHallucinogenicToxinPowerTitle	Hallucinogenic Toxin
Power/&ToadKingSwallowDescription	Attempt to swallow a Medium or smaller enemy. On a failed Strength save, the monster is swallowed and receives 3d6 acid damage per round. Ends if the Toad Warlock is hit with 15 or more damage in single attack.
Power/&ToadKingSwallowTitle	Swallow
Power/&UrPriestControlUndeadDescription	As an action, you target one undead creature you can see within 30 feet of you. The target must make a Wisdom saving throw. On a failed save, the target must obey your commands.
Power/&UrPriestControlUndeadTitle	Control Undead
Power/&UrPriestHalfLifeDescription	You take necrotic energy into yourself, hanging between life and death and are temporarily possessed by your own ghost. You gain flying speed, and the same condition immunities and damage resistances as other ghosts.
Power/&UrPriestHalfLifeTitle	Half Life
Power/&UrPriestRadiantWardDescription	As an action, you gain a number of temporary hit points equal to twice your Warlock level.
Power/&UrPriestRadiantWardTitle	Radiant Ward
Power/&UrPriestSpellSiphonDescription	you learn how to tap into a greater source of magic in combination with your normal reserve of power. As an action, you can expend a Channel Divinity to regain an expended use of your 6th-level Mystic Arcanum.
Power/&UrPriestSpellSiphonTitle	Spell Siphon
Reaction/&CastSpellInRetributionDescription	{0} is attacking {1}! You can cast {2} in responce!
Reaction/&CastSpellInRetributionReactDescription	Click to cast {0}.
Reaction/&CastSpellInRetributionReactTitle	Cast Spell
Reaction/&CastSpellInRetributionTitle	Cast Reaction Spell
Reaction/&CoordinatedAttackDescription	{0} was attacked by coordinating attack, some characters can use their reaction to join this attack.
Reaction/&CoordinatedAttackReactDescription	Use reaction to attack target.
Reaction/&CoordinatedAttackReactTitle	Attack
Reaction/&CoordinatedAttackTitle	Coordinated Attack
Reaction/&CustomDeflectMissileMonkTitle	{0} is attacking {1}, who can react to reduce the incoming damage by 1d10 + Dexterity modifier + Monk level
Reaction/&ReactionAttackFeatSentinelReactDescription	Use reaction to attack.
Reaction/&ReactionAttackFeatSentinelReactTitle	Attack
Reaction/&ReadiedAction{0}Description	Readied {0}
Reaction/&ReadiedAction{0}Title	Readied {0}
Reaction/&SpendPower{0}Description	Spend {0}
Reaction/&SpendPower{0}Title	Spend {0}
Reaction/&SpendPowerBundleClassMonkOpenHandTechniqueDescription	{0} hit a creature with one of the attacks granted by Flurry of Blows, and can impose one of the following effects on that target:
Reaction/&SpendPowerBundleClassMonkOpenHandTechniqueReactDescription	Apply selected technique.
Reaction/&SpendPowerBundleClassMonkOpenHandTechniqueReactTitle	Apply
Reaction/&SpendPowerBundleClassMonkOpenHandTechniqueTitle	Open Hand Technique
Reaction/&SpendPowerBundleClassMonkZenArrowTechniqueDescription	{0} hit a creature with an arrow, and can impose one of the following effects on that target:
Reaction/&SpendPowerBundleClassMonkZenArrowTechniqueReactDescription	Apply selected technique.
Reaction/&SpendPowerBundleClassMonkZenArrowTechniqueReactTitle	Apply
Reaction/&SpendPowerBundleClassMonkZenArrowTechniqueTitle	Distant Hand Technique
Reaction/&SpendPowerBundleClassMonkZenArrowUpgradedTechniqueDescription	{0} hit a creature with an arrow, and can impose one of the following effects on that target:
Reaction/&SpendPowerBundleClassMonkZenArrowUpgradedTechniqueReactDescription	Apply selected technique.
Reaction/&SpendPowerBundleClassMonkZenArrowUpgradedTechniqueReactTitle	Apply
Reaction/&SpendPowerBundleClassMonkZenArrowUpgradedTechniqueTitle	Distant Hand Technique
Reaction/&SpendPowerClassMonkQuiveringPalmDescription	{0} has hit opponent with unarmed attack and can spend 3 ki point to attempt to kill it.
Reaction/&SpendPowerClassMonkQuiveringPalmReactDescription	Spend ki to attempt to kill opponent.
Reaction/&SpendPowerClassMonkQuiveringPalmReactTitle	Spend ki
Reaction/&SpendPowerClassMonkQuiveringPalmTitle	Quivering Palm
Reaction/&SpendPowerClassMonkStunningStrikeDescription	{0} has hit opponent and can spend 1 ki point to attempt to stun.
Reaction/&SpendPowerClassMonkStunningStrikeReactDescription	Spend ki to attempt to stun opponent.
Reaction/&SpendPowerClassMonkStunningStrikeReactTitle	Spend ki
Reaction/&SpendPowerClassMonkStunningStrikeTitle	Stunning Strike
Reaction/&SpendPowerCounterStrikePowerDescription	Spend a gambit die and Counter Strike the enemy, if you hit, do an additional 1d6+2 bludgeoning damage.
Reaction/&SpendPowerCounterStrikePowerReactDescription	Spend a gambit die and Counter Strike the enemy, if you hit, do an additional 1d6+2 bludgeoning damage.
Reaction/&SpendPowerCounterStrikePowerReactTitle	Counter Strike
Reaction/&SpendPowerCounterStrikePowerTitle	Counter Strike
Reaction/&SpendPowerDH_RiftStrikeDescription	Once per long rest, when damaged by a melee attack, you can use your reaction to create a portal that banishes the attacker for 1 round from your plane of existence.
Reaction/&SpendPowerDH_RiftStrikeReactTitle	Rift Strike
Reaction/&SpendPowerDH_RiftStrikeTitle	Rift Strike
Reaction/&SpendPowerDiamondSoulDescription	{0} has failed a save and can spend 1 ki to reroll it.
Reaction/&SpendPowerDiamondSoulReactDescription	Spend ki to reroll failed save.
Reaction/&SpendPowerDiamondSoulReactTitle	Reroll
Reaction/&SpendPowerDiamondSoulTitle	Diamond Soul
Reaction/&SpendPowerInspirePowerDescription	Spend a gambit die and inspire your ally, giving 1d6 + 2 temp HP.
Reaction/&SpendPowerInspirePowerTitle	Inspire
Reaction/&SpendPowerKnockDownPowerDescription	Spend a gambit die and empower your attack to do an additional 1d6 + 2 bludgeoning damage. The target makes a Strength save (DC 8 + your proficiency bonus + your Strength modifier) or gets knocked down until the start of its next turn.
Reaction/&SpendPowerKnockDownPowerReactDescription	Spend a gambit die and empower your attack to do an additional 1d6 + 2 bludgeoning damage. The target makes a Strength save (DC 8 + your proficiency bonus + your Strength modifier) or gets knocked down until the start of its next turn.
Reaction/&SpendPowerKnockDownPowerReactTitle	Knock down
Reaction/&SpendPowerKnockDownPowerTitle	Knock down
Reaction/&SpendPowerPowerSpellShieldArcaneDeflectionDescription	You can use your arcane powers to shield yourself as a reaction.
Reaction/&SpendPowerPowerSpellShieldArcaneDeflectionTitle	Spell Shield
Reaction/&SpendSpellSlot{0}Description	Spend Spell {0}
Reaction/&SpendSpellSlot{0}Title	Spend Spell {0}
Reaction/&SpendSpellSlotEldritchSmiteDescription	{0} can spend spell slot to deal 1d8 force damage and an additional 1d8 damage per slot level to the target.
Reaction/&SpendSpellSlotEldritchSmiteReactDescription	Click to spend a spell slot and increase damage to the target.
Reaction/&SpendSpellSlotEldritchSmiteReactTitle	Smite
Reaction/&SpendSpellSlotEldritchSmiteTitle	Eldritch Smite
Reaction/&SubitemSelectCoordinatedAttackTitle	Select action
Reaction/&SubitemSelectEldritchSmiteDescription	Select a slot level to consume for your Eldritch Smite.
Reaction/&SubitemSelectEldritchSmiteTitle	Slot Level
Reaction/&SubitemSelectPowerBundleTitle	Options
Reaction/&SubitemSelectSlotLevelTitle	Slot Level
Reaction/&SubitemSelectWarcasterReactionTitle	Select action
Reaction/&Use{0}Description	Use {0}
Reaction/&Use{0}Title	Use {0}
Reaction/&UseClassMonkSlowFallDescription	{0} is falling and can use a reaction to not take fall damage.
Reaction/&UseClassMonkSlowFallReactDescription	Use reaction to not take fall damage.
Reaction/&UseClassMonkSlowFallReactTitle	React
Reaction/&UseClassMonkSlowFallTitle	Slow Fall
Reaction/&WarcasterAttackDescription	Attack target.
Reaction/&WarcasterAttackTitle	Attack
Reaction/&WarcasterReactionReactDescription	Use reaction to attack target.
Reaction/&WarcasterReactionReactTitle	Attack
Requirement/&FeatureSelectionRequireCharacterLevel	Level {0}
Requirement/&FeatureSelectionRequireClassLevel	Level {0} of {1}
Requirement/&WarlockMissingEldritchBlast	Eldritch Blast cantrip
Requirement/&WarlockRequiresNoMoonLit	Not Moonlit Patron
Requirement/&WarlockRequiresOneWithShadows	"One With Shadows" Eldritch Invocation
Requirement/&WarlockRequiresPactOfBlade	Pact of the Blade
Requirement/&WarlockRequiresPactOfChain	Pact of the Chains
Requirement/&WarlockRequiresPactOfTome	Pact of the Tome
Rules/&CounterFormDismissCreatureFormat	Dismiss Tinkerer construct
Rules/&LightningSpearPowerDescription	Deal 2d6 lightning damage.
Rules/&LightningSpearPowerTitle	Lightning Spear
Screen/&CovenSpellDescription	Spell known as part of a Coven.
Screen/&CovenSpellHeader	Coven
Screen/&CovenSpellTitle	Coven
Screen/&EditorLocationSize3Title	Huge [MODDED]
Screen/&EditorLocationSize4Title	Gargantuan [MODDED]
Screen/&FeyTeleportSpellDescription	This Fey spell is always prepared.
Screen/&FeyTeleportSpellTitle	Fey
Screen/&MulticlassSpellDescription	You know this spell from other repertoire.
Screen/&MulticlassSpellTitle	Multiclass
Screen/&ShadowTouchedSpellDescription	This Shadow spell is always prepared.
Screen/&ShadowTouchedSpellTitle	Shadow
Screen/&SpellSlotsUsedLongDescription	You have expended {0} spell slot(s) at this level.
Screen/&SpellSlotsUsedShortDescription	You have expended {0} pact magic slot(s).
Screen/&SpellSlotsUsedShortLongDescription	You have expended {0} pact magic slot(s) and {1} spell slot(s) at this level.
Screen/&WitchSpellDescription	Spells known as a Witch.
Screen/&WitchSpellHeader	Witch
Screen/&WitchSpellTitle	Witch
Spell/&DHAnimalShapesSpellDescription	Choose any number of willing creatures that you can see within range. You transform each target into the form of a Large or smaller beast with a challenge rating of 4 or lower.
Spell/&DHAnimalShapesSpellTitle	Animal shapes
Spell/&DHCastSpellArchMageDescription	Archmage Casting Ability.
Spell/&DHCastSpellArchMageTitle	Archmage Casting Ability
Spell/&DHCastSpellGuardianNagaDescription	Archmage Casting Ability.
Spell/&DHCastSpellGuardianNagaTitle	Archmage Casting Ability
Spell/&DHCastSpellLichDescription	Lich Casting Ability.
Spell/&DHCastSpellLichTitle	Lich Casting Ability
Spell/&HinderingBlastDescription	A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 force damage.\n(when you hit a creature with your eldritch blast, you can reduce that creature's speed by 10 feet until the end of your next turn.).
Spell/&HinderingBlastTitle	Eldritch Blast (Hindering)
Spell/&IPConjureInvisibleStalkerTitle	Conjure Elemental (Invisible Stalker)
Spell/&MirrorImageDescription	Mirror Image
Spell/&MirrorImageTitle	Mirror Image
Stage/&IdentityMorphotypeEyeHeader	Eye Style
Stage/&SubclassSelectionStageClassMonkTraditionDescription	This stage selects the character's monastic tradition.
Stage/&SubclassSelectionStageClassMonkTraditionFeatures	Monastic Tradition Features
Stage/&SubclassSelectionStageClassMonkTraditionHeader	Select a Monastic Tradition
Stage/&SubclassSelectionStageClassMonkTraditionNoneDescription	You must select a monastic tradition.
Stage/&SubclassSelectionStageClassMonkTraditionTitle	Monastic\nTradition
Stage/&SubclassSelectionStageCovenDescription	Coven.
Stage/&SubclassSelectionStageCovenFeaturesDescription	Coven.
Stage/&SubclassSelectionStageCovenFeaturesHeader	Coven Features
Stage/&SubclassSelectionStageCovenFeaturesTitle	Coven
Stage/&SubclassSelectionStageCovenHeader	Select a Coven
Stage/&SubclassSelectionStageCovenTitle	Coven
Stage/&SubclassSelectionStagePatronDescription	A Warlock is defined by a pact with an otherworldly being. Sometimes the relationship between Warlock and patron is like that of a Cleric and a deity, though the beings that serve as patrons are not gods.
Stage/&SubclassSelectionStagePatronFeatures	Otherworldly Patrons Features
Stage/&SubclassSelectionStagePatronHeader	Warlock Otherworldly Patrons
Stage/&SubclassSelectionStagePatronTitle	Otherworldly Patrons
Stage/&SubclassSelectionStageSpecialistDescription	Description There are a wide range of specialties in Tinkerers including making elixirs as a Potion Maker, making explosions as a Blaster, and wielding magical weaponry as a Weapon Smith.
Stage/&SubclassSelectionStageSpecialistFeatures	Specialist Features
Stage/&SubclassSelectionStageSpecialistHeader	Specializations
Stage/&SubclassSelectionStageSpecialistNoneDescription	Specialist None Description.
Stage/&SubclassSelectionStageSpecialistTitle	Select Specialization
Subclass/&ArtificerArtileristCannonsDescription	You create a set of cannons that you can activate in battle as a bonus action.
Subclass/&ArtificerArtileristCannonsTitle	Cannons
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	You infuse your weapon with power. Your attacks count as magical and you add +7 to your attack and damage rolls.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Improved Infuse Weapon
Subclass/&BloodWitchDescription	Forbidden by most Witch covens, blood magic centers on the use of dark spells and mortal hexes that draw from the spellcaster's very essence. It is fundamentally more perilous than other Witch crafts, but its many risks come with copious rewards.
Subclass/&BloodWitchMagicDescription	You gain the following spells. These spells count as Witch spells for you and don't count against your total number of spells known:\n {0}\n\n
Subclass/&BloodWitchMagicTitle	Blood Magic
Subclass/&BloodWitchTitle	Blood Witch
Subclass/&MagicAffinityMasterManipulatorDC0Description	It is harder for opponents to resist your spells. The save DC increases by 0.
Subclass/&MagicAffinityMasterManipulatorDC1Description	It is harder for opponents to resist your spells. The save DC increases by 1.
Subclass/&MagicAffinityMasterManipulatorDC3Description	It is harder for opponents to resist your spells. The save DC increases by 3.
Subclass/&MagicAffinityMasterManipulatorDC4Description	It is harder for opponents to resist your spells. The save DC increases by 4.
Subclass/&MagicAffinityMasterManipulatorDC5Description	It is harder for opponents to resist your spells. The save DC increases by 5.
Subclass/&MagicAffinityMasterManipulatorDCDescription	It is harder for opponents to resist your spells. The save DC increases by 3.
Subclass/&MagicAffinityRoguishConArtistDC0Description	Your spell save DC increases by 0.
Subclass/&MagicAffinityRoguishConArtistDC1Description	Your spell save DC increases by 1.
Subclass/&MagicAffinityRoguishConArtistDC2Description	Your spell save DC increases by 2.
Subclass/&MagicAffinityRoguishConArtistDC4Description	Your spell save DC increases by 4.
Subclass/&MagicAffinityRoguishConArtistDC5Description	Your spell save DC increases by 5.
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedDescription	Unlimited times you can recover spell slots (in addition to Arcane Recovery).
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedTitle	Arcane Depth
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponDescription	You infuse your weapon with power. Your attacks count as magical and you add your +7 to your attack and damage rolls. You can only have one of each infusion active at a time. Activating it a second time will cancel the first.
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponTitle	Improved Infuse Weapon
Subclass/&PurpleWitchDescription	Purple magic holds sway over the domains of illusions and enchantments that take hold over people's minds, and anything that is not quite as it seems. Practitioners of this form of magic are puppet masters, shaping the apparent reality of those around them to their advantage.
Subclass/&PurpleWitchMagicDescription	You gain the following spells. These spells count as Witch spells for you and don't count against your total number of spells known:\n {0}\n\n
Subclass/&PurpleWitchMagicTitle	Purple Magic
Subclass/&PurpleWitchTitle	Purple Witch
Subclass/&WarlockToadKingDescription	Fey, demon or aberration caused by the Cataclysm, the true nature of the Toad King is not known, but it is known that the Toad King rules a large area of swamps and marshes within the Badlands and offers power to those willing to serve.
Subclass/&WarlockToadKingTitle	Toad King Pact
Subclass/&WarlockUrPriestDescription	While the vast majority of divine spellcasters gain their powers from a deity, there are those who despise the gods. Those who call themselves Ur-priests have learned to siphon off the divine energies granted by gods to their divine spellcasters, using it for their own needs without giving even lip-service to any god. As an Ur-priest, you differ from most warlocks, lacking a patron who grants you your power. Eldritch Invocations you uncover are warped forms of magic the gods might grant their patrons, while Pact Boons are likely divine artefacts you have managed to steal.
Subclass/&WarlockUrPriestTitle	UrPriest Pact
ToolTip/&CheckBoxDefaultPartyTitle	Check this box to set your default party when starting new advendures or testing custom locations. You can select up to {0} heroes in a first-in / first-out basis
Tooltip/&CustomPortraitPoolClassMonkKiPool	You can harness the mystic energy of ki. Your access to this energy is represented by a number of ki points. Maximum amount is equal to your Monk level. All spent points are regained on short or long rest. You can spend these points to fuel various ki features
Tooltip/&DeadeyeConcentration	Disable Deadeye.
Tooltip/&FeatPrerequisiteDoesNotHaveFightingStyle	Doesn't know {0}
Tooltip/&FeatPrerequisiteHasStealthAttack	Has stealth attack
Tooltip/&FeatPrerequisiteIsNotBarbarian	Isn't a Barbarian
Tooltip/&FeatPrerequisiteIsNotFighter	Isn't a Fighter
Tooltip/&FeatPrerequisiteIsNotRogue	Isn't a Rogue
Tooltip/&FeatPrerequisiteLevelFormat	Min Character Level {0}
Tooltip/&PowerAttackConcentration	Disable Power Attack.
Tooltip/&Tag9000Title	Custom Effect
Tooltip/&TagCommunityExpansionTitle	Community Expansion
Tooltip/&TagMaledictionTitle	Malediction
Tooltip/&TagMonkWeaponTitle	Monk
Tooltip/&TagOtherModContentTitle	From mod
Tooltip/&TagPolearmWeaponTitle	Polearm
Tooltip/&TagScoutSentinelWeaponTitle	Scout Sentinel
UI/&CustomFeatureSelectionStageDescription	Select extra features from your class/subclass.
UI/&CustomFeatureSelectionStageFeatures	Features
UI/&CustomFeatureSelectionStageNotDone	You must select all available features before proceeding
UI/&CustomFeatureSelectionStageTitle	Feature Selection
UI/&CustomFeatureSelectionTooltipTypeCantrip	Cantrip
UI/&CustomFeatureSelectionTooltipTypeFeature	Feature
UI/&CustomFeatureSelectionTooltipTypePower	Power
UI/&CustomFeatureSelectionTooltipTypeProficiency	Proficiency
UI/&ForcePreferredCantripDescription	If this toggled is ON, only the preferred cantrip can trigger. If the preferred cantrip isn't selected, then the first valid cantrip will trigger, regardless of this toggle.
UI/&ForcePreferredCantripTitle	Force Preferred Cantrip
