ActionAffinity/&DHFeeblemindSpellDescription	Impossible de lancer des sorts.
Feat/&FeatImprovedCriticalTitle	Critique amélioré
Feat/&FeatIntIncrementDescription	Augmentez votre Intelligence de 1, jusqu'à un maximum de 20.
Feat/&FeatIntIncrementTitle	Augmentation des attributs d'intelligence
Feat/&FeatLightArmorDescription	Augmentez votre Force de 1, jusqu'à un maximum de 20.\nVous gagnez la maîtrise des armures légères.
Feat/&FeatLightArmorProficiencyDescription	Maîtriser l'armure légère.
Feat/&FeatLightArmorProficiencyTitle	Armure légère
Feat/&FeatLightArmorTitle	Armure légère
Feat/&FeatMarksmanDescription	Lorsqu'un adversaire que vous pouvez voir vous attaque avec une arme à distance ou un sort et qu'il se trouve à au moins 3 mètres de vous, vous pouvez utiliser votre réaction pour effectuer une attaque avec une arme à distance une fois l'attaque déclenchée terminée.
Feat/&FeatMarksmanTitle	Buteur
Feat/&FeatMediumArmorDexDescription	Augmentez votre Dextérité de 1, jusqu'à un maximum de 20.\nVous maîtrisez l'armure moyenne et les boucliers.
Feat/&FeatMediumArmorDexTitle	Armure moyenne (Dextérité)
Feat/&FeatMediumArmorProficiencyDescription	Vous maîtrisez les armures et les boucliers moyens.
Feat/&FeatMediumArmorProficiencyTitle	Armure moyenne
Feat/&FeatMediumArmorStrengthDescription	Augmentez votre Force de 1, jusqu'à un maximum de 20.\nVous maîtrisez les armures et les boucliers moyens.
Feat/&FeatMediumArmorStrengthTitle	Armure moyenne (Force)
Feat/&FeatMetamagicAdeptCarefulDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nVous apprenez la métamagie Attention et gagnez 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptCarefulTitle	Métamagique : Attention
Feat/&FeatMetamagicAdeptDistantDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nVous apprenez la métamagie lointaine et gagnez 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptDistantTitle	Métamagique : Distant
Feat/&FeatMetamagicAdeptEmpoweredDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nVous apprenez la métamagie renforcée et gagnez 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Métamagique : Renforcé
Feat/&FeatMetamagicAdeptExtendedDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nVous apprenez la métamagie étendue et gagnez 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptExtendedTitle	Métamagique : étendu
Feat/&FeatMetamagicAdeptHeightenedDescription	Vous apprenez la métamagie accrue et gagnez 4 points de sorcellerie.
Feat/&FeatMetamagicAdeptHeightenedTitle	Métamagique : Intensifiée
Feat/&FeatMetamagicAdeptQuickenedDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nVous apprenez la métamagie accélérée et gagnez 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptQuickenedTitle	Métamagique : Accéléré
Feat/&FeatMetamagicAdeptTwinnedDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nVous apprenez la métamagie jumelée et gagnez 2 points de sorcellerie.
Feat/&FeatMetamagicAdeptTwinnedTitle	Métamagique : Jumelé
Feat/&FeatPolearmExpertDescription	Votre formation d'expert avec les armes d'hast vous offre ces avantages :\n• Lorsque vous effectuez l'action Attaquer et que vous attaquez uniquement avec une arme d'hast, vous pouvez utiliser une action bonus pour effectuer une attaque au corps à corps avec l'extrémité opposée de l'arme. Cette attaque utilise le même modificateur de capacité que l'attaque principale. Le dé de dégâts de l'arme pour cette attaque est un d4, et il inflige des dégâts contondants.\n• Pendant que vous maniez une arme d'hast, d'autres créatures provoquent une attaque d'opportunité de votre part lorsqu'elles entrent dans la portée que vous avez avec cette arme.
Feat/&FeatPolearmExpertTitle	Expert en armes d'hast
Feat/&FeatPrimalConstitutionDescription	Augmentez votre Constitution de 1, jusqu'à un maximum de 20.\nVous pouvez entrer dans une rage en tant qu'action bonus telle que définie dans la capacité de classe de rage du barbare avec +1 dégâts de rage qui peuvent se cumuler avec la rage du barbare. Une fois que vous avez fait rage de cette façon, vous devez terminer un repos long avant d'utiliser à nouveau cette capacité.\nTant que vous ne portez pas d'armure, votre CA est égale à 10 + votre modificateur de Dextérité + votre modificateur de Constitution.
Feat/&FeatPrimalConstitutionTitle	Rage primordiale (Constitution)
Feat/&FeatPrimalStrengthDescription	Augmentez votre Force de 1, jusqu'à un maximum de 20.\nVous pouvez entrer dans une rage en tant qu'action bonus telle que définie dans la capacité de classe de rage du barbare avec +1 dégâts de rage qui peuvent se cumuler avec la rage du barbare. Une fois que vous avez fait rage de cette façon, vous devez terminer un repos long avant d'utiliser à nouveau cette capacité.\nTant que vous ne portez pas d'armure, votre CA est égale à 10 + votre modificateur de Dextérité + votre modificateur de Constitution.
Feat/&FeatPrimalStrengthTitle	Rage Primale (Force)
Feat/&FeatPugilistFightingStlyeDescription	Vos frappes à mains nues infligent 1d4 dégâts contondants supplémentaires et vous pouvez frapper avec votre main secondaire en tant qu'action bonus.\nSi vous avez une main libre, vous pouvez pousser en tant qu'action bonus.
Feat/&FeatPugilistFightingStlyeTitle	Style de combat : Pugiliste
Feat/&FeatRangedExpertDescription	Votre formation d'expert aux armes à distance vous confère ces avantages :\n• Vous n'avez plus de désavantage sur les attaques à distance lorsqu'il y a un ennemi à moins de 1,50 mètre de vous.\n• Si vous effectuez l'action Attaquer à votre tour, vous pouvez utiliser une action bonus pour effectuer une attaque avec une arme à distance ou de jet à une main.
Feat/&FeatRangedExpertTitle	Expert à distance
Feat/&FeatSavageAttackerDescription	Relancez les dés de dégâts des armes et des sorts lorsque vous obtenez un 1 (ceci ne relance pas les dés de toutes les sources de dégâts. Par exemple, les dégâts d'attaque sournoise et de châtiment ne sont pas relancés).
Feat/&FeatSavageAttackerReroll	En raison d'être un attaquant sauvage, {0} relance le {1} dé d'un {2} à un {3}
Feat/&FeatSavageAttackerTitle	Attaquant sauvage
Feat/&FeatSentinelDescription	Vous avez maîtrisé des techniques pour profiter de chaque baisse de la garde de n'importe quel ennemi, obtenant les avantages suivants :\n• Lorsque vous touchez une créature avec une attaque d'opportunité, la vitesse de la créature passe à 0 pour le reste du tour.\n• Les créatures provoquent des attaques d'opportunité de votre part même si elles effectuent l'action Désengagement avant de quitter votre portée.\n• Lorsqu'une créature effectue une attaque contre une cible autre que vous (et que cette cible n'a pas ce don), vous pouvez utiliser votre réaction pour effectuer une attaque au corps à corps avec une arme contre la créature attaquante.
Feat/&FeatSentinelTitle	Sentinelle
Feat/&FeatShadowTouchedChaDescription	Augmentez votre attribut Charisme de 1, jusqu'à un maximum de 20.\nVous gagnez la capacité de lancer l'invisibilité, d'infliger des blessures et de faux sorts de vie une fois par repos long et vous pouvez lancer ces sorts avec vos emplacements de sorts.
Feat/&FeatShadowTouchedChaTitle	Touché par l'ombre (charisme)
Feat/&FeatShadowTouchedIntDescription	Augmentez votre attribut Intelligence de 1, jusqu'à un maximum de 20.\nVous gagnez la capacité de lancer l'invisibilité, d'infliger des blessures et de faux sorts de vie une fois par repos long et vous pouvez lancer ces sorts avec vos emplacements de sorts.
Feat/&FeatShadowTouchedIntTitle	Touché par l'Ombre (Intelligence)
Feat/&FeatShadowTouchedWisDescription	Augmentez votre attribut Sagesse de 1, jusqu'à un maximum de 20.\nVous gagnez la capacité de lancer l'invisibilité, d'infliger des blessures et de faux sorts de vie une fois par repos long et vous pouvez lancer ces sorts avec vos emplacements de sorts.
Feat/&FeatShadowTouchedWisTitle	Ombre touchée (sagesse)
Feat/&FeatShadyDescription	Augmentez votre Dextérité de 1, jusqu'à un maximum de 20.\nUne fois par tour, vous pouvez infliger 1d6 dégâts supplémentaires à une créature que vous touchez avec une attaque qui répond aux exigences de l'attaque sournoise du voleur. Au niveau 12, ces dégâts passent à 2d6 et au niveau 20, à 4d6.
Feat/&FeatShadyTitle	Ombragé
Feat/&FeatShieldExpertDescription	Vous vous êtes entraîné à utiliser un bouclier comme arme. Pour vous, cela devient une arme de mêlée que vous maîtrisez et qui inflige 1d4 dégâts contondants.\nVous gagnez un avantage sur les tentatives de bousculade tout en brandissant un bouclier.
Feat/&FeatShieldExpertTitle	Spécialiste du bouclier
Feat/&FeatStrengthIncrementDescription	Augmentez votre Force de 1, jusqu'à un maximum de 20.
Feat/&FeatStrengthIncrementTitle	Augmentation d'attribut
Feat/&FeatTelekineticChaDescription	Augmentez votre Charisme de 1, jusqu'à un maximum de 20.\nPar une action bonus, vous pouvez pousser ou tirer par télékinésie une créature que vous pouvez voir dans un rayon de 9 mètres autour de vous. La cible doit réussir un jet de sauvegarde de Force (DD 8 + votre bonus de maîtrise + votre modificateur de Charisme) ou être déplacée de 1,50 mètre.
Feat/&FeatTelekineticChaPullDescription	Attire par télékinésie une créature vers vous.
Feat/&FeatTelekineticChaPullTitle	Tir télékinésique
Feat/&FeatTelekineticChaPushDescription	Repousse télékinétiquement une créature loin de vous.
Feat/&FeatTelekineticChaPushTitle	Poussée télékinétique
Feat/&FeatTelekineticChaTitle	Télékinésie (Charisme)
Feat/&FeatTelekineticIntDescription	Augmentez votre Intelligence de 1, jusqu'à un maximum de 20.\nPar une action bonus, vous pouvez pousser ou tirer par télékinésie une créature que vous pouvez voir dans un rayon de 9 mètres autour de vous. La cible doit réussir un jet de sauvegarde de Force (DD 8 + votre bonus de maîtrise + votre modificateur d'Intelligence) ou être déplacée de 1,50 mètre.
Feat/&FeatTelekineticIntPullDescription	Attire par télékinésie une créature vers vous.
Feat/&FeatTelekineticIntPullTitle	Tir télékinésique
Feat/&FeatTelekineticIntPushDescription	Repousse télékinétiquement une créature loin de vous.
Feat/&FeatTelekineticIntPushTitle	Poussée télékinétique
Feat/&FeatTelekineticIntTitle	Télékinésie (Intelligence)
Feat/&FeatTelekineticWisDescription	Augmentez votre Sagesse de 1, jusqu'à un maximum de 20.\nPar une action bonus, vous pouvez pousser ou tirer par télékinésie une créature que vous pouvez voir dans un rayon de 9 mètres autour de vous. La cible doit réussir un jet de sauvegarde de Force (DD 8 + votre bonus de maîtrise + votre modificateur de Sagesse) ou être déplacée de 1,50 mètre.
Feat/&FeatTelekineticWisPullDescription	Attire par télékinésie une créature vers vous.
Feat/&FeatTelekineticWisPullTitle	Tir télékinésique
Feat/&FeatTelekineticWisPushDescription	Repousse télékinétiquement une créature loin de vous.
Feat/&FeatTelekineticWisPushTitle	Poussée télékinétique
Feat/&FeatTelekineticWisTitle	Télékinésie (Sagesse)
Feat/&FeatTitanFightingDescription	Vous gagnez un +2 pour toucher contre les créatures de taille G ou plus.
Feat/&FeatTitanFightingTitle	Style de combat : Combat contre les Titans
Feat/&FeatToughDescription	Votre maximum de points de vie augmente d'un montant égal à deux fois votre niveau lorsque vous obtenez ce don. Chaque fois que vous gagnez un niveau par la suite, votre maximum de points de vie augmente de 2 points de vie supplémentaires.
Feat/&FeatToughTitle	Dure
Feat/&FeatWarCasterDescription	Vous obtenez un avantage sur les contrôles pour maintenir la concentration.\nVous gagnez la capacité d'exécuter la composante somatique des sorts même avec les deux mains pleines.\nLorsque le mouvement d'une créature hostile provoque une attaque d'opportunité de votre part, vous pouvez utiliser votre réaction pour lancer un sort mineur sur la créature, plutôt que de faire une attaque d'opportunité. Le sort mineur doit avoir un temps d'incantation de 1 action ou action bonus et ne doit cibler que cette créature.
Feat/&FeatWarCasterTitle	Lanceur de guerre
Feat/&FeatWiseDefenseDescription	Augmentez votre Sagesse de 1, jusqu'à un maximum de 20.\nTant que vous ne portez pas d'armure, votre CA est égale à 10 + votre modificateur de Dextérité + votre modificateur de Sagesse.
Feat/&FeatWiseDefenseTitle	Défense sage
Feat/&FeatWisePrecisionDescription	Vous pouvez utiliser une action bonus pour sélectionner une arme. Ses attaques comptent comme magiques et vous utilisez votre Sagesse pour vos jets d'attaque et de dégâts pendant 1 minute. Cette fonctionnalité peut être utilisée deux fois par repos long.
Feat/&FeatWisePrecisionTitle	Précision sage
Feat/&FeatWisIncrementDescription	Augmentez votre Sagesse de 1, jusqu'à un maximum de 20.
Feat/&FeatWisIncrementTitle	Augmentation de l'attribut de sagesse
Feat/&FeyTeleportationLanguageTirmarianDescription	Vous gagnez la maîtrise de Tirmarian.
Feat/&FeyTeleportationLanguageTirmarianTitle	tirmarien
Feat/&FightingStyleArcheryDescription	Vous gagnez un bonus de +2 aux jets d'attaque avec des armes à distance.
Feat/&FightingStyleArcheryTitle	Style de combat : Tir à l'arc
Feat/&FightingStyleDefenseDescription	Tant que vous portez une armure, vous gagnez un bonus de +1 à la CA.
Feat/&FightingStyleDefenseTitle	Style de combat : Défense
Feat/&FightingStyleDuelingDescription	Lorsque vous maniez une arme de mêlée dans une main et aucune autre arme, vous gagnez un bonus de +2 aux jets de dégâts avec cette arme.
Feat/&FightingStyleDuelingTitle	Style de combat : Duel
Feat/&FightingStyleGeneralFeatDescription	Vous pouvez sélectionner un style de combat.
Feat/&FightingStyleGeneralFeatitle	Style de combat
Feat/&FightingStyleGreatWeaponDescription	Lorsque vous obtenez un 1 ou un 2 sur un dé de dégâts pour une attaque que vous effectuez avec une arme de mêlée que vous maniez à deux mains, vous pouvez relancer le dé. Vous devez utiliser le nouveau jet, même s'il s'agit d'un 1 ou d'un 2. L'arme doit avoir la propriété à deux mains ou polyvalente pour que vous puissiez bénéficier de cet avantage.
Feat/&FightingStyleGreatWeaponTitle	Style de combat : Grande arme
Feat/&FightingStyleProtectionDescription	Lorsqu'une créature que vous pouvez voir attaque une cible autre que vous qui se trouve à 1,50 mètre ou moins de vous, vous pouvez utiliser votre réaction pour infliger un désavantage au jet d'attaque. Vous devez brandir un bouclier.
Feat/&FightingStyleProtectionTitle	Style de combat : Protection
Feat/&FightingStyleTwoWeaponDescription	Lorsque vous vous engagez dans un combat à deux armes, vous pouvez ajouter votre modificateur de capacité aux dégâts de la deuxième attaque.
Feat/&FightingStyleTwoWeaponTitle	Style de combat : Deux armes
Feat/&FlameArtillery_2Description	3d8 dégâts de feu (cône).
Feat/&FlameArtillery_2Title	Artillerie incendiaire (améliorée)
Feat/&FlameArtilleryConstructDescription	Crée un cône de feu qui inflige 2d8 dégâts en cas d'échec.
Feat/&FlameArtilleryConstructDescription_3	Crée un cône de feu qui inflige 3d8 dégâts en cas d'échec.
Feat/&FlameArtilleryConstructTitle	Construction d'artillerie de flammes
Feat/&FlameArtilleryDescription	2d8 dégâts de feu (cône).
Feat/&FlameArtilleryTitle	Flamme Artillerie
Feat/&ForceArtillery_2Description	3d8 dégâts de force et repoussez la cible de 1,50 mètre.
Feat/&ForceArtillery_2Title	Artillerie de force (améliorée)
Feat/&ForceArtilleryAdditionalDamageDescription	La construction améliorée inflige 1d8 dégâts supplémentaires par coup.
Feat/&ForceArtilleryConstructDescription	Inflige 2d8 dégâts de force et éloigne la cible de 1,50 mètre de la construction.
Feat/&ForceArtilleryConstructDescription_3	Inflige 3d8 dégâts de force et éloigne la cible de 1,50 mètre de la construction.
Feat/&ForceArtilleryConstructTitle	Construction d'artillerie de force
Feat/&ForceArtilleryDescription	2d8 dégâts de Force et poussée de 1,50 mètre.
Feat/&ForceStrikePowerDescription	Attaque à distance 1d6 dégâts de force de votre fidèle acolyte.
Feat/&ForceStrikePowerTitle	Force Sling (serviteur artificiel)
Feat/&GauntletsGrappleDescription	Peut désormais attirer les ennemis au corps à corps avec une action bonus et infliger 1d8 dégâts de tonnerre.
Feat/&GauntletsGrappleTitle	Gantelet grappin
Feat/&HalfCoverShieldDescription	Les alliés à moins de 3 mètres gagnent +2 CA.
Feat/&HalfCoverShieldTitle	Dôme demi-couverture
Feat/&HealerDescription	Vous acquérez une compétence ou une expertise dans les contrôles de médecine. Vous gagnez la capacité de stabiliser une créature mourante ainsi que de faire revivre une créature morte au cours des 12 dernières secondes une fois par repos long. Vous pouvez utiliser une action pour restaurer 1d6 + 4 + points de vie du niveau du personnage un nombre de fois par repos court égal à votre modificateur de Sagesse.
Feat/&HealerResuscitateDescription	Utilisez une action pour faire revivre une créature qui est morte dans les 15 dernières secondes.
Feat/&HealerResuscitateTitle	Réanimer
Feat/&HealerStabilizeDescription	Utilisez une action pour stabiliser une créature mourante.
Feat/&HealerStabilizeTitle	Stabiliser
Feat/&HealerTitle	Guérisseur
Feat/&HealerUseMedicineDescription	Vous pouvez utiliser une action pour restaurer 1d6 + 4 + points de vie du niveau du personnage un nombre de fois par repos court égal à votre modificateur de Sagesse.
Feat/&HealerUseMedicineTitle	Utiliser des médicaments
Feat/&IncreaseConstructSelectingDescription	Vous pouvez maintenant invoquer deux constructions d'artillerie. Les constructions peuvent être de modes identiques ou différents.
Feat/&IncreaseConstructSelectingTitle	Renforts
Feat/&InspiringLeaderDescription	Une fois par repos court, vous pouvez passer 10 minutes à inspirer jusqu'à 6 créatures alliées (dont vous-même) à moins de 9 mètres de vous. Chaque créature gagne des points de vie temporaires égaux à votre niveau + votre modificateur de Charisme.
Feat/&InspiringLeaderTitle	Chef inspirant
Feat/&IntToAttackAndDamageDescription	Vous pouvez utiliser votre modificateur d'Intelligence, au lieu du modificateur de Force ou de Dextérité, pour vos jets d'attaque et de dégâts avec Armes blindées.
Feat/&IntToAttackAndDamageTitle	Arme d'armure
Feat/&MendingConstructDescription	Réparez votre assemblage pour 2d6 PV en 1 minute.
Feat/&MendingConstructTitle	Construction de réparation
Feat/&ModeSwitchingPoolDescription	Vous pouvez passer d'un mode à l'autre une fois par repos court en créant et en utilisant des armes temporaires.
Feat/&ModeSwitchingPoolTitle	Mode armure
Feat/&MoonlitBonusCantripsDescription	Votre contrôle de la lumière de la lune a atteint un nouveau niveau. Vous pouvez lancer les sorts rayon de lune et feu féerique à volonté.
Feat/&MoonlitBonusCantripsTitle	Contrôle de la lumière
Feat/&PickPocketFeatDescription	Vous gagnez en maîtrise de Sleight of Hand, ou en expertise si vous êtes déjà compétent. Vous avez également un avantage sur les tests de dextérité de Sleight of Hand.
Feat/&PickPocketFeatTitle	Pickpocket
Feat/&PowerAlchemistEmboldeningShotsDescription	Vous gagnez la capacité d'administrer un élixir qui enhardit vos alliés, leur fournissant 4d6 + modificateur d'Intelligence points de vie temporaires.
Feat/&PowerAlchemistEmboldeningShotsTitle	Coups enhardissants
Feat/&PowerAlchemistGreaterRestorativeElixirsDescription	Une fois par jour, vous pouvez lancer une restauration supérieure.
Feat/&PowerAlchemistGreaterRestorativeElixirsTitle	Grande restauration
Feat/&PowerAlchemistHealElixirsDescription	Une fois par jour, vous pouvez lancer soin.
Feat/&PowerAlchemistHealElixirsTitle	Guérir
Feat/&PowerAlchemistRestorativeElixirsDescription	Vous pouvez lancer une restauration moindre sans dépenser d'emplacement de sort. Vous pouvez le faire un nombre de fois par repos long égal à votre modificateur d'Intelligence.
Feat/&PowerAlchemistRestorativeElixirsTitle	Élixirs réparateurs
Feat/&PowerAttackFeatDescription	Vous avez appris à échanger la précision pour porter des coups plus meurtriers. Lorsque vous attaquez avec des armes de mêlée, vous pouvez choisir de subir un malus de -3 à votre toucher afin d'infliger des dégâts supplémentaires égaux à 3 + votre bonus de maîtrise.
Feat/&PowerAttackFeatTitle	Attaque puissante
Feat/&PowerFalseLifeFromFeatDescription	En vous renforçant avec un fac-similé nécromantique de la vie, vous gagnez 1d4 + 4 points de vie temporaires pour la durée.
Feat/&PowerFalseLifeFromFeatTitle	Fausse vie
Feat/&PowerInflictWoundsFromFeatDescription	Effectuez une attaque au corps à corps avec un sort contre une créature à votre portée. En cas de coup, la cible subit 3d10 dégâts nécrotiques.
Feat/&PowerInflictWoundsFromFeatTitle	Infliger des blessures
Feat/&PowerInvisibilityFromFeatDescription	Une créature que vous touchez devient invisible jusqu'à la fin du sort. Tout ce que la cible porte ou transporte est invisible tant qu'il est sur la personne de la cible. Le sort prend fin pour une cible qui attaque ou lance un sort.
Feat/&PowerInvisibilityFromFeatTitle	Invisibilité
Feat/&PowerMistyStepFromFeatDescription	Brièvement entouré de brume argentée, vous vous téléportez jusqu'à 9 mètres dans un espace inoccupé que vous pouvez voir.
Feat/&PowerMistyStepFromFeatTitle	Étape brumeuse
Feat/&PowerShadowTouchedFromFeatDescription	Apprenez à lancer les sorts d'invisibilité, de fausse vie et d'infliger des blessures.
Feat/&PowerShadowTouchedFromFeatTitle	L'ombre touchée
Feat/&ProfChefTreatActionDescription	Mangez une friandise en tant qu'action bonus et gagnez 5 points de vie temporaires.
Feat/&ProfChefTreatActionTitle	Mangez la friandise du chef
Feat/&ProfChefTreatCookDescription	Passez une heure à cuisiner des friandises qui, une fois consommées, fournissent 5 points de vie temporaires.
Feat/&ProfChefTreatCookTitle	Cuisiner le régal du chef
Feat/&ProfChefTreatDescription	Mangez en tant qu'action bonus et gagnez 5 points de vie temporaires.
Feat/&ProfChefTreatTitle	Le régal du chef
Feat/&ProfHealerMedicineDescription	Vous acquérez des compétences en médecine, ou une expertise si vous êtes déjà compétent.
Feat/&ProfHealerMedicineTitle	Connaissance de la médecine
Feat/&ProtectorConstructAttackDescription	La construction protectrice effectue une attaque qui inflige 1d10 dégâts de force.
Feat/&ProtectorConstructAttackTitle	Forcer la déchirure
Feat/&ProtectorConstructDescription	Il est amical avec vous et vos compagnons, et il obéit à vos ordres.
Feat/&ProtectorConstructDescription_5	Amélioration de la construction du protecteur.
Feat/&ProtectorConstructLevel15AutopreparedSpellsDescription	Vous gagnez des sorts bonus qui sont considérés comme des sorts de bricoleur pour vous, ils sont toujours préparés et ne comptent pas dans le nombre de sorts de bricoleur que vous connaissez.
Feat/&ProtectorConstructLevel15AutopreparedSpellsTitle	Sorts de construction de protecteur
Feat/&ProtectorConstructLevel3AutopreparedSpellsDescription	Vous gagnez des sorts bonus qui sont considérés comme des sorts de bricoleur pour vous, ils sont toujours préparés et ne comptent pas dans le nombre de sorts de bricoleur que vous connaissez.
Feat/&ProtectorConstructLevel3AutopreparedSpellsTitle	Sorts de construction de protecteur
Feat/&ProtectorConstructTitle	Construction protectrice
Feat/&ProtectorConstructTitle_5	Amélioration de la construction du protecteur
Feat/&RecklessFuryFeatDescription	Vous gagnez la capacité d'entrer en rage pendant une minute une fois par jour sans aucune restriction d'armure.\nVous pouvez attaquer imprudemment, en prenant l'avantage sur vos attaques de mêlée tout en donnant l'avantage à vos attaquants jusqu'au début de votre prochain tour.
Feat/&RecklessFuryFeatTitle	Fureur téméraire
Feat/&ResummonArtilleryConstruct_03Title	Resummon Artillery Construct 1
Feat/&ResummonArtilleryConstruct_09Title	Resummon Artillery Construct 2
Feat/&ResummonArtilleryConstruct_15Title	Resummon Artillery Construct 3
Feat/&ResummonArtilleryConstructDescription	Ce sort permet au bricoleur de réinvoquer une construction d'artillerie dans l'un des multiples modes après l'expiration de l'invocation initiale. La construction réinvoquée dure également 1 heure.
Feat/&RetributionDescription	La construction inflige 1d4 + votre modificateur d'Intelligence de dégâts de force à l'attaquant lorsqu'il est touché par une attaque.
Feat/&RetributionTitle	Châtiment
Feat/&ScoutSentinelFeatureSet_level03Description	<size=17><color=#add8e6ff>Fonctions d'armure multiples</color></size>\nVous pouvez basculer entre les modes de fonction une fois par jour en créant et en utilisant des armes temporaires\n\n<size=17><color=#add8e6ff>Mode sentinelle</color></size>\nGagnez un nombre limité de HP temporaires en fonction du niveau. Imposer un désavantage aux ennemis attaquant les alliés\n\n<size=17><color=#add8e6ff>Mode éclaireur</color></size>\nBénéficiez d'un mouvement accru, d'un avantage furtif et d'une attaque à distance qui inflige un dé de dégâts supplémentaire une fois par tour.\n\n<size=17><color=#add8e6ff>Caractéristiques</color></size>\nVous pouvez utiliser les armes de l'armure comme focus de lancement de sorts pour vos sorts\nL'armure lourde n'a pas d'exigence de force\nVous maîtrisez les outils de forgeron et les armures lourdes.
Feat/&ScoutSentinelFeatureSet_level03Title	Sentinelle éclaireuse
Feat/&ScoutSentinelFeatureSet_level05Description	<size=17><color=#add8e6ff>Attaque supplémentaire</color></size>\nVous pouvez attaquer une fois de plus, par tour de combat, lorsque vous utilisez les actions d'attaque ou de bousculade.
Feat/&ScoutSentinelFeatureSet_level05Title	Sentinelle éclaireuse
Feat/&ScoutSentinelFeatureSet_level09Description	<size=17><color=#add8e6ff>Emplacements de perfusion supplémentaires</color></size>\nVous gagnez des emplacements d'infusion supplémentaires, à utiliser sur l'armure.
Feat/&ScoutSentinelFeatureSet_level09Title	Sentinelle éclaireuse
Feat/&ScoutSentinelFeatureSet_level15Description	<size=17><color=#add8e6ff>Mode sentinelle amélioré</color></size>\nPeut désormais attirer les ennemis au corps à corps avec une action bonus et infliger 1d8 dégâts de tonnerre via le pouvoir Gauntlet Grapple\n\n<size=17><color=#add8e6ff>Mode Scout amélioré</color></size>\nPeut désormais créer un avantage pour les alliés et un désavantage pour les ennemis avec une seule attaque.
Feat/&ScoutSentinelFeatureSet_level15Title	Sentinelle éclaireuse
Feat/&SelfDestructDescription	Autodestruction et force un jet de sauvegarde de Dextérité pour les créatures à moins de 3 mètres. En cas d'échec, inflige 3d8 dégâts de force.
Feat/&SelfDestructTitle	Auto-destruction
Feat/&SelfRepairDescription	Soignez 2d8 PV, 3 fois par jour.
Feat/&SelfRepairTitle	Auto-réparation
Feat/&SubclassMovementDescription	L'armure lourde n'a pas de condition de Force.
Feat/&SubclassMovementTitle	Immunité aux armures lourdes
Feat/&SubclassProficienciesDescription	Vous maîtrisez les outils de forgeron et les armures lourdes.
Feat/&SubclassProficienciesTitle	Compétences de sous-classe
Feat/&SummonArtificialServantDescription	Le serviteur est amical avec vous et vos compagnons, et il obéit à vos ordres.
Feat/&SummonArtificialServantTitle	Invoquer un serviteur artificiel
Feat/&SummonArtilleryConstructDescription	Le Blaster crée et commande une construction d'artillerie dans l'un des multiples modes. Les PV de la construction augmentent avec les niveaux de son invocateur et peuvent être invoqués gratuitement pendant 1 heure une fois par jour. La construction peut être réinvoquée via un sort de niveau 1. Les trois modes sont :\n<color=#add8e6ff>Protection du dôme :</color>\nConfère 1d8 + 4 PV temporaires aux alliés à moins de 3 mètres\n<color=#add8e6ff>Construction d'artillerie incendiaire :</color>\nCrée un cône de feu. Les créatures doivent effectuer un jet de sauvegarde de Dextérité ou subir 2d8 dégâts\n<color=#add8e6ff>Construction d'artillerie de force :</color>\nInflige 2d8 dégâts de force et repousse l'ennemi à 1,50 mètre.
Feat/&SummonArtilleryConstructlevel09Description	Une nouvelle fonction a été ajoutée. La construction d'artillerie peut se détruire, forçant une sauvegarde de Dextérité ou infligeant 3d8 dégâts de force en cas d'échec.\nDe plus, les jets de dégâts de la Flamme et de l'Artillerie de Force augmentent de 1d8 pour un total de 3d8.
Feat/&SummonArtilleryConstructlevel09Title	Amélioration de la construction d'artillerie : autodestruction
Feat/&SummonArtilleryConstructlevel15Description	Une nouvelle fonction a été ajoutée. La construction d'artillerie fournit désormais une demi-couverture aux alliés à moins de 10 pieds\n<size=17><color=#add8e6ff>Amélioration de la structure d'artillerie : renforts</color></size>\nVous pouvez maintenant invoquer deux constructions d'artillerie. Les constructions peuvent être de modes identiques ou différents.
Feat/&SummonArtilleryConstructlevel15Title	Amélioration de la construction d'artillerie : dôme à demi-couverture
Feat/&SummonArtilleryConstructTitle	Invoquer une construction d'artillerie
Feat/&SummonProtectorConstructDescription	Votre propre Battle Buddy est prêt à vous défendre et à attaquer les ennemis. Le Protector Construct peut s'auto-réparer 3 fois par jour et peut imposer un désavantage aux attaques des alliés.
Feat/&SummonProtectorConstructDescription_2	Invoquer la mise à niveau de la construction du protecteur.
Feat/&SummonProtectorConstructDescription_Upgrade	Invoquer la mise à niveau de la construction du protecteur.
Feat/&SummonProtectorConstructTitle	Invocation d'un assemblage de protecteur
Feat/&SummonProtectorConstructTitle_2	Invocation de la mise à niveau de la construction du protecteur
